"# PR data"
"# Start time: 20191112T204648"
"# Subject: Adela"
"# Activity type: Bicep curl"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573591608199","0","-0.14746094","-1.0488281","-0.22851562","-1.34375","0.90625","23.46875"
"1573591608200","1","-0.15820312","-0.9794922","-0.22753906","-2.34375","0.46875","19.46875"
"1573591608202","2","-0.14257812","-0.92285156","-0.25683594","-11.0","6.625","14.21875"
"1573591608202","3","-0.21875","-1.0068359","-0.2607422","-19.1875","12.5625","12.0625"
"1573591608202","4","-0.24316406","-1.0341797","-0.27929688","-20.53125","15.375","3.34375"
"1573591608202","5","-0.15625","-0.90722656","-0.2705078","-15.875","13.90625","-3.4375"
"1573591608203","6","-0.171875","-0.9121094","-0.24804688","4.375","3.65625","0.71875"
"1573591608203","7","-0.19433594","-0.99609375","-0.24511719","2.0625","16.53125","-9.34375"
"1573591608203","8","-0.15234375","-0.9628906","-0.16894531","6.8125","16.90625","-16.9375"
"1573591608203","9","-0.09765625","-1.0595703","-0.13964844","6.625","-4.15625","-15.21875"
"1573591608599","10","-0.12597656","-0.98339844","-0.140625","1.28125","-6.71875","-13.25"
"1573591608600","11","-0.19628906","-0.9033203","-0.21582031","-15.625","-3.4375","-1.46875"
"1573591608600","12","-0.18945312","-0.95214844","-0.23730469","-4.65625","19.46875","-0.3125"
"1573591608600","13","-0.13964844","-0.98828125","-0.20703125","9.25","13.0","-0.75"
"1573591608600","14","-0.12890625","-1.0253906","-0.17871094","6.5625","8.28125","-0.8125"
"1573591608601","15","-0.115234375","-0.98828125","-0.20507812","13.28125","9.375","-1.53125"
"1573591608601","16","-0.080078125","-0.9746094","-0.18945312","8.90625","6.15625","-1.40625"
"1573591608601","17","-0.109375","-1.0019531","-0.21484375","12.5","2.0","-3.25"
"1573591608602","18","-0.140625","-1.0029297","-0.17480469","5.53125","7.90625","-3.5"
"1573591608602","19","-0.10449219","-0.96875","-0.17285156","-3.5","14.03125","-1.90625"
"1573591608994","20","-0.12402344","-1.0078125","-0.171875","12.75","3.09375","1.5"
"1573591608995","21","-0.10253906","-0.9980469","-0.15625","6.09375","3.09375","-0.4375"
"1573591608995","22","-0.12792969","-1.0039062","-0.16308594","4.0","5.46875","-2.15625"
"1573591608996","23","-0.099609375","-1.0068359","-0.17480469","3.34375","0.65625","0.28125"
"1573591608996","24","-0.13867188","-1.0244141","-0.16113281","0.15625","5.21875","-2.875"
"1573591608996","25","-0.10449219","-0.9794922","-0.13671875","3.65625","6.09375","-2.6875"
"1573591608997","26","-0.10546875","-0.9941406","-0.12988281","-5.6875","3.9375","0.0"
"1573591608997","27","-0.10839844","-1.0195312","-0.15820312","-3.6875","-1.25","-0.6875"
"1573591608997","28","-0.099609375","-0.99121094","-0.1640625","-4.90625","-5.5625","-0.25"
"1573591608997","29","-0.11425781","-1.0126953","-0.16503906","-8.8125","-6.125","-1.1875"
"1573591609590","30","-0.115234375","-0.9980469","-0.17871094","-4.78125","-4.28125","-3.75"
"1573591609590","31","-0.09667969","-0.9765625","-0.20703125","0.90625","-1.0625","-4.84375"
"1573591609591","32","-0.12695312","-1.0029297","-0.20507812","-3.1875","-0.8125","-6.84375"
"1573591609591","33","-0.07128906","-0.9814453","-0.19238281","2.0","0.84375","-3.3125"
"1573591609591","34","-0.1015625","-1.0146484","-0.20410156","0.34375","-6.53125","0.21875"
"1573591609591","35","-0.09765625","-0.9863281","-0.16796875","6.9375","2.125","-1.53125"
"1573591609592","36","-0.095703125","-0.9921875","-0.16992188","-0.5625","0.15625","1.625"
"1573591609593","37","-0.11230469","-1.0078125","-0.14941406","-5.4375","0.09375","2.65625"
"1573591609593","38","-0.12207031","-0.9736328","-0.14453125","-11.71875","2.1875","1.03125"
"1573591609593","39","-0.123046875","-0.9970703","-0.15234375","-8.4375","-1.0625","2.65625"
"1573591609792","40","-0.119140625","-1.0048828","-0.16894531","-8.5","0.09375","0.03125"
"1573591609792","41","-0.12011719","-0.9980469","-0.16308594","-7.46875","1.4375","-3.0625"
"1573591609792","42","-0.111328125","-0.9970703","-0.17675781","-11.5","-0.6875","-4.78125"
"1573591609793","43","-0.13867188","-0.9892578","-0.1796875","-8.8125","-1.3125","-9.15625"
"1573591609793","44","-0.13574219","-0.99121094","-0.16699219","-5.875","0.65625","-9.0625"
"1573591609793","45","-0.10253906","-0.9980469","-0.16601562","4.5","-1.25","-7.40625"
"1573591609793","46","-0.14355469","-1.0253906","-0.17480469","-6.90625","-9.0","-8.125"
"1573591609794","47","-0.09472656","-0.97753906","-0.14746094","-0.125","-13.03125","-6.25"
"1573591609794","48","-0.12109375","-1.0126953","-0.20117188","6.40625","-14.25","-5.375"
"1573591609795","49","-0.10644531","-0.9892578","-0.17382812","3.40625","-9.71875","-6.96875"
"1573591610585","50","-0.111328125","-0.9814453","-0.15917969","0.46875","-6.5","-6.65625"
"1573591610585","51","-0.09667969","-1.0039062","-0.17675781","-0.3125","-5.3125","-5.5"
"1573591610586","52","-0.091796875","-1.0","-0.17578125","-1.65625","-1.1875","-3.125"
"1573591610586","53","-0.0703125","-0.9863281","-0.18457031","-2.53125","2.71875","-3.6875"
"1573591610586","54","-0.057617188","-0.9863281","-0.17675781","-3.125","4.125","-3.8125"
"1573591610586","55","-0.048828125","-0.9980469","-0.19140625","-1.65625","3.28125","-1.78125"
"1573591610587","56","-0.07519531","-1.0214844","-0.19042969","-1.1875","4.625","-2.34375"
"1573591610587","57","-0.095703125","-0.953125","-0.18066406","5.90625","11.71875","-5.25"
"1573591610587","58","-0.059570312","-1.0205078","-0.17675781","2.0625","10.46875","-5.25"
"1573591610587","59","-0.068359375","-1.0234375","-0.16308594","3.34375","5.78125","-3.4375"
"1573591610782","60","-0.041015625","-0.9794922","-0.16113281","-5.03125","13.09375","-5.4375"
"1573591610783","61","-0.055664062","-0.9814453","-0.19140625","4.1875","3.34375","2.1875"
"1573591610784","62","-0.049804688","-1.0371094","-0.17285156","9.375","7.25","3.34375"
"1573591610784","63","-0.041015625","-0.97753906","-0.14648438","5.34375","9.8125","3.21875"
"1573591610785","64","-0.017578125","-1.0097656","-0.15136719","0.84375","8.46875","5.90625"
"1573591610785","65","-0.057617188","-0.99609375","-0.14453125","-5.3125","8.65625","6.28125"
"1573591610785","66","-0.055664062","-1.0263672","-0.13378906","-9.40625","8.15625","5.34375"
"1573591610786","67","-0.12792969","-0.9941406","-0.18066406","-15.6875","-1.90625","-4.40625"
"1573591610786","68","-0.08984375","-0.9892578","-0.17089844","7.0","1.375","7.90625"
"1573591610786","69","-0.076171875","-1.0068359","-0.119140625","9.375","1.09375","6.8125"
"1573591610983","70","-0.07519531","-0.96875","-0.11230469","-2.28125","-2.03125","9.25"
"1573591610984","71","-0.07519531","-1.0800781","-0.17089844","-10.625","-0.5625","11.59375"
"1573591610984","72","-0.06933594","-0.9628906","-0.15136719","-15.40625","-4.65625","1.09375"
"1573591610986","73","-0.11816406","-0.9921875","-0.15917969","-22.34375","-6.84375","10.46875"
"1573591610986","74","-0.171875","-1.0175781","-0.14257812","-9.96875","-10.34375","1.375"
"1573591610987","75","-0.15527344","-0.97753906","-0.19335938","4.1875","-17.84375","1.8125"
"1573591610987","76","-0.13183594","-1.0","-0.20703125","10.0","-10.03125","-4.59375"
"1573591610987","77","-0.09765625","-0.99121094","-0.18945312","7.75","-6.0625","-5.875"
"1573591610987","78","-0.10644531","-1.0273438","-0.20117188","3.40625","-4.21875","-4.15625"
"1573591610988","79","-0.11230469","-0.9873047","-0.19140625","5.78125","1.375","-3.0625"
"1573591611578","80","-0.099609375","-0.9970703","-0.18457031","3.21875","4.1875","-0.6875"
"1573591611579","81","-0.07324219","-0.9873047","-0.16503906","3.46875","10.71875","-3.0625"
