"# PR data"
"# Start time: 20191112T204835"
"# Subject: Adela"
"# Activity type: Shoulder press"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573591715326","0","-0.18554688","-0.9511719","-0.3017578","3.21875","6.46875","10.59375"
"1573591715326","1","-0.18066406","-0.984375","-0.27441406","9.25","10.90625","5.90625"
"1573591715327","2","-0.1328125","-1.0039062","-0.2734375","10.375","19.625","6.46875"
"1573591715327","3","-0.140625","-1.0263672","-0.26367188","-9.15625","9.3125","4.0"
"1573591715327","4","-0.17773438","-0.94433594","-0.3017578","-14.0","-1.25","-7.21875"
"1573591715327","5","-0.14746094","-0.9160156","-0.29492188","-14.96875","-11.1875","-3.8125"
"1573591715328","6","-0.27246094","-0.9873047","-0.28710938","-19.53125","10.53125","2.5"
"1573591715328","7","-0.21582031","-1.2441406","-0.18652344","-7.28125","20.5625","-0.875"
"1573591715328","8","-0.12695312","-0.93066406","-0.14355469","-6.375","-1.25","-21.4375"
"1573591715328","9","-0.09375","-0.8222656","-0.14746094","-2.53125","-19.375","-6.4375"
"1573591715723","10","-0.15332031","-1.0595703","-0.16796875","-11.25","-9.78125","1.375"
"1573591715724","11","-0.13378906","-0.9316406","-0.14453125","-2.40625","-10.875","-8.375"
"1573591715724","12","-0.026367188","-0.9345703","-0.078125","2.90625","-27.46875","-6.0625"
"1573591715725","13","-0.107421875","-1.0966797","-0.060546875","1.15625","-36.8125","-6.0625"
"1573591715725","14","-0.23632812","-0.9785156","-0.17285156","-3.0","-22.65625","-6.65625"
"1573591715725","15","-0.10546875","-0.9707031","-0.14941406","6.21875","-7.15625","-2.59375"
"1573591715726","16","-0.07324219","-1.0917969","-0.13574219","11.21875","-8.9375","-7.40625"
"1573591715726","17","-0.07324219","-0.9667969","-0.16503906","5.1875","-5.8125","-12.21875"
"1573591715726","18","-0.038085938","-0.9628906","-0.1328125","-3.6875","10.96875","-9.65625"
"1573591715727","19","0.047851562","-0.99316406","-0.06738281","-0.75","-9.0","-4.03125"
"1573591716122","20","-0.19042969","-1.1767578","-0.041015625","-14.71875","-6.65625","1.3125"
"1573591716123","21","-0.29882812","-1.2802734","-0.3515625","-50.3125","28.375","-14.0"
"1573591716123","22","-0.2607422","-0.7910156","-0.24414062","-9.28125","20.5625","-4.96875"
"1573591716123","23","-0.06738281","-0.8066406","-0.11816406","1.3125","-1.25","4.5625"
"1573591716123","24","-0.103515625","-1.0136719","-0.2421875","9.5625","22.75","-8.1875"
"1573591716124","25","-0.10839844","-1.0664062","-0.24121094","0.03125","16.40625","-19.90625"
"1573591716125","26","-0.013671875","-0.9453125","-0.15234375","-1.96875","10.96875","-12.96875"
"1573591716125","27","-0.0859375","-0.9609375","-0.17382812","-12.40625","2.78125","-4.09375"
"1573591716125","28","-0.08105469","-1.0703125","-0.22558594","-8.0","-8.1875","1.09375"
"1573591716126","29","-0.13867188","-0.95703125","-0.2548828","-15.40625","-4.21875","2.78125"
"1573591716518","30","-0.15136719","-0.9746094","-0.18554688","-7.15625","2.59375","3.46875"
"1573591716519","31","-0.16210938","-0.9941406","-0.23144531","-4.59375","7.4375","3.78125"
"1573591716519","32","-0.15234375","-0.9609375","-0.23828125","3.90625","19.46875","2.3125"
"1573591716519","33","-0.107421875","-1.0058594","-0.234375","2.78125","19.75","2.71875"
"1573591716520","34","-0.099609375","-0.9785156","-0.2421875","3.09375","18.40625","0.28125"
"1573591716520","35","-0.123046875","-1.0039062","-0.22851562","1.3125","16.21875","4.0"
"1573591716520","36","-0.095703125","-0.9785156","-0.1953125","-5.875","26.09375","3.71875"
"1573591716521","37","-0.12402344","-1.0351562","-0.21386719","2.4375","15.5","5.78125"
"1573591716522","38","-0.14453125","-0.96484375","-0.21972656","-0.0625","25.6875","4.0625"
"1573591716522","39","-0.09765625","-0.921875","-0.24121094","4.1875","30.5625","3.03125"
"1573591716916","40","-0.03125","-1.0605469","-0.26953125","10.0625","19.15625","4.375"
"1573591716916","41","-0.07910156","-1.0136719","-0.28222656","-5.3125","20.5625","5.21875"
"1573591716916","42","-0.12695312","-0.9375","-0.27929688","-6.78125","27.21875","10.59375"
"1573591716917","43","-0.15625","-1.0","-0.2939453","-3.75","25.8125","17.875"
"1573591716917","44","-0.1484375","-0.9794922","-0.26171875","1.5","31.84375","16.84375"
"1573591716917","45","-0.12792969","-1.0068359","-0.20605469","8.46875","32.6875","11.40625"
"1573591716917","46","-0.15136719","-0.9824219","-0.25097656","4.1875","30.0625","6.03125"
"1573591716918","47","-0.091796875","-0.9355469","-0.21289062","5.21875","25.875","1.4375"
"1573591716918","48","-0.09472656","-0.95214844","-0.21191406","11.8125","18.84375","0.46875"
"1573591716919","49","-0.07128906","-1.0693359","-0.26660156","6.5625","20.125","-6.0"
"1573591717315","50","-0.0068359375","-1.0615234","-0.22167969","-2.875","4.75","-12.40625"
"1573591717316","51","-0.017578125","-0.8935547","-0.2265625","-17.53125","-8.0","-5.4375"
"1573591717316","52","-0.0703125","-1.0146484","-0.26953125","-14.34375","-18.4375","6.9375"
"1573591717316","53","-0.125","-0.98046875","-0.24707031","-6.1875","-14.65625","3.21875"
"1573591717317","54","-0.109375","-0.95996094","-0.20605469","8.65625","-19.59375","1.5625"
"1573591717317","55","-0.08496094","-1.0244141","-0.20800781","2.375","-28.40625","3.40625"
"1573591717320","56","-0.08984375","-1.0224609","-0.20800781","4.0625","-34.375","-1.25"
"1573591717320","57","-0.14453125","-0.9785156","-0.1640625","-4.21875","-32.5","-0.8125"
"1573591717320","58","-0.16015625","-1.0029297","-0.16308594","-3.375","-34.625","-4.03125"
"1573591717321","59","-0.12890625","-0.98535156","-0.16308594","-3.875","-33.34375","-4.21875"
"1573591717711","60","-0.15234375","-0.96191406","-0.20214844","-0.75","-37.6875","-5.21875"
"1573591717713","61","-0.14160156","-0.9951172","-0.20019531","10.78125","-40.125","-2.15625"
"1573591717713","62","-0.13964844","-1.015625","-0.16308594","2.5","-33.875","-2.6875"
"1573591717714","63","-0.17089844","-1.0097656","-0.15722656","-3.4375","-40.125","-10.34375"
"1573591717714","64","-0.24902344","-1.0166016","-0.09082031","-11.375","-34.9375","-15.75"
"1573591717714","65","-0.25390625","-0.9716797","-0.13769531","-12.21875","-22.40625","-25.03125"
