"# PR data"
"# Start time: 20191114T222514"
"# Subject: Adela"
"# Activity type: Squats"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573770314961","0","-0.028320312","-1.0097656","-0.08300781","-4.15625","1.3125","2.0625"
"1573770314962","1","-0.0234375","-0.99609375","-0.10253906","0.96875","1.3125","3.8125"
"1573770314962","2","-0.05078125","-1.0175781","-0.09375","-3.5625","-0.53125","3.5625"
"1573770314962","3","-0.038085938","-0.9951172","-0.10058594","-1.125","-1.4375","1.875"
"1573770314962","4","-0.047851562","-1.0058594","-0.103515625","-1.53125","-3.5","-0.03125"
"1573770314963","5","-0.025390625","-1.0078125","-0.08984375","-1.4375","-4.125","-0.03125"
"1573770314963","6","-0.045898438","-1.0068359","-0.095703125","-1.0","-1.8125","-0.625"
"1573770314963","7","-0.025390625","-1.0097656","-0.10839844","3.34375","1.4375","-0.03125"
"1573770314963","8","-0.02734375","-1.0087891","-0.10644531","0.34375","-2.71875","-0.6875"
"1573770314965","9","-0.051757812","-1.0087891","-0.099609375","-4.15625","-4.4375","-0.09375"
"1573770315359","10","-0.041015625","-1.0068359","-0.099609375","-4.71875","-4.3125","-0.15625"
"1573770315360","11","-0.037109375","-1.0058594","-0.11425781","-2.53125","-2.84375","0.21875"
"1573770315360","12","-0.038085938","-1.0097656","-0.09863281","-3.75","-2.125","-0.28125"
"1573770315364","13","-0.040039062","-1.0058594","-0.11621094","-3.75","-3.8125","0.46875"
"1573770315365","14","-0.041992188","-0.9970703","-0.13085938","-3.5","-1.875","-0.15625"
"1573770315366","15","-0.033203125","-1.0166016","-0.111328125","-0.25","-0.71875","0.21875"
"1573770315366","16","-0.021484375","-0.99609375","-0.11621094","-7.84375","-2.21875","0.40625"
"1573770315366","17","-0.043945312","-1.0048828","-0.12402344","-1.65625","-3.8125","0.09375"
"1573770315372","18","-0.046875","-1.0078125","-0.12109375","-1.96875","-1.4375","0.03125"
"1573770315373","19","-0.043945312","-1.0009766","-0.12988281","1.3125","-0.71875","-0.34375"
"1573770315757","20","-0.033203125","-1.0107422","-0.12890625","2.0625","-0.34375","0.15625"
"1573770315757","21","-0.046875","-1.0185547","-0.12890625","6.375","0.34375","1.0"
"1573770315758","22","-0.016601562","-1.0097656","-0.11816406","3.75","5.34375","2.28125"
"1573770315758","23","-0.024414062","-0.9970703","-0.10644531","4.8125","2.15625","1.6875"
"1573770315758","24","-0.03125","-0.98828125","-0.10839844","4.375","-2.90625","2.65625"
"1573770315760","25","-0.0390625","-0.9765625","-0.103515625","6.625","-2.65625","3.9375"
"1573770315760","26","-0.028320312","-0.94628906","-0.09863281","4.8125","-0.9375","4.8125"
"1573770315760","27","-0.036132812","-0.9140625","-0.09765625","7.71875","-0.9375","4.25"
"1573770315760","28","-0.017578125","-0.89746094","-0.12792969","14.3125","-4.4375","5.34375"
"1573770315761","29","9.765625E-4","-0.91503906","-0.115234375","9.0625","-5.15625","6.6875"
"1573770316155","30","-0.040039062","-0.87597656","-0.11425781","13.34375","-5.21875","7.78125"
"1573770316155","31","-0.06933594","-0.89746094","-0.072265625","10.96875","-14.25","8.21875"
"1573770316155","32","-0.099609375","-0.8623047","-0.060546875","26.21875","-4.125","8.21875"
"1573770316156","33","-0.08691406","-0.8339844","-0.033203125","19.09375","-2.53125","9.25"
"1573770316156","34","-0.068359375","-0.8486328","-0.009765625","13.59375","-7.1875","4.0"
"1573770316156","35","-0.12890625","-0.96191406","-0.03515625","16.15625","-5.84375","5.15625"
"1573770316156","36","-0.10253906","-0.9501953","-0.001953125","7.84375","-0.03125","6.6875"
"1573770316158","37","-0.099609375","-0.93066406","0.04296875","5.40625","1.90625","5.15625"
"1573770316158","38","-0.083984375","-1.0009766","0.01953125","4.4375","-7.1875","3.75"
"1573770316158","39","-0.10644531","-1.0546875","0.02734375","3.875","-6.25","2.90625"
"1573770316552","40","-0.12402344","-1.0244141","0.022460938","5.46875","-6.09375","2.71875"
"1573770316553","41","-0.115234375","-1.0947266","0.0146484375","-7.15625","-11.4375","7.71875"
"1573770316553","42","-0.115234375","-1.1259766","0.02734375","8.90625","-6.3125","3.53125"
"1573770316553","43","-0.14355469","-1.1445312","0.020507812","1.375","0.21875","7.53125"
"1573770316553","44","-0.13183594","-1.2021484","-0.0126953125","4.1875","7.46875","13.84375"
"1573770316553","45","-0.09765625","-1.3212891","0.030273438","23.40625","-11.09375","5.09375"
"1573770316554","46","-0.2265625","-1.3574219","0.06640625","20.84375","-2.84375","6.3125"
"1573770316554","47","-0.10058594","-1.4052734","0.06542969","13.21875","0.09375","10.90625"
"1573770316554","48","-0.20800781","-1.2558594","0.13183594","9.0","-4.8125","2.71875"
"1573770316556","49","-0.23535156","-1.2851562","0.12597656","-8.3125","-11.5","3.15625"
"1573770316949","50","-0.29003906","-1.2128906","0.07714844","-0.5625","-0.21875","2.0"
"1573770316949","51","-0.20996094","-1.1503906","0.09277344","1.8125","7.71875","5.03125"
"1573770316949","52","-0.16015625","-1.0537109","0.07128906","8.9375","2.71875","-0.875"
"1573770316950","53","-0.15917969","-0.9501953","0.1328125","8.53125","5.53125","-0.8125"
"1573770316950","54","-0.16894531","-0.8515625","0.078125","2.1875","5.28125","0.84375"
"1573770316950","55","-0.14160156","-0.8173828","0.080078125","-6.96875","8.8125","3.28125"
"1573770316950","56","-0.16601562","-0.86035156","0.057617188","-17.15625","8.25","-2.46875"
"1573770316951","57","-0.15039062","-0.8642578","0.05078125","-18.09375","9.3125","-4.78125"
"1573770316951","58","-0.15820312","-0.8544922","0.0546875","-21.1875","7.15625","-8.625"
"1573770316951","59","-0.14160156","-0.8652344","0.05078125","-21.25","6.8125","-10.03125"
"1573770317347","60","-0.115234375","-0.8876953","0.024414062","-25.46875","4.125","-10.65625"
"1573770317348","61","-0.09375","-0.95996094","0.016601562","-26.6875","5.15625","-15.84375"
"1573770317348","62","-0.083984375","-0.9316406","-0.037109375","-28.15625","4.78125","-17.46875"
"1573770317349","63","-0.045898438","-0.9375","-0.07519531","-25.59375","0.03125","-14.1875"
"1573770317349","64","-0.068359375","-0.94628906","-0.087890625","-30.0625","-9.875","-11.9375"
"1573770317349","65","-0.11230469","-0.96777344","-0.13378906","-31.09375","-9.375","-13.375"
"1573770317349","66","-0.0625","-0.9355469","-0.10253906","-15.34375","1.5","-13.21875"
"1573770317350","67","-0.0859375","-0.9296875","-0.10839844","-16.75","-6.125","-13.75"
"1573770317350","68","-0.09082031","-0.92089844","-0.21289062","-16.375","-1.5","-11.0"
"1573770317350","69","-0.005859375","-0.9277344","-0.26367188","-13.375","5.6875","-2.9375"
"1573770317744","70","0.01953125","-1.0253906","-0.16308594","-2.53125","16.1875","0.90625"
"1573770317745","71","-0.033203125","-1.0996094","-0.20117188","2.78125","9.3125","0.90625"
"1573770317745","72","-0.016601562","-1.0058594","-0.115234375","-1.125","-5.15625","-3.5625"
"1573770317747","73","-0.09375","-0.90234375","-0.119140625","-0.9375","-5.90625","-0.28125"
"1573770317747","74","-0.009765625","-0.82421875","-0.18847656","1.25","-0.40625","-0.28125"
"1573770317748","75","0.06347656","-0.7363281","-0.13085938","-4.53125","-4.5625","1.0"
"1573770317748","76","-0.048828125","-0.7470703","-0.11621094","-4.90625","-6.25","-0.6875"
"1573770317748","77","-0.03125","-0.8691406","-0.15625","-15.34375","-9.4375","3.40625"
"1573770317748","78","-0.1015625","-0.8144531","-0.119140625","8.71875","-0.53125","-0.21875"
"1573770317749","79","-0.125","-0.8339844","-0.123046875","0.03125","-7.78125","-4.25"
"1573770318143","80","-0.10253906","-0.9560547","-0.17578125","-6.4375","7.71875","-6.0"
"1573770318143","81","-0.015625","-0.86621094","-0.20605469","5.0","14.6875","-7.53125"
"1573770318144","82","0.123046875","-0.9873047","-0.19726562","3.59375","-8.34375","-1.3125"
"1573770318144","83","-0.07714844","-1.1181641","-0.20117188","-1.65625","-1.8125","2.0625"
"1573770318144","84","-0.056640625","-1.1171875","-0.13476562","-4.21875","-1.6875","-1.71875"
"1573770318146","85","-0.055664062","-1.0517578","-0.17675781","3.40625","-5.65625","-4.0"
"1573770318146","86","-0.041992188","-1.0283203","-0.140625","-3.3125","0.28125","-7.21875"
"1573770318146","87","-0.0546875","-0.9746094","-0.16210938","1.625","5.21875","-4.40625"
"1573770318147","88","-0.03515625","-1.0126953","-0.12695312","-8.375","3.4375","-2.28125"
"1573770318147","89","-0.08300781","-1.1191406","-0.16992188","-13.6875","6.96875","-3.375"
"1573770318539","90","0.020507812","-1.1484375","-0.22851562","-13.75","4.40625","-6.6875"
"1573770318539","91","0.00390625","-1.2636719","-0.22753906","-16.625","2.84375","0.34375"
"1573770318539","92","-0.12109375","-1.4833984","-0.24316406","-13.1875","2.03125","3.75"
"1573770318540","93","-9.765625E-4","-1.3994141","-0.41503906","5.40625","10.40625","-3.6875"
"1573770318540","94","0.11230469","-1.3125","-0.25976562","8.21875","0.5625","0.03125"
"1573770318540","95","-0.028320312","-1.0976562","-0.18457031","13.53125","-2.0","-5.21875"
"1573770318540","96","-0.03125","-1.1542969","-0.19921875","-10.8125","-8.875","3.53125"
"1573770318541","97","-0.057617188","-1.1328125","-0.20800781","2.90625","0.4375","7.90625"
"1573770318542","98","-0.017578125","-1.1689453","-0.23144531","1.3125","6.0625","4.6875"
"1573770318542","99","-0.015625","-1.1083984","-0.23242188","-0.03125","-0.78125","1.1875"
"1573770318939","100","-0.018554688","-1.0332031","-0.234375","-0.375","0.6875","2.0"
"1573770318940","101","0.017578125","-1.0732422","-0.22363281","1.5","-2.59375","4.1875"
"1573770318940","102","-0.034179688","-0.9951172","-0.17285156","7.625","-2.78125","-1.78125"
"1573770318940","103","-0.038085938","-0.91015625","-0.14355469","8.28125","-9.3125","3.34375"
"1573770318940","104","-0.0703125","-0.8613281","-0.18554688","5.84375","-5.65625","4.25"
"1573770318941","105","0.0126953125","-0.8417969","-0.21484375","1.9375","-0.71875","-0.875"
"1573770318941","106","0.0146484375","-0.78808594","-0.111328125","5.21875","-10.90625","-0.875"
"1573770318941","107","-0.107421875","-0.7685547","-0.21289062","5.34375","-4.75","3.875"
"1573770318941","108","-0.018554688","-0.83691406","-0.095703125","8.65625","9.25","5.96875"
"1573770318944","109","-0.1015625","-0.8486328","-0.13183594","12.0625","3.5","2.0625"
"1573770319335","110","-0.056640625","-0.90625","-0.107421875","4.6875","12.28125","2.25"
"1573770319336","111","-0.053710938","-0.9199219","-0.12402344","-9.53125","-4.84375","-0.28125"
"1573770319336","112","-0.07519531","-0.92871094","-0.19238281","-0.09375","-3.34375","-3.8125"
"1573770319336","113","-0.034179688","-0.8847656","-0.16601562","0.53125","2.34375","-0.6875"
"1573770319337","114","-0.0390625","-0.8886719","-0.14550781","2.65625","-2.40625","-1.375"
"1573770319337","115","-0.0625","-0.9794922","-0.15136719","-4.21875","-2.125","2.71875"
"1573770319337","116","-0.09472656","-1.1123047","-0.22363281","-9.34375","3.1875","8.53125"
"1573770319338","117","-0.025390625","-1.0791016","-0.24902344","-3.8125","3.25","8.875"
"1573770319338","118","-0.0625","-0.8623047","-0.19042969","0.15625","-10.65625","6.03125"
"1573770319338","119","-0.03515625","-0.65234375","-0.23535156","12.1875","6.90625","7.1875"
"1573770319732","120","0.20019531","-0.5859375","-0.20605469","12.6875","-3.03125","8.59375"
"1573770319733","121","-0.037109375","-0.71875","-0.12402344","4.8125","-15.125","10.28125"
"1573770319733","122","-0.049804688","-0.80566406","-0.13574219","15.96875","-18.90625","20.4375"
"1573770319734","123","-0.17578125","-0.8046875","-0.12011719","21.96875","0.21875","6.15625"
"1573770319734","124","-0.08496094","-0.98046875","-0.056640625","14.25","2.34375","3.875"
"1573770319735","125","-0.09375","-0.9902344","-0.171875","18.59375","-1.5","5.21875"
"1573770319736","126","-0.05859375","-1.1113281","-0.03515625","10.0","-15.96875","2.71875"
"1573770319736","127","-0.21191406","-1.0566406","0.0078125","12.8125","-6.75","4.5625"
"1573770319736","128","-0.1875","-1.0390625","-0.038085938","10.28125","-4.3125","7.1875"
"1573770319737","129","-0.13964844","-1.0185547","-0.0234375","8.9375","-2.78125","7.90625"
"1573770320129","130","-0.15625","-1.0869141","0.0068359375","13.40625","-10.46875","3.6875"
"1573770320130","131","-0.3017578","-1.1005859","-0.030273438","9.0625","-4.1875","6.8125"
"1573770320130","132","-0.21582031","-1.1982422","-0.020507812","-7.28125","10.8125","13.84375"
"1573770320132","133","-0.10253906","-1.2226562","-0.17285156","1.5625","14.125","-3.0"
"1573770320132","134","0.001953125","-1.2636719","-0.09863281","10.1875","6.625","-11.5625"
"1573770320132","135","-0.18457031","-1.2285156","0.033203125","12.125","1.1875","-4.0"
"1573770320132","136","-0.1875","-1.3427734","-0.10058594","1.375","7.40625","-2.84375"
"1573770320133","137","-0.07128906","-1.3193359","-0.005859375","9.0625","14.5625","-6.125"
"1573770320133","138","-0.1328125","-1.2060547","-0.041015625","4.0625","6.90625","-9.96875"
"1573770320133","139","-0.076171875","-1.1435547","-0.017578125","-2.28125","-7.78125","-8.3125"
"1573770320527","140","-0.1875","-1.2167969","-0.005859375","-10.21875","0.09375","0.53125"
"1573770320528","141","-0.15429688","-1.2148438","-0.068359375","-12.34375","11.0","6.09375"
"1573770320528","142","-0.15039062","-1.2080078","-0.07421875","-12.90625","3.1875","0.65625"
"1573770320528","143","-0.10839844","-1.1494141","-0.09277344","-4.96875","4.34375","-2.90625"
"1573770320529","144","-0.10253906","-1.1386719","-0.080078125","-1.0","1.96875","-3.375"
"1573770320529","145","-0.14257812","-1.1025391","-9.765625E-4","-4.40625","6.8125","-3.6875"
"1573770320530","146","-0.17089844","-0.99121094","-0.12207031","-1.125","6.75","-10.34375"
"1573770320530","147","-0.024414062","-0.81640625","-0.09277344","-4.78125","1.25","-7.34375"
"1573770320530","148","-0.07714844","-0.7402344","-0.049804688","-6.375","-3.5625","-8.5625"
"1573770320530","149","-0.09375","-0.74121094","-0.10839844","-7.15625","-5.90625","-11.5625"
"1573770321122","150","-0.059570312","-0.7167969","-0.041015625","-11.6875","-12.78125","-4.78125"
"1573770321122","151","-0.123046875","-0.7792969","-0.02734375","-7.53125","-5.96875","-4.59375"
"1573770321123","152","-0.11816406","-0.8701172","-0.11230469","-16.6875","-4.5","-6.625"
"1573770321123","153","0.045898438","-0.8955078","-0.10546875","-0.25","11.0","-10.875"
"1573770321123","154","-0.125","-0.9082031","-0.13378906","10.0625","12.40625","-9.59375"
"1573770321123","155","-0.005859375","-0.8691406","-0.22265625","-0.9375","27.75","-4.71875"
"1573770321124","156","0.10839844","-0.921875","-0.11621094","-0.1875","19.0","0.59375"
"1573770321125","157","0.036132812","-0.96484375","-0.13574219","15.46875","-4.90625","0.21875"
"1573770321125","158","-0.10253906","-0.9501953","-0.08105469","1.9375","-2.34375","0.28125"
"1573770321126","159","-0.15820312","-1.0761719","-0.076171875","-19.1875","-2.0","4.5625"
"1573770321322","160","-0.05078125","-1.1308594","-0.22558594","-14.4375","1.96875","0.15625"
"1573770321322","161","0.0048828125","-0.890625","-0.171875","-23.15625","-11.875","-6.5625"
"1573770321322","162","-0.053710938","-0.75097656","-0.11425781","-29.5625","-12.96875","-4.65625"
"1573770321323","163","-0.033203125","-0.6347656","-0.2734375","-22.78125","-10.96875","-8.375"
"1573770321323","164","0.123046875","-0.6826172","-0.2529297","-7.21875","-11.09375","-11.4375"
"1573770321323","165","0.048828125","-0.62597656","-0.0859375","-2.8125","-17.3125","-13.75"
"1573770321323","166","-0.10546875","-0.85058594","-0.0068359375","-0.1875","-25.0625","-2.71875"
"1573770321324","167","-0.1328125","-0.88378906","-0.14550781","-5.625","-14.5","4.6875"
"1573770321324","168","-0.064453125","-1.109375","-0.1015625","-5.03125","-16.53125","5.96875"
"1573770321325","169","-0.16210938","-1.0751953","-0.16210938","3.8125","-14.5","5.15625"
"1573770321720","170","0.013671875","-1.2001953","-0.2783203","3.03125","-14.6875","1.375"
"1573770321721","171","0.022460938","-1.1474609","-0.23730469","3.34375","-1.4375","5.21875"
"1573770321721","172","-0.025390625","-1.1396484","-0.21191406","12.125","-11.28125","3.03125"
"1573770321721","173","-0.03125","-1.09375","-0.21972656","9.8125","1.96875","-1.1875"
"1573770321722","174","-0.06933594","-1.1015625","-0.15527344","10.53125","0.5","1.4375"
"1573770321722","175","-0.044921875","-1.0322266","-0.14550781","9.6875","4.84375","2.46875"
"1573770321722","176","-0.09765625","-1.1376953","-0.111328125","6.625","3.875","4.375"
"1573770321722","177","-0.016601562","-1.1972656","-0.20898438","16.21875","13.15625","5.21875"
"1573770321723","178","0.08984375","-1.2773438","-0.22460938","36.59375","14.1875","4.0625"
"1573770321723","179","-0.13867188","-1.2646484","-0.17871094","30.75","12.90625","7.46875"
"1573770322316","180","-0.041992188","-1.2285156","-0.13769531","31.53125","17.0625","17.1875"
"1573770322317","181","-0.059570312","-1.2265625","-0.099609375","32.03125","9.78125","9.125"
"1573770322318","182","-0.10058594","-1.2509766","0.0126953125","13.71875","0.6875","7.46875"
"1573770322318","183","-0.20996094","-1.3398438","0.01171875","5.21875","-4.90625","10.90625"
"1573770322318","184","-0.18164062","-1.2929688","0.0029296875","5.65625","-4.3125","8.46875"
"1573770322319","185","-0.17480469","-1.1181641","0.00390625","6.875","-7.375","3.6875"
"1573770322319","186","-0.11816406","-1.0273438","0.0078125","5.96875","-5.71875","0.46875"
"1573770322319","187","-0.13769531","-0.8544922","0.0107421875","6.4375","-1.3125","-2.71875"
"1573770322319","188","-0.111328125","-0.8027344","0.016601562","5.0","-0.09375","1.3125"
"1573770322320","189","-0.1015625","-0.765625","0.052734375","-2.46875","2.53125","-0.875"
"1573770322514","190","-0.119140625","-0.8203125","0.034179688","4.5","-0.21875","1.0625"
"1573770322514","191","-0.13574219","-0.87597656","-0.018554688","-3.875","3.125","-1.3125"
"1573770322515","192","-0.07714844","-0.8828125","-0.045898438","-10.40625","4.46875","-8.09375"
"1573770322515","193","-0.040039062","-0.8847656","-0.025390625","-2.9375","-5.40625","-12.53125"
"1573770322515","194","-0.083984375","-0.8457031","-0.029296875","-6.84375","-3.46875","-12.65625"
"1573770322516","195","-0.055664062","-0.87597656","-0.024414062","-16.0","-1.625","-10.875"
"1573770322516","196","-0.056640625","-0.8935547","-0.0390625","-23.9375","-2.21875","-9.4375"
"1573770322516","197","-0.032226562","-0.9423828","-0.041992188","-20.65625","-2.71875","-9.1875"
"1573770322517","198","-0.047851562","-0.9433594","-0.09375","-22.59375","-7.84375","-11.125"
"1573770322517","199","0.005859375","-0.89941406","-0.107421875","-17.0","-5.78125","-12.09375"
"1573770322911","200","-0.09375","-0.96972656","-0.083984375","-22.84375","-5.71875","-1.90625"
"1573770322912","201","-0.11816406","-1.2373047","-0.1953125","-27.375","12.59375","7.1875"
"1573770322912","202","0.017578125","-1.0986328","-0.20605469","-16.8125","6.625","-7.53125"
"1573770322912","203","0.044921875","-0.9277344","-0.21386719","-6.6875","-2.53125","-7.53125"
"1573770322913","204","0.024414062","-0.7421875","-0.14355469","4.0","-0.65625","0.84375"
"1573770322914","205","-0.06347656","-0.67871094","-0.17285156","10.125","-10.21875","6.3125"
"1573770322915","206","0.005859375","-0.6582031","-0.17871094","8.15625","-3.5625","5.71875"
"1573770322915","207","0.076171875","-0.7421875","-0.14160156","-5.15625","-11.5","2.40625"
"1573770322915","208","-0.08203125","-0.8095703","-0.091796875","2.0625","-13.46875","6.25"
"1573770322916","209","-0.024414062","-0.7246094","-0.056640625","22.0625","-13.9375","1.875"
"1573770323310","210","-0.095703125","-0.8779297","-0.09082031","2.96875","-5.15625","-3.0625"
"1573770323311","211","-0.09863281","-1.0839844","-0.1015625","-5.625","1.625","10.53125"
"1573770323311","212","-0.07519531","-0.89160156","-0.12890625","7.78125","12.0","3.15625"
"1573770323311","213","-0.059570312","-1.1601562","-0.12988281","5.53125","-0.59375","3.75"
"1573770323311","214","-0.09082031","-1.1230469","-0.16601562","7.78125","3.375","1.0"
"1573770323312","215","-0.10058594","-1.2353516","-0.11816406","4.4375","5.6875","9.375"
"1573770323312","216","-0.14648438","-1.3056641","-0.14746094","5.90625","11.25","6.5"
"1573770323313","217","-0.09863281","-1.4248047","-0.14550781","11.6875","5.59375","4.5"
"1573770323314","218","-0.109375","-1.4082031","-0.08496094","26.03125","7.46875","1.1875"
"1573770323314","219","-0.060546875","-1.4111328","-0.12109375","35.4375","1.5625","3.625"
"1573770323708","220","-0.08886719","-1.2841797","-0.09472656","33.125","8.8125","1.75"
"1573770323709","221","0.034179688","-1.2207031","-0.05859375","21.71875","5.34375","-1.5"
"1573770323709","222","-0.080078125","-1.2519531","0.0625","-2.9375","-12.5","4.25"
"1573770323709","223","-0.1796875","-1.3378906","-0.0078125","-13.1875","-10.15625","5.53125"
"1573770323709","224","-0.19921875","-1.1933594","0.026367188","-1.84375","-2.40625","3.34375"
"1573770323710","225","-0.1328125","-1.0830078","-0.053710938","2.84375","-7.25","8.46875"
"1573770323710","226","-0.061523438","-0.96191406","0.017578125","2.53125","2.34375","2.53125"
"1573770323710","227","-0.1328125","-0.8544922","0.03515625","1.1875","-4.6875","-6.125"
"1573770323710","228","-0.115234375","-0.7792969","0.0234375","7.375","-2.28125","-5.8125"
"1573770323712","229","-0.12597656","-0.7558594","0.0107421875","-0.625","5.59375","-4.90625"
"1573770324104","230","-0.10058594","-0.77441406","0.016601562","-5.09375","6.0","-6.0"
"1573770324104","231","-0.09667969","-0.7841797","0.03125","-2.46875","4.34375","-9.25"
"1573770324104","232","-0.09472656","-0.82421875","-0.001953125","4.8125","5.15625","-12.28125"
"1573770324105","233","-0.060546875","-0.8232422","-0.04296875","-12.71875","3.4375","-10.8125"
"1573770324105","234","-0.00390625","-0.92089844","-0.099609375","-33.46875","0.40625","-11.5"
"1573770324105","235","0.16210938","-0.9091797","-0.16992188","-36.9375","-2.71875","-21.03125"
"1573770324105","236","0.04296875","-0.9091797","-0.051757812","-42.25","-23.53125","-27.5625"
"1573770324106","237","-0.14746094","-0.9111328","-0.15332031","-34.9375","-9.4375","-9.0"
"1573770324106","238","-0.10839844","-1.0683594","-0.07421875","-37.96875","11.875","12.90625"
"1573770324106","239","-0.09082031","-1.1855469","-0.21484375","-23.09375","3.0625","-6.84375"
"1573770324501","240","0.17480469","-0.9248047","-0.3857422","6.5","9.53125","-7.34375"
"1573770324503","241","0.11230469","-0.93359375","-0.24902344","16.46875","-10.40625","2.84375"
"1573770324503","242","-0.11035156","-1.0136719","-0.078125","8.03125","-0.40625","7.25"
"1573770324503","243","-0.041992188","-0.9970703","-0.11425781","-1.1875","-11.9375","9.25"
