"# PR data"
"# Start time: 20191112T204722"
"# Subject: Adela"
"# Activity type: Bicep curl"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573591642981","0","-0.22167969","-1.0634766","-0.19238281","9.125","26.28125","23.53125"
"1573591642982","1","-0.23925781","-0.9951172","-0.19726562","5.21875","25.0","26.78125"
"1573591642982","2","-0.16894531","-0.9472656","-0.22753906","14.8125","25.9375","24.21875"
"1573591642982","3","-0.13476562","-0.9765625","-0.21972656","9.9375","24.75","20.75"
"1573591642982","4","-0.13183594","-0.97265625","-0.21484375","12.1875","18.40625","13.28125"
"1573591642983","5","-0.12011719","-0.9951172","-0.19824219","8.46875","4.5625","6.8125"
"1573591642983","6","-0.171875","-0.9248047","-0.1875","8.40625","-10.15625","4.5625"
"1573591642983","7","-0.20117188","-0.921875","-0.19335938","5.71875","-9.84375","3.71875"
"1573591642984","8","-0.20019531","-0.9746094","-0.20214844","9.75","-9.0625","-1.78125"
"1573591642984","9","-0.30566406","-1.0595703","-0.107421875","0.59375","-0.1875","-2.625"
"1573591643379","10","-0.24316406","-0.98535156","-0.05078125","7.90625","2.5625","-0.8125"
"1573591643379","11","-0.21875","-1.03125","-0.08105469","7.0625","-10.15625","-1.3125"
"1573591643380","12","-0.13378906","-0.8984375","-0.10449219","8.03125","0.21875","-3.625"
"1573591643380","13","-0.22851562","-1.0322266","-0.1796875","-7.40625","6.28125","-6.0625"
"1573591643381","14","-0.34765625","-0.96875","-0.14257812","-0.8125","36.0","-20.15625"
"1573591643381","15","-0.26464844","-0.9394531","-0.11328125","9.6875","13.03125","-12.90625"
"1573591643382","16","-0.24707031","-0.96191406","-0.140625","10.84375","-9.40625","-7.28125"
"1573591643382","17","-0.20214844","-0.9511719","-0.12792969","10.3125","-1.59375","-5.875"
"1573591643382","18","-0.17285156","-0.9970703","-0.095703125","9.625","-1.3125","-10.4375"
"1573591643385","19","-0.18359375","-0.9511719","-0.0390625","13.0","-2.75","-4.28125"
"1573591643777","20","-0.021484375","-1.0537109","0.12988281","32.03125","-37.0","4.875"
"1573591643777","21","-0.083984375","-0.953125","-0.078125","2.59375","-77.78125","0.71875"
"1573591643778","22","-0.12695312","-1.0458984","-0.0107421875","-5.09375","-35.0625","11.71875"
"1573591643778","23","-0.23144531","-1.0634766","-0.028320312","-13.0625","-8.25","0.03125"
"1573591643778","24","-0.18359375","-1.0605469","-0.09082031","-14.0","13.59375","-4.71875"
"1573591643779","25","-0.12695312","-0.96191406","-0.09082031","-14.84375","25.3125","0.15625"
"1573591643780","26","-0.15429688","-0.9628906","0.0068359375","-15.28125","34.15625","-7.09375"
"1573591643780","27","-0.18066406","-1.1005859","-0.0146484375","-17.96875","36.78125","-19.59375"
