"# PR data"
"# Start time: 20191112T204538"
"# Subject: Adela"
"# Activity type: Heel raises"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573591538639","0","-0.14550781","-0.9765625","-0.2421875","-2.21875","-3.4375","-0.75"
"1573591538640","1","-0.140625","-0.9873047","-0.23339844","-3.96875","-1.34375","-1.96875"
"1573591538641","2","-0.13964844","-0.9921875","-0.23925781","-5.15625","-1.40625","-2.03125"
"1573591538641","3","-0.14355469","-0.98339844","-0.2421875","-6.59375","2.4375","-2.6875"
"1573591538641","4","-0.15332031","-0.9716797","-0.22558594","-6.90625","-2.8125","-1.53125"
"1573591538641","5","-0.15722656","-0.9794922","-0.22949219","-2.40625","0.09375","-1.46875"
"1573591538642","6","-0.15234375","-0.9902344","-0.23925781","-2.875","-3.25","-1.90625"
"1573591538642","7","-0.14648438","-0.97558594","-0.22851562","-1.53125","0.15625","-2.28125"
"1573591538642","8","-0.13769531","-0.98535156","-0.23632812","-1.96875","0.59375","-2.21875"
"1573591538642","9","-0.13671875","-0.98828125","-0.24511719","-1.53125","-1.125","-1.46875"
"1573591539035","10","-0.13964844","-0.9580078","-0.234375","-4.03125","2.71875","-2.75"
"1573591539035","11","-0.14941406","-1.0097656","-0.2548828","-3.1875","2.90625","-2.75"
"1573591539035","12","-0.125","-0.95996094","-0.21386719","-9.34375","6.21875","-3.75"
"1573591539036","13","-0.140625","-0.9951172","-0.2734375","-2.46875","-0.6875","-1.65625"
"1573591539036","14","-0.13183594","-0.9716797","-0.24511719","-3.0625","0.59375","-2.625"
"1573591539037","15","-0.12988281","-0.9814453","-0.24902344","-2.625","-0.875","-1.78125"
"1573591539037","16","-0.14160156","-0.9824219","-0.25195312","-3.1875","0.46875","-2.34375"
"1573591539037","17","-0.125","-0.97558594","-0.25097656","-5.5625","-0.4375","-1.90625"
"1573591539038","18","-0.12792969","-0.9824219","-0.26367188","-2.875","-0.75","-1.65625"
"1573591539040","19","-0.12402344","-0.97753906","-0.2607422","-2.8125","-1.34375","-1.46875"
"1573591539434","20","-0.12792969","-0.98535156","-0.2578125","-3.5625","-2.59375","-1.65625"
"1573591539434","21","-0.12988281","-0.9814453","-0.2578125","-5.4375","-1.71875","-1.84375"
"1573591539435","22","-0.13085938","-0.99121094","-0.2626953","-5.03125","-4.34375","-2.40625"
"1573591539435","23","-0.13769531","-1.0","-0.265625","-2.21875","-5.25","-2.8125"
"1573591539435","24","-0.12597656","-0.96875","-0.26757812","-0.6875","-1.59375","-3.125"
"1573591539436","25","-0.13964844","-0.9941406","-0.2626953","-10.875","-3.125","-3.96875"
"1573591539436","26","-0.115234375","-0.984375","-0.25","-1.0625","-3.1875","-2.875"
"1573591539436","27","-0.12792969","-0.9746094","-0.27246094","-3.6875","-4.40625","-1.90625"
"1573591539437","28","-0.12695312","-0.96972656","-0.25","-3.125","-2.28125","-1.34375"
"1573591539437","29","-0.14453125","-0.9892578","-0.2529297","-1.46875","-1.71875","-0.9375"
"1573591539830","30","-0.14648438","-0.99609375","-0.24804688","-2.28125","1.375","-0.8125"
"1573591539830","31","-0.15429688","-0.9921875","-0.24316406","-0.25","5.28125","-0.3125"
"1573591539830","32","-0.13964844","-0.9873047","-0.24316406","2.0","6.34375","-0.4375"
"1573591539831","33","-0.1328125","-0.98828125","-0.23828125","3.21875","5.21875","-1.0625"
"1573591539831","34","-0.13476562","-0.98046875","-0.25390625","-0.0625","-3.1875","-0.5"
"1573591539831","35","-0.13867188","-0.9785156","-0.24023438","6.5625","0.21875","0.46875"
"1573591539831","36","-0.13378906","-0.9921875","-0.24902344","8.28125","3.90625","0.71875"
"1573591539833","37","-0.12890625","-0.9873047","-0.23144531","1.3125","5.0625","2.25"
"1573591539833","38","-0.12988281","-0.97558594","-0.24609375","1.6875","4.3125","2.3125"
"1573591539833","39","-0.15820312","-0.9921875","-0.21875","-1.1875","4.3125","1.5625"
"1573591540228","40","-0.12109375","-0.97558594","-0.24316406","-1.0625","7.96875","2.0625"
"1573591540228","41","-0.15722656","-0.9716797","-0.2607422","-0.5625","-0.1875","2.84375"
"1573591540228","42","-0.12988281","-1.0019531","-0.23925781","0.46875","6.21875","2.0625"
"1573591540229","43","-0.1328125","-0.9863281","-0.23046875","0.84375","4.9375","2.25"
"1573591540229","44","-0.13574219","-0.9794922","-0.21582031","-0.3125","3.15625","1.6875"
"1573591540229","45","-0.15722656","-0.98339844","-0.20898438","-1.0625","5.96875","2.0"
"1573591540230","46","-0.16308594","-0.98046875","-0.22265625","-3.5625","4.3125","1.8125"
"1573591540230","47","-0.14550781","-0.96875","-0.23046875","0.71875","1.5625","0.65625"
"1573591540230","48","-0.15234375","-0.97753906","-0.22363281","0.09375","2.1875","0.53125"
"1573591540230","49","-0.14746094","-0.984375","-0.22265625","0.15625","4.25","-0.75"
"1573591540822","50","-0.11816406","-0.9873047","-0.23535156","-1.59375","-1.1875","0.03125"
"1573591540822","51","-0.14941406","-1.0273438","-0.23144531","-6.125","-1.46875","1.5"
"1573591540822","52","-0.14355469","-0.97558594","-0.25195312","-1.3125","-1.46875","0.90625"
"1573591540823","53","-0.17382812","-1.0175781","-0.20800781","-0.375","-1.53125","-2.03125"
"1573591540823","54","-0.13769531","-0.9892578","-0.1953125","-2.8125","1.28125","-1.53125"
"1573591540823","55","-0.16699219","-0.9951172","-0.22460938","-2.28125","-4.21875","-1.3125"
"1573591540823","56","-0.14355469","-0.9394531","-0.22167969","-2.28125","-1.46875","-1.84375"
"1573591540824","57","-0.14160156","-0.95996094","-0.23828125","-2.09375","-0.1875","-2.53125"
"1573591540824","58","-0.14160156","-1.0039062","-0.24609375","-5.03125","-1.65625","-3.25"
"1573591540824","59","-0.15625","-0.98339844","-0.23925781","-7.65625","1.6875","-4.03125"
"1573591541024","60","-0.16015625","-0.9970703","-0.21289062","-5.25","-3.5","-3.375"
"1573591541025","61","-0.17089844","-0.9746094","-0.24609375","-2.625","-1.84375","-2.28125"
"1573591541026","62","-0.1484375","-0.94628906","-0.2529297","-5.03125","-2.21875","-1.90625"
"1573591541026","63","-0.14941406","-0.96972656","-0.2421875","1.28125","-0.5625","-3.375"
"1573591541026","64","-0.13769531","-0.96875","-0.25585938","-5.3125","1.8125","-3.625"
"1573591541027","65","-0.09765625","-1.015625","-0.22363281","-4.21875","-1.25","-1.46875"
"1573591541027","66","-0.14355469","-1.0068359","-0.24316406","-5.5625","-23.34375","-2.03125"
"1573591541027","67","-0.16601562","-0.98046875","-0.26367188","-4.65625","-16.6875","0.90625"
"1573591541027","68","-0.16894531","-0.9658203","-0.20214844","-8.75","0.59375","-1.96875"
"1573591541028","69","-0.14941406","-1.0029297","-0.25097656","2.5","-8.4375","-1.0625"
"1573591541422","70","-0.17480469","-0.96875","-0.23339844","0.96875","2.375","-2.21875"
"1573591541423","71","-0.16015625","-0.95703125","-0.22363281","1.5625","5.78125","-1.25"
"1573591541423","72","-0.17089844","-0.9394531","-0.20117188","4.875","5.53125","1.3125"
"1573591541424","73","-0.15625","-0.9296875","-0.22363281","3.65625","12.75","-1.1875"
"1573591541425","74","-0.103515625","-0.8984375","-0.24414062","0.40625","11.8125","-1.84375"
"1573591541425","75","-0.072265625","-0.9970703","-0.25","-4.09375","7.625","-3.1875"
"1573591541425","76","-0.12011719","-0.8671875","-0.203125","-0.9375","1.28125","-4.90625"
"1573591541426","77","-0.16015625","-0.92871094","-0.23925781","0.96875","-1.65625","3.78125"
"1573591541426","78","-0.15527344","-1.0078125","-0.21582031","10.46875","9.5625","0.53125"
"1573591541426","79","-0.17675781","-1.1025391","-0.19140625","10.90625","5.125","-0.8125"
"1573591541817","80","-0.18261719","-1.0224609","-0.171875","1.3125","11.03125","-0.8125"
"1573591541817","81","-0.14746094","-0.9794922","-0.20019531","-0.625","11.875","-1.34375"
"1573591541817","82","-0.125","-0.9511719","-0.20019531","8.28125","10.71875","-0.6875"
"1573591541818","83","-0.107421875","-0.9873047","-0.19824219","-3.75","10.84375","-1.34375"
"1573591541818","84","-0.10253906","-0.9814453","-0.23242188","-0.5625","0.65625","-0.6875"
"1573591541819","85","-0.123046875","-1.0126953","-0.21582031","-7.21875","5.53125","0.03125"
"1573591541819","86","-0.13769531","-1.0712891","-0.23242188","-5.15625","2.84375","-1.46875"
"1573591541819","87","-0.14746094","-1.0458984","-0.21972656","-2.9375","1.625","-1.71875"
"1573591541820","88","-0.1328125","-1.0585938","-0.22265625","-3.625","-1.34375","0.28125"
"1573591541820","89","-0.12792969","-1.0253906","-0.19433594","-3.0625","-4.65625","-1.53125"
"1573591542217","90","-0.15527344","-0.93652344","-0.19726562","-9.125","-8.8125","-1.78125"
"1573591542217","91","-0.15429688","-0.94921875","-0.21582031","-5.4375","0.71875","0.40625"
"1573591542218","92","-0.14355469","-0.9580078","-0.22070312","-3.4375","4.0","-0.125"
"1573591542218","93","-0.12890625","-1.0283203","-0.22851562","-3.0625","1.8125","0.28125"
"1573591542218","94","-0.13085938","-1.0146484","-0.21386719","-5.09375","0.21875","-1.34375"
"1573591542218","95","-0.13085938","-0.99609375","-0.22070312","-5.09375","-3.625","0.96875"
"1573591542219","96","-0.15136719","-0.9794922","-0.203125","-3.375","-2.03125","0.53125"
"1573591542220","97","-0.15136719","-0.94433594","-0.22753906","-1.1875","-2.28125","2.65625"
"1573591542221","98","-0.15234375","-0.9560547","-0.21679688","2.65625","1.6875","4.6875"
"1573591542221","99","-0.18554688","-0.9746094","-0.20800781","-7.46875","2.375","0.90625"
"1573591542613","100","-0.13085938","-0.97558594","-0.20898438","0.03125","2.96875","2.96875"
"1573591542614","101","-0.15722656","-0.97265625","-0.25","0.03125","0.78125","3.03125"
"1573591542614","102","-0.15429688","-0.9111328","-0.19824219","4.875","-0.5","3.46875"
"1573591542614","103","-0.15527344","-0.89941406","-0.23730469","6.875","-1.96875","5.40625"
"1573591542614","104","-0.12695312","-0.9716797","-0.22558594","6.5625","1.03125","5.59375"
"1573591542615","105","-0.15234375","-0.99316406","-0.19726562","6.34375","0.09375","7.0"
"1573591542615","106","-0.24609375","-1.1503906","-0.19335938","13.15625","10.90625","10.84375"
"1573591542615","107","-0.23046875","-1.0566406","-0.15332031","20.0625","7.8125","11.9375"
"1573591542616","108","-0.26464844","-0.9560547","-0.11816406","23.78125","-5.6875","19.8125"
"1573591542616","109","-0.21875","-0.9433594","-0.15625","23.65625","6.21875","17.75"
"1573591543011","110","-0.20117188","-0.9375","-0.15917969","19.9375","17.1875","14.3125"
"1573591543011","111","-0.17675781","-0.99609375","-0.14257812","18.0625","14.9375","12.375"
"1573591543012","112","-0.17773438","-0.99609375","-0.09082031","19.40625","0.15625","11.03125"
"1573591543012","113","-0.20605469","-1.0224609","-0.10058594","10.78125","-12.09375","11.59375"
"1573591543012","114","-0.2705078","-1.0048828","-0.09863281","7.3125","-12.34375","11.28125"
"1573591543012","115","-0.22949219","-0.93652344","-0.12792969","10.125","-0.6875","7.25"
"1573591543013","116","-0.27148438","-1.0039062","-0.12597656","4.0","1.4375","6.03125"
"1573591543013","117","-0.22460938","-0.9951172","-0.07910156","9.125","6.6875","0.90625"
"1573591543013","118","-0.21386719","-0.9951172","-0.119140625","-0.4375","0.96875","0.09375"
"1573591543013","119","-0.24511719","-0.9941406","-0.08203125","-0.1875","4.0625","-3.1875"
"1573591543407","120","-0.24316406","-0.99121094","-0.087890625","-1.34375","7.4375","-4.78125"
"1573591543408","121","-0.24414062","-0.9970703","-0.07714844","-2.03125","8.21875","-7.9375"
"1573591543409","122","-0.2265625","-0.9892578","-0.07910156","-6.96875","7.3125","-9.46875"
"1573591543409","123","-0.21191406","-0.9902344","-0.080078125","-2.46875","4.0625","-8.5625"
"1573591543409","124","-0.22949219","-0.9970703","-0.091796875","-10.9375","3.71875","-9.65625"
"1573591543409","125","-0.21582031","-0.984375","-0.080078125","-9.90625","3.65625","-10.34375"
"1573591543410","126","-0.22167969","-0.9921875","-0.09472656","-13.5","3.34375","-10.875"
"1573591543410","127","-0.22070312","-0.97558594","-0.10546875","-12.84375","3.65625","-9.96875"
"1573591543410","128","-0.21679688","-0.9863281","-0.10839844","-11.5625","5.28125","-8.5"
"1573591543410","129","-0.20605469","-0.98339844","-0.11328125","-6.4375","6.09375","-7.875"
"1573591543806","130","-0.19628906","-0.98828125","-0.115234375","-6.3125","4.8125","-7.21875"
"1573591543806","131","-0.20117188","-0.9863281","-0.11425781","-8.4375","6.40625","-7.40625"
"1573591543806","132","-0.1953125","-0.99609375","-0.12402344","-7.28125","2.5","-6.3125"
"1573591543808","133","-0.18164062","-0.99316406","-0.11035156","-6.84375","4.9375","-6.0625"
"1573591543808","134","-0.18164062","-0.97558594","-0.14160156","-11.71875","8.84375","-8.25"
"1573591543808","135","-0.171875","-0.99609375","-0.12792969","-1.90625","-0.5625","-5.625"
"1573591543808","136","-0.18652344","-0.984375","-0.15039062","-10.21875","4.1875","-5.9375"
"1573591543809","137","-0.16210938","-0.98046875","-0.13476562","-9.40625","5.1875","-5.9375"
"1573591543809","138","-0.16503906","-0.99902344","-0.14355469","-5.21875","2.59375","-5.03125"
"1573591543809","139","-0.16503906","-0.98828125","-0.15625","-6.5","2.3125","-5.25"
"1573591544205","140","-0.14941406","-0.9902344","-0.1640625","-5.5625","2.3125","-5.21875"
"1573591544206","141","-0.1484375","-0.9902344","-0.16308594","-5.8125","1.3125","-4.28125"
"1573591544206","142","-0.1484375","-0.984375","-0.16308594","-6.25","1.625","-4.53125"
"1573591544207","143","-0.13574219","-0.9951172","-0.16015625","-2.59375","0.96875","-4.34375"
"1573591544207","144","-0.14746094","-0.97753906","-0.15429688","5.0","-2.09375","-4.09375"
"1573591544207","145","-0.14355469","-0.99316406","-0.16796875","-7.34375","-5.9375","-2.34375"
