"# PR data"
"# Start time: 20191112T204100"
"# Subject: Adela"
"# Activity type: Knee extension"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573591260586","0","-0.123046875","-0.9951172","-0.09277344","1.125","0.53125","-1.125"
"1573591260587","1","-0.115234375","-0.984375","-0.08886719","0.25","-0.3125","-1.375"
"1573591260587","2","-0.11425781","-1.0009766","-0.08300781","4.46875","0.40625","-1.1875"
"1573591260587","3","-0.1171875","-0.9951172","-0.087890625","3.375","-0.75","-0.59375"
"1573591260587","4","-0.11328125","-1.0009766","-0.08300781","3.4375","-2.9375","0.40625"
"1573591260588","5","-0.1171875","-0.9921875","-0.078125","6.0625","-4.03125","1.6875"
"1573591260588","6","-0.12207031","-1.0029297","-0.08203125","4.90625","-4.09375","2.53125"
"1573591260588","7","-0.12011719","-1.0009766","-0.072265625","7.65625","-2.5625","1.96875"
"1573591260588","8","-0.11816406","-0.99316406","-0.0703125","9.96875","-2.28125","2.46875"
"1573591260588","9","-0.1171875","-1.0302734","-0.056640625","12.53125","-1.40625","3.25"
"1573591260984","10","-0.12109375","-1.0302734","-0.046875","2.34375","-1.96875","0.4375"
"1573591260984","11","-0.13769531","-0.99902344","-0.0390625","-4.5625","-4.46875","-3.5"
"1573591260985","12","-0.103515625","-0.9902344","-0.0625","9.71875","-0.75","0.09375"
"1573591260985","13","-0.099609375","-1.0126953","-0.06347656","10.75","-1.46875","1.375"
"1573591260985","14","-0.05859375","-1.0029297","-0.032226562","2.65625","-3.4375","3.875"
"1573591260986","15","-0.07421875","-1.0039062","-0.051757812","-2.90625","-9.96875","8.875"
"1573591260986","16","-0.15039062","-1.0029297","-0.056640625","-7.25","-7.75","9.375"
"1573591260986","17","-0.18652344","-0.9873047","-0.09667969","-1.21875","-6.0625","9.90625"
"1573591260986","18","-0.19140625","-1.015625","-0.0859375","2.40625","-2.375","6.6875"
"1573591260987","19","-0.16796875","-0.9814453","-0.08300781","6.0625","-0.4375","-0.09375"
"1573591261381","20","-0.15136719","-0.9873047","-0.07128906","8.6875","1.09375","-0.34375"
"1573591261382","21","-0.16894531","-1.0117188","-0.055664062","9.90625","6.65625","0.875"
"1573591261382","22","-0.19726562","-1.0039062","-0.04296875","10.625","16.15625","-4.84375"
"1573591261382","23","-0.17382812","-1.0009766","-0.048828125","16.6875","17.1875","-15.34375"
"1573591261383","24","-0.14160156","-1.03125","-0.0068359375","29.625","20.25","-16.9375"
"1573591261384","25","-0.087890625","-0.9941406","0.017578125","5.28125","21.90625","-15.65625"
"1573591261384","26","0.013671875","-0.94433594","0.0390625","15.6875","16.40625","-6.8125"
"1573591261385","27","-0.064453125","-1.0009766","-0.013671875","13.1875","9.5625","-1.75"
"1573591261385","28","-0.08203125","-1.03125","-0.045898438","-7.90625","-0.3125","6.90625"
"1573591261385","29","-0.076171875","-1.0253906","-0.052734375","2.53125","-8.4375","1.1875"
"1573591261780","30","-0.103515625","-1.0019531","-0.047851562","3.125","-12.65625","-1.875"
"1573591261780","31","-0.11328125","-0.984375","-0.033203125","5.3125","-14.90625","-1.8125"
"1573591261781","32","-0.12011719","-1.0136719","0.001953125","8.5625","-15.5625","-1.125"
"1573591261781","33","-0.103515625","-1.0087891","0.024414062","4.03125","-18.625","-0.84375"
"1573591261781","34","-0.09765625","-1.0039062","0.028320312","2.65625","-16.0","1.0625"
"1573591261781","35","-0.1171875","-1.0009766","0.028320312","2.6875","-12.78125","1.125"
"1573591261781","36","-0.12695312","-1.0205078","0.038085938","3.5625","-7.46875","1.25"
"1573591261783","37","-0.10449219","-1.0087891","0.0068359375","-6.4375","-1.53125","-3.8125"
"1573591261783","38","-0.11230469","-1.0166016","0.015625","-10.1875","0.59375","-8.8125"
"1573591261784","39","-0.08105469","-0.96777344","0.00390625","-14.21875","3.90625","-7.46875"
"1573591262177","40","-0.046875","-1.0166016","-0.009765625","-3.46875","2.90625","-2.40625"
"1573591262178","41","-0.06933594","-1.015625","-0.0234375","-10.3125","4.125","-2.1875"
"1573591262178","42","-0.07519531","-0.9765625","-0.043945312","-12.4375","3.53125","-1.8125"
"1573591262178","43","-0.07714844","-1.0029297","-0.045898438","-5.21875","-0.5625","0.5"
"1573591262178","44","-0.0859375","-1.0175781","-0.06640625","-5.71875","-1.09375","2.46875"
"1573591262179","45","-0.07714844","-1.0097656","-0.08105469","-8.90625","-3.5","2.21875"
"1573591262179","46","-0.091796875","-0.99902344","-0.080078125","-13.03125","-2.6875","0.6875"
"1573591262179","47","-0.091796875","-0.99121094","-0.09765625","-10.90625","-1.96875","0.75"
"1573591262179","48","-0.078125","-1.0","-0.1171875","-9.03125","-4.78125","1.375"
"1573591262181","49","-0.07324219","-1.0078125","-0.095703125","-4.5","-6.96875","0.6875"
