"# PR data"
"# Start time: 20191112T204911"
"# Subject: Adela"
"# Activity type: Shoulder press"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573591752095","0","-0.15039062","-1.0625","-0.17773438","-3.75","-7.65625","8.21875"
"1573591752096","1","-0.16894531","-0.96875","-0.13964844","-5.9375","-6.65625","-3.3125"
"1573591752096","2","-0.140625","-0.9589844","-0.17675781","11.65625","-5.25","-4.84375"
"1573591752097","3","-0.13378906","-1.0498047","-0.15136719","-4.84375","-0.8125","-3.5"
"1573591752097","4","-0.11035156","-0.9785156","-0.109375","-13.1875","0.71875","-8.5"
"1573591752097","5","-0.17382812","-0.99902344","-0.20410156","-19.0","-17.34375","1.3125"
"1573591752097","6","-0.16210938","-1.0097656","-0.19140625","-5.15625","-7.78125","-1.96875"
"1573591752098","7","-0.17382812","-0.9580078","-0.16308594","-2.15625","-0.0625","-4.15625"
"1573591752098","8","-0.16113281","-0.9941406","-0.16113281","-1.96875","3.84375","-3.3125"
"1573591752098","9","-0.12597656","-1.0009766","-0.16699219","0.0","7.0","-3.96875"
"1573591752492","10","-0.12109375","-1.0087891","-0.16601562","-6.53125","6.40625","-3.125"
"1573591752493","11","-0.10644531","-0.99609375","-0.15332031","-8.8125","3.9375","-3.3125"
"1573591752493","12","-0.13476562","-0.99121094","-0.18066406","-7.53125","0.21875","-2.09375"
"1573591752493","13","-0.15039062","-0.9892578","-0.1875","-3.4375","3.28125","-2.625"
"1573591752494","14","-0.1484375","-0.9824219","-0.17675781","-1.59375","4.875","-4.28125"
"1573591752494","15","-0.13671875","-1.0","-0.17871094","-2.09375","5.28125","-3.875"
"1573591752494","16","-0.107421875","-0.97558594","-0.16308594","1.5","10.1875","-4.21875"
"1573591752496","17","-0.13085938","-1.0273438","-0.19433594","-7.71875","5.96875","-2.46875"
"1573591752496","18","-0.1171875","-0.96777344","-0.15332031","-5.5625","3.03125","-1.84375"
"1573591752496","19","-0.1171875","-1.0039062","-0.20410156","-6.0","2.71875","-0.125"
"1573591752890","20","-0.1171875","-0.9785156","-0.16894531","-1.78125","9.1875","-3.125"
"1573591752890","21","-0.11035156","-0.99121094","-0.17578125","4.6875","5.0","-0.75"
"1573591752890","22","-0.107421875","-0.99902344","-0.1875","-0.9375","1.8125","0.03125"
"1573591752890","23","-0.10449219","-0.98828125","-0.1875","0.0","2.90625","0.53125"
"1573591752891","24","-0.11621094","-0.99121094","-0.18847656","-1.46875","0.59375","1.3125"
"1573591752892","25","-0.115234375","-0.99316406","-0.17675781","-1.78125","2.0","0.65625"
"1573591752892","26","-0.12792969","-0.98535156","-0.17773438","-6.4375","0.90625","-1.0625"
"1573591752892","27","-0.12207031","-0.99316406","-0.18554688","-3.0625","1.8125","0.0"
"1573591752893","28","-0.11035156","-0.9892578","-0.18847656","0.90625","-0.375","-0.875"
