"# PR data"
"# Start time: 20191114T222536"
"# Subject: Adela"
"# Activity type: Squats"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573770336426","0","-0.037109375","-1.0","-0.15917969","7.78125","-3.03125","-2.03125"
"1573770336427","1","-0.030273438","-1.0166016","-0.12402344","8.53125","1.5","-1.71875"
"1573770336427","2","-0.015625","-0.99121094","-0.13867188","3.75","-3.5625","-0.625"
"1573770336427","3","-0.040039062","-1.0214844","-0.1328125","15.96875","-0.34375","-3.4375"
"1573770336428","4","-0.029296875","-0.9941406","-0.119140625","3.21875","-1.375","-1.625"
"1573770336428","5","-0.02734375","-1.0048828","-0.12695312","12.375","-0.46875","-3.25"
"1573770336428","6","-0.033203125","-1.0058594","-0.107421875","8.9375","-0.65625","-2.21875"
"1573770336428","7","-0.016601562","-1.0068359","-0.1015625","7.5625","0.34375","-2.40625"
"1573770336428","8","-0.020507812","-1.0019531","-0.099609375","8.28125","0.40625","-2.15625"
"1573770336429","9","-0.020507812","-1.0097656","-0.09375","5.15625","0.6875","-1.375"
"1573770337019","10","-0.015625","-1.0029297","-0.08886719","3.59375","2.59375","-1.125"
"1573770337020","11","-0.01953125","-1.0","-0.08300781","-0.09375","3.125","-0.15625"
"1573770337020","12","-0.026367188","-0.9970703","-0.08105469","-2.53125","2.34375","0.34375"
"1573770337021","13","-0.0234375","-0.9902344","-0.09082031","-4.65625","0.8125","0.96875"
"1573770337022","14","-0.022460938","-0.9902344","-0.08496094","-4.28125","-1.0","0.65625"
"1573770337023","15","-0.0126953125","-1.0214844","-0.10546875","0.40625","8.21875","2.53125"
"1573770337023","16","9.765625E-4","-0.9951172","-0.08984375","-6.375","5.03125","1.25"
"1573770337023","17","-0.028320312","-1.0263672","-0.12597656","4.3125","-5.03125","-0.21875"
"1573770337023","18","-0.0234375","-1.0039062","-0.10058594","-1.53125","0.09375","1.4375"
"1573770337024","19","-0.025390625","-0.99902344","-0.10253906","3.28125","-2.1875","-1.1875"
"1573770337419","20","-0.030273438","-1.0058594","-0.11230469","1.3125","-1.5","-0.21875"
"1573770337419","21","-0.001953125","-1.0185547","-0.08886719","0.65625","-0.21875","0.59375"
"1573770337420","22","-0.0234375","-1.0029297","-0.09375","-0.6875","-0.9375","-0.03125"
