"# PR data"
"# Start time: 20191112T205450"
"# Subject: Adela"
"# Activity type: Step ups"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573592090964","0","-0.28125","-0.9248047","-0.28027344","-3.4375","-13.03125","0.96875"
"1573592090965","1","-0.18457031","-0.9082031","-0.2890625","1.625","-12.65625","0.78125"
"1573592090965","2","-0.19628906","-0.9550781","-0.28808594","-1.0625","-8.3125","-2.6875"
"1573592090966","3","-0.23339844","-0.96777344","-0.23535156","-8.9375","-13.6875","0.09375"
"1573592090966","4","-0.20605469","-0.9238281","-0.33789062","-16.0625","-12.46875","-1.40625"
"1573592090966","5","-0.16308594","-1.0166016","-0.27539062","17.5","-24.3125","2.5625"
"1573592090966","6","-0.20214844","-0.94628906","-0.2705078","23.59375","-16.875","-6.125"
"1573592090967","7","-0.18066406","-0.92578125","-0.24414062","10.78125","-5.9375","-9.0625"
"1573592090967","8","-0.15820312","-0.87597656","-0.095703125","12.0","-6.4375","-5.09375"
"1573592090967","9","-0.4794922","-0.9638672","-0.25195312","-34.625","20.5625","8.46875"
"1573592091362","10","-0.07519531","-1.0566406","-0.2890625","1.28125","-1.40625","-13.5"
"1573592091362","11","-0.14453125","-0.89453125","0.061523438","23.90625","-8.8125","-10.8125"
"1573592091362","12","-0.2998047","-0.96875","-0.23535156","-0.25","-17.34375","-3.75"
"1573592091363","13","-0.18945312","-1.0068359","-0.14550781","14.5625","-18.5625","-6.53125"
"1573592091364","14","-0.22460938","-0.96972656","-0.10644531","18.0","-20.28125","-7.9375"
"1573592091364","15","-0.26464844","-0.9560547","-0.15820312","10.0","-19.59375","-4.53125"
"1573592091364","16","-0.17285156","-0.93847656","-0.20117188","21.03125","-12.84375","-2.15625"
"1573592091365","17","-0.18652344","-1.0947266","-0.20214844","31.125","-6.125","-0.8125"
"1573592091365","18","-0.18847656","-1.0625","-0.12792969","14.5","5.0","-4.46875"
"1573592091365","19","-0.13671875","-0.9550781","-0.0625","19.75","-16.8125","-10.09375"
"1573592091759","20","-0.13867188","-0.94628906","-0.09472656","8.40625","-22.65625","0.65625"
"1573592091760","21","-0.22363281","-1.0693359","-0.17578125","-2.6875","-9.65625","1.75"
"1573592091760","22","-0.27441406","-1.1240234","-0.09375","13.0","-1.96875","6.6875"
"1573592091760","23","-0.33691406","-1.2744141","-0.1171875","-1.65625","-2.03125","7.125"
"1573592091761","24","-0.1875","-1.0859375","-0.123046875","11.34375","-17.65625","1.75"
"1573592091762","25","-0.28125","-1.0751953","-0.14257812","10.0","-6.53125","24.71875"
"1573592091762","26","-0.3720703","-1.3496094","0.0078125","51.6875","4.0625","15.5"
"1573592091762","27","-0.33789062","-1.0244141","0.14355469","43.3125","13.96875","18.34375"
"1573592091762","28","-0.29003906","-0.70996094","0.24414062","35.875","-4.34375","27.03125"
"1573592091763","29","-0.40429688","-0.8984375","0.20605469","47.65625","2.90625","35.6875"
"1573592092157","30","-0.35742188","-1.0800781","0.2890625","31.28125","4.25","8.21875"
"1573592092158","31","-0.26171875","-0.8847656","0.3544922","22.75","-31.15625","-7.03125"
"1573592092158","32","-0.31835938","-0.9628906","0.20703125","-3.8125","-48.78125","2.5"
"1573592092158","33","-0.31835938","-0.94140625","0.14160156","-27.71875","-24.0625","1.5"
"1573592092159","34","-0.30078125","-0.7783203","0.17578125","-23.8125","-21.8125","1.75"
"1573592092159","35","-0.25","-0.7861328","0.16699219","-14.71875","-29.6875","-0.6875"
"1573592092159","36","-0.2607422","-0.8339844","0.20898438","-8.1875","-21.875","-3.125"
"1573592092160","37","-0.33007812","-0.94628906","0.21289062","-16.4375","-15.625","-8.0625"
"1573592092161","38","-0.2685547","-0.9238281","0.19433594","-17.96875","-13.3125","-17.40625"
"1573592092161","39","-0.25878906","-0.89453125","0.11425781","-29.4375","-13.125","-15.40625"
"1573592092556","40","-0.3046875","-0.9902344","0.12207031","-37.5625","1.5","-21.25"
"1573592092557","41","-0.21777344","-0.8251953","0.095703125","-27.90625","4.625","-22.59375"
"1573592092557","42","-0.22167969","-0.93359375","0.0546875","-18.3125","3.03125","-14.71875"
"1573592092557","43","-0.21972656","-0.9609375","0.099609375","-9.34375","8.15625","-16.625"
"1573592092558","44","-0.19433594","-0.91503906","0.043945312","-19.0625","14.09375","-12.90625"
"1573592092558","45","-0.17480469","-0.9785156","0.030273438","-17.53125","16.34375","-9.34375"
"1573592092558","46","-0.15429688","-0.96484375","0.026367188","-17.46875","15.5","-9.21875"
"1573592092558","47","-0.18359375","-0.94628906","0.0048828125","-19.0","18.34375","-4.15625"
"1573592092559","48","-0.19042969","-0.9501953","0.03125","-15.8125","18.90625","-1.46875"
"1573592092560","49","-0.19433594","-0.9501953","0.025390625","-15.9375","16.09375","-0.1875"
"1573592092952","50","-0.18847656","-0.9902344","0.001953125","-17.40625","29.34375","-1.78125"
"1573592092953","51","-0.19726562","-1.0273438","-0.048828125","-21.375","37.09375","-3.875"
"1573592092953","52","-0.23242188","-1.0625","-0.0546875","-28.09375","49.71875","-5.15625"
"1573592092953","53","-0.20410156","-1.1035156","-0.08105469","-27.25","37.53125","-15.53125"
"1573592092954","54","-0.17871094","-0.8730469","-0.1015625","-20.15625","29.9375","-11.25"
"1573592092954","55","-0.16210938","-0.8857422","-0.125","-6.3125","26.0","-8.1875"
"1573592092954","56","-0.13183594","-1.0722656","-0.036132812","19.6875","32.5625","-1.25"
"1573592092954","57","-0.15136719","-0.9951172","-0.12402344","-0.6875","32.09375","-9.84375"
"1573592092955","58","-0.21679688","-0.9345703","-0.12109375","-13.125","38.5","3.71875"
"1573592092955","59","-0.17578125","-0.9433594","-0.1328125","-5.5","36.59375","10.25"
"1573592093351","60","-0.203125","-0.9394531","-0.140625","7.5","36.78125","10.46875"
"1573592093352","61","-0.265625","-0.94140625","-0.16992188","10.90625","41.1875","11.8125"
"1573592093353","62","-0.22949219","-0.8955078","-0.11425781","8.84375","34.90625","17.75"
"1573592093353","63","-0.06542969","-1.0546875","-0.20019531","4.0","15.84375","23.125"
"1573592093353","64","-0.08496094","-1.1171875","-0.14746094","1.75","12.1875","7.375"
"1573592093353","65","-0.19140625","-0.9667969","-0.1640625","14.21875","4.0625","7.8125"
"1573592093353","66","-0.1171875","-1.0683594","-0.09472656","10.84375","5.59375","5.59375"
"1573592093354","67","-0.3125","-0.9892578","-0.09765625","-5.09375","19.15625","-6.0625"
"1573592093354","68","-0.32226562","-0.97265625","-0.1171875","-1.96875","11.875","7.25"
"1573592093354","69","-0.19824219","-0.9765625","-0.111328125","1.6875","14.15625","5.0"
"1573592093747","70","-0.23632812","-0.9794922","-0.17480469","-3.96875","11.21875","5.59375"
"1573592093748","71","-0.22753906","-0.9873047","-0.12109375","-6.1875","15.375","6.875"
"1573592093748","72","-0.28125","-0.95703125","-0.10253906","-8.0","7.84375","6.6875"
"1573592093749","73","-0.2861328","-0.95214844","-0.10253906","-3.90625","-2.9375","12.75"
"1573592093749","74","-0.3173828","-0.9863281","-0.17285156","-3.125","2.59375","16.28125"
"1573592093749","75","-0.2578125","-0.9785156","-0.15527344","-8.6875","13.53125","13.40625"
"1573592093749","76","-0.24316406","-0.91503906","-0.061523438","-1.53125","4.625","12.5"
"1573592093750","77","-0.3095703","-0.8486328","-0.08496094","10.96875","-11.25","15.5625"
"1573592093750","78","-0.31054688","-0.80859375","-0.052734375","4.9375","-11.5625","18.40625"
"1573592093751","79","-0.37695312","-0.7548828","-0.076171875","3.28125","-6.0625","20.8125"
"1573592094144","80","-0.39160156","-0.7402344","-0.09667969","-5.375","12.6875","18.125"
"1573592094145","81","-0.3642578","-0.76171875","-0.07910156","15.0","2.4375","25.1875"
"1573592094145","82","-0.31445312","-0.7324219","-0.052734375","24.28125","-18.8125","26.34375"
"1573592094145","83","-0.4765625","-0.6298828","0.053710938","18.125","-10.28125","16.28125"
"1573592094146","84","-0.37402344","-0.6591797","-0.0234375","8.09375","-6.5","6.21875"
"1573592094146","85","-0.40234375","-0.5996094","0.036132812","9.09375","-5.8125","0.40625"
"1573592094146","86","-0.34570312","-0.59277344","-0.040039062","12.5625","-14.78125","-5.375"
"1573592094147","87","-0.25976562","-0.97558594","0.09375","26.0","-29.8125","-22.90625"
"1573592094147","88","-0.7216797","-1.7744141","-0.01171875","14.625","5.0625","-32.96875"
"1573592094148","89","-0.14453125","-1.4736328","0.20898438","-5.875","-47.375","-49.9375"
"1573592094542","90","-0.36914062","-1.5576172","-0.12792969","-50.5","-19.1875","-20.40625"
"1573592094543","91","-0.7080078","-1.6679688","-0.15332031","-20.21875","39.46875","-11.5625"
"1573592094543","92","0.18066406","-1.2685547","-0.19433594","-22.96875","-33.28125","-23.75"
"1573592094543","93","-0.032226562","-1.0761719","-0.14355469","-35.21875","-44.21875","-19.4375"
"1573592094544","94","-0.40234375","-0.75683594","-0.0107421875","6.09375","-4.90625","0.0"
"1573592094544","95","-0.13769531","-0.70214844","-0.0029296875","37.09375","-10.34375","4.0625"
"1573592094544","96","-0.025390625","-0.8017578","-0.044921875","26.0","-18.5625","-8.3125"
"1573592094546","97","-0.23339844","-0.9785156","-0.056640625","21.34375","7.5","-16.125"
"1573592094546","98","-0.15722656","-1.0068359","0.11035156","9.5625","9.9375","-25.84375"
"1573592094546","99","-0.10644531","-0.9892578","0.03515625","-12.71875","-17.53125","-22.71875"
"1573592094939","100","-0.10644531","-0.9970703","-0.040039062","-19.1875","-2.21875","-16.5625"
