"# PR data"
"# Start time: 20191112T205610"
"# Subject: Adela"
"# Activity type: Walking"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573592170265","0","-0.119140625","-0.93359375","-0.024414062","6.625","-74.71875","-0.375"
"1573592170266","1","-0.09082031","-0.9921875","0.044921875","12.3125","-67.34375","-9.65625"
"1573592170266","2","-0.12890625","-0.9902344","0.11035156","2.0","-70.625","-8.125"
"1573592170267","3","-0.25878906","-1.0615234","-0.005859375","-10.03125","-57.28125","-8.0"
"1573592170267","4","-0.30664062","-1.0751953","-0.078125","-4.84375","-41.15625","-10.75"
"1573592170267","5","-0.16308594","-0.9423828","0.0068359375","-5.5625","-44.3125","1.5625"
"1573592170267","6","-0.1640625","-1.0107422","-0.01171875","-8.125","-15.46875","-5.8125"
"1573592170268","7","-0.068359375","-0.96875","0.016601562","9.09375","-27.40625","-4.03125"
"1573592170268","8","-0.07324219","-0.99902344","0.021484375","-3.75","-27.34375","-3.125"
"1573592170272","9","-0.12402344","-1.0117188","0.041992188","-10.625","-22.65625","-7.875"
"1573592170465","10","-0.16210938","-0.98535156","-0.001953125","-11.78125","-19.84375","-2.875"
"1573592170465","11","-0.16210938","-1.0166016","-0.049804688","-13.03125","-10.8125","-1.0625"
"1573592170465","12","-0.13574219","-1.0058594","-0.057617188","-7.46875","-6.0","-0.5"
"1573592170467","13","-0.107421875","-0.99902344","-0.044921875","-0.75","-14.84375","3.34375"
"1573592170467","14","-0.12597656","-0.9863281","-0.043945312","0.15625","-16.125","4.6875"
"1573592170468","15","-0.11035156","-0.9970703","-0.025390625","0.40625","-12.96875","5.34375"
"1573592170468","16","-0.1171875","-1.0126953","-0.029296875","-4.28125","-11.625","3.46875"
"1573592170468","17","-0.12695312","-1.0205078","-0.03515625","-4.34375","-9.21875","3.03125"
"1573592170468","18","-0.14550781","-1.0244141","-0.048828125","-9.0","-8.6875","2.96875"
"1573592170469","19","-0.13476562","-1.0097656","-0.045898438","-7.03125","-9.15625","0.96875"
"1573592171062","20","-0.1015625","-0.95996094","-0.041992188","1.03125","-10.75","-0.1875"
"1573592171063","21","-0.13964844","-1.0039062","-0.040039062","-8.0","-17.71875","-3.375"
"1573592171063","22","-0.12402344","-1.0009766","-0.013671875","-4.71875","-18.15625","-4.71875"
"1573592171063","23","-0.15820312","-1.0166016","-0.064453125","-9.84375","-24.5625","-2.59375"
"1573592171064","24","-0.13183594","-1.0107422","-0.038085938","-10.21875","-24.0","-3.0"
"1573592171065","25","-0.171875","-0.98535156","-0.02734375","-11.125","-19.90625","-2.625"
"1573592171065","26","-0.18066406","-1.0019531","-0.044921875","-7.875","-16.0","-1.0"
"1573592171065","27","-0.16601562","-0.9970703","-0.056640625","-13.3125","-14.34375","-1.40625"
"1573592171066","28","-0.17675781","-0.9667969","-0.01953125","-11.6875","-13.4375","-0.375"
"1573592171066","29","-0.23730469","-0.9433594","-0.0078125","-12.59375","-15.46875","1.3125"
