"# PR data"
"# Start time: 20191120T143431"
"# Subject: aggie"
"# Activity type: Squats"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574260471930","0","-0.33203125","-1.0068359","0.030273438","16.59375","-11.78125","-4.71875"
"1574260471931","1","-0.1640625","-0.98828125","0.0146484375","31.78125","-11.84375","-11.6875"
"1574260471931","2","-0.091796875","-0.93847656","0.0546875","26.09375","-6.3125","-20.34375"
"1574260471932","3","-0.12792969","-1.0078125","0.046875","9.25","16.53125","-27.125"
"1574260471932","4","-0.14550781","-0.9951172","0.061523438","12.625","39.46875","-26.0625"
"1574260471932","5","-0.22265625","-0.9189453","0.09375","6.46875","47.53125","-16.6875"
"1574260471932","6","-0.09765625","-1.2021484","-0.1015625","-0.625","19.875","-8.75"
"1574260471933","7","-0.19042969","-1.2167969","-0.13671875","-26.9375","12.1875","-7.875"
"1574260471933","8","-0.21386719","-0.8173828","-0.15234375","-36.625","-19.125","6.46875"
"1574260471933","9","-0.22265625","-0.83496094","-0.17871094","-15.34375","-11.96875","20.125"
"1574260472132","10","-0.35058594","-1.0039062","-0.20996094","-15.40625","-9.0","13.71875"
"1574260472132","11","-0.3466797","-1.0078125","-0.15820312","-7.8125","1.9375","16.90625"
"1574260472132","12","-0.24609375","-0.98339844","-0.111328125","-2.03125","0.96875","19.875"
"1574260472136","13","-0.38085938","-0.9921875","-0.01953125","-2.53125","12.0","12.0625"
"1574260472136","14","-0.2421875","-0.9824219","-0.125","10.46875","18.71875","10.0625"
"1574260472136","15","-0.078125","-0.93359375","-0.022460938","16.15625","20.1875","-16.3125"
"1574260472137","16","-0.24316406","-0.9628906","-0.0048828125","12.625","10.46875","-16.375"
"1574260472137","17","-0.19433594","-0.984375","-0.038085938","3.40625","18.125","-13.8125"
"1574260472137","18","-0.125","-0.9736328","-0.041992188","2.96875","9.8125","-12.78125"
"1574260472137","19","-0.107421875","-1.0859375","-0.080078125","-1.46875","-6.0625","-12.59375"
"1574260472727","20","-0.26953125","-1.0058594","-0.060546875","-6.1875","-2.40625","-5.5"
"1574260472728","21","-0.16015625","-1.0205078","-0.10449219","4.5","-16.375","4.6875"
"1574260472728","22","-0.24511719","-0.9580078","-0.059570312","7.0625","-20.28125","-3.3125"
"1574260472728","23","-0.25878906","-0.8652344","-0.07519531","12.8125","-13.125","-2.28125"
"1574260472729","24","-0.2861328","-1.0556641","-0.0107421875","-0.5","3.9375","-8.3125"
"1574260472730","25","-0.15039062","-0.9941406","0.0048828125","7.90625","8.90625","-7.78125"
"1574260472730","26","-0.091796875","-0.97558594","-0.052734375","2.65625","-0.5625","-20.15625"
"1574260472730","27","-0.14160156","-0.9921875","-0.07324219","-11.96875","4.125","-16.6875"
"1574260472730","28","-0.12792969","-0.953125","-0.078125","-18.3125","-0.9375","-8.5"
"1574260472731","29","-0.13085938","-0.9980469","-0.07910156","-10.875","-2.625","0.40625"
"1574260472928","30","-0.18652344","-0.984375","-0.11328125","-13.03125","3.9375","4.75"
"1574260472928","31","-0.2109375","-0.9892578","-0.12402344","-10.40625","8.40625","3.65625"
"1574260472929","32","-0.171875","-0.95410156","-0.099609375","-1.53125","2.0625","0.65625"
"1574260472929","33","-0.15527344","-1.0078125","-0.08300781","-2.6875","-4.65625","0.53125"
"1574260472929","34","-0.18261719","-1.0078125","-0.087890625","-2.59375","-4.53125","3.90625"
"1574260472930","35","-0.20019531","-0.9560547","-0.10253906","-2.40625","-2.46875","2.4375"
"1574260472930","36","-0.18066406","-1.0126953","-0.08984375","1.4375","-1.53125","2.125"
"1574260472930","37","-0.17285156","-0.9794922","-0.080078125","-5.21875","3.28125","2.71875"
"1574260472931","38","-0.20898438","-0.9824219","-0.091796875","-1.25","4.25","0.46875"
"1574260472931","39","-0.18261719","-0.9902344","-0.08496094","4.0","3.90625","-0.1875"
"1574260473325","40","-0.19335938","-0.9970703","-0.0859375","3.03125","2.3125","-3.0"
"1574260473325","41","-0.18066406","-0.9902344","-0.08496094","0.34375","3.78125","-3.8125"
"1574260473326","42","-0.1953125","-0.9892578","-0.08691406","-1.1875","0.15625","-1.78125"
"1574260473326","43","-0.18554688","-0.98535156","-0.083984375","-1.53125","2.1875","-0.9375"
"1574260473326","44","-0.19628906","-0.99121094","-0.078125","-1.25","1.6875","-1.1875"
"1574260473326","45","-0.2421875","-0.98339844","-0.07324219","-6.25","1.8125","0.53125"
"1574260473327","46","-0.24023438","-0.98828125","-0.103515625","-8.6875","5.71875","-2.03125"
"1574260473327","47","-0.080078125","-1.03125","-0.18652344","-9.96875","-3.5625","1.625"
