"# PR data"
"# Start time: 20191120T144556"
"# Subject: aggie"
"# Activity type: Walking"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574261157026","0","-0.0048828125","-0.99609375","-0.19921875","-10.625","22.3125","-4.71875"
"1574261157027","1","-0.064453125","-1.0625","-0.19726562","-7.09375","31.46875","3.21875"
"1574261157027","2","0.041015625","-0.9511719","-0.15234375","4.5625","31.1875","-4.53125"
"1574261157027","3","-0.032226562","-0.9433594","-0.16308594","-1.3125","18.46875","-4.09375"
"1574261157027","4","-0.0703125","-0.96972656","-0.2265625","-4.65625","11.09375","-3.6875"
"1574261157028","5","-0.0859375","-0.93359375","-0.25878906","-0.5625","9.09375","2.5625"
"1574261157028","6","-0.15136719","-0.9091797","-0.25976562","-1.59375","12.3125","12.5"
"1574261157028","7","-0.115234375","-0.9501953","-0.28027344","-1.90625","22.9375","16.9375"
"1574261157028","8","-0.013671875","-1.0673828","-0.3173828","-0.6875","22.6875","3.90625"
"1574261157029","9","-0.048828125","-1.0439453","-0.30566406","-10.4375","16.21875","-0.1875"
"1574261157619","10","-0.025390625","-0.9736328","-0.3359375","-10.34375","13.90625","-2.09375"
"1574261157620","11","-0.0048828125","-1.0146484","-0.3623047","-9.65625","13.65625","-3.96875"
"1574261157620","12","-0.041992188","-0.96484375","-0.33398438","-9.28125","10.3125","-4.59375"
"1574261157622","13","-0.047851562","-0.9794922","-0.32617188","-7.09375","7.1875","-4.71875"
"1574261157622","14","-0.06640625","-0.9794922","-0.3466797","-9.65625","3.40625","-0.3125"
"1574261157622","15","-0.0390625","-0.9501953","-0.36328125","-12.46875","6.03125","4.4375"
"1574261157622","16","-0.048828125","-0.97265625","-0.34570312","-9.84375","6.9375","3.65625"
"1574261157623","17","-0.041015625","-1.0029297","-0.2939453","-1.34375","11.34375","4.0"
"1574261157626","18","-0.0546875","-0.96972656","-0.27441406","-3.25","12.6875","1.3125"
"1574261157626","19","-0.07421875","-0.9511719","-0.26464844","0.96875","7.8125","4.75"
"1574261157820","20","-0.068359375","-0.9345703","-0.30371094","-2.53125","3.15625","6.5625"
"1574261157820","21","-0.076171875","-0.9453125","-0.29882812","-3.3125","11.34375","5.90625"
"1574261157820","22","-0.07519531","-0.9716797","-0.29296875","-2.09375","21.53125","6.03125"
"1574261157821","23","-0.078125","-0.9941406","-0.27734375","2.375","21.40625","7.375"
"1574261157821","24","-0.095703125","-0.98339844","-0.27441406","2.5625","25.3125","9.375"
"1574261157822","25","-0.11425781","-0.99121094","-0.27441406","-1.59375","29.9375","14.8125"
"1574261157822","26","-0.12011719","-0.9892578","-0.26757812","-2.15625","36.90625","19.15625"
"1574261157823","27","-0.09277344","-0.97265625","-0.28515625","-3.5","39.90625","23.1875"
"1574261157823","28","-0.10253906","-0.9316406","-0.3076172","1.4375","39.78125","24.75"
"1574261157823","29","-0.14257812","-0.88671875","-0.3642578","-1.125","39.0","28.125"
"1574261158218","30","-0.20214844","-1.0449219","-0.38671875","-7.09375","42.71875","23.4375"
"1574261158219","31","-0.18359375","-0.9091797","-0.30859375","-1.1875","42.21875","14.21875"
"1574261158219","32","-0.18945312","-0.91796875","-0.3125","15.1875","36.4375","18.78125"
"1574261158219","33","-0.20019531","-0.9316406","-0.3359375","10.71875","55.03125","16.21875"
"1574261158219","34","-0.13769531","-0.9550781","-0.31054688","18.125","61.5","15.84375"
"1574261158220","35","-0.1796875","-0.96875","-0.28515625","19.625","59.0625","17.875"
