"# PR data"
"# Start time: 20191120T143641"
"# Subject: aggie"
"# Activity type: Heel raises"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574260601717","0","-0.20996094","-0.9785156","-0.11230469","14.375","11.53125","-7.09375"
"1574260601718","1","-0.16796875","-1.0087891","-0.091796875","8.59375","15.65625","-10.40625"
"1574260601718","2","-0.17578125","-1.0136719","-0.059570312","6.8125","10.84375","-11.25"
"1574260601718","3","-0.16015625","-0.9824219","-0.029296875","5.0625","4.0","-11.625"
"1574260601718","4","-0.1484375","-0.9580078","-0.030273438","5.96875","-5.5","-9.71875"
"1574260601719","5","-0.12402344","-0.98828125","0.0048828125","15.3125","4.0625","-0.5625"
"1574260601719","6","0.056640625","-1.0175781","-0.005859375","22.09375","-12.84375","7.5"
"1574260601719","7","0.0048828125","-0.98046875","0.041992188","3.53125","-4.71875","4.375"
"1574260601719","8","-0.18164062","-1.0068359","-0.034179688","-4.59375","11.21875","3.90625"
"1574260601719","9","-0.15625","-1.0234375","-0.0625","-5.75","24.15625","4.5625"
"1574260601916","10","-0.030273438","-1.0175781","0.013671875","-0.875","18.84375","2.25"
"1574260601916","11","-0.033203125","-1.0439453","0.051757812","6.6875","7.25","-2.875"
"1574260601917","12","-0.041015625","-0.9863281","-0.001953125","-1.3125","3.46875","8.21875"
"1574260601917","13","-0.047851562","-0.96191406","-0.018554688","-16.875","3.65625","8.34375"
"1574260601917","14","-0.13476562","-1.0175781","-0.037109375","-13.25","6.875","2.3125"
"1574260601918","15","-0.20996094","-1.0400391","-0.07421875","-17.96875","10.53125","-2.28125"
"1574260601918","16","-0.18457031","-0.9736328","-0.07421875","-15.28125","9.5","-0.8125"
"1574260601919","17","-0.15722656","-0.9765625","-0.07324219","-8.3125","11.875","-4.40625"
"1574260601919","18","-0.14257812","-0.9892578","-0.08691406","-6.53125","9.875","-6.0625"
"1574260601919","19","-0.13769531","-1.0195312","-0.109375","-5.21875","10.78125","-4.96875"
"1574260602314","20","-0.109375","-0.9824219","-0.11816406","-4.28125","6.75","-2.21875"
"1574260602315","21","-0.12695312","-0.9765625","-0.111328125","-5.8125","-4.53125","1.6875"
"1574260602315","22","-0.16796875","-0.98339844","-0.09667969","-4.96875","-5.5","2.3125"
"1574260602316","23","-0.19140625","-0.97265625","-0.11328125","-3.96875","-4.09375","3.90625"
"1574260602316","24","-0.14160156","-1.0","-0.13085938","-3.5625","-4.46875","3.46875"
"1574260602317","25","-0.13769531","-1.0","-0.13183594","-7.03125","-8.3125","4.0"
"1574260602320","26","-0.15722656","-1.0009766","-0.11816406","-10.4375","-12.15625","0.0"
"1574260602320","27","-0.15820312","-1.0214844","-0.12402344","-8.25","-10.28125","-3.3125"
"1574260602321","28","-0.16015625","-0.9980469","-0.09863281","-11.125","-5.375","-8.3125"
"1574260602321","29","-0.16992188","-0.98339844","-0.10546875","-10.03125","-6.65625","-7.9375"
"1574260602712","30","-0.17089844","-0.99609375","-0.12402344","-9.90625","-6.78125","-5.09375"
"1574260602712","31","-0.17773438","-0.9873047","-0.12792969","-9.0625","-0.0625","-3.3125"
"1574260602712","32","-0.171875","-0.984375","-0.15527344","-7.03125","7.84375","-1.71875"
"1574260602713","33","-0.14355469","-0.98046875","-0.17773438","-1.46875","11.46875","-3.75"
"1574260602713","34","-0.11816406","-1.0087891","-0.19238281","10.1875","14.875","-5.625"
"1574260602713","35","-0.12792969","-0.99316406","-0.15429688","14.15625","28.375","-8.875"
"1574260602713","36","-0.11230469","-1.0009766","-0.12011719","6.8125","33.3125","-9.84375"
"1574260602714","37","-0.13476562","-0.99609375","-0.115234375","1.875","20.0625","-8.4375"
"1574260602715","38","-0.11328125","-0.99609375","-0.11230469","-2.34375","12.6875","-6.0"
"1574260602715","39","-0.103515625","-0.9873047","-0.11425781","4.0","3.65625","-6.71875"
"1574260603505","40","-0.125","-1.0019531","-0.10449219","1.8125","5.90625","-6.90625"
"1574260603506","41","-0.10253906","-0.9970703","-0.10644531","2.5625","7.25","-6.90625"
"1574260603506","42","-0.1171875","-0.99316406","-0.11621094","3.46875","0.03125","-5.625"
"1574260603506","43","-0.07910156","-1.015625","-0.099609375","3.09375","2.71875","-5.6875"
"1574260603507","44","-0.109375","-0.9941406","-0.103515625","2.375","2.65625","-6.65625"
"1574260603508","45","-0.09863281","-0.9921875","-0.09472656","-0.25","4.1875","-5.375"
"1574260603508","46","-0.0625","-1.0068359","-0.11230469","2.4375","2.90625","-4.28125"
"1574260603509","47","-0.0625","-1.015625","-0.09863281","0.71875","0.03125","-2.09375"
"1574260603509","48","-0.06933594","-1.0097656","-0.083984375","2.0","-2.6875","-0.625"
"1574260603510","49","-0.083984375","-1.0019531","-0.08496094","4.375","-7.09375","0.53125"
"1574260603899","50","-0.09082031","-0.9941406","-0.08203125","1.28125","-8.25","0.40625"
"1574260603900","51","-0.1015625","-1.0","-0.060546875","-2.53125","-7.46875","-1.0625"
"1574260603900","52","-0.07910156","-1.0058594","-0.07910156","2.3125","-8.125","-0.4375"
"1574260603900","53","-0.07910156","-0.9970703","-0.08300781","-1.71875","-7.65625","-1.78125"
"1574260603900","54","-0.08496094","-0.9980469","-0.09375","1.375","-7.9375","0.34375"
"1574260603901","55","-0.08300781","-0.98828125","-0.083984375","0.09375","-3.5625","0.46875"
"1574260603901","56","-0.05859375","-0.97558594","-0.08886719","-0.8125","-0.25","1.75"
"1574260603901","57","-0.056640625","-0.97265625","-0.13378906","0.96875","-6.53125","2.5"
"1574260603901","58","-0.046875","-1.0566406","-0.14453125","-3.375","-5.9375","0.46875"
"1574260603901","59","-0.055664062","-0.9892578","-0.15527344","-8.0625","1.6875","2.84375"
"1574260603903","60","-0.1015625","-1.0380859","-0.18945312","-16.8125","9.1875","5.78125"
"1574260603905","61","-0.064453125","-1.0068359","-0.20898438","-16.9375","10.78125","3.21875"
"1574260603906","62","-0.048828125","-1.0087891","-0.17382812","-8.625","12.6875","-2.625"
"1574260603906","63","-0.078125","-1.0693359","-0.115234375","-3.875","17.375","-5.875"
"1574260603906","64","-0.140625","-1.0693359","-0.09765625","-4.59375","23.90625","-5.4375"
"1574260603907","65","-0.15234375","-1.109375","-0.10546875","-1.0","25.3125","-1.34375"
"1574260603907","66","-0.08886719","-1.0908203","-0.13574219","-7.71875","22.75","2.1875"
"1574260603907","67","-0.1171875","-1.0390625","-0.123046875","-2.21875","16.59375","3.53125"
"1574260603907","68","-0.109375","-0.9863281","-0.11816406","1.09375","13.03125","4.3125"
"1574260603907","69","-0.099609375","-0.9394531","-0.09765625","2.125","14.375","2.84375"
"1574260604501","70","-0.08496094","-0.91308594","-0.060546875","3.46875","11.9375","2.84375"
"1574260604501","71","-0.08691406","-0.9404297","-0.09277344","3.71875","5.90625","2.5"
"1574260604502","72","-0.11425781","-1.0058594","-0.107421875","3.53125","4.0","4.375"
"1574260604503","73","-0.13867188","-1.0117188","-0.103515625","1.5625","0.03125","3.78125"
"1574260604503","74","-0.119140625","-1.0244141","-0.10253906","2.125","-2.34375","1.75"
"1574260604503","75","-0.125","-0.99902344","-0.09375","1.03125","-4.15625","2.90625"
"1574260604503","76","-0.15039062","-0.9628906","-0.095703125","-0.125","-12.09375","3.03125"
"1574260604504","77","-0.14746094","-0.984375","-0.099609375","2.0625","-9.71875","3.34375"
"1574260604504","78","-0.14257812","-1.0029297","-0.11035156","-7.15625","-2.875","0.53125"
"1574260604504","79","-0.13867188","-1.0195312","-0.09082031","-6.25","-2.6875","0.09375"
"1574260605291","80","-0.15039062","-0.9746094","-0.11035156","-5.25","-6.3125","0.90625"
"1574260605291","81","-0.15234375","-0.92285156","-0.099609375","-5.9375","-2.09375","1.3125"
"1574260605292","82","-0.11425781","-0.9238281","-0.09082031","-1.1875","-0.75","1.21875"
