"# PR data"
"# Start time: 20191120T144100"
"# Subject: aggie"
"# Activity type: Wall push offs"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574260860290","0","-0.09765625","-1.0048828","-0.08300781","-8.75","7.3125","2.90625"
"1574260860290","1","-0.10839844","-0.9404297","-0.076171875","-4.96875","5.71875","0.34375"
"1574260860290","2","-0.15332031","-1.0488281","-0.046875","-8.5625","11.65625","-3.8125"
"1574260860291","3","-0.19238281","-1.0761719","-0.049804688","-14.40625","17.0","-14.1875"
"1574260860291","4","-0.14746094","-1.0136719","-0.024414062","-29.25","11.75","-12.96875"
"1574260860291","5","-0.05859375","-0.96875","-0.1484375","-29.5625","-6.59375","-5.9375"
"1574260860291","6","-0.02734375","-1.0087891","-0.20507812","-29.3125","-17.15625","1.6875"
"1574260860292","7","-0.13671875","-0.9042969","-0.14453125","-0.3125","-11.78125","1.09375"
"1574260860292","8","-0.19238281","-0.94921875","-0.1484375","0.21875","-2.15625","-5.03125"
"1574260860292","9","-0.16113281","-0.9814453","-0.21582031","9.25","8.71875","-7.28125"
"1574260860490","10","-0.08203125","-0.9746094","-0.14746094","10.84375","12.25","0.53125"
"1574260860490","11","-0.043945312","-1.0146484","-0.15917969","3.03125","4.375","-0.375"
"1574260860490","12","-0.08496094","-1.0371094","-0.20117188","-0.5","8.15625","-0.625"
"1574260860491","13","-0.14550781","-1.0205078","-0.24511719","-8.8125","10.96875","0.71875"
"1574260860491","14","-0.12597656","-0.9501953","-0.18359375","-7.03125","12.1875","0.84375"
"1574260860492","15","-0.11621094","-0.9638672","-0.16503906","-1.34375","9.5","-1.1875"
"1574260860492","16","-0.140625","-0.9824219","-0.1953125","3.03125","11.15625","0.53125"
"1574260860492","17","-0.087890625","-1.0283203","-0.16503906","0.46875","10.375","1.5"
"1574260860492","18","-0.15722656","-0.9824219","-0.16015625","3.21875","0.71875","-0.625"
"1574260860493","19","-0.10253906","-1.0019531","-0.16308594","0.03125","4.0","1.75"
"1574260861085","20","-0.125","-0.97753906","-0.15820312","-0.375","10.78125","2.125"
"1574260861085","21","-0.1015625","-0.9873047","-0.171875","-2.9375","8.96875","2.25"
"1574260861085","22","-0.09472656","-1.0097656","-0.17089844","0.84375","4.0625","2.0625"
"1574260861086","23","-0.12890625","-0.9921875","-0.13769531","1.09375","0.90625","0.90625"
"1574260861086","24","-0.14355469","-0.97753906","-0.15234375","4.6875","1.03125","-1.71875"
"1574260861087","25","-0.107421875","-0.9921875","-0.15625","4.25","3.40625","-1.46875"
"1574260861087","26","-0.087890625","-1.0029297","-0.12792969","0.65625","2.65625","-1.78125"
"1574260861088","27","-0.12402344","-1.0126953","-0.10644531","-1.65625","-2.8125","-2.625"
"1574260861088","28","-0.12109375","-0.99609375","-0.109375","-2.21875","-5.9375","-2.875"
"1574260861088","29","-0.12695312","-0.98046875","-0.13574219","-1.3125","-2.59375","-1.90625"
"1574260861681","30","-0.12109375","-0.984375","-0.15039062","1.15625","-1.0","-0.5625"
"1574260861681","31","-0.099609375","-1.0029297","-0.14746094","5.53125","0.96875","1.625"
"1574260861682","32","-0.111328125","-0.9970703","-0.12402344","2.0625","0.84375","2.1875"
"1574260861682","33","-0.11230469","-0.9824219","-0.11035156","8.09375","-1.3125","3.59375"
"1574260861682","34","-0.13867188","-1.0039062","-0.119140625","7.84375","-4.71875","2.5"
"1574260861682","35","-0.13183594","-1.0166016","-0.13476562","6.75","-1.40625","1.3125"
"1574260861683","36","-0.109375","-0.9970703","-0.12207031","6.75","-0.75","1.4375"
"1574260861684","37","-0.115234375","-0.9794922","-0.11621094","2.84375","0.34375","-1.0625"
"1574260861684","38","-0.11328125","-1.0166016","-0.11035156","2.84375","0.09375","0.28125"
"1574260861685","39","-0.12792969","-0.9951172","-0.08886719","-2.21875","2.71875","2.0"
"1574260861878","40","-0.20703125","-1.0058594","-0.078125","-1.1875","-1.1875","0.34375"
"1574260861878","41","-0.14550781","-0.99902344","-0.091796875","-0.5","1.8125","1.03125"
