"# PR data"
"# Start time: 20191119T220009"
"# Subject: diana"
"# Activity type: Bicep curl"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574200810015","0","0.51660156","-0.80859375","-0.2705078","-0.875","2.375","0.65625"
"1574200810016","1","0.515625","-0.81152344","-0.2783203","1.5625","2.3125","2.3125"
"1574200810016","2","0.51171875","-0.8222656","-0.2734375","1.3125","1.625","-0.25"
"1574200810017","3","0.52246094","-0.81347656","-0.28125","1.875","2.65625","-0.3125"
"1574200810017","4","0.5175781","-0.8183594","-0.2734375","1.5625","4.5625","-0.625"
"1574200810017","5","0.515625","-0.8261719","-0.25976562","0.90625","3.40625","-1.96875"
"1574200810017","6","0.5136719","-0.82714844","-0.27539062","0.03125","4.6875","-2.40625"
"1574200810018","7","0.52246094","-0.82128906","-0.26367188","-1.3125","7.4375","-2.46875"
"1574200810018","8","0.5136719","-0.82128906","-0.27246094","-3.3125","5.71875","-1.25"
"1574200810018","9","0.5205078","-0.81933594","-0.27246094","-3.375","6.09375","0.09375"
"1574200810413","10","0.5205078","-0.8154297","-0.265625","-4.90625","5.28125","0.71875"
"1574200810413","11","0.52441406","-0.81933594","-0.265625","-3.5625","5.0625","0.34375"
"1574200810413","12","0.53222656","-0.8144531","-0.2763672","-3.5625","3.53125","0.0"
"1574200810414","13","0.5214844","-0.8017578","-0.27148438","-3.0625","3.34375","-1.34375"
"1574200810414","14","0.53222656","-0.8183594","-0.2685547","0.15625","2.90625","-0.125"
"1574200810414","15","0.52441406","-0.8105469","-0.26953125","-0.9375","0.78125","0.65625"
"1574200810415","16","0.53515625","-0.81640625","-0.2548828","3.09375","2.0625","-0.4375"
"1574200810415","17","0.5263672","-0.81347656","-0.26367188","1.625","0.40625","-0.375"
"1574200810415","18","0.5341797","-0.81347656","-0.2607422","1.3125","0.65625","-0.4375"
"1574200810415","19","0.5234375","-0.82128906","-0.26660156","1.09375","0.53125","-0.875"
"1574200810812","20","0.53027344","-0.8203125","-0.2705078","1.15625","-1.25","-1.0625"
"1574200810812","21","0.5263672","-0.8125","-0.2705078","0.03125","-1.34375","0.09375"
"1574200810812","22","0.5185547","-0.8183594","-0.27246094","-0.625","-1.84375","-0.5625"
