"# PR data"
"# Start time: 20191119T215854"
"# Subject: diana"
"# Activity type: Heel raises"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574200734490","0","0.5126953","-0.8076172","-0.3076172","-8.4375","9.1875","0.34375"
"1574200734491","1","0.49902344","-0.82910156","-0.31933594","0.65625","3.34375","-1.125"
"1574200734491","2","0.52246094","-0.8017578","-0.32910156","-2.75","4.5","-0.3125"
"1574200734492","3","0.5185547","-0.78808594","-0.3388672","-1.78125","5.84375","0.90625"
"1574200734492","4","0.51171875","-0.79589844","-0.33203125","-2.625","5.53125","1.15625"
"1574200734492","5","0.5205078","-0.8017578","-0.32226562","-3.0","3.71875","0.03125"
"1574200734493","6","0.53027344","-0.7910156","-0.33691406","-1.1875","3.28125","-0.4375"
"1574200734493","7","0.5175781","-0.7939453","-0.3251953","0.0","3.34375","-0.25"
"1574200734493","8","0.51464844","-0.8076172","-0.33007812","-1.1875","1.28125","-1.40625"
"1574200734493","9","0.5078125","-0.80371094","-0.32910156","-3.3125","4.25","-0.625"
"1574200734889","10","0.5097656","-0.8154297","-0.328125","-2.53125","2.3125","-1.53125"
"1574200734889","11","0.5253906","-0.80566406","-0.33398438","0.65625","2.78125","-0.5"
"1574200734890","12","0.5058594","-0.8017578","-0.3310547","-0.875","5.1875","0.34375"
"1574200734892","13","0.5332031","-0.796875","-0.3232422","-1.25","4.125","0.21875"
"1574200734893","14","0.5097656","-0.7998047","-0.3154297","0.71875","5.0625","0.53125"
"1574200734893","15","0.52441406","-0.8066406","-0.32128906","-0.6875","0.59375","-1.40625"
"1574200734893","16","0.52734375","-0.8046875","-0.33007812","1.4375","1.875","-0.625"
"1574200734893","17","0.5048828","-0.80371094","-0.3232422","-0.0625","1.9375","-0.8125"
"1574200734894","18","0.5136719","-0.8076172","-0.32128906","-1.125","1.625","-1.3125"
"1574200734894","19","0.5136719","-0.8027344","-0.32226562","-0.4375","2.3125","-0.125"
"1574200735286","20","0.5078125","-0.8173828","-0.31152344","-1.84375","3.84375","1.3125"
"1574200735286","21","0.5078125","-0.81152344","-0.3125","-1.53125","6.28125","2.0"
"1574200735287","22","0.5107422","-0.83203125","-0.31152344","-2.8125","7.75","4.4375"
"1574200735287","23","0.5","-0.81347656","-0.3017578","-0.125","8.84375","4.1875"
"1574200735287","24","0.51171875","-0.80078125","-0.30371094","1.625","7.6875","2.84375"
"1574200735288","25","0.50390625","-0.8203125","-0.30078125","2.1875","8.03125","1.5"
"1574200735288","26","0.51171875","-0.81933594","-0.27539062","3.09375","9.25","1.8125"
"1574200735288","27","0.4970703","-0.8095703","-0.29003906","4.375","3.90625","-0.8125"
"1574200735288","28","0.52246094","-0.8330078","-0.32421875","2.78125","6.46875","-3.875"
"1574200735289","29","0.49804688","-0.79589844","-0.32421875","3.40625","5.59375","-1.34375"
"1574200735882","30","0.5107422","-0.8183594","-0.3076172","-0.875","3.53125","2.3125"
"1574200735882","31","0.52734375","-0.828125","-0.30273438","-4.78125","0.59375","0.0"
"1574200735882","32","0.5410156","-0.81152344","-0.30371094","-8.5","-5.09375","-5.21875"
"1574200735883","33","0.5253906","-0.7988281","-0.29492188","-6.59375","-8.0625","-6.25"
"1574200735883","34","0.47265625","-0.8066406","-0.32226562","-8.0","-6.65625","-7.09375"
"1574200735883","35","0.50390625","-0.77734375","-0.35253906","-4.40625","4.0625","-10.6875"
"1574200735883","36","0.5527344","-0.7832031","-0.4169922","2.5","3.90625","3.90625"
"1574200735884","37","0.4873047","-0.81640625","-0.33007812","0.96875","1.09375","2.65625"
"1574200735885","38","0.53027344","-0.82128906","-0.34277344","1.15625","0.53125","-4.15625"
"1574200735885","39","0.5136719","-0.79003906","-0.33203125","0.59375","-2.40625","-1.53125"
"1574200736277","40","0.4892578","-0.81347656","-0.32617188","-2.9375","2.25","-0.9375"
"1574200736278","41","0.51953125","-0.8203125","-0.33203125","-4.71875","4.625","-0.4375"
"1574200736278","42","0.52441406","-0.8203125","-0.32714844","-3.3125","4.8125","0.84375"
"1574200736278","43","0.59375","-0.8720703","-0.32128906","-3.8125","3.34375","-0.8125"
"1574200736278","44","0.55859375","-0.91796875","-0.30566406","-0.25","11.75","3.71875"
"1574200736279","45","0.5449219","-1.0214844","-0.29882812","-7.8125","14.4375","5.78125"
"1574200736279","46","0.58691406","-0.9511719","-0.27539062","1.03125","18.34375","2.65625"
"1574200736280","47","0.5078125","-0.7714844","-0.2841797","16.34375","9.125","9.25"
"1574200736280","48","0.51464844","-0.77441406","-0.2734375","-2.875","10.96875","3.09375"
"1574200736281","49","0.4736328","-0.7441406","-0.27441406","-8.0","10.0","0.71875"
"1574200736478","50","0.43554688","-0.7167969","-0.27539062","-10.28125","-2.09375","-0.5"
"1574200736478","51","0.45996094","-0.7451172","-0.24511719","-5.09375","-3.1875","-1.59375"
"1574200736479","52","0.46777344","-0.7763672","-0.28125","-2.15625","5.53125","0.84375"
