"# PR data"
"# Start time: 20191119T215557"
"# Subject: diana"
"# Activity type: Knee extension"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574200557404","0","0.4267578","-0.9013672","-0.021484375","0.96875","2.0","-0.8125"
"1574200557405","1","0.42382812","-0.8964844","-0.017578125","1.21875","3.03125","-0.375"
"1574200557405","2","0.42773438","-0.9003906","-0.028320312","0.0","2.78125","-0.8125"
"1574200557405","3","0.4267578","-0.89941406","-0.02734375","-0.5625","2.375","-1.25"
"1574200557406","4","0.42773438","-0.8984375","-0.020507812","-0.875","3.34375","-1.40625"
"1574200557406","5","0.42773438","-0.9013672","-0.013671875","-1.53125","3.15625","-1.84375"
"1574200557406","6","0.43066406","-0.8984375","-0.01171875","-2.8125","1.3125","-3.125"
"1574200557407","7","0.43066406","-0.88671875","-0.02734375","-1.3125","0.59375","-3.96875"
"1574200557407","8","0.42578125","-0.8847656","-0.016601562","1.3125","1.5625","-5.15625"
"1574200557408","9","0.4296875","-0.8886719","-0.0234375","-1.25","0.59375","-4.90625"
"1574200557802","10","0.4423828","-0.89746094","-0.018554688","4.0625","1.875","-3.90625"
"1574200557803","11","0.44628906","-0.8955078","-0.0048828125","1.03125","-1.65625","-7.40625"
"1574200557803","12","0.44335938","-0.8808594","0.001953125","5.46875","-0.4375","-9.0"
"1574200557805","13","0.44140625","-0.87109375","-0.009765625","6.03125","-2.28125","-12.90625"
"1574200557805","14","0.43066406","-0.9189453","0.018554688","4.5","-2.8125","-13.1875"
"1574200557805","15","0.44335938","-0.9042969","0.0146484375","2.0","-3.0625","-15.40625"
"1574200557805","16","0.45898438","-0.9121094","-0.016601562","-2.59375","-5.21875","-16.4375"
"1574200557806","17","0.49609375","-0.9111328","-0.01171875","-8.8125","-7.71875","-17.46875"
"1574200557806","18","0.50097656","-0.8652344","-0.030273438","-13.625","-11.0","-18.625"
"1574200557806","19","0.52734375","-0.859375","-0.03515625","-22.40625","-16.5","-18.09375"
"1574200558201","20","0.53125","-0.8046875","-0.068359375","-25.65625","-22.0","-21.25"
"1574200558202","21","0.5019531","-0.77246094","-0.07421875","-13.125","-14.46875","-12.59375"
"1574200558202","22","0.5654297","-0.8535156","-0.091796875","-8.3125","-9.125","-11.3125"
"1574200558202","23","0.55371094","-0.8417969","-0.09765625","-10.15625","-11.1875","-11.84375"
"1574200558203","24","0.57421875","-0.8535156","-0.11035156","-12.78125","-6.0","-9.0"
"1574200558204","25","0.55859375","-0.80078125","-0.12695312","-15.75","-10.03125","-9.53125"
"1574200558204","26","0.55566406","-0.8095703","-0.14746094","-8.5625","-2.59375","-3.6875"
"1574200558205","27","0.56347656","-0.8017578","-0.15039062","-11.3125","-1.53125","-2.40625"
"1574200558205","28","0.5957031","-0.8261719","-0.16894531","-6.5","-3.90625","-3.0625"
"1574200558205","29","0.5839844","-0.8232422","-0.16015625","-5.9375","-5.5625","0.03125"
"1574200558597","30","0.58984375","-0.8027344","-0.16503906","-4.65625","-7.8125","5.21875"
"1574200558597","31","0.51953125","-0.78027344","-0.15234375","9.09375","-5.5625","6.46875"
"1574200558597","32","0.5341797","-0.77734375","-0.18359375","10.3125","-2.8125","9.5"
"1574200558598","33","0.5361328","-0.7890625","-0.15039062","14.75","0.09375","6.9375"
"1574200558598","34","0.53222656","-0.8076172","-0.12988281","24.40625","-0.6875","4.6875"
