"# PR data"
"# Start time: 20191119T220447"
"# Subject: diana"
"# Activity type: Leg slide"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574201088067","0","0.5253906","-0.7939453","-0.28710938","11.46875","-14.53125","-5.75"
"1574201088068","1","0.5048828","-0.8095703","-0.30371094","15.90625","-13.5","-11.1875"
"1574201088068","2","0.53808594","-0.8300781","-0.29492188","18.46875","-15.28125","-15.09375"
"1574201088068","3","0.57714844","-0.79296875","-0.2548828","11.875","-27.0625","-10.5625"
"1574201088069","4","0.5126953","-0.78222656","-0.2861328","4.3125","-19.71875","0.53125"
"1574201088071","5","0.4921875","-0.8222656","-0.30078125","4.625","-6.84375","2.65625"
"1574201088072","6","0.46777344","-0.83984375","-0.31445312","8.65625","-5.375","-0.375"
"1574201088072","7","0.5029297","-0.8222656","-0.30078125","5.53125","-3.5","-4.65625"
"1574201088072","8","0.5292969","-0.8173828","-0.2998047","1.6875","0.28125","-5.8125"
"1574201088073","9","0.52246094","-0.81347656","-0.31347656","-4.09375","0.28125","-3.6875"
"1574201088664","10","0.54003906","-0.79003906","-0.3203125","-5.09375","4.8125","-2.03125"
"1574201088665","11","0.5097656","-0.8066406","-0.3203125","-6.3125","7.96875","0.34375"
"1574201088665","12","0.49414062","-0.8251953","-0.30859375","-8.375","12.875","0.28125"
"1574201088666","13","0.5234375","-0.8076172","-0.31445312","-7.40625","17.375","2.78125"
"1574201088666","14","0.53125","-0.796875","-0.30273438","-10.9375","16.28125","3.65625"
"1574201088667","15","0.5419922","-0.79785156","-0.3046875","-8.9375","13.65625","5.34375"
"1574201088667","16","0.5332031","-0.79785156","-0.30273438","-8.1875","16.03125","7.25"
"1574201088667","17","0.5107422","-0.8183594","-0.31054688","-6.125","13.90625","6.6875"
"1574201088668","18","0.5136719","-0.80859375","-0.27929688","-3.90625","10.65625","4.875"
"1574201088668","19","0.52246094","-0.8046875","-0.2939453","-2.40625","9.625","3.46875"
"1574201088862","20","0.5175781","-0.7753906","-0.31445312","0.65625","3.34375","3.09375"
"1574201088862","21","0.5341797","-0.80859375","-0.296875","0.15625","3.71875","1.875"
"1574201088862","22","0.5332031","-0.82714844","-0.29589844","0.28125","1.21875","0.46875"
"1574201088863","23","0.52441406","-0.81152344","-0.27539062","3.03125","0.96875","2.1875"
"1574201088863","24","0.51464844","-0.8076172","-0.28710938","3.59375","0.09375","1.09375"
"1574201088864","25","0.5576172","-0.80078125","-0.27539062","5.96875","-5.4375","-3.5"
"1574201088864","26","0.5214844","-0.79589844","-0.31152344","7.96875","-5.4375","-3.8125"
"1574201088865","27","0.5029297","-0.8046875","-0.28027344","10.53125","-9.15625","-3.8125"
"1574201088865","28","0.5292969","-0.8095703","-0.29882812","11.21875","-9.21875","-1.84375"
"1574201088865","29","0.49902344","-0.7832031","-0.28125","20.625","-4.90625","3.34375"
"1574201089259","30","0.5078125","-0.8359375","-0.2607422","21.53125","-5.875","5.90625"
"1574201089259","31","0.4814453","-0.8408203","-0.25195312","24.9375","-2.09375","6.15625"
"1574201089260","32","0.50878906","-0.8173828","-0.21582031","30.0","-2.875","6.46875"
"1574201089260","33","0.4892578","-0.8701172","-0.19824219","23.25","0.21875","4.0625"
"1574201089260","34","0.46777344","-0.8652344","-0.22460938","24.75","0.21875","3.71875"
"1574201089260","35","0.52734375","-0.8496094","-0.18652344","18.65625","-0.3125","0.40625"
"1574201089261","36","0.53125","-0.8623047","-0.16210938","20.25","1.5625","2.3125"
"1574201089262","37","0.4638672","-0.8613281","-0.17382812","14.03125","-0.6875","4.0"
"1574201089262","38","0.45214844","-0.85546875","-0.17871094","7.375","5.65625","6.03125"
"1574201089263","39","0.5","-0.89160156","-0.16601562","5.78125","13.71875","0.34375"
"1574201090053","40","0.49804688","-0.8779297","-0.18164062","10.1875","10.71875","-5.5"
"1574201090054","41","0.54785156","-0.8652344","-0.16503906","14.8125","7.8125","-15.28125"
"1574201090054","42","0.53515625","-0.8388672","-0.16894531","18.34375","7.90625","-18.75"
"1574201090054","43","0.49804688","-0.8408203","-0.099609375","16.09375","0.90625","-19.78125"
"1574201090054","44","0.51953125","-0.8330078","-0.11816406","14.21875","-2.15625","-16.96875"
"1574201090055","45","0.5371094","-0.84375","-0.09765625","8.96875","-4.53125","-16.9375"
"1574201090055","46","0.5214844","-0.8574219","-0.11230469","6.28125","-1.0","-14.0625"
"1574201090056","47","0.54296875","-0.8359375","-0.12011719","1.8125","0.65625","-10.75"
"1574201090056","48","0.59765625","-0.76171875","-0.083984375","1.9375","-5.75","-7.21875"
"1574201090057","49","0.62109375","-0.7451172","-0.07519531","11.65625","-9.59375","-4.03125"
"1574201090251","50","0.59765625","-0.83984375","-0.1015625","12.5625","-23.75","-4.34375"
"1574201090252","51","0.50097656","-0.9160156","-0.10546875","1.9375","-15.15625","-3.1875"
"1574201090252","52","0.5185547","-0.84765625","-0.11425781","6.625","-10.9375","4.125"
"1574201090252","53","0.60253906","-0.8330078","-0.091796875","-4.15625","-3.375","9.25"
"1574201090252","54","0.546875","-0.8378906","-0.10546875","-5.9375","2.84375","7.8125"
"1574201090253","55","0.49804688","-0.82910156","-0.087890625","-5.09375","2.5","8.28125"
"1574201090253","56","0.5605469","-0.82910156","-0.08496094","-6.125","4.9375","3.71875"
"1574201090253","57","0.5722656","-0.8222656","-0.05078125","3.71875","7.625","1.09375"
"1574201090253","58","0.48828125","-0.7734375","-0.07519531","11.15625","4.8125","2.375"
"1574201090253","59","0.53515625","-0.78125","-0.048828125","9.03125","1.3125","-2.40625"
"1574201090652","60","0.5859375","-0.8251953","-0.05859375","12.1875","-1.34375","-1.78125"
"1574201090654","61","0.55566406","-0.8652344","-0.06933594","3.65625","-10.40625","-4.78125"
"1574201090654","62","0.5654297","-0.8388672","-0.083984375","1.28125","-5.21875","-2.46875"
"1574201090655","63","0.5449219","-0.81152344","-0.1015625","4.75","-10.75","-0.75"
