"# PR data"
"# Start time: 20191119T215731"
"# Subject: diana"
"# Activity type: Squats"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574200651612","0","0.5449219","-0.83203125","-0.21484375","6.9375","-24.5","-3.0"
"1574200651612","1","0.34277344","-0.9238281","-0.17089844","2.3125","-15.40625","-4.90625"
"1574200651612","2","0.4482422","-0.9238281","-0.2685547","7.96875","-3.6875","-10.09375"
"1574200651613","3","0.5107422","-0.88183594","-0.20703125","12.5625","-3.0","0.21875"
"1574200651613","4","0.37890625","-0.8515625","-0.21972656","16.71875","-6.3125","0.34375"
"1574200651613","5","0.4169922","-0.87402344","-0.32617188","6.5","-1.34375","-1.34375"
"1574200651613","6","0.5341797","-0.9267578","-0.375","-5.15625","-1.84375","1.15625"
"1574200651613","7","0.29882812","-0.80078125","-0.23535156","7.5625","6.6875","6.875"
"1574200651614","8","0.27441406","-0.78515625","-0.23632812","-2.53125","9.75","-2.40625"
"1574200651614","9","0.54589844","-0.8779297","-0.30566406","-21.8125","20.0","-7.28125"
"1574200652404","10","0.60839844","-0.9238281","-0.23730469","-18.8125","15.25","-7.09375"
"1574200652404","11","0.4111328","-0.8779297","-0.16796875","-11.3125","10.65625","3.40625"
"1574200652404","12","0.36816406","-0.8798828","-0.17480469","-11.5625","17.125","5.21875"
"1574200652406","13","0.5253906","-0.8613281","-0.16503906","-13.375","31.0","11.40625"
"1574200652407","14","0.52734375","-0.82421875","-0.25878906","-11.71875","27.03125","8.71875"
"1574200652407","15","0.5439453","-0.8183594","-0.28808594","-10.09375","12.875","4.375"
"1574200652407","16","0.5605469","-0.7753906","-0.2685547","-5.15625","10.53125","11.28125"
"1574200652408","17","0.5410156","-0.8251953","-0.2705078","-6.4375","14.8125","12.5"
"1574200652408","18","0.5214844","-0.81640625","-0.23925781","1.09375","9.5","6.6875"
"1574200652408","19","0.49316406","-0.8408203","-0.21972656","0.09375","4.125","2.65625"
"1574200652408","20","0.4814453","-0.8720703","-0.21289062","-3.6875","3.53125","-1.0625"
"1574200652409","21","0.49316406","-0.8417969","-0.21972656","1.15625","2.1875","-1.84375"
"1574200652409","22","0.49609375","-0.8359375","-0.22167969","1.28125","-0.125","-1.59375"
"1574200652409","23","0.48632812","-0.8613281","-0.20898438","2.125","0.15625","-1.65625"
"1574200652409","24","0.49023438","-0.8515625","-0.234375","2.25","-3.3125","-2.21875"
"1574200652410","25","0.47460938","-0.859375","-0.234375","3.40625","-3.125","-2.9375"
"1574200652410","26","0.46484375","-0.8623047","-0.24316406","0.28125","-4.03125","-4.59375"
"1574200652410","27","0.48632812","-0.8574219","-0.23535156","1.3125","-5.21875","-4.34375"
"1574200652411","28","0.4736328","-0.86328125","-0.234375","2.0625","-4.34375","-2.6875"
"1574200652411","29","0.44140625","-0.8515625","-0.23730469","2.59375","-4.21875","-2.75"
"1574200652805","30","0.47851562","-0.8388672","-0.22851562","2.1875","-1.40625","-1.3125"
