"# PR data"
"# Start time: 20191119T215918"
"# Subject: diana"
"# Activity type: Heel raises"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574200758341","0","0.51660156","-0.8486328","-0.23046875","7.5625","3.53125","13.15625"
"1574200758342","1","0.4921875","-0.8925781","-0.23339844","1.5625","-8.0","1.21875"
"1574200758342","2","0.4560547","-0.8984375","-0.19335938","-5.375","-4.84375","-4.03125"
"1574200758342","3","0.453125","-0.87109375","-0.18457031","-11.84375","0.28125","-11.3125"
"1574200758343","4","0.5126953","-0.8671875","-0.22167969","-16.9375","3.65625","-14.46875"
"1574200758343","5","0.5654297","-0.77734375","-0.35839844","-7.34375","-3.90625","-12.90625"
"1574200758343","6","0.60058594","-0.80371094","-0.29589844","-8.9375","-13.9375","-1.59375"
"1574200758343","7","0.49121094","-0.8769531","-0.25976562","-12.53125","-23.875","-10.8125"
"1574200758346","8","0.40820312","-0.78515625","-0.20605469","-7.8125","-0.3125","-4.59375"
"1574200758346","9","0.4638672","-0.80371094","-0.27148438","-15.8125","13.59375","-6.1875"
"1574200758739","10","0.59472656","-0.82714844","-0.34375","-16.25","16.90625","-0.5"
"1574200758740","11","0.5498047","-0.80566406","-0.30371094","-3.75","0.46875","1.4375"
"1574200758740","12","0.5214844","-0.80859375","-0.31054688","0.40625","-1.84375","0.90625"
"1574200758741","13","0.46289062","-0.78222656","-0.2578125","1.21875","8.03125","2.96875"
"1574200758742","14","0.50097656","-0.8183594","-0.26953125","-0.6875","8.96875","1.375"
"1574200758742","15","0.5498047","-0.8339844","-0.2841797","-1.96875","10.53125","-0.25"
"1574200758742","16","0.5185547","-0.8046875","-0.28320312","0.53125","1.5","-3.0625"
"1574200758742","17","0.52734375","-0.8222656","-0.29101562","1.3125","1.3125","-1.0"
"1574200758743","18","0.515625","-0.81640625","-0.27734375","1.09375","4.0","-0.125"
"1574200758743","19","0.5126953","-0.8261719","-0.27734375","0.46875","3.59375","-1.3125"
"1574200759141","20","0.5214844","-0.828125","-0.27246094","2.375","2.90625","-0.625"
