"# PR data"
"# Start time: 20191119T215627"
"# Subject: diana"
"# Activity type: Knee extension"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574200587415","0","0.5576172","-0.8261719","-0.037109375","-0.9375","2.84375","-1.65625"
"1574200587417","1","0.5527344","-0.81933594","-0.037109375","-0.5625","4.3125","-1.1875"
"1574200587417","2","0.5517578","-0.8251953","-0.028320312","-1.53125","3.40625","-0.5625"
"1574200587417","3","0.55566406","-0.81933594","-0.05078125","0.0","3.90625","-0.625"
"1574200587418","4","0.5546875","-0.8251953","-0.034179688","-0.9375","4.25","-0.25"
"1574200587418","5","0.5546875","-0.8222656","-0.03125","-1.65625","2.125","-1.0625"
"1574200587418","6","0.55371094","-0.828125","-0.030273438","-0.6875","2.375","-1.0"
"1574200587419","7","0.56152344","-0.82421875","-0.03125","0.0","3.03125","-0.625"
"1574200587419","8","0.54785156","-0.8232422","-0.033203125","0.0","2.375","-0.5"
"1574200587419","9","0.5527344","-0.8222656","-0.026367188","-0.4375","2.5","-0.4375"
"1574200587812","10","0.5625","-0.83203125","-0.034179688","-0.8125","3.28125","-0.125"
"1574200587813","11","0.54785156","-0.81933594","-0.026367188","0.34375","3.21875","-0.9375"
"1574200587813","12","0.5517578","-0.8066406","-0.032226562","-1.0625","2.0625","-0.5625"
"1574200587814","13","0.5517578","-0.8359375","-0.033203125","1.03125","4.0","0.78125"
"1574200587815","14","0.55371094","-0.81933594","-0.029296875","-1.0","0.40625","-1.125"
"1574200587815","15","0.5625","-0.8310547","-0.025390625","-1.46875","1.375","-0.4375"
"1574200587815","16","0.5517578","-0.8232422","-0.029296875","-2.34375","1.15625","-1.1875"
"1574200587816","17","0.5566406","-0.83496094","-0.021484375","-2.625","0.15625","-0.9375"
"1574200587816","18","0.54785156","-0.8173828","-0.024414062","-1.25","0.15625","-1.78125"
"1574200587816","19","0.5546875","-0.82128906","-0.04296875","-1.0625","-0.625","-2.53125"
"1574200588211","20","0.5566406","-0.82128906","-0.0390625","0.03125","-1.65625","-3.0625"
"1574200588212","21","0.5683594","-0.8203125","-0.0390625","0.46875","-2.75","-4.21875"
"1574200588212","22","0.5576172","-0.8183594","-0.036132812","2.125","-3.0","-6.5"
"1574200588212","23","0.5605469","-0.82421875","-0.047851562","4.5","-5.5","-6.71875"
"1574200588212","24","0.57128906","-0.83203125","-0.030273438","0.84375","-8.8125","-6.5"
"1574200588214","25","0.5732422","-0.83203125","-0.048828125","3.65625","-9.40625","-7.71875"
"1574200588214","26","0.5908203","-0.8066406","-0.044921875","2.0","-14.125","-9.71875"
"1574200588214","27","0.6347656","-0.8144531","-0.043945312","-1.1875","-21.0625","-10.21875"
"1574200588215","28","0.5390625","-0.890625","-0.087890625","-15.34375","-30.03125","-12.15625"
"1574200588215","29","0.546875","-0.7919922","-0.06542969","-24.5","-25.65625","-9.84375"
"1574200588805","30","0.57714844","-0.77441406","-0.068359375","-16.25","-14.0625","-8.8125"
"1574200588805","31","0.5859375","-0.7871094","-0.11230469","-12.40625","-12.09375","-8.9375"
"1574200588805","32","0.61816406","-0.7861328","-0.13574219","-12.15625","-11.6875","-8.375"
"1574200588806","33","0.6064453","-0.75390625","-0.18164062","-13.875","-19.84375","-8.25"
"1574200588806","34","0.5800781","-0.76171875","-0.19921875","-16.5625","-15.875","-5.6875"
"1574200588806","35","0.5966797","-0.78222656","-0.15917969","-15.34375","-13.375","-5.5"
"1574200588807","36","0.60839844","-0.75390625","-0.1875","-8.5625","-5.15625","-6.25"
"1574200588808","37","0.62597656","-0.72265625","-0.20898438","-5.8125","-3.96875","-7.15625"
"1574200588809","38","0.63183594","-0.7373047","-0.21972656","-6.5","-1.84375","-6.125"
"1574200588809","39","0.6328125","-0.79003906","-0.22070312","-5.4375","-0.4375","-4.34375"
"1574200589203","40","0.6230469","-0.76953125","-0.22753906","-5.25","-4.59375","-2.09375"
"1574200589203","41","0.5996094","-0.75","-0.20507812","-2.75","-3.8125","0.78125"
"1574200589204","42","0.5839844","-0.74121094","-0.20019531","-0.375","-1.96875","3.71875"
"1574200589204","43","0.59765625","-0.75878906","-0.24121094","8.71875","3.34375","3.21875"
"1574200589204","44","0.625","-0.76660156","-0.19335938","-3.125","-2.09375","4.25"
