"# PR data"
"# Start time: 20191119T220508"
"# Subject: diana"
"# Activity type: Leg slide"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574201109131","0","0.5908203","-0.81640625","-0.25585938","9.125","4.0","-16.96875"
"1574201109132","1","0.5488281","-0.828125","-0.28710938","8.78125","-2.9375","-3.625"
"1574201109133","2","0.50097656","-0.828125","-0.31835938","2.59375","-4.84375","-1.71875"
"1574201109133","3","0.53027344","-0.8076172","-0.2861328","-0.25","-4.09375","1.09375"
"1574201109134","4","0.515625","-0.8339844","-0.27929688","-6.25","-3.5","4.75"
"1574201109134","5","0.50878906","-0.8095703","-0.29589844","-5.4375","-0.25","4.3125"
"1574201109135","6","0.5029297","-0.80859375","-0.27734375","-10.21875","4.5","3.09375"
"1574201109136","7","0.4951172","-0.8339844","-0.26757812","-4.34375","7.3125","2.0625"
"1574201109136","8","0.49121094","-0.86328125","-0.22949219","-8.1875","16.9375","0.65625"
"1574201109136","9","0.48339844","-0.828125","-0.24707031","-4.40625","11.09375","3.34375"
"1574201109136","10","0.5419922","-0.8154297","-0.29003906","-0.5625","0.21875","9.9375"
"1574201109137","11","0.5175781","-0.8066406","-0.29785156","4.0","-2.9375","10.59375"
"1574201109141","12","0.48535156","-0.81640625","-0.33398438","8.71875","0.21875","0.65625"
"1574201109141","13","0.51171875","-0.8183594","-0.29882812","13.28125","4.5625","-8.25"
"1574201109142","14","0.51953125","-0.81640625","-0.26171875","6.46875","2.25","-5.5"
"1574201109142","15","0.4873047","-0.8408203","-0.2890625","3.40625","2.0625","-2.59375"
"1574201109142","16","0.5078125","-0.83984375","-0.296875","-1.0625","0.90625","0.0"
"1574201109142","17","0.49414062","-0.8232422","-0.29589844","-0.125","3.15625","1.3125"
"1574201109143","18","0.49121094","-0.8261719","-0.2763672","-2.75","4.5","0.53125"
"1574201109143","19","0.51953125","-0.8203125","-0.26953125","-5.15625","4.125","-2.53125"
"1574201109334","20","0.52734375","-0.8232422","-0.25195312","-8.9375","1.28125","-3.90625"
"1574201109334","21","0.5488281","-0.8046875","-0.296875","-8.4375","-5.625","0.65625"
"1574201109335","22","0.5175781","-0.8154297","-0.2783203","-2.625","-9.78125","3.90625"
"1574201109335","23","0.5","-0.8300781","-0.27734375","-1.125","-14.125","-1.59375"
"1574201109335","24","0.484375","-0.8251953","-0.2841797","-1.46875","-6.96875","-2.15625"
"1574201109336","25","0.4765625","-0.84375","-0.30859375","-0.8125","-2.40625","-4.78125"
"1574201109336","26","0.4921875","-0.8486328","-0.265625","-4.21875","-4.96875","-6.78125"
"1574201109337","27","0.45996094","-0.80371094","-0.33496094","-3.1875","-5.375","-3.0625"
"1574201109337","28","0.50390625","-0.83203125","-0.3095703","-0.5625","0.90625","-0.5"
"1574201109338","29","0.49902344","-0.83203125","-0.32128906","-4.09375","-2.21875","2.65625"
"1574201109930","30","0.47070312","-0.82421875","-0.3076172","-5.4375","1.5625","0.90625"
