"# PR data"
"# Start time: 20191119T220810"
"# Subject: diana"
"# Activity type: Walking"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574201290991","0","0.4951172","-0.8027344","-0.27246094","-6.25","4.5","-5.75"
"1574201290991","1","0.52441406","-0.7763672","-0.30371094","-4.09375","7.0625","-2.15625"
"1574201290992","2","0.5498047","-0.77734375","-0.29003906","5.125","10.46875","6.03125"
"1574201290992","3","0.5498047","-0.828125","-0.2763672","7.625","5.0625","3.71875"
"1574201290993","4","0.54785156","-0.80859375","-0.26953125","5.90625","4.1875","2.71875"
"1574201290993","5","0.5136719","-0.8232422","-0.2626953","1.5","5.0","5.21875"
"1574201290993","6","0.5136719","-0.81933594","-0.2548828","1.5","6.6875","2.25"
"1574201290997","7","0.53125","-0.82421875","-0.26757812","-0.3125","4.5","2.71875"
"1574201290997","8","0.5126953","-0.8105469","-0.2734375","0.15625","5.53125","2.375"
"1574201290997","9","0.51464844","-0.8222656","-0.2734375","-1.34375","6.75","5.34375"
"1574201291190","10","0.5175781","-0.8222656","-0.2578125","0.0","8.03125","3.90625"
"1574201291190","11","0.5253906","-0.828125","-0.26464844","-2.40625","6.28125","3.78125"
"1574201291191","12","0.49902344","-0.82910156","-0.26464844","-1.84375","9.1875","4.75"
"1574201291192","13","0.5097656","-0.83496094","-0.25097656","-4.59375","10.84375","3.03125"
"1574201291192","14","0.5107422","-0.83984375","-0.26171875","-7.21875","12.0","3.46875"
"1574201291192","15","0.49121094","-0.82714844","-0.27148438","-6.125","12.0","1.375"
"1574201291193","16","0.5078125","-0.81933594","-0.26757812","-5.75","13.21875","2.3125"
"1574201291193","17","0.49804688","-0.8330078","-0.265625","-6.84375","15.90625","2.65625"
"1574201291193","18","0.5019531","-0.8261719","-0.25878906","-6.71875","16.28125","2.4375"
"1574201291193","19","0.5126953","-0.8222656","-0.26953125","-5.875","16.34375","2.3125"
"1574201291587","20","0.5058594","-0.8251953","-0.25585938","-5.8125","17.25","2.5"
"1574201291587","21","0.5029297","-0.8232422","-0.26171875","-2.34375","14.8125","1.4375"
"1574201291587","22","0.5136719","-0.81933594","-0.25585938","-1.40625","15.65625","1.09375"
"1574201291588","23","0.5136719","-0.8154297","-0.24707031","0.40625","16.78125","0.46875"
"1574201291588","24","0.54785156","-0.8027344","-0.24707031","2.5","10.71875","0.03125"
"1574201291589","25","0.57421875","-0.7988281","-0.2265625","6.46875","8.15625","-1.1875"
"1574201291589","26","0.5517578","-0.81347656","-0.22460938","7.125","3.34375","1.3125"
"1574201291589","27","0.55371094","-0.82128906","-0.234375","5.34375","4.5625","2.71875"
"1574201291589","28","0.54296875","-0.8144531","-0.23535156","6.15625","5.40625","2.71875"
"1574201291590","29","0.55371094","-0.8339844","-0.20605469","1.3125","-0.5","-3.75"
"1574201291986","30","0.56640625","-0.80078125","-0.21484375","3.46875","-2.09375","-5.8125"
"1574201291986","31","0.5439453","-0.796875","-0.21386719","7.84375","-3.3125","-3.75"
"1574201291987","32","0.5126953","-0.82714844","-0.21289062","6.625","-1.96875","0.15625"
"1574201291987","33","0.5576172","-0.82128906","-0.21777344","4.5625","0.65625","4.0625"
"1574201291987","34","0.53222656","-0.81152344","-0.24804688","2.90625","0.53125","4.5625"
"1574201291987","35","0.51171875","-0.8251953","-0.24316406","-0.875","0.28125","5.34375"
"1574201291988","36","0.51660156","-0.80566406","-0.27148438","-0.75","3.9375","7.5"
"1574201291989","37","0.5292969","-0.8017578","-0.2607422","-6.53125","7.4375","10.59375"
"1574201291989","38","0.49609375","-0.8183594","-0.28808594","-7.34375","12.5625","11.15625"
"1574201291990","39","0.49902344","-0.83984375","-0.2685547","-10.5","16.15625","13.84375"
"1574201292383","40","0.4658203","-0.89160156","-0.2705078","-15.625","25.25","13.28125"
"1574201292383","41","0.5546875","-0.9482422","-0.16503906","-17.40625","33.3125","13.96875"
"1574201292383","42","0.4609375","-0.9589844","-0.12988281","-8.4375","34.15625","20.375"
"1574201292384","43","0.2578125","-0.9736328","-0.08105469","-9.40625","38.8125","28.71875"
"1574201292384","44","0.28125","-0.89160156","-0.12988281","-9.34375","54.3125","30.5"
"1574201292384","45","0.53515625","-0.859375","-0.17578125","-24.4375","54.0625","14.09375"
"1574201292384","46","0.5673828","-0.90722656","-0.1796875","-3.0","28.375","5.90625"
"1574201292385","47","0.4326172","-0.9042969","-0.16699219","-0.375","2.96875","-10.9375"
"1574201292385","48","0.32128906","-0.87890625","-0.203125","-8.3125","14.8125","-3.75"
"1574201292386","49","0.29785156","-0.91503906","-0.19921875","-16.0625","27.03125","11.8125"
"1574201292780","50","0.42578125","-0.8564453","-0.19628906","-5.15625","25.0625","10.71875"
"1574201292780","51","0.42285156","-0.8339844","-0.19140625","-0.8125","21.34375","5.0"
"1574201292780","52","0.4189453","-0.8613281","-0.24414062","-3.4375","14.3125","-5.15625"
"1574201292781","53","0.4326172","-0.859375","-0.234375","0.71875","5.78125","-8.625"
"1574201292783","54","0.40722656","-0.8515625","-0.234375","-3.375","2.84375","-8.125"
"1574201292783","55","0.44628906","-0.8144531","-0.2998047","-6.1875","-1.3125","-14.59375"
"1574201292783","56","0.5332031","-0.85253906","-0.26660156","-10.875","-11.0625","-22.84375"
"1574201292783","57","0.5341797","-0.9472656","-0.17578125","-3.96875","-16.3125","-10.9375"
"1574201292784","58","0.4091797","-0.8828125","0.0029296875","-0.6875","-14.125","-1.40625"
"1574201292784","59","0.46679688","-0.96191406","-0.119140625","13.0","-20.875","-33.875"
"1574201293178","60","0.5996094","-1.0410156","-0.047851562","11.65625","-28.03125","-22.0625"
"1574201293180","61","0.3935547","-0.92285156","-0.033203125","14.875","-12.78125","-5.6875"
"1574201293180","62","0.4951172","-0.8457031","-0.078125","8.78125","-10.03125","-6.25"
"1574201293180","63","0.48828125","-0.8808594","-0.1171875","13.53125","-2.46875","0.15625"
"1574201293181","64","0.4560547","-0.8457031","-0.078125","10.71875","2.375","1.5625"
"1574201293181","65","0.5175781","-0.8095703","-0.095703125","9.3125","-0.6875","2.65625"
"1574201293181","66","0.5126953","-0.83984375","-0.1171875","7.84375","-5.03125","-1.40625"
"1574201293182","67","0.46289062","-0.86621094","-0.13769531","4.125","0.34375","-1.1875"
"1574201293182","68","0.5","-0.8330078","-0.13964844","2.5","2.0","3.65625"
"1574201293182","69","0.51464844","-0.8496094","-0.16015625","-2.6875","3.34375","5.0625"
"1574201293576","70","0.49414062","-0.859375","-0.15429688","-7.03125","9.4375","9.8125"
"1574201293576","71","0.515625","-0.7832031","-0.14648438","-3.625","7.84375","7.5625"
"1574201293577","72","0.5605469","-0.75878906","-0.18457031","-1.0","-0.1875","8.15625"
