"# PR data"
"# Start time: 20191114T111953"
"# Subject: jack"
"# Activity type: Bicep curl"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573730393690","0","0.28808594","-0.94628906","-0.1875","-0.8125","-0.375","-0.625"
"1573730393691","1","0.2783203","-0.9423828","-0.18359375","-0.25","0.03125","-0.125"
"1573730393691","2","0.28710938","-0.9580078","-0.18847656","-1.3125","0.09375","0.09375"
"1573730393691","3","0.27246094","-0.9501953","-0.18359375","-1.96875","2.4375","0.40625"
"1573730393692","4","0.28320312","-0.94628906","-0.19238281","-0.875","4.875","0.40625"
"1573730393692","5","0.28125","-0.953125","-0.19628906","0.21875","3.03125","0.46875"
"1573730393692","6","0.27734375","-0.9453125","-0.18457031","0.40625","2.4375","0.21875"
"1573730393692","7","0.2783203","-0.94433594","-0.18359375","0.96875","1.3125","0.0"
"1573730393693","8","0.27734375","-0.9472656","-0.1796875","1.09375","2.125","0.09375"
"1573730393693","9","0.28320312","-0.95214844","-0.18457031","0.84375","1.03125","-0.1875"
"1573730394089","10","0.28515625","-0.94433594","-0.18847656","2.0625","-1.0625","-0.75"
"1573730394090","11","0.2734375","-0.94921875","-0.16894531","2.59375","-0.8125","-0.8125"
"1573730394090","12","0.28125","-0.953125","-0.17675781","0.71875","-1.0625","-1.53125"
"1573730394090","13","0.27148438","-0.9433594","-0.17285156","5.28125","-3.6875","-1.84375"
"1573730394091","14","0.28125","-0.94628906","-0.1640625","5.84375","-4.21875","-2.75"
"1573730394091","15","0.27246094","-0.9482422","-0.14746094","10.96875","-4.21875","-2.03125"
"1573730394091","16","0.27441406","-0.9511719","-0.19921875","11.75","-2.6875","-2.53125"
"1573730394091","17","0.28808594","-0.9589844","-0.15527344","5.0625","-1.40625","-1.53125"
"1573730394092","18","0.2841797","-0.9472656","-0.140625","-1.78125","1.3125","-1.53125"
"1573730394092","19","0.28222656","-0.96191406","-0.15820312","0.59375","-0.9375","-2.15625"
"1573730394486","20","0.28222656","-0.9560547","-0.14746094","-5.625","1.28125","-3.0"
"1573730394487","21","0.2783203","-0.95996094","-0.14746094","-15.59375","3.84375","-2.9375"
"1573730394487","22","0.29492188","-0.9394531","-0.14257812","-11.5625","2.59375","-1.65625"
"1573730394488","23","0.27734375","-0.9277344","-0.17675781","-2.15625","2.0625","-0.5"
"1573730394488","24","0.328125","-0.94921875","-0.18261719","5.40625","5.59375","0.96875"
"1573730394489","25","0.28222656","-0.9609375","-0.16894531","4.3125","0.40625","0.40625"
"1573730394490","26","0.27929688","-0.9501953","-0.140625","-0.8125","1.75","-0.375"
"1573730394490","27","0.27441406","-0.9667969","-0.15234375","0.71875","3.34375","-1.1875"
"1573730394491","28","0.29296875","-0.9658203","-0.15039062","-5.625","2.59375","-2.21875"
"1573730394491","29","0.2705078","-0.9423828","-0.14355469","-10.15625","1.375","-3.125"
"1573730394882","30","0.29882812","-0.9511719","-0.13964844","-8.4375","2.84375","-3.0"
"1573730394883","31","0.26660156","-0.93652344","-0.16015625","-3.6875","4.625","-2.03125"
"1573730394883","32","0.2998047","-0.9501953","-0.1953125","0.46875","2.78125","-0.75"
"1573730394883","33","0.34375","-0.9501953","-0.19824219","9.03125","4.5625","2.78125"
"1573730394884","34","0.28222656","-0.9423828","-0.16015625","4.0","-1.0625","2.0"
"1573730394884","35","0.2734375","-0.94921875","-0.14941406","-0.5","3.28125","0.90625"
"1573730394884","36","0.26367188","-0.95996094","-0.14648438","-2.875","3.34375","-0.25"
"1573730394885","37","0.29785156","-0.9658203","-0.14746094","-0.8125","4.1875","-0.625"
"1573730394885","38","0.30664062","-0.9316406","-0.15625","-3.875","4.875","-0.375"
"1573730394886","39","0.31347656","-0.9560547","-0.17089844","-6.65625","-1.34375","-1.65625"
"1573730395280","40","0.28027344","-0.9482422","-0.14648438","1.15625","0.78125","-0.8125"
"1573730395281","41","0.28710938","-0.9433594","-0.13671875","-2.6875","2.96875","-2.75"
"1573730395281","42","0.28320312","-0.9550781","-0.13964844","-3.125","0.59375","-2.8125"
"1573730395281","43","0.3017578","-0.96191406","-0.14941406","-0.625","1.625","-3.3125"
"1573730395281","44","0.28808594","-0.94628906","-0.15722656","-2.15625","1.15625","-1.96875"
"1573730395282","45","0.30273438","-0.953125","-0.16894531","-3.6875","0.90625","-2.40625"
"1573730395282","46","0.28710938","-0.9482422","-0.15917969","-4.21875","1.28125","-1.53125"
"1573730395282","47","0.29003906","-0.9394531","-0.15234375","-0.6875","2.71875","-2.03125"
"1573730395282","48","0.3017578","-0.93847656","-0.1640625","1.15625","1.5625","-2.15625"
"1573730395284","49","0.29785156","-0.9501953","-0.1796875","4.5625","0.21875","-2.15625"
"1573730395877","50","0.28515625","-0.95214844","-0.15917969","3.9375","-1.125","-2.21875"
"1573730395878","51","0.3173828","-0.9472656","-0.14160156","3.53125","0.40625","-1.1875"
"1573730395878","52","0.26953125","-0.9501953","-0.13964844","-5.5625","-6.78125","-2.15625"
