"# PR data"
"# Start time: 20191114T111454"
"# Subject: jack"
"# Activity type: Knee extension"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573730094770","0","0.21386719","-0.83984375","0.036132812","-19.1875","8.40625","-17.46875"
"1573730094771","1","0.39941406","-0.9033203","-0.087890625","-16.8125","1.75","-9.53125"
"1573730094774","2","0.32617188","-0.9248047","0.0234375","-17.96875","4.3125","-6.1875"
"1573730094775","3","0.26464844","-0.98046875","0.08984375","-19.5","15.125","-9.78125"
"1573730094775","4","0.2763672","-0.9609375","0.0078125","-35.40625","21.59375","-4.90625"
"1573730094775","5","0.31054688","-0.8408203","0.0068359375","-33.875","22.9375","-5.5"
"1573730094776","6","0.37109375","-0.8144531","-0.00390625","-1.84375","11.875","9.25"
"1573730094776","7","0.3544922","-0.97558594","-0.024414062","-9.46875","20.0625","10.375"
"1573730094776","8","0.4169922","-1.0371094","-0.09863281","-15.8125","1.5","7.5625"
"1573730094776","9","0.3203125","-1.0302734","-0.040039062","5.90625","19.625","3.53125"
"1573730095168","10","0.35351562","-1.0410156","-0.0087890625","6.46875","6.15625","4.5625"
"1573730095169","11","0.24511719","-0.9277344","0.0107421875","15.71875","16.78125","-1.46875"
"1573730095169","12","0.20703125","-0.8925781","0.07910156","18.125","17.0","2.65625"
"1573730095170","13","0.20800781","-0.8798828","0.0390625","25.1875","6.15625","7.5"
"1573730095170","14","0.37695312","-0.9667969","-0.025390625","43.25","-0.5","25.9375"
"1573730095171","15","0.4111328","-1.2089844","0.17578125","-13.5","-31.5625","0.40625"
"1573730095171","16","0.19726562","-1.4248047","0.18164062","-46.03125","-40.125","-33.65625"
"1573730095171","17","0.19140625","-0.95996094","0.040039062","5.96875","-12.34375","-13.875"
"1573730095172","18","0.3017578","-0.5986328","0.041992188","-15.625","-3.625","-7.34375"
"1573730095172","19","0.24609375","-0.81640625","0.10253906","-23.6875","18.59375","-14.53125"
"1573730095567","20","0.17871094","-0.7294922","0.1328125","-3.125","4.625","-2.03125"
"1573730095568","21","0.3154297","-0.98046875","0.125","-8.9375","-1.125","-4.03125"
"1573730095568","22","0.24609375","-0.9316406","0.037109375","11.59375","0.28125","-6.3125"
"1573730095568","23","0.3359375","-0.96972656","0.043945312","4.625","-2.03125","-2.21875"
"1573730095568","24","0.2548828","-0.9589844","0.044921875","8.46875","3.21875","-2.21875"
"1573730095570","25","0.29589844","-0.91308594","0.057617188","10.0","-1.34375","4.375"
"1573730095570","26","0.31347656","-0.9580078","0.078125","5.34375","-3.5625","6.6875"
"1573730095570","27","0.24902344","-0.94921875","0.053710938","9.09375","-7.875","10.25"
"1573730095571","28","0.27246094","-0.9472656","0.11230469","0.78125","-3.75","7.375"
"1573730095571","29","0.19042969","-0.92285156","0.017578125","10.0","-11.0625","9.5"
"1573730095963","30","0.5986328","-1.0869141","-0.044921875","1.6875","-14.0","7.8125"
"1573730095963","31","0.32910156","-1.1279297","0.09277344","-4.53125","5.46875","-19.1875"
"1573730095964","32","0.1484375","-0.9638672","0.10546875","-18.875","4.1875","-15.46875"
"1573730095964","33","0.2685547","-0.8671875","0.034179688","-12.28125","6.40625","-23.875"
"1573730095964","34","0.21582031","-0.96972656","0.068359375","-19.3125","19.625","-23.75"
"1573730095964","35","0.2685547","-0.921875","0.08203125","-14.34375","17.6875","-21.75"
"1573730095965","36","0.33496094","-0.9013672","0.060546875","-6.1875","-2.28125","-7.40625"
"1573730095967","37","0.41796875","-0.92285156","0.015625","-12.28125","-2.15625","-3.5625"
"1573730095967","38","0.3642578","-0.92871094","0.041992188","-16.9375","-3.5625","-0.75"
"1573730095967","39","0.34960938","-0.9121094","0.00390625","-5.3125","-4.96875","1.15625"
"1573730096360","40","0.3828125","-0.92285156","-0.0107421875","-6.84375","-0.3125","0.71875"
"1573730096361","41","0.3515625","-0.9042969","-0.009765625","-7.78125","7.5625","-2.8125"
"1573730096361","42","0.31933594","-0.90625","0.021484375","-14.25","10.0","-1.125"
"1573730096362","43","0.32226562","-0.8222656","-0.032226562","-3.25","6.8125","-0.9375"
"1573730096362","44","0.34179688","-0.921875","9.765625E-4","8.84375","5.65625","10.375"
"1573730096362","45","0.30859375","-0.9716797","0.030273438","16.28125","10.84375","4.4375"
"1573730096362","46","0.37109375","-0.9238281","-0.07324219","15.3125","1.03125","18.1875"
"1573730096363","47","0.5107422","-1.0263672","-0.16308594","32.875","-5.8125","28.3125"
"1573730096363","48","0.53125","-1.1689453","0.08984375","-9.96875","-15.53125","21.40625"
"1573730096364","49","0.40722656","-1.140625","0.016601562","-25.28125","-29.3125","13.40625"
"1573730096758","50","0.21875","-0.8564453","0.083984375","-19.1875","-20.65625","5.90625"
"1573730096758","51","0.12695312","-0.7285156","0.08203125","-7.21875","-19.0625","-3.5"
"1573730096758","52","0.0234375","-0.8154297","0.115234375","-7.9375","-15.09375","-2.46875"
"1573730096759","53","0.18945312","-0.9511719","0.055664062","-2.75","-19.375","-2.75"
"1573730096759","54","0.23828125","-1.0234375","-0.046875","1.625","-24.5","-0.75"
"1573730096759","55","0.36914062","-1.0410156","-0.076171875","6.875","-22.59375","4.0"
"1573730096760","56","0.23242188","-1.0351562","-0.08691406","-3.90625","-21.9375","-2.875"
"1573730096760","57","0.35253906","-0.92578125","-0.11425781","-1.40625","-23.5","-0.5"
"1573730096760","58","0.30566406","-0.91308594","-0.11425781","2.25","-25.59375","-2.40625"
"1573730096760","59","0.27441406","-0.9394531","-0.07421875","2.96875","-25.15625","3.90625"
"1573730097156","60","0.23632812","-0.98828125","-0.061523438","-0.4375","-20.65625","-2.53125"
"1573730097158","61","0.2998047","-0.98535156","-0.0546875","-1.25","-8.75","-1.65625"
"1573730097158","62","0.26660156","-0.97558594","-0.00390625","-1.125","-4.28125","-6.53125"
"1573730097158","63","0.26660156","-0.9394531","-0.0107421875","1.375","-0.8125","-6.53125"
"1573730097159","64","0.2626953","-0.8984375","-0.017578125","5.40625","2.5625","-6.53125"
"1573730097159","65","0.32421875","-0.91503906","0.021484375","2.65625","9.375","-9.125"
"1573730097159","66","0.3125","-0.9375","-0.016601562","6.5625","2.1875","-4.09375"
"1573730097160","67","0.33984375","-0.9824219","-0.017578125","4.5625","9.9375","-4.09375"
"1573730097160","68","0.3720703","-0.97558594","-0.01953125","-5.25","9.4375","-2.09375"
"1573730097160","69","0.31933594","-0.9667969","-0.029296875","0.46875","7.90625","-1.1875"
"1573730097553","70","0.32617188","-0.9433594","-0.016601562","-5.25","10.96875","-2.40625"
"1573730097554","71","0.3388672","-0.9433594","-0.03125","-4.84375","10.3125","-1.90625"
"1573730097554","72","0.29882812","-0.9277344","-0.0107421875","-2.625","8.15625","-1.53125"
"1573730097555","73","0.31347656","-0.9814453","-0.026367188","-4.90625","15.25","-1.78125"
"1573730097556","74","0.3359375","-0.9277344","-0.034179688","-10.34375","13.59375","-2.46875"
"1573730097556","75","0.28320312","-0.9589844","-0.0146484375","-11.1875","9.5","-0.5"
"1573730097556","76","0.32421875","-0.9511719","-0.038085938","-5.09375","12.4375","0.09375"
"1573730097557","77","0.30859375","-0.9345703","-0.037109375","-4.71875","11.09375","1.625"
"1573730097557","78","0.29492188","-0.94921875","-0.009765625","-6.96875","10.125","0.78125"
"1573730097557","79","0.296875","-0.95214844","-0.029296875","-2.28125","10.0","1.375"
"1573730097950","80","0.31835938","-0.9423828","-0.044921875","-6.125","8.09375","1.6875"
"1573730097950","81","0.28320312","-0.9814453","-0.041992188","-7.78125","8.09375","-1.34375"
"1573730097950","82","0.3095703","-0.9589844","-0.053710938","-9.21875","8.28125","-2.28125"
"1573730097950","83","0.3203125","-0.9736328","-0.08984375","-6.0625","6.15625","-2.53125"
"1573730097951","84","0.2998047","-0.9716797","-0.06347656","-4.15625","8.84375","-2.875"
"1573730097952","85","0.3330078","-0.9433594","-0.07910156","2.0","12.1875","-0.9375"
"1573730097952","86","0.28710938","-0.88964844","-0.03125","8.34375","23.3125","-4.03125"
"1573730097952","87","0.31347656","-0.9277344","-0.06738281","5.40625","19.40625","-3.5625"
"1573730097953","88","0.3330078","-0.9560547","-0.0390625","2.25","17.5","-4.09375"
"1573730097953","89","0.3359375","-0.94140625","-0.01171875","2.125","19.34375","-4.09375"
"1573730098348","90","0.3466797","-0.9140625","0.0126953125","2.65625","21.90625","-3.0625"
"1573730098348","91","0.31054688","-0.9248047","0.026367188","4.75","19.53125","0.15625"
"1573730098348","92","0.3359375","-0.9453125","0.033203125","5.65625","11.15625","5.34375"
"1573730098349","93","0.25683594","-0.9404297","0.041992188","14.3125","3.71875","10.1875"
"1573730098349","94","0.31347656","-0.9423828","0.0107421875","17.6875","2.78125","12.75"
"1573730098349","95","0.30664062","-0.95703125","0.0625","16.40625","5.78125","10.84375"
"1573730098349","96","0.29296875","-0.9707031","0.068359375","13.96875","0.21875","9.25"
"1573730098352","97","0.2919922","-0.97558594","0.091796875","5.53125","-0.9375","6.21875"
"1573730098352","98","0.25195312","-0.98046875","0.095703125","2.65625","-0.4375","3.34375"
"1573730098353","99","0.24316406","-0.98535156","0.08203125","-1.90625","-1.90625","2.78125"
"1573730098941","100","0.29589844","-1.0117188","0.099609375","-9.0625","-1.3125","-3.5625"
"1573730098942","101","0.2841797","-0.9814453","0.103515625","-7.34375","0.03125","-7.40625"
"1573730098942","102","0.2607422","-0.92871094","0.060546875","-9.59375","1.5","-11.5"
"1573730098942","103","0.2783203","-0.96972656","0.07519531","-14.46875","5.0625","-12.40625"
"1573730098942","104","0.2861328","-1.0019531","0.07324219","-23.5625","3.40625","-19.65625"
"1573730098943","105","0.28320312","-0.9316406","0.026367188","-21.0625","0.71875","-18.5"
"1573730098943","106","0.3564453","-0.9394531","0.040039062","-30.21875","7.3125","-20.15625"
"1573730098943","107","0.28808594","-0.90234375","-0.048828125","-18.9375","3.71875","-17.78125"
"1573730098943","108","0.3935547","-0.8847656","-0.038085938","-13.4375","-7.21875","-9.15625"
"1573730098945","109","0.359375","-0.9013672","-0.06640625","-8.0","-3.875","-4.84375"
"1573730099142","110","0.41015625","-0.93066406","-0.08300781","3.28125","-7.03125","0.46875"
"1573730099142","111","0.36035156","-0.92871094","-0.0546875","-1.34375","-6.96875","-2.03125"
"1573730099142","112","0.37304688","-0.9394531","-0.01953125","2.3125","-1.78125","0.03125"
"1573730099143","113","0.35253906","-0.89160156","0.0107421875","1.9375","-2.75","-0.625"
"1573730099143","114","0.36523438","-0.9345703","0.00390625","1.15625","-5.5","-0.5625"
"1573730099143","115","0.3486328","-0.9560547","0.0078125","0.15625","-3.5625","-0.6875"
"1573730099143","116","0.32226562","-0.92285156","0.005859375","2.0625","5.34375","-2.53125"
"1573730099144","117","0.31347656","-0.9511719","0.016601562","4.3125","13.84375","-3.90625"
"1573730099144","118","0.3359375","-0.9013672","-0.029296875","4.4375","9.125","-1.53125"
"1573730099144","119","0.40429688","-0.9277344","-0.037109375","-5.15625","12.4375","1.75"
"1573730099541","120","0.3359375","-0.9160156","-0.001953125","-7.21875","16.34375","-1.125"
"1573730099541","121","0.3720703","-0.9345703","-0.018554688","-0.5","7.84375","2.5"
"1573730099542","122","0.36914062","-0.9296875","-0.016601562","-0.25","10.53125","-0.1875"
"1573730099542","123","0.3701172","-0.94628906","-0.005859375","-2.34375","4.5","2.71875"
"1573730099542","124","0.34765625","-0.94921875","0.036132812","1.625","2.5625","0.53125"
"1573730099542","125","0.33007812","-0.9003906","0.034179688","2.71875","2.65625","1.5"
"1573730099543","126","0.31054688","-0.91503906","0.040039062","7.90625","0.09375","2.65625"
"1573730099543","127","0.3173828","-0.95214844","0.03125","5.53125","1.5625","3.34375"
"1573730099543","128","0.36035156","-0.9345703","0.017578125","3.40625","1.6875","2.25"
"1573730099543","129","0.3623047","-0.9628906","0.009765625","-1.65625","-1.25","2.1875"
"1573730099938","130","0.3515625","-0.94628906","0.0048828125","-0.25","-2.09375","-0.875"
"1573730099939","131","0.35742188","-0.95214844","-0.0078125","-3.1875","1.5625","-0.375"
"1573730099939","132","0.3701172","-0.92285156","-0.0146484375","-7.875","7.3125","-4.03125"
"1573730099940","133","0.38476562","-0.9345703","-0.030273438","-4.40625","-1.90625","0.34375"
"1573730099940","134","0.44140625","-0.87402344","-0.0146484375","5.1875","-0.1875","2.4375"
"1573730099941","135","0.3154297","-0.90625","0.068359375","7.25","4.0","4.6875"
"1573730099941","136","0.22851562","-0.9609375","0.06542969","10.25","6.15625","-1.96875"
"1573730099941","137","0.38085938","-0.9560547","0.028320312","8.03125","2.375","5.21875"
"1573730099941","138","0.29101562","-0.9140625","0.0234375","4.875","-0.125","3.90625"
"1573730099942","139","0.22558594","-0.9785156","0.045898438","0.90625","0.46875","3.40625"
"1573730100535","140","0.31054688","-0.9970703","0.07910156","-2.59375","2.84375","4.0625"
"1573730100536","141","0.31933594","-0.9003906","0.041015625","1.03125","8.71875","-0.8125"
"1573730100536","142","0.3564453","-0.92871094","0.091796875","-1.34375","0.21875","0.78125"
"1573730100536","143","0.3359375","-0.9160156","0.07421875","-0.4375","1.6875","-0.5"
"1573730100536","144","0.3251953","-0.9453125","0.060546875","-0.375","-1.71875","-1.125"
"1573730100538","145","0.28808594","-0.9580078","0.033203125","-2.46875","-2.8125","0.28125"
"1573730100538","146","0.3173828","-0.95214844","0.0146484375","-2.75","-5.03125","1.3125"
"1573730100538","147","0.3232422","-0.9472656","0.03125","-3.8125","1.4375","-1.71875"
"1573730100539","148","0.31640625","-0.921875","0.02734375","-3.8125","2.59375","-3.0"
"1573730100539","149","0.3388672","-0.9404297","0.028320312","-2.9375","1.8125","-2.21875"
"1573730100931","150","0.328125","-0.93359375","0.025390625","-2.46875","1.28125","-1.71875"
"1573730100931","151","0.32617188","-0.9550781","0.038085938","-1.34375","-1.0625","-0.375"
"1573730100931","152","0.31152344","-0.9423828","0.048828125","-2.28125","1.375","-0.5"
"1573730100932","153","0.31152344","-0.93847656","0.03515625","-3.6875","3.03125","-2.21875"
"1573730100932","154","0.3046875","-0.9501953","0.041992188","-3.4375","3.03125","-2.28125"
"1573730100932","155","0.34472656","-0.9326172","0.028320312","-3.5","4.125","-3.25"
"1573730100932","156","0.3359375","-0.9433594","0.04296875","-3.25","3.28125","-3.25"
"1573730100934","157","0.33007812","-0.9267578","0.03515625","-3.4375","0.65625","-1.25"
"1573730100934","158","0.32226562","-0.9511719","0.018554688","-2.28125","0.28125","-0.5625"
"1573730100934","159","0.3408203","-0.9326172","0.032226562","-2.9375","3.40625","-1.84375"
"1573730101329","160","0.32226562","-0.93652344","0.03125","-2.03125","3.34375","-1.78125"
"1573730101330","161","0.33496094","-0.9296875","0.026367188","-1.53125","2.25","-1.71875"
"1573730101330","162","0.33398438","-0.9326172","0.024414062","-3.1875","3.46875","-2.59375"
"1573730101330","163","0.3330078","-0.9501953","0.026367188","-2.09375","3.28125","-1.84375"
"1573730101330","164","0.31933594","-0.94628906","0.03515625","-0.0625","2.78125","-0.5"
"1573730101331","165","0.3408203","-0.9248047","0.016601562","-0.75","3.15625","0.34375"
"1573730101331","166","0.34472656","-0.93066406","0.036132812","0.03125","2.84375","0.03125"
"1573730101331","167","0.3466797","-0.94140625","0.055664062","-0.3125","1.5","-0.625"
"1573730101331","168","0.34179688","-0.9404297","0.0126953125","0.84375","2.3125","-1.0"
"1573730101332","169","0.3251953","-0.9316406","0.041015625","-1.125","0.46875","-0.5625"
"1573730101727","170","0.3359375","-0.9482422","0.033203125","-2.625","0.59375","-0.6875"
"1573730101728","171","0.32910156","-0.93847656","0.044921875","-2.28125","1.6875","-1.1875"
"1573730101728","172","0.32421875","-0.9375","0.044921875","-1.25","0.59375","0.15625"
"1573730101728","173","0.33789062","-0.9316406","0.028320312","-2.34375","1.28125","-0.5"
"1573730101728","174","0.33984375","-0.9423828","0.037109375","-2.34375","1.5625","-1.3125"
"1573730101729","175","0.32617188","-0.9511719","0.037109375","-5.375","-1.25","-2.28125"
"1573730101729","176","0.33691406","-0.9199219","0.0078125","-6.0625","-0.3125","-3.4375"
"1573730101729","177","0.33789062","-0.9277344","0.032226562","-4.78125","-0.4375","-0.6875"
"1573730101729","178","0.34277344","-0.9423828","0.0146484375","-2.625","0.09375","-1.40625"
"1573730101730","179","0.34472656","-0.92578125","0.01953125","-1.53125","1.5","-1.125"
"1573730102125","180","0.33398438","-0.93652344","0.026367188","-0.8125","2.4375","-0.875"
"1573730102125","181","0.32421875","-0.93847656","0.020507812","1.09375","3.21875","0.15625"
"1573730102126","182","0.33398438","-0.93359375","0.0107421875","-0.0625","2.4375","0.09375"
"1573730102126","183","0.3330078","-0.93847656","0.032226562","0.0","4.0","-0.875"
"1573730102126","184","0.3388672","-0.93652344","0.034179688","0.71875","2.96875","-0.5"
"1573730102126","185","0.34570312","-0.9345703","0.038085938","0.0","2.5","-0.1875"
"1573730102127","186","0.32714844","-0.9433594","0.044921875","0.28125","1.6875","-0.8125"
"1573730102127","187","0.33691406","-0.9355469","0.03515625","-0.375","1.28125","-0.4375"
"1573730102127","188","0.3251953","-0.92871094","0.046875","-2.21875","1.6875","-0.375"
"1573730102128","189","0.33203125","-0.9472656","0.03125","-4.21875","-0.0625","-3.125"
"1573730102523","190","0.35839844","-0.9277344","0.021484375","-3.8125","-0.75","-0.8125"
