"# PR data"
"# Start time: 20191114T112150"
"# Subject: jack"
"# Activity type: Shoulder press"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573730510356","0","0.26660156","-0.9267578","-0.21191406","3.90625","5.90625","-6.90625"
"1573730510357","1","0.30664062","-0.9472656","-0.18554688","23.25","-3.5","-9.46875"
"1573730510357","2","0.27539062","-0.96191406","-0.16796875","26.84375","-8.9375","-8.9375"
"1573730510357","3","0.33496094","-0.9482422","-0.15136719","18.0625","0.65625","-6.78125"
"1573730510357","4","0.30273438","-0.9326172","-0.11621094","-4.15625","7.96875","-1.53125"
"1573730510358","5","0.2578125","-0.9550781","-0.11328125","-19.125","0.84375","-2.09375"
"1573730510358","6","0.2529297","-0.9550781","-0.12109375","-15.875","-3.375","-2.03125"
"1573730510358","7","0.2626953","-0.9501953","-0.14355469","-7.65625","-1.71875","-3.0"
"1573730510358","8","0.328125","-0.92578125","-0.16894531","-2.625","-1.34375","-3.3125"
"1573730510359","9","0.30273438","-0.984375","-0.15039062","2.59375","-1.90625","-2.28125"
"1573730510953","10","0.30566406","-0.9423828","-0.18261719","-2.59375","-7.53125","-1.90625"
"1573730510953","11","0.3173828","-0.9453125","-0.1484375","-4.03125","-5.75","0.46875"
"1573730510954","12","0.28125","-0.9482422","-0.14941406","8.15625","2.65625","-1.0625"
"1573730510954","13","0.2841797","-0.9501953","-0.12792969","1.15625","3.34375","0.71875"
"1573730510954","14","0.27539062","-0.9609375","-0.14746094","-5.21875","-0.625","0.21875"
"1573730510954","15","0.28320312","-0.95410156","-0.14941406","-3.0625","1.28125","1.4375"
"1573730510955","16","0.26367188","-0.9482422","-0.13867188","-6.90625","5.71875","1.875"
"1573730510955","17","0.24121094","-0.9560547","-0.15234375","-8.0625","9.625","1.15625"
"1573730510955","18","0.2783203","-0.9560547","-0.20117188","-1.34375","9.3125","0.0"
"1573730510956","19","0.2529297","-0.9472656","-0.17382812","0.96875","13.15625","-0.5625"
"1573730511151","20","0.29492188","-0.9560547","-0.16210938","6.6875","8.71875","-0.8125"
"1573730511151","21","0.30664062","-0.953125","-0.14160156","5.59375","7.90625","0.84375"
"1573730511151","22","0.31152344","-0.9560547","-0.12597656","5.34375","2.0625","1.3125"
"1573730511152","23","0.296875","-0.94433594","-0.13085938","3.59375","-1.3125","0.65625"
"1573730511152","24","0.28222656","-0.94628906","-0.13183594","0.03125","0.53125","0.40625"
"1573730511153","25","0.2783203","-0.9589844","-0.1328125","-1.125","0.90625","0.78125"
"1573730511154","26","0.26660156","-0.9453125","-0.140625","-4.34375","-1.65625","0.53125"
"1573730511154","27","0.29882812","-0.95996094","-0.16015625","1.21875","3.34375","0.78125"
"1573730511154","28","0.25976562","-0.9482422","-0.13769531","-6.59375","1.09375","-0.875"
"1573730511154","29","0.26757812","-0.95410156","-0.13476562","-1.46875","1.3125","0.0"
"1573730511944","30","0.26464844","-0.95996094","-0.12988281","-3.125","4.6875","-1.25"
"1573730511944","31","0.26953125","-0.96484375","-0.12695312","-2.03125","4.0625","-0.625"
"1573730511945","32","0.2890625","-0.94628906","-0.13867188","-2.03125","3.84375","-0.875"
"1573730511945","33","0.2578125","-0.9667969","-0.14453125","0.90625","2.84375","-1.0625"
"1573730511945","34","0.29296875","-0.95214844","-0.13183594","-1.96875","2.5","-1.0"
"1573730511946","35","0.2783203","-0.94921875","-0.12109375","-1.125","3.34375","-0.9375"
"1573730511946","36","0.25683594","-0.9501953","-0.11816406","-2.6875","3.71875","-0.8125"
"1573730511947","37","0.27734375","-0.96191406","-0.15039062","2.65625","1.375","-2.15625"
"1573730511947","38","0.29589844","-0.95703125","-0.12792969","0.71875","2.65625","-0.75"
"1573730511947","39","0.29101562","-0.93847656","-0.1015625","4.1875","4.375","-1.46875"
"1573730512147","40","0.26464844","-0.9628906","-0.12109375","10.78125","-3.4375","-0.625"
"1573730512148","41","0.2685547","-0.96972656","-0.15722656","5.84375","-7.59375","-0.25"
"1573730512148","42","0.30664062","-0.96484375","-0.111328125","5.28125","-3.375","-0.625"
"1573730512148","43","0.26660156","-0.94628906","-0.078125","0.28125","-8.1875","-1.46875"
"1573730512149","44","0.26367188","-0.96972656","-0.123046875","8.53125","-8.9375","-2.625"
"1573730512149","45","0.265625","-0.96777344","-0.1015625","3.9375","-3.375","-2.21875"
"1573730512149","46","0.25878906","-0.9501953","-0.08984375","2.4375","-3.625","-1.96875"
"1573730512149","47","0.28125","-0.96777344","-0.119140625","5.40625","-0.6875","-1.25"
"1573730512150","48","0.296875","-0.9638672","-0.123046875","5.96875","-0.8125","-0.5"
"1573730512151","49","0.2890625","-0.94628906","-0.09667969","4.0625","-0.875","-0.375"
"1573730512544","50","0.2890625","-0.9550781","-0.11230469","3.15625","-4.15625","-0.5"
"1573730512545","51","0.27539062","-0.9423828","-0.1015625","10.125","-5.4375","-0.8125"
"1573730512545","52","0.3095703","-0.9423828","-0.08691406","9.75","-3.5625","1.3125"
"1573730512545","53","0.2783203","-0.9736328","-0.08691406","9.09375","-9.34375","1.5"
"1573730512545","54","0.265625","-0.98046875","-0.05859375","10.65625","-9.125","-1.25"
"1573730512546","55","0.2607422","-0.9355469","-0.029296875","4.8125","-3.125","-1.3125"
"1573730512546","56","0.28125","-0.9746094","-0.021484375","-2.46875","1.375","-0.1875"
"1573730512546","57","0.26660156","-0.9794922","-0.068359375","-4.21875","-1.78125","-2.15625"
"1573730512546","58","0.2841797","-0.9375","-0.083984375","-9.53125","0.09375","-2.9375"
"1573730512547","59","0.32910156","-0.9472656","-0.09863281","-11.5625","-1.0","-1.46875"
"1573730512940","60","0.22949219","-0.97753906","-0.103515625","-8.8125","1.28125","-6.25"
"1573730512941","61","0.22363281","-0.95703125","-0.059570312","-6.84375","10.125","-9.15625"
"1573730512941","62","0.36523438","-0.953125","-0.06347656","-4.40625","-0.1875","-5.25"
"1573730512942","63","0.3486328","-0.9560547","-0.09863281","7.0625","-3.875","-1.96875"
"1573730512942","64","0.29003906","-0.96484375","-0.099609375","1.15625","-6.53125","2.0"
"1573730512942","65","0.26367188","-0.96875","-0.09667969","-8.9375","-6.0625","-0.875"
"1573730512942","66","0.2607422","-0.9248047","-0.09375","-10.15625","-0.0625","0.84375"
"1573730512943","67","0.31054688","-0.97753906","-0.095703125","-5.5625","2.65625","3.53125"
"1573730512943","68","0.2578125","-0.9560547","-0.09667969","-7.40625","1.375","2.5"
"1573730512943","69","0.296875","-0.9511719","-0.12792969","-3.6875","0.15625","2.84375"
"1573730513341","70","0.27734375","-0.9667969","-0.13769531","-6.1875","2.0","0.09375"
"1573730513342","71","0.29492188","-0.9345703","-0.115234375","-6.96875","0.40625","0.40625"
"1573730513342","72","0.24023438","-0.9951172","-0.12792969","-13.125","-1.0625","-6.90625"
"1573730513343","73","0.27246094","-0.9277344","-0.13183594","-13.5625","7.4375","-7.8125"
"1573730513344","74","0.29296875","-0.97265625","-0.125","-14.65625","-1.3125","-6.59375"
