"# PR data"
"# Start time: 20191119T194902"
"# Subject: joao"
"# Activity type: Bicep curl"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574192943455","0","0.20019531","-0.9472656","-0.3017578","5.90625","6.5625","2.71875"
"1574192943456","1","0.20019531","-0.94628906","-0.28808594","4.1875","5.34375","3.34375"
"1574192943456","2","0.20898438","-0.953125","-0.28515625","0.0","0.71875","2.65625"
"1574192943456","3","0.2109375","-0.95214844","-0.29785156","6.875","0.65625","2.90625"
"1574192943456","4","0.19238281","-0.9472656","-0.27539062","6.875","0.71875","1.8125"
"1574192943457","5","0.171875","-0.9667969","-0.27246094","3.09375","0.78125","2.4375"
"1574192943457","6","0.15625","-0.9628906","-0.28515625","3.46875","-0.125","1.03125"
"1574192943457","7","0.171875","-0.95996094","-0.28222656","4.25","0.28125","0.15625"
"1574192943458","8","0.18261719","-0.9609375","-0.25976562","2.71875","3.21875","2.4375"
"1574192943458","9","0.18359375","-0.9638672","-0.2705078","0.71875","6.6875","3.09375"
"1574192943657","10","0.17675781","-0.9658203","-0.2783203","-0.9375","8.09375","2.1875"
"1574192943657","11","0.18066406","-0.9482422","-0.2734375","-2.40625","6.75","2.0"
"1574192943658","12","0.18457031","-0.95703125","-0.26367188","-2.59375","8.09375","1.15625"
"1574192943659","13","0.18261719","-0.9638672","-0.26367188","-2.28125","6.28125","-0.1875"
"1574192943659","14","0.18652344","-0.9667969","-0.26953125","-2.28125","3.84375","-1.34375"
"1574192943660","15","0.18652344","-0.9628906","-0.27734375","-3.96875","3.46875","-2.6875"
"1574192943660","16","0.18359375","-0.9550781","-0.28027344","-2.09375","3.28125","-2.875"
"1574192943660","17","0.17871094","-0.95996094","-0.25976562","-4.46875","1.4375","-2.875"
"1574192943661","18","0.17773438","-0.95996094","-0.2734375","-8.5","-1.0","-4.96875"
"1574192943661","19","0.18847656","-0.9589844","-0.28515625","-2.46875","0.28125","-2.9375"
"1574192944057","20","0.18164062","-0.9560547","-0.2763672","-3.0625","1.9375","-2.59375"
"1574192944058","21","0.17675781","-0.95703125","-0.28027344","-3.75","3.40625","-1.53125"
"1574192944058","22","0.17480469","-0.9589844","-0.28515625","-3.4375","3.34375","-1.0625"
"1574192944058","23","0.18066406","-0.9580078","-0.28027344","-3.3125","1.6875","-2.09375"
"1574192944058","24","0.19433594","-0.953125","-0.28515625","-2.09375","1.4375","-1.1875"
"1574192944059","25","0.19335938","-0.9560547","-0.28320312","-1.84375","4.25","-0.6875"
"1574192944059","26","0.18261719","-0.95703125","-0.28320312","-1.71875","3.46875","-1.0625"
"1574192944059","27","0.1875","-0.9609375","-0.29003906","-1.0","1.09375","-1.25"
"1574192944060","28","0.1953125","-0.95410156","-0.29101562","-2.21875","1.8125","-1.46875"
"1574192944060","29","0.1953125","-0.9589844","-0.29003906","-1.25","3.84375","-0.3125"
"1574192944452","30","0.19824219","-0.9501953","-0.3017578","1.03125","3.59375","0.65625"
"1574192944452","31","0.19824219","-0.9472656","-0.27539062","-1.46875","0.71875","-0.6875"
"1574192944453","32","0.17089844","-0.96191406","-0.27734375","-5.75","-6.0","-3.6875"
"1574192944453","33","0.17089844","-0.9716797","-0.29785156","-6.3125","-6.125","-6.5"
"1574192944453","34","0.1796875","-0.94628906","-0.28710938","-7.65625","-6.1875","-6.90625"
"1574192944453","35","0.18066406","-0.9433594","-0.28710938","-4.21875","0.96875","-2.40625"
"1574192944454","36","0.18945312","-0.96484375","-0.328125","-6.5","1.625","-4.65625"
"1574192944454","37","0.20214844","-0.953125","-0.32226562","-0.5625","0.21875","-2.15625"
"1574192944454","38","0.19335938","-0.9326172","-0.31640625","-2.15625","5.96875","-0.375"
"1574192944455","39","0.203125","-0.9296875","-0.30078125","-2.15625","6.625","-0.5625"
"1574192944850","40","0.21875","-0.94140625","-0.32910156","-2.34375","4.125","1.3125"
"1574192944850","41","0.20703125","-0.94921875","-0.32421875","-1.59375","2.3125","-0.6875"
"1574192944850","42","0.19140625","-0.9482422","-0.3076172","0.28125","0.90625","-1.96875"
"1574192944850","43","0.20507812","-0.93359375","-0.3173828","-0.5625","0.59375","-1.1875"
"1574192944851","44","0.20117188","-0.9433594","-0.31445312","-0.8125","3.65625","-0.1875"
"1574192944851","45","0.18261719","-0.9589844","-0.2939453","-1.3125","2.59375","-2.28125"
"1574192944851","46","0.1875","-0.96972656","-0.29785156","-0.375","-1.125","-3.0625"
"1574192944851","47","0.18847656","-0.953125","-0.296875","-3.0625","1.15625","-2.53125"
"1574192944852","48","0.18652344","-0.95214844","-0.29785156","-3.125","1.625","-3.5625"
"1574192944852","49","0.19238281","-0.9589844","-0.3017578","-3.5625","0.65625","-2.59375"
"1574192945443","50","0.203125","-0.9501953","-0.30371094","-3.8125","-3.75","-4.28125"
"1574192945444","51","0.20898438","-0.94628906","-0.3154297","-1.96875","-0.6875","-2.8125"
"1574192945444","52","0.19824219","-0.9345703","-0.3095703","0.46875","2.65625","-2.03125"
"1574192945444","53","0.19335938","-0.9433594","-0.30566406","2.1875","0.71875","-1.53125"
"1574192945445","54","0.22558594","-0.93847656","-0.3232422","2.96875","1.4375","0.65625"
"1574192945445","55","0.20214844","-0.93847656","-0.31347656","3.21875","3.21875","0.0"
"1574192945445","56","0.19628906","-0.94628906","-0.31933594","7.96875","-3.0","-1.46875"
"1574192945445","57","0.20703125","-0.9394531","-0.30859375","3.59375","0.34375","1.3125"
"1574192945446","58","0.203125","-0.9580078","-0.2998047","3.34375","0.90625","0.71875"
"1574192945446","59","0.18554688","-0.94628906","-0.3017578","8.34375","5.46875","1.8125"
"1574192945646","60","0.18261719","-0.9433594","-0.30273438","0.78125","8.84375","2.65625"
"1574192945647","61","0.18457031","-0.9638672","-0.29882812","7.5","10.46875","2.84375"
"1574192945648","62","0.1875","-0.96484375","-0.2705078","-1.84375","5.59375","1.21875"
"1574192945648","63","0.19433594","-0.9628906","-0.2607422","0.03125","4.6875","1.6875"
"1574192945648","64","0.1953125","-0.9609375","-0.3095703","3.78125","5.34375","2.375"
"1574192945648","65","0.20703125","-0.9472656","-0.25683594","-0.8125","3.53125","2.0625"
"1574192945649","66","0.18554688","-0.953125","-0.24023438","-3.1875","6.5","0.03125"
"1574192945649","67","0.19726562","-0.96875","-0.26757812","2.71875","2.0","0.96875"
"1574192945649","68","0.21191406","-0.9667969","-0.2607422","0.84375","-0.8125","-1.65625"
"1574192945649","69","0.19140625","-0.9501953","-0.23925781","0.15625","-0.3125","-1.46875"
"1574192946042","70","0.16992188","-0.9560547","-0.25683594","0.0","-2.34375","-2.9375"
"1574192946043","71","0.1796875","-0.9580078","-0.2783203","-2.03125","-5.5625","-4.78125"
"1574192946043","72","0.19921875","-0.9550781","-0.2841797","-1.40625","-4.84375","-4.34375"
"1574192946044","73","0.19726562","-0.95410156","-0.2763672","-2.53125","-0.9375","-3.625"
"1574192946045","74","0.19238281","-0.95214844","-0.28222656","-2.46875","1.09375","-1.3125"
"1574192946045","75","0.19335938","-0.94628906","-0.29882812","-3.25","1.8125","-0.5625"
"1574192946045","76","0.19726562","-0.9482422","-0.30273438","-2.46875","0.96875","-0.1875"
"1574192946045","77","0.22167969","-0.95703125","-0.29296875","-3.125","2.5","1.625"
"1574192946046","78","0.21582031","-0.93847656","-0.2763672","-2.9375","4.8125","2.5625"
"1574192946046","79","0.20410156","-0.94433594","-0.2841797","-1.78125","2.375","2.375"
"1574192946440","80","0.1953125","-0.9511719","-0.30371094","-1.40625","3.03125","2.71875"
"1574192946441","81","0.19335938","-0.9628906","-0.28027344","-1.0","2.59375","1.75"
"1574192946442","82","0.18066406","-0.9580078","-0.2685547","-3.25","-0.0625","0.0"
"1574192946442","83","0.16015625","-0.9736328","-0.27246094","-0.5","2.59375","-0.875"
"1574192946442","84","0.16699219","-0.9736328","-0.27148438","-1.71875","-0.1875","-3.5625"
"1574192946443","85","0.18164062","-0.9638672","-0.26464844","-2.6875","0.28125","-3.75"
"1574192946443","86","0.18359375","-0.96484375","-0.26660156","-3.1875","1.75","-2.59375"
"1574192946443","87","0.18164062","-0.9638672","-0.2685547","-3.5","1.4375","-2.40625"
"1574192946444","88","0.17285156","-0.9609375","-0.28320312","-5.03125","-1.0625","-2.34375"
"1574192946444","89","0.1796875","-0.9609375","-0.2939453","-4.53125","-1.3125","-2.8125"
"1574192946838","90","0.18066406","-0.95214844","-0.28125","-2.625","0.21875","-2.53125"
"1574192946838","91","0.1875","-0.94628906","-0.2890625","-3.625","0.65625","-1.90625"
"1574192946839","92","0.18457031","-0.94433594","-0.30273438","-1.53125","1.03125","-2.28125"
"1574192946839","93","0.18261719","-0.953125","-0.30371094","-0.25","-0.0625","-2.40625"
"1574192946839","94","0.19726562","-0.9326172","-0.30273438","2.0","2.1875","-2.09375"
"1574192946839","95","0.18554688","-0.953125","-0.3046875","1.15625","2.78125","-2.15625"
"1574192946839","96","0.20898438","-0.9550781","-0.3095703","2.84375","-1.0625","-2.8125"
"1574192946840","97","0.19140625","-0.9404297","-0.28222656","-2.59375","2.96875","-3.0"
"1574192946840","98","0.20214844","-0.95996094","-0.30371094","2.65625","3.34375","-0.1875"
