"# PR data"
"# Start time: 20191119T195004"
"# Subject: joao"
"# Activity type: Shoulder press"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574193004675","0","-0.14453125","-1.0009766","-0.34179688","-3.5625","51.5","28.71875"
"1574193004675","1","-0.08691406","-0.96972656","-0.28320312","14.375","24.28125","24.75"
"1574193004675","2","0.22167969","-0.9824219","-0.14648438","11.03125","13.65625","20.5625"
"1574193004676","3","0.2705078","-1.0205078","-0.2421875","-1.125","56.9375","24.03125"
"1574193004676","4","0.046875","-1.0439453","-0.36523438","-11.78125","60.84375","23.78125"
"1574193004676","5","0.048828125","-1.0341797","-0.37402344","-5.03125","18.0","2.0"
"1574193004676","6","0.2919922","-0.93652344","-0.2626953","5.34375","13.40625","-7.8125"
"1574193004677","7","0.265625","-0.8730469","-0.24121094","-13.0625","34.09375","-0.75"
"1574193004677","8","0.064453125","-0.8828125","-0.3251953","-36.40625","28.78125","2.4375"
"1574193004677","9","0.03125","-1.0166016","-0.3720703","-24.6875","5.46875","-7.46875"
"1574193005664","10","0.13867188","-1.1171875","-0.33691406","-12.34375","-1.40625","-13.03125"
"1574193005665","11","0.11230469","-1.0263672","-0.2529297","-10.03125","12.0","-8.9375"
"1574193005665","12","0.115234375","-1.0146484","-0.19726562","-20.65625","-1.59375","-10.5"
"1574193005666","13","0.14550781","-0.8378906","-0.18945312","6.40625","-6.96875","-11.4375"
"1574193005667","14","0.12988281","-0.78222656","-0.2861328","2.125","1.75","-1.84375"
"1574193005667","15","0.12011719","-0.93847656","-0.37109375","-41.34375","17.6875","0.21875"
"1574193005668","16","0.13476562","-1.1074219","-0.28027344","6.875","10.0625","-2.15625"
"1574193005668","17","0.16992188","-0.9921875","-0.20214844","13.21875","-1.3125","-6.0625"
"1574193005668","18","0.2109375","-0.9501953","-0.22265625","-6.71875","1.4375","-4.78125"
"1574193005668","19","0.19921875","-0.99609375","-0.2861328","-4.71875","6.03125","4.25"
"1574193005669","20","0.14453125","-0.953125","-0.29882812","1.375","0.90625","-3.90625"
"1574193005669","21","0.15234375","-0.92089844","-0.28222656","5.84375","-10.75","-7.53125"
"1574193005669","22","0.1875","-0.9482422","-0.28125","-5.03125","-9.15625","-7.71875"
"1574193005669","23","0.21386719","-0.97265625","-0.26757812","-1.125","0.34375","-6.1875"
"1574193005670","24","0.16992188","-0.96191406","-0.2626953","3.21875","2.3125","-3.8125"
"1574193005670","25","0.15136719","-0.95703125","-0.2783203","-1.3125","0.78125","-5.15625"
"1574193005670","26","0.17382812","-0.9638672","-0.2529297","1.5","-3.0","-3.96875"
"1574193005670","27","0.17480469","-0.9707031","-0.2607422","0.40625","-0.6875","-2.875"
"1574193005671","28","0.17871094","-0.95996094","-0.2734375","1.5625","-0.1875","-3.5"
"1574193005671","29","0.16992188","-0.9658203","-0.26757812","1.9375","-3.96875","-4.21875"
"1574193006261","30","0.17773438","-0.9638672","-0.27246094","0.15625","-1.90625","-3.5"
"1574193006261","31","0.17285156","-0.96777344","-0.2783203","0.21875","1.09375","-1.90625"
"1574193006262","32","0.16210938","-0.95996094","-0.27734375","1.8125","0.90625","-1.3125"
"1574193006262","33","0.15722656","-0.9638672","-0.26660156","-0.0625","1.625","-0.8125"
