"# PR data"
"# Start time: 20191119T194756"
"# Subject: joao"
"# Activity type: Heel raises"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574192876878","0","0.099609375","-1.2167969","-0.27441406","-19.90625","-0.875","-3.125"
"1574192876878","1","0.0078125","-1.1845703","-0.39941406","-27.71875","12.0","-22.78125"
"1574192876878","2","0.11621094","-0.796875","-0.21679688","0.0","12.5","-12.71875"
"1574192876879","3","0.17871094","-0.7949219","-0.20800781","-31.21875","11.46875","9.6875"
"1574192876879","4","0.26171875","-0.8935547","-0.15039062","-23.5","-1.78125","20.625"
"1574192876879","5","0.14160156","-1.1630859","-0.29101562","-9.65625","6.625","3.21875"
"1574192876879","6","0.0068359375","-1.1611328","-0.4169922","-15.53125","6.21875","-16.9375"
"1574192876880","7","0.10839844","-0.9121094","-0.21972656","1.21875","10.0625","-15.59375"
"1574192876880","8","0.1953125","-0.79003906","-0.21875","-13.75","5.1875","-7.09375"
"1574192876880","9","0.2265625","-0.8798828","-0.29589844","-35.65625","-11.3125","9.03125"
"1574192877274","10","0.08203125","-1.0878906","-0.36621094","-23.15625","-6.90625","-33.59375"
"1574192877275","11","0.025390625","-0.890625","-0.3310547","23.71875","7.8125","-34.125"
"1574192877275","12","0.15136719","-0.8154297","-0.26464844","-12.90625","9.75","12.1875"
"1574192877276","13","0.23925781","-1.0634766","-0.31347656","-41.65625","-34.875","21.46875"
"1574192877276","14","0.12402344","-1.1152344","-0.50390625","0.40625","54.90625","-47.6875"
"1574192877277","15","0.0","-0.83691406","-0.3095703","14.375","17.0625","-23.4375"
"1574192877277","16","0.038085938","-0.8769531","-0.2919922","-29.9375","41.125","15.71875"
"1574192877277","17","0.35839844","-0.91503906","-0.27734375","-7.15625","18.90625","34.03125"
"1574192877278","18","0.3310547","-0.86328125","-0.30371094","-2.15625","19.28125","39.71875"
"1574192877278","19","0.111328125","-1.1826172","-0.4765625","15.1875","9.5","16.53125"
"1574192877871","20","0.034179688","-1.0205078","-0.4169922","17.4375","-1.78125","-2.40625"
"1574192877871","21","0.12695312","-0.93847656","-0.20703125","7.90625","7.6875","8.15625"
"1574192877871","22","0.13964844","-0.80859375","-0.25","-14.3125","5.28125","5.78125"
"1574192877871","23","0.23339844","-1.0234375","-0.3671875","-6.1875","22.125","-11.125"
"1574192877872","24","0.21484375","-0.9560547","-0.2626953","-2.59375","-4.90625","-7.28125"
"1574192877873","25","0.15332031","-0.9296875","-0.2626953","-7.21875","2.375","-10.875"
"1574192877873","26","0.14453125","-0.97558594","-0.31445312","0.15625","-10.75","-10.28125"
"1574192877873","27","0.15917969","-0.9326172","-0.3017578","2.375","-15.03125","-11.25"
"1574192877874","28","0.171875","-0.9277344","-0.36914062","3.34375","1.5625","-13.4375"
"1574192877874","29","0.14746094","-0.9472656","-0.33007812","3.03125","-9.90625","-5.6875"
"1574192878071","30","0.16796875","-0.9482422","-0.28808594","7.3125","-6.90625","-2.40625"
"1574192878072","31","0.1484375","-0.95703125","-0.32617188","-8.625","-1.1875","-1.96875"
"1574192878072","32","0.12207031","-0.94628906","-0.36523438","4.4375","3.65625","5.78125"
"1574192878072","33","0.14355469","-0.9160156","-0.34277344","-5.8125","12.6875","-2.28125"
"1574192878072","34","0.203125","-0.91015625","-0.34570312","-5.15625","15.25","4.5625"
"1574192878073","35","0.18847656","-0.9121094","-0.34570312","-4.28125","21.96875","4.6875"
"1574192878073","36","0.20214844","-0.9199219","-0.32421875","2.65625","19.21875","-0.375"
"1574192878074","37","0.23046875","-0.9580078","-0.34277344","-1.46875","20.0","2.84375"
"1574192878074","38","0.2685547","-0.96191406","-0.33007812","-8.75","13.09375","6.5625"
"1574192878075","39","0.26953125","-0.92285156","-0.32714844","-5.3125","-5.3125","3.46875"
"1574192878467","40","0.25878906","-0.92285156","-0.34472656","-1.53125","-9.0","3.53125"
"1574192878468","41","0.1328125","-0.8544922","-0.31152344","1.6875","-7.46875","-0.8125"
"1574192878468","42","0.09082031","-0.94628906","-0.30371094","-5.21875","-0.0625","-13.25"
"1574192878468","43","0.13085938","-1.0224609","-0.36816406","-1.90625","-0.5625","-14.53125"
"1574192878469","44","0.20996094","-0.9560547","-0.3359375","4.0625","-2.53125","3.34375"
"1574192878469","45","0.23535156","-0.88183594","-0.3046875","17.0","-10.15625","10.375"
"1574192878469","46","0.22363281","-0.91503906","-0.30273438","15.125","-4.15625","9.25"
"1574192878469","47","0.13183594","-0.9667969","-0.3515625","10.78125","-0.9375","4.25"
"1574192878470","48","0.13476562","-0.96972656","-0.35351562","8.46875","2.1875","0.21875"
"1574192878471","49","0.17480469","-0.9609375","-0.28125","9.5","-9.90625","2.96875"
"1574192878867","50","0.19238281","-0.9609375","-0.33203125","5.1875","-2.625","-2.40625"
"1574192878867","51","0.15234375","-0.93359375","-0.27148438","2.0","0.21875","-2.03125"
"1574192878868","52","0.13574219","-0.9892578","-0.2919922","7.96875","-3.96875","5.90625"
"1574192878868","53","0.19921875","-0.9794922","-0.32128906","12.4375","-6.53125","12.75"
"1574192878868","54","0.20117188","-0.9814453","-0.2919922","19.46875","-15.875","14.28125"
"1574192878869","55","0.11425781","-1.0205078","-0.27929688","12.1875","-17.46875","12.75"
"1574192878869","56","0.08105469","-1.0849609","-0.2626953","23.125","-2.53125","24.65625"
"1574192878869","57","0.043945312","-1.2148438","-0.20605469","17.625","5.65625","27.4375"
"1574192878869","58","0.029296875","-1.2529297","-0.21386719","9.1875","-16.75","23.71875"
"1574192878870","59","0.0703125","-1.1914062","-0.2607422","15.3125","7.125","11.8125"
"1574192879263","60","-0.0029296875","-1.0146484","-0.18554688","0.15625","13.15625","8.46875"
"1574192879265","61","-0.060546875","-0.8574219","-0.060546875","7.25","2.65625","3.71875"
"1574192879265","62","0.01171875","-0.7734375","-0.083984375","3.15625","-14.65625","3.34375"
"1574192879265","63","0.06347656","-0.8876953","-0.12988281","2.90625","8.21875","8.15625"
"1574192879266","64","0.0146484375","-0.94628906","-0.16992188","7.5","6.09375","2.4375"
"1574192879266","65","-0.030273438","-0.91015625","-0.13671875","7.375","4.0","-3.3125"
"1574192879266","66","0.005859375","-0.84375","-0.16210938","-1.25","2.25","-0.875"
"1574192879266","67","0.025390625","-0.92871094","-0.1953125","-7.46875","4.3125","4.875"
"1574192879267","68","0.041992188","-1.0283203","-0.15136719","1.15625","1.375","4.0625"
"1574192879267","69","0.045898438","-0.96191406","-0.12597656","10.65625","-0.5625","1.625"
"1574192879858","70","0.0029296875","-0.95703125","-0.059570312","5.0","3.46875","5.78125"
"1574192879859","71","-0.0703125","-0.96777344","-0.11035156","9.5625","9.125","13.03125"
"1574192879859","72","-0.09082031","-0.92089844","-0.12988281","4.0","-4.03125","5.59375"
"1574192879860","73","-0.041992188","-0.82714844","-0.061523438","7.1875","-8.0","5.0"
"1574192879860","74","-0.020507812","-0.71972656","-0.115234375","2.0","11.15625","-4.03125"
"1574192879861","75","-0.001953125","-0.8544922","-0.22167969","8.34375","2.4375","-9.0625"
"1574192879861","76","0.020507812","-1.1845703","-0.07519531","-1.3125","0.46875","3.34375"
"1574192879861","77","-0.046875","-1.0507812","0.001953125","8.46875","18.0625","-1.46875"
"1574192879861","78","0.026367188","-0.9316406","-0.14746094","-0.5625","-15.625","-7.03125"
"1574192879862","79","0.11621094","-1.4267578","-0.30078125","-12.65625","-15.40625","-1.71875"
"1574192880057","80","-0.09472656","-2.0","-0.203125","-21.5","72.4375","-18.625"
"1574192880058","81","-0.051757812","-0.6044922","-0.28515625","-4.46875","-21.375","-33.34375"
"1574192880058","82","0.07910156","-0.47753906","-0.12207031","60.96875","-44.625","-0.5625"
"1574192880058","83","0.18457031","-0.8105469","-0.020507812","-37.0625","-9.53125","32.53125"
"1574192880059","84","0.07128906","-1.2988281","-0.3857422","-64.71875","108.1875","5.90625"
"1574192880059","85","-0.16308594","-1.125","-0.34375","51.0","-17.34375","-6.3125"
"1574192880060","86","0.12792969","-0.921875","-0.15332031","1.8125","-7.34375","-10.875"
"1574192880060","87","0.15136719","-0.8886719","-0.0546875","-8.625","39.71875","24.75"
"1574192880060","88","-0.001953125","-0.9716797","-0.28222656","-4.96875","16.84375","31.71875"
"1574192880061","89","-0.0234375","-1.0664062","-0.26757812","2.25","19.40625","12.625"
"1574192880455","90","0.09082031","-1.0224609","-0.16015625","7.0625","-7.03125","-0.5625"
"1574192880456","91","0.115234375","-0.9941406","-0.15527344","-2.34375","4.125","8.46875"
"1574192880456","92","0.047851562","-1.0371094","-0.20214844","-0.25","8.53125","9.03125"
"1574192880456","93","-0.047851562","-1.1064453","-0.18164062","2.4375","9.25","2.65625"
"1574192880457","94","-0.052734375","-1.1025391","-0.119140625","-7.53125","1.4375","-5.75"
"1574192880457","95","-0.06542969","-1.1630859","-0.07421875","-4.59375","2.4375","-7.15625"
"1574192880457","96","-0.055664062","-1.1484375","-0.13964844","-9.28125","-4.78125","-16.0625"
"1574192880458","97","-0.03125","-1.0644531","-0.11425781","1.28125","-19.71875","-13.125"
"1574192880459","98","0.01953125","-0.92871094","-0.095703125","11.53125","-16.1875","-9.46875"
"1574192880459","99","0.0","-0.8408203","-0.072265625","9.875","-7.09375","-4.59375"
"1574192880852","100","-0.029296875","-0.7451172","-0.095703125","7.1875","-9.125","2.375"
"1574192880852","101","-0.040039062","-0.70996094","-0.12695312","-3.5625","-12.03125","-2.40625"
"1574192880852","102","-0.024414062","-0.7792969","-0.171875","-4.46875","-11.25","-3.96875"
"1574192880853","103","-0.009765625","-0.9248047","-0.13671875","-5.03125","-3.6875","1.03125"
"1574192880853","104","-0.05078125","-0.9892578","-0.060546875","-4.03125","0.34375","3.21875"
"1574192880853","105","-0.041992188","-1.0888672","-0.080078125","2.71875","1.5625","4.9375"
"1574192880853","106","-0.059570312","-1.0449219","-0.109375","-0.5625","3.46875","3.03125"
"1574192880854","107","-0.041015625","-1.0185547","-0.14941406","-1.125","1.625","1.21875"
"1574192880854","108","-0.01171875","-1.0351562","-0.15234375","2.0625","2.125","2.375"
"1574192880855","109","-0.015625","-0.9628906","-0.09277344","1.625","7.90625","0.65625"
"1574192881251","110","-0.0390625","-1.0205078","-0.10253906","-1.90625","12.8125","-1.125"
"1574192881251","111","-0.053710938","-1.0537109","-0.19433594","-5.15625","9.1875","0.78125"
"1574192881252","112","-0.018554688","-0.99902344","-0.14160156","1.625","13.40625","1.375"
"1574192881252","113","0.015625","-0.9765625","-0.11230469","0.15625","13.28125","-0.1875"
"1574192881252","114","-0.018554688","-0.9033203","-0.171875","-2.625","7.96875","-4.28125"
"1574192881252","115","0.038085938","-0.98828125","-0.25878906","-1.34375","7.1875","-10.8125"
"1574192881253","116","0.19140625","-1.5390625","-0.2705078","-20.03125","32.8125","-4.34375"
"1574192881253","117","0.01171875","-0.90625","-0.17089844","-12.15625","21.40625","-15.625"
"1574192881253","118","-0.0146484375","-0.7685547","-0.14257812","7.5625","-4.84375","-13.1875"
"1574192881253","119","0.09765625","-0.9941406","-0.17382812","-25.21875","-16.6875","0.28125"
"1574192881648","120","0.16015625","-1.1054688","-0.33398438","-16.6875","28.84375","-9.71875"
"1574192881650","121","0.09375","-0.9511719","-0.21582031","1.5","0.34375","-24.625"
"1574192881650","122","0.111328125","-0.94921875","-0.18847656","-14.34375","-18.9375","-23.40625"
"1574192881650","123","0.08886719","-1.0546875","-0.20605469","-17.28125","10.1875","-2.21875"
"1574192881651","124","0.06640625","-1.140625","-0.25","-4.96875","1.4375","6.8125"
"1574192881651","125","0.048828125","-1.0556641","-0.14648438","-1.0","-5.5","5.0625"
"1574192881651","126","0.02734375","-1.0703125","-0.15332031","4.625","-12.78125","3.34375"
"1574192881652","127","0.0078125","-1.0566406","-0.17089844","7.0625","-7.9375","11.15625"
"1574192881652","128","-0.03125","-0.9453125","-0.15429688","15.25","-7.40625","18.96875"
"1574192881652","129","-0.015625","-0.8623047","-0.10449219","24.21875","-10.5625","19.34375"
"1574192882045","130","0.013671875","-0.9355469","-0.15625","5.1875","-13.0625","14.375"
"1574192882046","131","0.001953125","-0.9951172","-0.15820312","0.65625","-0.6875","8.28125"
"1574192882046","132","-0.060546875","-1.0498047","-0.16210938","13.59375","-5.9375","4.875"
"1574192882047","133","-0.05859375","-0.96777344","-0.09472656","12.1875","-11.71875","5.21875"
"1574192882048","134","-0.049804688","-0.9707031","-0.095703125","6.09375","-4.34375","7.5625"
"1574192882048","135","-0.07324219","-1.0126953","-0.13085938","12.1875","-2.15625","4.125"
