"# PR data"
"# Start time: 20191119T194526"
"# Subject: joao"
"# Activity type: Knee extension"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574192726423","0","0.23730469","-0.8203125","-0.56640625","-1.25","1.9375","-1.78125"
"1574192726424","1","0.24414062","-0.82128906","-0.56640625","-2.6875","0.90625","-1.96875"
"1574192726427","2","0.24316406","-0.828125","-0.57128906","-4.53125","0.65625","-1.96875"
"1574192726427","3","0.25097656","-0.8222656","-0.5703125","-1.96875","1.375","-1.90625"
"1574192726428","4","0.23339844","-0.81640625","-0.57910156","-5.375","0.21875","-2.875"
"1574192726428","5","0.24511719","-0.8046875","-0.5732422","-6.90625","-0.5625","-2.875"
"1574192726428","6","0.23730469","-0.8095703","-0.5908203","-4.65625","0.59375","-1.125"
"1574192726428","7","0.24609375","-0.8105469","-0.5996094","-3.5625","1.375","-2.09375"
"1574192726429","8","0.24707031","-0.8095703","-0.58691406","-3.5","2.65625","-1.65625"
"1574192726429","9","0.24414062","-0.8125","-0.5810547","-2.34375","4.3125","-0.5"
"1574192726622","10","0.24023438","-0.8076172","-0.58496094","-3.90625","4.0625","-1.59375"
"1574192726622","11","0.25390625","-0.8105469","-0.5810547","-2.6875","1.15625","-2.59375"
"1574192726623","12","0.2607422","-0.8105469","-0.5859375","0.84375","3.09375","-1.0625"
"1574192726624","13","0.24707031","-0.8017578","-0.58203125","-5.4375","3.40625","-0.5625"
"1574192726624","14","0.25097656","-0.80371094","-0.59472656","-9.0","1.9375","-1.71875"
"1574192726624","15","0.24902344","-0.80859375","-0.6044922","-7.15625","0.71875","-3.0"
"1574192726625","16","0.25097656","-0.7939453","-0.59277344","-3.8125","1.5","-2.8125"
"1574192726625","17","0.25","-0.7919922","-0.59765625","-3.5625","1.625","-2.6875"
"1574192726625","18","0.2529297","-0.80371094","-0.61035156","-6.1875","1.625","-1.96875"
"1574192726628","19","0.2421875","-0.7988281","-0.60058594","-5.75","1.75","-3.6875"
"1574192727020","20","0.25097656","-0.79589844","-0.609375","-4.28125","1.6875","-5.375"
"1574192727021","21","0.25878906","-0.78125","-0.6044922","-4.21875","1.5","-4.84375"
"1574192727021","22","0.25585938","-0.7841797","-0.6171875","-1.65625","2.3125","-2.625"
"1574192727021","23","0.2578125","-0.7861328","-0.6230469","0.21875","2.4375","-2.53125"
"1574192727022","24","0.2626953","-0.7871094","-0.6142578","3.90625","4.0625","-0.75"
"1574192727028","25","0.2626953","-0.78222656","-0.5986328","4.6875","4.6875","-0.6875"
"1574192727029","26","0.25976562","-0.79003906","-0.59472656","2.5625","6.5625","0.65625"
"1574192727029","27","0.26953125","-0.79589844","-0.6035156","1.5625","7.25","1.5625"
"1574192727030","28","0.25683594","-0.796875","-0.59277344","1.5","6.28125","0.84375"
"1574192727030","29","0.26171875","-0.7998047","-0.5888672","0.90625","5.0","0.53125"
"1574192727617","30","0.26367188","-0.80566406","-0.5859375","-2.09375","5.28125","0.0"
"1574192727617","31","0.2578125","-0.7949219","-0.59375","-1.46875","4.6875","-1.0625"
"1574192727618","32","0.2626953","-0.7871094","-0.58984375","0.40625","3.53125","-1.40625"
"1574192727618","33","0.26757812","-0.8017578","-0.59765625","0.96875","4.4375","-0.3125"
"1574192727618","34","0.25878906","-0.8027344","-0.5996094","1.3125","6.21875","0.28125"
"1574192727618","35","0.26367188","-0.8046875","-0.5878906","3.78125","5.21875","-0.75"
"1574192727619","36","0.28515625","-0.79296875","-0.5888672","4.0","1.8125","-3.5625"
"1574192727620","37","0.32910156","-0.8203125","-0.6015625","0.65625","-3.25","-4.09375"
"1574192727620","38","0.34277344","-0.83984375","-0.57714844","-1.59375","-6.65625","-3.0625"
"1574192727621","39","0.28222656","-0.8125","-0.54589844","4.5","-6.0625","-5.21875"
"1574192727814","40","0.20507812","-0.8066406","-0.5800781","2.4375","-6.25","-2.03125"
"1574192727814","41","0.20410156","-0.77246094","-0.5625","7.625","0.09375","1.6875"
"1574192727815","42","0.21679688","-0.7949219","-0.56347656","5.65625","2.65625","0.53125"
"1574192727815","43","0.21386719","-0.82910156","-0.5683594","3.90625","6.5625","2.4375"
"1574192727815","44","0.24804688","-0.83203125","-0.5810547","4.875","4.5625","1.8125"
"1574192727815","45","0.26757812","-0.8232422","-0.5839844","4.875","4.75","1.875"
"1574192727816","46","0.25976562","-0.8251953","-0.5810547","1.6875","7.25","1.3125"
"1574192727816","47","0.2578125","-0.8125","-0.5517578","7.6875","6.6875","0.21875"
"1574192727816","48","0.26367188","-0.82128906","-0.5566406","3.21875","4.0625","1.5625"
"1574192727817","49","0.23925781","-0.8300781","-0.5439453","1.75","7.6875","4.0"
"1574192728410","50","0.24023438","-0.8466797","-0.5410156","6.46875","6.28125","2.0"
"1574192728411","51","0.25097656","-0.8310547","-0.51953125","5.34375","3.34375","-1.3125"
"1574192728411","52","0.27539062","-0.8359375","-0.53515625","4.5625","1.8125","-1.84375"
"1574192728411","53","0.27441406","-0.8417969","-0.54003906","2.65625","4.125","-2.15625"
"1574192728412","54","0.26464844","-0.84765625","-0.5341797","2.0","4.125","-0.375"
"1574192728412","55","0.27929688","-0.8300781","-0.5390625","0.65625","1.21875","-0.6875"
"1574192728412","56","0.26660156","-0.85058594","-0.54589844","-2.46875","0.78125","0.71875"
"1574192728412","57","0.21484375","-0.8515625","-0.5","12.25","3.90625","5.90625"
"1574192728413","58","0.24316406","-0.8339844","-0.49023438","12.1875","-3.8125","0.0"
"1574192728413","59","0.2861328","-0.84472656","-0.5488281","-5.25","-1.59375","-4.84375"
"1574192728609","60","0.25585938","-0.86035156","-0.5126953","1.21875","5.21875","-2.75"
"1574192728610","61","0.24414062","-0.8574219","-0.5126953","6.5625","1.5625","-1.59375"
"1574192728611","62","0.26171875","-0.8310547","-0.50878906","1.3125","-4.46875","-1.78125"
"1574192728611","63","0.26464844","-0.84277344","-0.50683594","7.3125","-3.0","-0.9375"
"1574192728612","64","0.23535156","-0.8388672","-0.48242188","6.875","-1.34375","0.09375"
"1574192728612","65","0.24902344","-0.8671875","-0.50683594","2.4375","-6.0625","-2.40625"
"1574192728612","66","0.23828125","-0.84277344","-0.47558594","-1.1875","-1.65625","-2.46875"
"1574192728612","67","0.25","-0.8417969","-0.53515625","-2.40625","-3.875","-6.59375"
"1574192728613","68","0.26953125","-0.8623047","-0.5722656","-17.59375","-4.96875","-6.5"
"1574192728613","69","0.25976562","-0.81933594","-0.5185547","-1.71875","3.15625","-5.21875"
"1574192729007","70","0.28027344","-0.81933594","-0.5341797","-3.0625","-2.875","-9.59375"
"1574192729007","71","0.25097656","-0.84277344","-0.50390625","-7.15625","-5.9375","-5.75"
"1574192729008","72","0.23730469","-0.8232422","-0.5361328","-12.65625","-1.53125","-4.84375"
"1574192729009","73","0.24804688","-0.8310547","-0.5517578","-6.78125","2.375","-1.25"
"1574192729010","74","0.2705078","-0.8378906","-0.5126953","0.09375","0.34375","-1.71875"
"1574192729010","75","0.27148438","-0.87109375","-0.53027344","-3.0","-2.09375","-1.71875"
"1574192729011","76","0.24609375","-0.8183594","-0.5253906","-3.625","0.96875","1.375"
"1574192729011","77","0.25390625","-0.86621094","-0.52441406","-3.5625","4.1875","1.5625"
"1574192729011","78","0.20898438","-0.8486328","-0.51953125","4.375","4.3125","5.40625"
"1574192729012","79","0.25195312","-0.8378906","-0.5205078","5.28125","-3.6875","-1.78125"
"1574192729405","80","0.21386719","-0.8535156","-0.53125","-7.9375","1.9375","0.34375"
"1574192729406","81","0.20214844","-0.8613281","-0.546875","0.53125","2.71875","4.6875"
"1574192729406","82","0.22363281","-0.7841797","-0.5253906","7.90625","3.09375","0.15625"
"1574192729406","83","0.22167969","-0.86816406","-0.6044922","3.34375","16.40625","2.0"
"1574192729407","84","0.2578125","-0.8857422","-0.5449219","24.8125","23.0625","2.4375"
"1574192729407","85","0.28027344","-0.8955078","-0.45117188","22.75","8.15625","6.5625"
"1574192729408","86","0.2861328","-0.87597656","-0.49121094","3.59375","4.875","14.21875"
"1574192729408","87","0.24902344","-0.8642578","-0.45898438","11.9375","3.65625","14.875"
"1574192729408","88","0.23242188","-0.8574219","-0.46289062","-1.90625","-2.34375","7.8125"
"1574192729409","89","0.23339844","-0.8671875","-0.49804688","-7.21875","1.625","7.375"
"1574192730000","90","0.2529297","-0.8857422","-0.49121094","-3.5","-3.96875","9.03125"
"1574192730003","91","0.24121094","-0.8935547","-0.4736328","-11.125","-2.8125","11.59375"
"1574192730004","92","0.20214844","-0.875","-0.4970703","-1.84375","5.96875","5.0625"
"1574192730004","93","0.20117188","-0.9082031","-0.4873047","2.96875","5.46875","4.6875"
"1574192730004","94","0.20117188","-0.88671875","-0.4716797","10.1875","6.6875","7.5"
"1574192730004","95","0.17089844","-0.8798828","-0.4814453","0.90625","4.6875","10.46875"
"1574192730004","96","0.15625","-0.88671875","-0.48632812","5.65625","0.46875","12.75"
"1574192730006","97","0.15136719","-0.91015625","-0.4765625","11.53125","-3.75","11.8125"
"1574192730006","98","0.18554688","-0.8857422","-0.49023438","9.625","-3.6875","8.71875"
"1574192730006","99","0.20214844","-0.9199219","-0.4765625","10.53125","-6.96875","6.09375"
"1574192730595","100","0.13671875","-0.91503906","-0.42285156","22.5","-0.375","14.75"
"1574192730596","101","0.09765625","-0.8886719","-0.41992188","24.65625","-3.1875","15.96875"
"1574192730596","102","0.16015625","-0.8886719","-0.4482422","17.8125","-2.6875","8.46875"
"1574192730596","103","0.15722656","-0.921875","-0.38867188","21.34375","-0.1875","10.84375"
"1574192730597","104","0.095703125","-0.9296875","-0.4091797","-0.0625","-1.78125","7.6875"
"1574192730597","105","0.13574219","-0.890625","-0.39257812","-1.40625","-1.59375","-3.0625"
"1574192730597","106","0.12792969","-0.953125","-0.44921875","-11.375","-1.25","-2.09375"
"1574192730597","107","0.083984375","-0.91503906","-0.39453125","-9.15625","4.0625","-2.28125"
"1574192730598","108","0.091796875","-0.8925781","-0.43652344","-18.875","0.59375","-9.65625"
"1574192730599","109","0.1171875","-0.8857422","-0.42773438","-13.125","6.8125","-7.875"
"1574192730792","110","0.12402344","-0.9140625","-0.5107422","-20.21875","7.84375","-7.8125"
"1574192730793","111","0.109375","-0.87402344","-0.4423828","-16.5","12.3125","-10.6875"
"1574192730793","112","0.1484375","-0.8964844","-0.44726562","-8.4375","7.84375","-8.25"
"1574192730793","113","0.13964844","-0.8769531","-0.5019531","-5.4375","-0.1875","-5.3125"
"1574192730793","114","0.14746094","-0.890625","-0.46777344","-3.25","4.8125","-5.9375"
"1574192730794","115","0.16699219","-0.8808594","-0.4970703","-6.375","0.90625","-11.84375"
"1574192730794","116","0.15820312","-0.91503906","-0.42285156","11.28125","4.75","-9.71875"
"1574192730794","117","0.16601562","-0.89160156","-0.43945312","9.5","0.0","-13.0625"
"1574192730794","118","0.1796875","-0.9453125","-0.43847656","-8.25","12.1875","-12.34375"
"1574192730795","119","0.16210938","-0.8964844","-0.41015625","9.375","7.25","-11.375"
"1574192730996","120","0.2548828","-0.89453125","-0.45996094","-3.75","-0.5625","-21.25"
"1574192730997","121","0.24511719","-0.94433594","-0.4609375","-24.3125","9.4375","-18.09375"
"1574192730998","122","0.23925781","-0.9003906","-0.43066406","-5.75","7.96875","-16.0625"
"1574192730998","123","0.3125","-0.88183594","-0.45507812","-18.5","-7.46875","-22.125"
"1574192730998","124","0.22265625","-0.9550781","-0.54785156","-46.84375","-1.84375","-15.8125"
"1574192730998","125","0.21386719","-0.89746094","-0.45898438","-10.875","-2.59375","-3.3125"
"1574192730999","126","0.23925781","-0.81640625","-0.5","-10.9375","-0.4375","-6.4375"
"1574192730999","127","0.24902344","-0.82128906","-0.5078125","-8.9375","3.84375","-7.53125"
"1574192730999","128","0.21875","-0.8701172","-0.48828125","2.0","3.90625","-6.84375"
"1574192731000","129","0.19726562","-0.8515625","-0.5107422","-12.40625","5.96875","-6.3125"
"1574192731392","130","0.24804688","-0.7988281","-0.55859375","-6.5","3.15625","-8.75"
"1574192731393","131","0.2939453","-0.8544922","-0.5546875","-3.1875","3.65625","-7.71875"
"1574192731393","132","0.26953125","-0.8730469","-0.53125","-1.34375","7.1875","-2.75"
"1574192731394","133","0.25585938","-0.83691406","-0.5390625","2.84375","2.65625","-3.4375"
"1574192731395","134","0.26757812","-0.79785156","-0.53808594","6.34375","3.21875","-5.8125"
"1574192731395","135","0.2734375","-0.8359375","-0.53125","6.6875","4.6875","-3.25"
"1574192731395","136","0.2578125","-0.84277344","-0.5019531","5.78125","6.5625","-2.625"
"1574192731395","137","0.28027344","-0.859375","-0.50097656","4.9375","3.78125","-4.84375"
"1574192731396","138","0.31054688","-0.83496094","-0.4921875","10.59375","4.0625","-7.78125"
"1574192731396","139","0.3232422","-0.8457031","-0.50390625","7.5","2.4375","-7.15625"
"1574192731790","140","0.30273438","-0.83984375","-0.47070312","12.75","1.75","-3.0"
"1574192731790","141","0.29589844","-0.8486328","-0.46679688","14.21875","-0.5625","-2.03125"
"1574192731790","142","0.28710938","-0.8642578","-0.46679688","14.4375","-3.0","-3.3125"
"1574192731791","143","0.25683594","-0.8564453","-0.4345703","17.8125","-2.09375","-5.21875"
"1574192731791","144","0.24902344","-0.8613281","-0.46972656","5.0","-0.375","-6.71875"
"1574192731791","145","0.2578125","-0.8642578","-0.48339844","4.5625","3.90625","-5.4375"
"1574192731792","146","0.32421875","-0.859375","-0.4423828","6.46875","3.59375","-6.71875"
"1574192731792","147","0.3046875","-0.8652344","-0.4580078","-2.21875","8.96875","-6.0625"
"1574192731792","148","0.31835938","-0.83984375","-0.4560547","-5.15625","8.96875","-5.8125"
"1574192731793","149","0.33496094","-0.8457031","-0.48339844","-7.78125","10.65625","-3.25"
"1574192732385","150","0.37109375","-0.8564453","-0.47851562","-14.46875","12.4375","-1.125"
"1574192732385","151","0.34277344","-0.8408203","-0.4248047","-4.21875","11.34375","2.90625"
"1574192732385","152","0.33398438","-0.86328125","-0.47851562","-11.3125","9.4375","7.125"
"1574192732386","153","0.35058594","-0.8535156","-0.41796875","-3.25","7.0625","9.6875"
"1574192732386","154","0.30371094","-0.8828125","-0.4267578","-6.4375","10.40625","14.21875"
"1574192732386","155","0.2919922","-0.87890625","-0.45507812","-12.59375","6.03125","13.03125"
"1574192732386","156","0.28027344","-0.87597656","-0.45214844","-7.34375","6.03125","17.5"
"1574192732387","157","0.29492188","-0.87597656","-0.47070312","-8.875","3.40625","20.1875"
"1574192732388","158","0.2998047","-0.8779297","-0.44140625","-2.75","2.90625","21.15625"
"1574192732388","159","0.26171875","-0.88378906","-0.45703125","-6.125","5.28125","26.21875"
"1574192732783","160","0.23632812","-0.83984375","-0.47070312","-1.3125","2.65625","24.71875"
"1574192732784","161","0.24414062","-0.8876953","-0.5185547","-11.125","-3.90625","27.5625"
"1574192732784","162","0.20117188","-0.9316406","-0.51660156","-4.34375","-6.5","38.875"
"1574192732784","163","0.15136719","-0.8535156","-0.45898438","12.9375","1.21875","27.6875"
"1574192732784","164","0.23144531","-0.9140625","-0.47460938","-3.96875","1.75","11.8125"
"1574192732785","165","0.23632812","-0.96191406","-0.43554688","-35.46875","0.59375","28.4375"
"1574192732785","166","0.091796875","-0.86816406","-0.44433594","-1.34375","6.5","39.21875"
"1574192732785","167","0.051757812","-0.82128906","-0.5917969","-11.0625","-17.40625","27.625"
"1574192732785","168","0.08496094","-0.8955078","-0.5361328","-11.0625","-16.5625","26.96875"
"1574192732786","169","0.05078125","-0.9033203","-0.5029297","-3.25","-0.1875","31.25"
"1574192733182","170","0.02734375","-0.8984375","-0.52246094","-17.09375","-19.375","27.375"
"1574192733183","171","0.01953125","-0.8544922","-0.5048828","-8.375","-18.03125","20.8125"
"1574192733183","172","-0.0078125","-0.87597656","-0.5361328","-4.84375","-5.5","10.59375"
"1574192733183","173","-0.052734375","-0.9140625","-0.5341797","-7.28125","-12.21875","13.15625"
"1574192733183","174","-0.036132812","-0.8876953","-0.5527344","2.3125","-15.28125","14.375"
"1574192733184","175","0.0029296875","-0.828125","-0.55371094","-0.6875","-8.5","11.59375"
"1574192733184","176","-0.059570312","-0.84375","-0.53027344","-1.53125","-13.6875","11.9375"
"1574192733184","177","-0.1328125","-0.88964844","-0.53125","0.40625","-7.65625","13.40625"
"1574192733184","178","-0.13183594","-0.85546875","-0.5341797","-1.90625","-4.65625","14.875"
"1574192733185","179","-0.09472656","-0.8339844","-0.5673828","5.1875","-7.03125","10.59375"
"1574192733380","180","-0.15429688","-0.8720703","-0.4921875","8.84375","4.8125","3.03125"
"1574192733381","181","-0.111328125","-0.8876953","-0.58203125","3.59375","8.84375","-0.125"
"1574192733381","182","-0.076171875","-0.90527344","-0.47558594","10.25","9.6875","-3.625"
"1574192733381","183","-0.038085938","-0.83496094","-0.5048828","-6.125","6.625","-6.96875"
"1574192733382","184","0.020507812","-0.8847656","-0.5576172","-10.15625","-0.3125","-7.46875"
"1574192733382","185","-0.040039062","-0.8769531","-0.53027344","-4.09375","6.5","-6.90625"
