"# PR data"
"# Start time: 20191119T195416"
"# Subject: joao"
"# Activity type: Step ups"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574193257286","0","0.1875","-0.96484375","-0.24902344","1.15625","-1.125","-1.0"
"1574193257286","1","0.18359375","-0.96191406","-0.24511719","-3.0","2.1875","-0.5"
"1574193257288","2","0.17871094","-0.96777344","-0.23828125","-3.4375","2.25","0.0"
"1574193257288","3","0.17578125","-0.9609375","-0.23925781","-5.6875","3.28125","-0.1875"
"1574193257289","4","0.171875","-0.9707031","-0.23828125","-6.3125","4.75","-0.25"
"1574193257289","5","0.1796875","-0.9746094","-0.24902344","-5.5625","5.40625","0.28125"
"1574193257290","6","0.16796875","-0.95703125","-0.2685547","-6.59375","6.625","-1.53125"
"1574193257290","7","0.21191406","-0.9560547","-0.25195312","-5.21875","4.1875","-2.46875"
"1574193257290","8","0.24414062","-0.9423828","-0.26171875","-8.75","6.21875","-0.8125"
"1574193257291","9","0.22949219","-0.953125","-0.2734375","-4.78125","7.75","1.375"
"1574193257484","10","0.21191406","-0.9716797","-0.24023438","-4.09375","2.5","-1.53125"
"1574193257484","11","0.21777344","-0.9628906","-0.24804688","-3.3125","-2.875","-3.875"
"1574193257485","12","0.22460938","-0.95410156","-0.2578125","-3.5","-3.5","-1.84375"
"1574193257486","13","0.21875","-0.94140625","-0.25390625","-0.4375","-5.15625","-0.875"
"1574193257486","14","0.21191406","-0.96191406","-0.24707031","2.59375","-5.875","-0.125"
"1574193257486","15","0.20996094","-0.9609375","-0.23828125","3.53125","-7.21875","0.96875"
"1574193257487","16","0.20996094","-0.95214844","-0.2529297","7.3125","-7.65625","3.40625"
"1574193257490","17","0.20019531","-0.9589844","-0.25585938","8.96875","-5.3125","3.34375"
"1574193257490","18","0.18554688","-0.9560547","-0.22558594","7.625","-3.75","3.65625"
"1574193257490","19","0.17480469","-0.9667969","-0.23046875","8.65625","-9.40625","2.3125"
"1574193257882","20","0.19433594","-0.96191406","-0.2265625","5.1875","-10.9375","-0.125"
"1574193257883","21","0.203125","-0.9550781","-0.21875","7.0625","-11.6875","-2.34375"
"1574193257883","22","0.16113281","-0.9628906","-0.20605469","5.59375","-13.3125","0.0"
"1574193257883","23","0.14550781","-0.9580078","-0.22753906","12.6875","-13.6875","3.21875"
"1574193257884","24","0.10449219","-0.96875","-0.22851562","11.09375","-12.84375","4.6875"
"1574193257885","25","0.06542969","-0.9863281","-0.2734375","7.3125","-8.125","7.90625"
"1574193257886","26","0.05078125","-1.0087891","-0.2998047","5.28125","-6.90625","9.6875"
"1574193257886","27","0.099609375","-0.9902344","-0.3154297","-4.15625","-9.15625","5.125"
"1574193257886","28","0.18554688","-1.0390625","-0.29003906","-8.3125","-2.15625","2.1875"
"1574193257887","29","0.18457031","-1.0039062","-0.2763672","-8.125","-5.09375","-3.375"
"1574193258281","30","0.10839844","-0.8847656","-0.25097656","0.59375","-10.5","-7.09375"
"1574193258282","31","0.056640625","-0.88183594","-0.31640625","-6.65625","-9.78125","-4.34375"
"1574193258282","32","0.064453125","-0.9160156","-0.3408203","-2.875","-7.46875","-3.1875"
"1574193258282","33","0.15332031","-0.98339844","-0.31054688","-1.65625","-3.0","-8.8125"
"1574193258283","34","0.20605469","-1.0449219","-0.22460938","-0.9375","2.0","-14.34375"
"1574193258283","35","0.13964844","-1.1142578","-0.17578125","-1.71875","5.53125","-8.9375"
"1574193258283","36","0.064453125","-0.9765625","-0.22265625","2.96875","-10.34375","-5.21875"
"1574193258285","37","0.12890625","-0.81933594","-0.22167969","13.21875","-11.4375","0.53125"
"1574193258285","38","0.21777344","-0.8232422","-0.16210938","-4.78125","-14.78125","-4.65625"
"1574193258285","39","0.1953125","-0.9970703","-0.14257812","-4.28125","-3.90625","-1.53125"
"1574193258677","40","0.041992188","-1.1796875","-0.23144531","7.3125","-3.375","6.6875"
"1574193258678","41","0.12597656","-1.1064453","-0.29003906","-1.40625","-1.0625","0.71875"
"1574193258678","42","0.19824219","-0.94433594","-0.22070312","12.0625","10.46875","-1.53125"
"1574193258678","43","0.18945312","-0.8730469","-0.12011719","11.40625","20.5625","0.09375"
"1574193258678","44","0.17089844","-0.9667969","-0.16210938","-3.1875","11.34375","6.03125"
"1574193258679","45","0.16210938","-1.0410156","-0.23144531","2.0","12.0625","5.78125"
"1574193258679","46","0.16894531","-1.0683594","-0.19628906","6.28125","20.5625","-1.78125"
"1574193258679","47","0.20605469","-0.9433594","-0.1875","-6.65625","23.125","-5.6875"
"1574193258679","48","0.203125","-0.88964844","-0.19335938","2.71875","4.6875","-3.25"
"1574193258680","49","0.16699219","-0.9746094","-0.1484375","0.09375","9.5","0.46875"
"1574193259073","50","0.14160156","-0.9941406","-0.19042969","-7.03125","6.5","-0.75"
"1574193259074","51","0.15234375","-1.0029297","-0.19238281","4.75","8.21875","2.125"
"1574193259075","52","0.16015625","-0.97265625","-0.19628906","-6.90625","3.28125","-0.625"
"1574193259075","53","0.171875","-0.93847656","-0.19921875","-5.75","0.71875","-1.59375"
"1574193259075","54","0.16796875","-0.9560547","-0.19042969","-10.9375","0.78125","-4.28125"
"1574193259075","55","0.16015625","-0.9707031","-0.19824219","-10.4375","5.28125","-2.8125"
"1574193259076","56","0.14257812","-0.9863281","-0.20410156","-1.84375","-0.8125","-0.8125"
"1574193259076","57","0.115234375","-1.0009766","-0.2265625","3.84375","-3.125","-2.75"
"1574193259076","58","0.18261719","-0.9873047","-0.24121094","4.375","2.0625","3.34375"
"1574193259077","59","0.18359375","-0.9638672","-0.21777344","-0.6875","3.9375","-0.875"
"1574193259472","60","0.14355469","-0.9873047","-0.20996094","-2.34375","3.03125","-4.53125"
"1574193259474","61","0.15039062","-0.9824219","-0.21484375","-2.21875","1.5","0.09375"
"1574193259475","62","0.16796875","-0.9814453","-0.1875","-7.78125","-1.46875","-3.3125"
"1574193259475","63","0.20019531","-1.2070312","-0.27246094","-35.40625","5.0","-16.6875"
"1574193259475","64","0.13964844","-0.9921875","-0.15722656","1.28125","-27.59375","-46.9375"
"1574193259475","65","0.09277344","-0.76660156","-0.26953125","14.09375","-29.125","-22.40625"
"1574193259476","66","0.20214844","-0.8535156","-0.2763672","-22.0625","-0.25","16.34375"
"1574193259476","67","0.2841797","-1.0087891","-0.23632812","-1.3125","-1.1875","6.9375"
"1574193259476","68","0.22265625","-1.0273438","-0.32421875","-16.375","16.46875","0.40625"
"1574193259477","69","0.19921875","-0.93847656","-0.25195312","-10.8125","-2.28125","9.8125"
"1574193259870","70","0.15625","-0.9345703","-0.2705078","-11.0","7.84375","10.0625"
"1574193259870","71","0.14257812","-0.9707031","-0.27148438","-16.96875","3.9375","0.71875"
"1574193259870","72","0.18945312","-1.0214844","-0.29785156","3.21875","7.375","-0.3125"
"1574193259871","73","0.19238281","-0.97558594","-0.2685547","3.90625","5.0625","3.40625"
"1574193259872","74","0.19628906","-0.953125","-0.25878906","1.15625","1.3125","1.3125"
"1574193259872","75","0.1640625","-0.9589844","-0.29003906","6.5625","4.6875","2.125"
"1574193259872","76","0.14648438","-0.97265625","-0.25878906","4.5625","8.28125","3.71875"
"1574193259872","77","0.1640625","-0.95996094","-0.23828125","-4.03125","5.1875","2.5"
"1574193259873","78","0.18359375","-0.95996094","-0.27148438","2.125","7.375","3.21875"
"1574193259873","79","0.1640625","-0.9609375","-0.26367188","4.75","9.9375","6.21875"
"1574193260270","80","0.14160156","-0.9482422","-0.2421875","-0.625","10.0","4.0625"
"1574193260270","81","0.14648438","-0.9628906","-0.2578125","-0.4375","9.1875","2.65625"
"1574193260270","82","0.16503906","-0.9736328","-0.2529297","-1.71875","8.15625","2.65625"
"1574193260270","83","0.15722656","-0.96191406","-0.24902344","-5.875","7.84375","0.09375"
"1574193260271","84","0.16992188","-0.96777344","-0.26367188","-5.9375","6.40625","-0.5625"
"1574193260271","85","0.19140625","-0.9609375","-0.26953125","-4.21875","10.96875","0.71875"
"1574193260272","86","0.17382812","-0.95703125","-0.24707031","0.0","5.78125","1.21875"
"1574193260272","87","0.13183594","-0.98828125","-0.25390625","-6.65625","-1.0","-3.375"
"1574193260272","88","0.17773438","-0.97753906","-0.2841797","0.46875","-3.1875","-2.28125"
"1574193260273","89","0.16601562","-0.9511719","-0.2548828","2.5625","2.71875","-0.4375"
"1574193260665","90","0.14453125","-0.9550781","-0.25195312","-2.875","2.84375","-0.5"
"1574193260666","91","0.15722656","-0.96191406","-0.2763672","-4.40625","-4.90625","-2.6875"
"1574193260666","92","0.18554688","-0.9667969","-0.27441406","1.625","1.375","-1.125"
"1574193260666","93","0.15917969","-0.95996094","-0.24609375","0.34375","3.09375","-0.375"
"1574193260666","94","0.16113281","-0.96484375","-0.2685547","-1.34375","1.75","-1.1875"
