"# PR data"
"# Start time: 20191127T183225"
"# Subject: lukasz"
"# Activity type: Bicep curl"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574875945461","0","0.3876953","-0.9199219","-0.064453125","7.125","1.5","1.96875"
"1574875945462","1","0.39160156","-0.921875","-0.064453125","10.6875","0.9375","2.03125"
"1574875945462","2","0.38378906","-0.91796875","-0.045898438","9.21875","-1.1875","2.09375"
"1574875945463","3","0.38476562","-0.9238281","-0.013671875","7.625","-0.59375","1.4375"
"1574875945463","4","0.3828125","-0.90527344","-0.049804688","10.90625","-2.1875","2.09375"
"1574875945463","5","0.3876953","-0.9628906","-0.068359375","15.8125","0.875","4.84375"
"1574875945463","6","0.37304688","-0.8935547","-0.013671875","-0.5","-0.34375","0.6875"
"1574875945464","7","0.35253906","-0.9160156","-0.040039062","-2.5625","-0.65625","-0.53125"
"1574875945464","8","0.38378906","-0.94140625","-0.036132812","-3.0625","-1.6875","0.625"
"1574875945464","9","0.3720703","-0.9160156","-0.043945312","-1.15625","-1.0625","-0.34375"
"1574875945857","10","0.3779297","-0.9199219","-0.043945312","1.09375","0.03125","-0.71875"
"1574875945858","11","0.3828125","-0.92871094","-0.018554688","-0.125","-1.5625","-0.90625"
"1574875945858","12","0.3798828","-0.92285156","-0.01953125","-1.65625","-0.21875","-0.71875"
"1574875945859","13","0.38476562","-0.92871094","-0.02734375","-0.5625","-0.46875","0.03125"
"1574875945859","14","0.3798828","-0.9160156","-0.03125","-0.9375","-0.03125","0.09375"
"1574875945859","15","0.38378906","-0.9160156","-0.040039062","0.90625","0.25","0.625"
"1574875945860","16","0.38183594","-0.92285156","-0.037109375","0.53125","-0.53125","0.8125"
"1574875945860","17","0.37695312","-0.9277344","-0.032226562","3.34375","0.6875","0.9375"
"1574875945860","18","0.3779297","-0.9199219","-0.025390625","3.15625","-0.28125","0.4375"
"1574875945860","19","0.36914062","-0.92089844","-0.022460938","2.125","0.3125","0.5625"
"1574875946058","20","0.375","-0.9238281","-0.022460938","0.25","0.6875","-0.46875"
"1574875946059","21","0.37695312","-0.9355469","-0.024414062","-2.75","1.25","-0.34375"
"1574875946059","22","0.3779297","-0.93066406","-0.034179688","-3.84375","0.5625","-0.84375"
"1574875946059","23","0.3779297","-0.92285156","-0.017578125","-3.1875","1.65625","-0.28125"
"1574875946059","24","0.37304688","-0.9160156","-0.032226562","-5.8125","1.78125","-2.0"
"1574875946061","25","0.3828125","-0.92089844","-0.038085938","-0.8125","0.625","-0.90625"
"1574875946061","26","0.3779297","-0.9267578","-0.037109375","-1.65625","-0.03125","-0.90625"
"1574875946061","27","0.37597656","-0.9169922","-0.024414062","-2.5","-0.59375","-0.40625"
"1574875946061","28","0.38183594","-0.92578125","-0.041015625","-0.25","-0.09375","-0.03125"
"1574875946062","29","0.37695312","-0.93066406","-0.040039062","-5.1875","-0.65625","0.4375"
"1574875946652","30","0.37695312","-0.9238281","-0.0390625","-4.78125","0.625","-0.40625"
"1574875946653","31","0.3701172","-0.92578125","-0.04296875","-4.28125","0.5625","-0.46875"
"1574875946653","32","0.38183594","-0.9267578","-0.051757812","-6.125","1.1875","-1.625"
"1574875946653","33","0.38183594","-0.921875","-0.05078125","-7.21875","0.15625","-2.1875"
"1574875946654","34","0.390625","-0.9238281","-0.0625","-6.96875","0.03125","-2.28125"
"1574875946656","35","0.39257812","-0.92089844","-0.06640625","-7.28125","-0.65625","-2.40625"
"1574875946656","36","0.3857422","-0.92285156","-0.0703125","-7.6875","-0.28125","-2.40625"
"1574875946658","37","0.3955078","-0.9189453","-0.08886719","-6.78125","0.25","-2.71875"
"1574875946659","38","0.39160156","-0.91308594","-0.087890625","-6.0","-0.15625","-2.40625"
"1574875946659","39","0.38964844","-0.9121094","-0.09863281","-5.5625","2.03125","-3.03125"
"1574875946854","40","0.39648438","-0.90234375","-0.087890625","-4.59375","2.34375","-2.0625"
"1574875946854","41","0.3935547","-0.91015625","-0.1015625","2.25","2.21875","-1.9375"
"1574875946854","42","0.4033203","-0.9111328","-0.083984375","-0.4375","1.53125","-1.0"
"1574875946854","43","0.39941406","-0.90625","-0.09472656","-1.09375","1.1875","-2.125"
"1574875946855","44","0.4267578","-0.9042969","-0.10644531","1.8125","0.8125","-0.53125"
"1574875946855","45","0.40527344","-0.9169922","-0.09863281","4.09375","-0.28125","-0.71875"
"1574875946855","46","0.4189453","-0.8984375","-0.09082031","4.375","0.09375","0.8125"
"1574875946855","47","0.3935547","-0.91308594","-0.078125","5.78125","0.21875","1.4375"
"1574875946856","48","0.40429688","-0.91308594","-0.083984375","3.71875","0.5625","1.375"
"1574875946857","49","0.3955078","-0.9042969","-0.07910156","10.71875","-0.59375","2.34375"
"1574875947449","50","0.39257812","-0.9160156","-0.072265625","7.0625","0.9375","2.34375"
"1574875947449","51","0.3857422","-0.92285156","-0.045898438","6.09375","1.375","1.6875"
"1574875947450","52","0.390625","-0.90722656","-0.05859375","6.59375","1.375","2.03125"
"1574875947450","53","0.38867188","-0.92871094","-0.044921875","7.5","0.4375","1.71875"
"1574875947450","54","0.3798828","-0.91308594","-0.030273438","5.59375","0.4375","1.90625"
"1574875947450","55","0.3935547","-0.9121094","-0.040039062","5.375","0.25","1.84375"
"1574875947450","56","0.39160156","-0.9248047","-0.032226562","4.5","-1.25","0.9375"
"1574875947450","57","0.36816406","-0.9404297","-0.016601562","2.0625","-3.875","-0.46875"
"1574875947451","58","0.3623047","-0.9248047","-0.013671875","-0.375","-2.78125","-0.84375"
"1574875947451","59","0.36816406","-0.9482422","-0.0087890625","-1.09375","-1.4375","-1.8125"
"1574875947648","60","0.36816406","-0.9355469","-0.0107421875","-1.0","1.375","-1.5625"
"1574875947649","61","0.3779297","-0.8955078","-0.029296875","-4.53125","1.65625","-0.90625"
"1574875947649","62","0.40527344","-0.9091797","-0.057617188","0.1875","-1.0625","0.40625"
"1574875947649","63","0.38183594","-0.93652344","-0.043945312","-4.9375","-3.53125","-1.125"
"1574875947649","64","0.3955078","-0.9160156","-0.037109375","-4.65625","-3.03125","-1.625"
"1574875947649","65","0.38378906","-0.91796875","-0.046875","-3.96875","-3.53125","-2.28125"
