"# PR data"
"# Start time: 20191127T182832"
"# Subject: lukasz"
"# Activity type: Knee extension"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574875712328","0","0.33691406","-0.9501953","0.125","27.34375","10.46875","16.5"
"1574875712330","1","0.3154297","-0.96191406","0.13769531","20.3125","16.625","13.8125"
"1574875712330","2","0.31835938","-0.9501953","0.22460938","4.8125","11.875","10.46875"
"1574875712330","3","0.21289062","-0.9277344","0.1796875","-1.28125","9.34375","-0.9375"
"1574875712330","4","0.2626953","-0.94628906","0.20507812","-5.375","0.6875","-1.375"
"1574875712331","5","0.21679688","-0.9375","0.18945312","-1.09375","-2.25","-2.46875"
"1574875712331","6","0.19628906","-0.93066406","0.2109375","-7.09375","-2.59375","-0.9375"
"1574875712331","7","0.2626953","-0.9355469","0.18847656","-5.375","-2.375","1.3125"
"1574875712331","8","0.2998047","-0.9511719","0.16699219","2.4375","-3.53125","5.6875"
"1574875712332","9","0.25976562","-0.9824219","0.16503906","-6.1875","-5.28125","2.78125"
"1574875713124","10","0.3642578","-0.95996094","0.11230469","-4.40625","-8.78125","3.875"
"1574875713125","11","0.28222656","-0.96484375","0.107421875","-7.34375","-9.75","0.4375"
"1574875713125","12","0.23339844","-0.9423828","0.15234375","-9.15625","-9.125","-1.5"
"1574875713126","13","0.2783203","-0.9238281","0.13378906","-8.0","-8.9375","-1.75"
"1574875713127","14","0.29492188","-0.93847656","0.13574219","-7.6875","-8.09375","-2.46875"
"1574875713127","15","0.25195312","-0.9580078","0.13378906","-4.90625","-4.96875","-0.28125"
"1574875713127","16","0.25878906","-0.94140625","0.115234375","-4.09375","-0.71875","-0.03125"
"1574875713128","17","0.2783203","-0.94921875","0.099609375","-3.0625","-0.28125","-2.125"
"1574875713128","18","0.2939453","-0.94433594","0.0546875","-7.6875","0.6875","-2.0625"
"1574875713128","19","0.28125","-0.94433594","0.041015625","-6.78125","0.75","-5.28125"
"1574875713517","20","0.28125","-0.953125","0.09277344","-13.6875","3.625","-3.9375"
"1574875713517","21","0.31445312","-0.9345703","0.0234375","-3.90625","4.71875","-7.0"
"1574875713518","22","0.32128906","-0.97753906","0.07421875","0.0","1.4375","-3.46875"
"1574875713518","23","0.26660156","-0.9433594","0.08691406","1.53125","4.53125","-2.125"
"1574875713518","24","0.30078125","-0.9238281","0.068359375","-4.90625","1.84375","-5.09375"
