"# PR data"
"# Start time: 20191127T183346"
"# Subject: lukasz"
"# Activity type: Shoulder press"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574876026551","0","0.34472656","-0.953125","0.041015625","-32.78125","39.875","0.75"
"1574876026552","1","0.359375","-0.95410156","0.05078125","-19.78125","38.03125","1.6875"
"1574876026552","2","0.27148438","-0.9814453","0.041992188","-10.8125","49.8125","4.59375"
"1574876026553","3","0.3232422","-0.9316406","0.029296875","6.46875","55.1875","6.3125"
"1574876026553","4","0.25683594","-0.8642578","0.06640625","1.21875","56.21875","12.0625"
"1574876026553","5","0.32226562","-0.8798828","-0.055664062","0.1875","44.15625","12.90625"
"1574876026553","6","0.4013672","-0.9951172","-0.08886719","0.1875","25.71875","8.875"
"1574876026554","7","0.35253906","-0.9970703","-0.08105469","-0.0625","8.3125","1.96875"
"1574876026554","8","0.34570312","-0.96191406","-0.05078125","-0.625","-5.65625","-3.15625"
"1574876026555","9","0.28320312","-0.9316406","-0.078125","-0.8125","-10.71875","-5.03125"
"1574876026946","10","0.27734375","-0.93359375","-0.08886719","-0.125","-16.15625","-6.03125"
"1574876026946","11","0.265625","-0.95996094","-0.06542969","-4.46875","-15.375","-8.65625"
"1574876026947","12","0.23925781","-1.046875","0.00390625","-8.5","-12.90625","-9.0625"
"1574876026948","13","0.22363281","-1.0351562","0.07128906","-14.90625","0.875","-5.84375"
"1574876026948","14","0.33691406","-0.85839844","0.0107421875","-16.3125","4.71875","-5.78125"
"1574876026948","15","0.3642578","-0.8671875","-0.016601562","-12.09375","-4.125","-8.65625"
"1574876026949","16","0.36035156","-0.9404297","-0.055664062","-3.375","-13.03125","-4.5625"
"1574876026949","17","0.3359375","-0.96191406","0.0107421875","2.4375","-13.53125","-4.90625"
"1574876026949","18","0.30859375","-0.94628906","-0.009765625","4.25","-6.875","-3.6875"
"1574876026950","19","0.34472656","-0.9375","-0.005859375","-0.5","-2.53125","-2.65625"
"1574876027348","20","0.359375","-0.9189453","-0.020507812","1.03125","-4.0","-2.71875"
"1574876027348","21","0.35058594","-0.9404297","9.765625E-4","2.5","-4.4375","-1.875"
"1574876027348","22","0.34277344","-0.94921875","-0.0107421875","3.71875","0.09375","-1.5625"
"1574876027349","23","0.35253906","-0.9326172","-0.024414062","-1.09375","1.375","-1.1875"
"1574876027349","24","0.35546875","-0.9316406","-0.01953125","1.34375","0.03125","-0.71875"
"1574876027349","25","0.3408203","-0.9296875","0.00390625","3.46875","-3.03125","-0.28125"
"1574876027350","26","0.35742188","-0.9355469","-0.022460938","-0.0625","-2.78125","-0.90625"
"1574876027350","27","0.3408203","-0.9326172","-0.015625","1.46875","-1.375","-0.53125"
"1574876027351","28","0.35058594","-0.9248047","-0.017578125","0.96875","-1.5625","-0.03125"
"1574876027351","29","0.35351562","-0.92871094","-0.020507812","1.21875","-1.8125","-0.46875"
"1574876027741","30","0.34765625","-0.9355469","-0.0078125","3.40625","-2.84375","0.03125"
"1574876027742","31","0.33691406","-0.93652344","-0.0126953125","4.4375","-4.25","-0.15625"
"1574876027742","32","0.3486328","-0.93066406","-0.01171875","2.4375","-3.46875","-0.59375"
"1574876027743","33","0.34765625","-0.9345703","-0.024414062","1.6875","-3.15625","-0.46875"
"1574876027743","34","0.3466797","-0.9482422","-0.029296875","0.65625","-3.53125","-1.4375"
"1574876027743","35","0.3310547","-0.9404297","-0.013671875","-1.59375","-3.40625","-1.1875"
"1574876027744","36","0.34277344","-0.93652344","-0.016601562","-6.34375","-2.125","-0.40625"
"1574876027745","37","0.33984375","-0.9433594","-0.021484375","-5.3125","0.03125","-0.46875"
"1574876027745","38","0.3359375","-0.9453125","-0.024414062","-3.59375","2.9375","-1.4375"
"1574876027745","39","0.34179688","-0.93652344","-0.020507812","-8.0","4.0625","-0.9375"
"1574876027940","40","0.3544922","-0.94628906","-0.041992188","-7.75","4.0625","-2.0625"
"1574876027940","41","0.35058594","-0.93066406","-0.049804688","-5.0","2.84375","-1.0625"
"1574876027941","42","0.34960938","-0.9511719","-0.036132812","-8.25","4.0","-1.9375"
"1574876027941","43","0.34960938","-0.9296875","-0.021484375","-5.625","2.03125","-1.9375"
"1574876027941","44","0.33496094","-0.92285156","-0.02734375","-2.8125","1.4375","-2.1875"
"1574876027941","45","0.35058594","-0.9248047","-0.08203125","-8.90625","-3.40625","-2.78125"
"1574876027941","46","0.38476562","-0.96972656","-0.05078125","-3.4375","-1.6875","-4.0"
"1574876027942","47","0.33984375","-0.9472656","-0.051757812","-1.65625","-4.25","-3.21875"
"1574876027942","48","0.34472656","-0.9423828","-0.048828125","-11.0625","-0.65625","-4.5625"
"1574876027943","49","0.3544922","-0.9326172","-0.06640625","-10.03125","-2.71875","-6.375"
"1574876028343","50","0.34570312","-0.9375","-0.07421875","-16.71875","0.375","-7.125"
"1574876028343","51","0.35058594","-0.92285156","-0.09472656","-18.6875","4.0625","-9.5625"
"1574876028346","52","0.40722656","-0.91015625","-0.12792969","-17.09375","7.96875","-8.71875"
"1574876028346","53","0.4404297","-0.9033203","-0.14648438","-9.40625","6.5","-8.09375"
"1574876028347","54","0.40820312","-0.8691406","-0.14648438","-8.125","3.375","-8.40625"
"1574876028347","55","0.4326172","-0.8935547","-0.115234375","-8.0625","1.3125","-9.625"
"1574876028347","56","0.41503906","-0.8964844","-0.14648438","-8.1875","1.84375","-7.65625"
"1574876028347","57","0.44921875","-0.875","-0.13574219","-4.09375","-0.96875","-6.125"
"1574876028348","58","0.39160156","-0.8857422","-0.14941406","-4.40625","4.34375","-6.125"
"1574876028348","59","0.45507812","-0.8769531","-0.12988281","-3.59375","4.15625","-2.28125"
"1574876028540","60","0.42773438","-0.90625","-0.16113281","-2.8125","-1.4375","-4.84375"
"1574876028541","61","0.4345703","-0.89941406","-0.13671875","-2.75","-1.5625","-2.1875"
