"# PR data"
"# Start time: 20191127T182942"
"# Subject: lukasz"
"# Activity type: Squats"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574875782685","0","0.5253906","-0.77246094","0.0068359375","-24.375","16.1875","-11.28125"
"1574875782688","1","0.6064453","-0.9160156","0.036132812","-18.75","-5.65625","9.4375"
"1574875782689","2","0.359375","-1.0722656","0.10058594","3.71875","-1.75","8.21875"
"1574875782689","3","0.39941406","-0.9160156","0.08984375","4.8125","-4.4375","3.5625"
"1574875782689","4","0.3173828","-0.7675781","0.059570312","-1.78125","-2.25","-1.0625"
"1574875782689","5","0.4140625","-0.9296875","-0.0126953125","5.4375","-10.1875","0.6875"
"1574875782690","6","0.44433594","-0.9628906","-0.06640625","21.46875","-20.96875","-3.8125"
"1574875782690","7","0.23925781","-0.9248047","-0.017578125","18.90625","-21.46875","-0.90625"
"1574875782690","8","0.29101562","-0.9423828","-0.01171875","8.71875","-9.5","-5.34375"
"1574875782690","9","0.3330078","-0.95214844","-0.044921875","9.28125","-2.1875","-4.125"
"1574875783083","10","0.3466797","-0.9658203","-0.044921875","7.375","-0.71875","-1.0"
"1574875783083","11","0.3388672","-0.96972656","-0.022460938","11.59375","5.625","0.21875"
"1574875783083","12","0.34472656","-0.96484375","0.052734375","10.0","-0.65625","2.46875"
"1574875783084","13","0.3544922","-0.8886719","0.015625","6.09375","1.65625","3.125"
"1574875783084","14","0.34472656","-0.8955078","0.056640625","-1.28125","0.9375","3.125"
"1574875783085","15","0.32226562","-0.92871094","0.043945312","0.59375","-0.46875","1.90625"
"1574875783085","16","0.33691406","-0.94433594","0.033203125","-3.65625","-1.125","1.4375"
"1574875783085","17","0.38085938","-0.9560547","0.041992188","1.40625","-0.65625","1.0"
"1574875783085","18","0.34765625","-0.91015625","0.020507812","-4.15625","-2.53125","0.34375"
"1574875783086","19","0.375","-0.9394531","0.0390625","-1.90625","-1.1875","-0.15625"
"1574875783483","20","0.3701172","-0.9189453","0.018554688","-1.15625","-2.96875","-0.21875"
"1574875783483","21","0.359375","-0.9423828","0.030273438","0.0625","-5.28125","-0.09375"
"1574875783484","22","0.3232422","-0.9140625","0.034179688","-6.0625","-3.75","-1.0"
"1574875783484","23","0.34277344","-0.93652344","0.022460938","-1.65625","-2.71875","-0.84375"
"1574875783484","24","0.3515625","-0.9394531","0.0068359375","0.25","-2.65625","-1.1875"
"1574875783485","25","0.34765625","-0.9277344","0.013671875","-4.09375","-3.6875","-0.84375"
"1574875783486","26","0.34570312","-0.93847656","0.0048828125","-4.71875","-1.3125","-0.40625"
"1574875783486","27","0.3486328","-0.9404297","0.005859375","-2.375","-1.375","-0.78125"
"1574875783486","28","0.34570312","-0.9267578","0.005859375","-5.125","-1.375","-0.28125"
"1574875783487","29","0.34472656","-0.92871094","-0.0048828125","-6.28125","-0.15625","-0.15625"
"1574875783880","30","0.3408203","-0.9189453","-0.0078125","-8.1875","-0.40625","0.34375"
"1574875783881","31","0.33691406","-0.9296875","-0.016601562","-4.65625","0.8125","0.09375"
"1574875783881","32","0.34765625","-0.91015625","-0.01953125","-5.6875","-0.84375","0.4375"
"1574875783881","33","0.35253906","-0.90527344","-0.013671875","-6.59375","0.9375","1.1875"
"1574875783882","34","0.30273438","-0.89941406","-0.025390625","-8.5","0.375","0.875"
"1574875783882","35","0.32910156","-0.90625","-0.037109375","-6.59375","4.46875","1.96875"
