"# PR data"
"# Start time: 20191127T183252"
"# Subject: lukasz"
"# Activity type: Bicep curl"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574875973284","0","0.375","-0.9238281","-0.041992188","0.125","-2.125","0.5"
"1574875973284","1","0.3779297","-0.921875","-0.040039062","0.25","-2.90625","0.5"
"1574875973285","2","0.37402344","-0.9238281","-0.047851562","1.40625","-2.1875","0.34375"
"1574875973285","3","0.3798828","-0.91796875","-0.043945312","1.53125","-2.125","0.5625"
"1574875973285","4","0.38183594","-0.9238281","-0.05078125","1.40625","-0.40625","0.5"
"1574875973285","5","0.37695312","-0.92285156","-0.045898438","2.3125","-1.5","0.625"
"1574875973286","6","0.37597656","-0.92089844","-0.055664062","-0.0625","-0.84375","0.21875"
"1574875973286","7","0.375","-0.9267578","-0.03125","-3.84375","-3.03125","0.5625"
"1574875973286","8","0.37109375","-0.92089844","-0.047851562","-0.625","-0.90625","0.34375"
"1574875973286","9","0.3798828","-0.9248047","-0.029296875","0.96875","-1.8125","0.8125"
"1574875973482","10","0.37304688","-0.921875","-0.040039062","-0.4375","-2.84375","0.21875"
"1574875973482","11","0.37597656","-0.92285156","-0.04296875","2.75","-2.1875","0.6875"
"1574875973482","12","0.375","-0.9277344","-0.047851562","1.6875","-2.0625","0.40625"
"1574875973483","13","0.37109375","-0.92578125","-0.040039062","1.875","-1.25","0.5625"
"1574875973483","14","0.37695312","-0.9316406","-0.03125","0.71875","-1.125","0.09375"
"1574875973484","15","0.36523438","-0.92578125","-0.040039062","-1.78125","-0.59375","-0.15625"
"1574875973484","16","0.36816406","-0.9248047","-0.045898438","-1.09375","-1.625","0.34375"
"1574875973484","17","0.37695312","-0.9267578","-0.045898438","-0.4375","-0.09375","0.75"
"1574875973484","18","0.3701172","-0.92871094","-0.047851562","-0.3125","0.375","0.40625"
"1574875973485","19","0.3720703","-0.9277344","-0.036132812","-0.5","0.5625","0.75"
"1574875973685","20","0.37402344","-0.9316406","-0.043945312","-2.03125","1.0","0.6875"
"1574875973685","21","0.36914062","-0.9316406","-0.052734375","-2.21875","1.3125","0.75"
"1574875973686","22","0.3720703","-0.92578125","-0.0625","-0.4375","3.875","0.09375"
"1574875973686","23","0.3876953","-0.92578125","-0.05859375","-5.8125","3.9375","-0.28125"
"1574875973686","24","0.36816406","-0.9355469","-0.059570312","-2.03125","2.71875","-1.8125"
"1574875973687","25","0.3623047","-0.90527344","-0.059570312","1.625","0.5625","-1.75"
"1574875973688","26","0.38867188","-0.921875","-0.07519531","1.75","4.28125","-1.75"
"1574875973688","27","0.3701172","-0.9326172","-0.036132812","-5.0","0.3125","-2.125"
"1574875973689","28","0.38378906","-0.9189453","-0.059570312","1.625","-1.5","-1.875"
"1574875973689","29","0.39453125","-0.91796875","-0.056640625","-0.0625","-1.375","-1.75"
"1574875974083","30","0.38378906","-0.91796875","-0.05078125","0.34375","-1.75","-1.75"
"1574875974084","31","0.38183594","-0.9267578","-0.05859375","-1.0","-1.625","-2.46875"
"1574875974084","32","0.3720703","-0.92285156","-0.049804688","-3.78125","-2.46875","-3.03125"
"1574875974084","33","0.38476562","-0.92089844","-0.056640625","-6.34375","-2.40625","-3.21875"
"1574875974085","34","0.38085938","-0.9277344","-0.056640625","-4.15625","-1.6875","-3.40625"
"1574875974085","35","0.37597656","-0.91796875","-0.0625","-5.9375","-1.375","-2.78125"
"1574875974085","36","0.3876953","-0.9248047","-0.07421875","-4.15625","-0.84375","-2.90625"
"1574875974087","37","0.390625","-0.921875","-0.06933594","-7.09375","-1.6875","-2.46875"
"1574875974087","38","0.40039062","-0.9189453","-0.080078125","-4.03125","-1.6875","-1.4375"
"1574875974087","39","0.390625","-0.9121094","-0.07421875","-1.59375","-2.3125","-1.3125"
"1574875974480","40","0.3955078","-0.91015625","-0.076171875","-0.125","-2.78125","-0.71875"
"1574875974480","41","0.39160156","-0.91308594","-0.0859375","1.75","-1.75","-0.40625"
"1574875974481","42","0.38085938","-0.90722656","-0.06542969","0.96875","-1.0625","0.21875"
"1574875974481","43","0.3828125","-0.9189453","-0.07421875","5.59375","1.71875","0.9375"
"1574875974481","44","0.38085938","-0.91503906","-0.055664062","4.875","1.96875","1.5625"
"1574875974481","45","0.40039062","-0.9111328","-0.072265625","3.84375","1.65625","1.375"
"1574875974482","46","0.39257812","-0.91503906","-0.06640625","9.875","1.65625","2.03125"
"1574875974482","47","0.38867188","-0.9160156","-0.0546875","7.5","2.03125","1.96875"
"1574875974482","48","0.39160156","-0.9189453","-0.055664062","8.84375","1.96875","1.84375"
