"# PR data"
"# Start time: 20191127T183417"
"# Subject: lukasz"
"# Activity type: Shoulder press"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574876057355","0","0.39453125","-0.9248047","0.013671875","6.59375","1.5","0.5"
"1574876057355","1","0.40722656","-0.9326172","-0.0029296875","-0.125","-0.40625","0.9375"
"1574876057355","2","0.3984375","-0.92578125","-0.001953125","-7.40625","-3.875","-0.65625"
"1574876057355","3","0.39257812","-0.9316406","0.0087890625","-5.8125","-6.4375","-1.125"
"1574876057356","4","0.38671875","-0.91015625","-0.0078125","-9.34375","-7.65625","-2.53125"
"1574876057356","5","0.38867188","-0.9169922","-0.0146484375","-3.0","-11.8125","-2.125"
"1574876057356","6","0.39648438","-0.9111328","-0.022460938","2.125","-14.3125","-0.46875"
"1574876057356","7","0.3876953","-0.9013672","0.0146484375","4.3125","-13.59375","2.21875"
"1574876057357","8","0.37890625","-0.8955078","-0.0234375","2.1875","-6.375","1.3125"
"1574876057357","9","0.3857422","-0.91503906","-0.01171875","0.25","-5.53125","-0.53125"
"1574876058150","10","0.3701172","-0.91015625","-0.0048828125","-0.5625","-5.46875","-0.28125"
"1574876058150","11","0.3984375","-0.9111328","-0.0107421875","1.28125","-5.15625","-0.03125"
"1574876058150","12","0.390625","-0.91308594","-0.0146484375","1.46875","-2.375","-0.09375"
"1574876058155","13","0.38964844","-0.9160156","-0.0146484375","2.1875","-2.46875","0.34375"
"1574876058156","14","0.38867188","-0.9199219","-0.017578125","1.28125","-1.125","0.5"
"1574876058156","15","0.3828125","-0.9199219","-0.026367188","-2.625","-2.0","-0.28125"
"1574876058157","16","0.3935547","-0.92285156","-0.034179688","2.5","1.5","0.5625"
"1574876058157","17","0.3876953","-0.9140625","-0.024414062","4.25","1.96875","0.5625"
"1574876058157","18","0.38378906","-0.921875","-0.01171875","4.03125","2.28125","1.1875"
"1574876058157","19","0.38671875","-0.92089844","-0.0146484375","2.8125","0.21875","0.5625"
"1574876058158","20","0.39941406","-0.93066406","0.001953125","-1.28125","1.0625","0.625"
"1574876058158","21","0.37695312","-0.921875","-0.0107421875","-0.3125","-1.875","0.28125"
"1574876058158","22","0.38671875","-0.92089844","-0.009765625","-2.375","-1.25","0.40625"
"1574876058159","23","0.38476562","-0.91503906","-0.016601562","-8.125","-3.09375","-1.75"
"1574876058159","24","0.39160156","-0.92871094","-0.0234375","-2.625","-3.40625","-1.0625"
"1574876058159","25","0.38085938","-0.9189453","-0.016601562","-5.25","-4.1875","-0.78125"
"1574876058160","26","0.39648438","-0.92871094","-0.030273438","-5.125","-2.53125","-1.9375"
"1574876058160","27","0.39160156","-0.9326172","-0.044921875","-2.03125","-4.125","-2.1875"
"1574876058160","28","0.38867188","-0.91796875","-0.044921875","-5.4375","-1.125","-2.84375"
"1574876058160","29","0.3857422","-0.92089844","-0.048828125","-8.8125","0.625","-3.8125"
"1574876058352","30","0.4033203","-0.92285156","-0.060546875","-12.34375","-1.1875","-3.21875"
"1574876058353","31","0.3935547","-0.9160156","-0.059570312","-18.4375","-3.65625","-4.625"
"1574876058353","32","0.3955078","-0.90625","-0.053710938","-12.46875","1.84375","-4.625"
"1574876058353","33","0.42285156","-0.91015625","-0.078125","-7.21875","0.3125","-4.6875"
"1574876058353","34","0.41992188","-0.8955078","-0.08105469","-4.34375","-2.375","-4.375"
"1574876058354","35","0.42871094","-0.890625","-0.08984375","-4.59375","0.75","-5.15625"
"1574876058354","36","0.4267578","-0.9169922","-0.08886719","-2.75","0.6875","-5.78125"
"1574876058355","37","0.4345703","-0.90722656","-0.09765625","-4.9375","-1.875","-4.75"
"1574876058355","38","0.40820312","-0.890625","-0.06933594","-4.78125","-8.59375","-4.5"
"1574876058355","39","0.42382812","-0.9091797","-0.078125","-4.34375","-4.875","-4.84375"
"1574876059343","40","0.4140625","-0.9013672","-0.11230469","-4.21875","-2.0","-6.09375"
"1574876059343","41","0.44140625","-0.8769531","-0.10546875","-1.59375","-0.21875","-5.21875"
"1574876059343","42","0.45117188","-0.8925781","-0.12207031","1.875","-4.6875","-4.8125"
"1574876059343","43","0.42871094","-0.8925781","-0.11035156","1.8125","-6.875","-3.75"
"1574876059344","44","0.42578125","-0.9082031","-0.099609375","-7.15625","-8.28125","-5.84375"
"1574876059344","45","0.4404297","-0.90722656","-0.0859375","-6.40625","-0.53125","-6.25"
"1574876059344","46","0.41796875","-0.9013672","-0.08203125","-10.5625","-4.9375","-3.9375"
"1574876059344","47","0.4404297","-0.8964844","-0.12109375","-8.0625","-4.0","-5.78125"
"1574876059345","48","0.43945312","-0.8925781","-0.1171875","-6.125","-3.21875","-4.4375"
"1574876059345","49","0.44628906","-0.87890625","-0.123046875","-5.875","-1.8125","-6.09375"
"1574876059347","50","0.45703125","-0.8623047","-0.13378906","-7.21875","0.3125","-6.875"
"1574876059347","51","0.46972656","-0.8798828","-0.14550781","-6.71875","-7.125","-4.96875"
"1574876059347","52","0.4638672","-0.8671875","-0.14453125","-5.75","-4.375","-5.53125"
"1574876059348","53","0.45996094","-0.8652344","-0.14355469","-3.65625","-5.46875","-4.96875"
"1574876059348","54","0.48632812","-0.8701172","-0.15332031","-3.65625","-3.875","-6.25"
"1574876059348","55","0.48535156","-0.8808594","-0.14355469","-2.625","-12.0","-4.0625"
"1574876059349","56","0.48046875","-0.8671875","-0.17578125","-1.84375","-9.6875","-4.6875"
"1574876059349","57","0.45996094","-0.8613281","-0.16503906","-5.8125","-8.59375","-5.59375"
"1574876059349","58","0.4716797","-0.88378906","-0.16992188","-4.40625","-4.4375","-5.78125"
"1574876059349","59","0.44140625","-0.86328125","-0.1484375","-13.0625","-1.3125","-6.25"
"1574876059545","60","0.4951172","-0.8613281","-0.19433594","-12.28125","1.65625","-6.09375"
"1574876059547","61","0.49121094","-0.85058594","-0.203125","-9.90625","-0.40625","-5.28125"
"1574876059548","62","0.5136719","-0.85058594","-0.20800781","-9.65625","2.65625","-4.5625"
"1574876059548","63","0.51171875","-0.83691406","-0.18652344","-11.3125","1.53125","-5.78125"
"1574876059548","64","0.49414062","-0.8378906","-0.22949219","-6.0625","3.5","-5.90625"
"1574876059548","65","0.5126953","-0.83984375","-0.23828125","-5.5625","2.40625","-3.40625"
"1574876059549","66","0.49121094","-0.8310547","-0.23632812","-3.0","-3.75","-0.90625"
"1574876059549","67","0.4970703","-0.84472656","-0.21972656","-3.4375","-2.3125","-1.25"
"1574876059549","68","0.50390625","-0.8388672","-0.23046875","-3.0","-2.90625","-0.65625"
"1574876059550","69","0.51660156","-0.84472656","-0.22949219","-2.4375","-7.90625","-0.21875"
"1574876060142","70","0.50390625","-0.83984375","-0.22558594","-2.03125","-5.34375","0.15625"
"1574876060143","71","0.53027344","-0.8261719","-0.25683594","-3.1875","-7.3125","-0.84375"
"1574876060143","72","0.5214844","-0.82421875","-0.2578125","-1.03125","-10.53125","-0.84375"
"1574876060144","73","0.44628906","-0.8378906","-0.17382812","-17.09375","-11.6875","-2.78125"
"1574876060145","74","0.46875","-0.8388672","-0.24316406","-0.4375","1.78125","-6.5"
"1574876060145","75","0.48535156","-0.83496094","-0.25097656","-3.0","-3.59375","-2.90625"
"1574876060145","76","0.4736328","-0.8613281","-0.2529297","2.0","2.09375","-0.21875"
"1574876060145","77","0.49804688","-0.82128906","-0.2421875","-2.15625","-2.3125","2.03125"
"1574876060146","78","0.49316406","-0.8359375","-0.24609375","8.21875","1.25","3.375"
"1574876060146","79","0.515625","-0.8486328","-0.25195312","10.78125","2.65625","6.96875"
"1574876060341","80","0.5214844","-0.83984375","-0.21582031","8.59375","7.40625","7.53125"
"1574876060341","81","0.49804688","-0.84765625","-0.23046875","4.3125","9.1875","9.0"
"1574876060342","82","0.4794922","-0.82714844","-0.22167969","0.90625","8.0625","9.96875"
"1574876060342","83","0.515625","-0.8359375","-0.23144531","1.28125","14.375","11.625"
"1574876060342","84","0.51660156","-0.85058594","-0.24121094","4.3125","7.59375","9.25"
"1574876060344","85","0.47460938","-0.8515625","-0.19238281","5.59375","3.3125","9.0"
"1574876060344","86","0.45117188","-0.8564453","-0.22363281","-0.3125","-2.84375","5.59375"
"1574876060344","87","0.49609375","-0.88964844","-0.20117188","-2.03125","0.15625","3.875"
"1574876060345","88","0.44921875","-0.8574219","-0.21777344","-3.375","-1.5625","2.71875"
"1574876060345","89","0.45703125","-0.8466797","-0.24609375","-3.375","-0.78125","2.90625"
"1574876060738","90","0.484375","-0.8408203","-0.24414062","2.0","2.21875","5.28125"
