"# PR data"
"# Start time: 20191127T183900"
"# Subject: lukasz"
"# Activity type: Step ups"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574876340578","0","0.38378906","-0.92089844","0.041992188","12.8125","-18.34375","0.09375"
"1574876340579","1","0.3408203","-0.8984375","0.0703125","20.375","-19.15625","0.28125"
"1574876340579","2","0.35351562","-0.95214844","0.028320312","21.34375","-17.875","0.5625"
"1574876340579","3","0.35546875","-0.92089844","0.05859375","14.59375","-9.5625","1.3125"
"1574876340580","4","0.36914062","-0.921875","0.05859375","19.15625","-6.5","1.1875"
"1574876340580","5","0.3486328","-0.91503906","0.07714844","17.5","-0.78125","1.4375"
"1574876340580","6","0.3642578","-0.9199219","0.078125","17.4375","0.5","-1.0625"
"1574876340581","7","0.3779297","-0.89453125","0.1015625","18.53125","3.25","-1.875"
"1574876340581","8","0.34472656","-0.89453125","0.16210938","18.0","4.21875","-3.15625"
"1574876340581","9","0.39453125","-0.8769531","0.14746094","14.28125","4.53125","-2.90625"
"1574876340975","10","0.41601562","-0.8984375","0.15429688","15.96875","0.15625","-4.8125"
"1574876340975","11","0.41308594","-0.91308594","0.1875","16.84375","0.8125","-4.3125"
"1574876340976","12","0.40234375","-0.8955078","0.15625","16.21875","3.4375","-8.9375"
"1574876340977","13","0.4345703","-0.8857422","0.25","14.75","3.0","-5.46875"
"1574876340978","14","0.36132812","-0.8828125","0.19921875","23.0","8.375","-8.9375"
"1574876340978","15","0.40527344","-0.86035156","0.22558594","19.65625","7.46875","-6.4375"
"1574876340978","16","0.42089844","-0.87597656","0.2421875","15.9375","3.5","-5.53125"
"1574876340978","17","0.4033203","-0.8613281","0.24609375","13.1875","8.25","-7.125"
"1574876340979","18","0.44726562","-0.8671875","0.24121094","9.15625","7.53125","-4.625"
"1574876340979","19","0.4345703","-0.85253906","0.22558594","4.3125","5.34375","-5.09375"
"1574876341572","20","0.43554688","-0.84277344","0.24316406","0.40625","3.1875","-0.71875"
"1574876341572","21","0.4267578","-0.84375","0.22949219","5.25","3.5625","1.25"
"1574876341572","22","0.4375","-0.8515625","0.24023438","5.53125","3.5","4.65625"
"1574876341573","23","0.39746094","-0.8652344","0.24121094","6.59375","7.65625","7.09375"
"1574876341573","24","0.41992188","-0.8310547","0.20703125","3.96875","11.875","11.5"
"1574876341574","25","0.40625","-0.88964844","0.2685547","-6.0","14.125","14.5"
"1574876341575","26","0.39648438","-0.87597656","0.20800781","-6.34375","17.59375","14.90625"
"1574876341575","27","0.46289062","-0.8828125","0.21289062","-12.21875","25.78125","14.78125"
"1574876341576","28","0.34765625","-0.88183594","0.23925781","-13.125","29.25","12.96875"
"1574876341576","29","0.38476562","-0.8925781","0.30859375","-17.21875","24.4375","14.25"
"1574876341772","30","0.119140625","-0.98828125","0.28222656","-7.5","27.5625","23.03125"
"1574876341772","31","0.4033203","-1.0458984","0.1875","-16.84375","43.71875","23.71875"
"1574876341773","32","0.25390625","-0.875","0.35839844","-14.09375","45.0625","20.40625"
"1574876341773","33","0.21289062","-0.99902344","0.37402344","-14.53125","28.34375","29.4375"
"1574876341773","34","0.28515625","-1.0498047","0.2861328","10.125","13.625","27.5"
"1574876341773","35","0.14941406","-0.98339844","0.3720703","-0.4375","14.84375","26.875"
"1574876341774","36","0.22265625","-0.97753906","0.2939453","0.1875","11.625","25.78125"
"1574876341775","37","0.13769531","-0.8984375","0.3076172","6.46875","2.9375","17.65625"
"1574876341776","38","0.11816406","-0.88671875","0.29785156","4.25","-0.90625","13.9375"
"1574876341776","39","0.12402344","-0.9423828","0.2841797","-6.0625","-1.75","10.53125"
"1574876342169","40","0.09667969","-0.94921875","0.32128906","-6.21875","-4.96875","1.375"
"1574876342170","41","0.11328125","-0.9785156","0.33398438","-3.5625","-6.4375","-1.375"
"1574876342170","42","0.08886719","-0.9902344","0.30371094","-8.84375","-11.34375","-4.84375"
"1574876342170","43","0.14453125","-0.953125","0.31640625","-11.40625","-11.75","-7.53125"
"1574876342170","44","0.11425781","-0.8964844","0.25097656","2.90625","-17.625","-8.21875"
"1574876342170","45","0.1328125","-0.90625","0.24804688","-8.4375","-12.75","-7.65625"
"1574876342171","46","0.16699219","-0.8925781","0.24609375","-1.21875","-16.21875","-10.65625"
"1574876342171","47","0.1640625","-0.8847656","0.24023438","-3.65625","-17.9375","-11.5"
"1574876342171","48","0.15527344","-0.8779297","0.21386719","-6.34375","-17.4375","-11.6875"
"1574876342173","49","0.18261719","-0.9013672","0.2109375","-4.78125","-17.3125","-12.90625"
"1574876342566","50","0.16503906","-0.9042969","0.22558594","-11.96875","-10.96875","-11.75"
"1574876342567","51","0.19921875","-0.91796875","0.19140625","-10.375","-10.1875","-12.25"
"1574876342567","52","0.2109375","-0.92089844","0.19042969","-9.21875","-8.9375","-12.78125"
"1574876342567","53","0.23339844","-0.9326172","0.18847656","-10.5625","-4.875","-14.875"
"1574876342567","54","0.20996094","-0.9121094","0.21191406","-7.46875","-10.0","-14.9375"
"1574876342568","55","0.2421875","-0.88964844","0.16015625","-4.28125","-7.3125","-13.46875"
"1574876342568","56","0.23632812","-0.9423828","0.17285156","-9.59375","-5.78125","-12.78125"
"1574876342568","57","0.23925781","-0.9345703","0.17382812","-11.1875","-3.40625","-12.0"
"1574876342568","58","0.2548828","-0.9042969","0.16210938","-14.40625","-7.0625","-12.25"
"1574876342569","59","0.27441406","-0.9140625","0.16894531","-13.5625","-11.6875","-15.53125"
"1574876342962","60","0.26953125","-0.90722656","0.10546875","-16.5","-14.125","-22.125"
"1574876342963","61","0.27539062","-0.9394531","0.15332031","-16.375","-12.84375","-21.75"
"1574876342964","62","0.28320312","-0.9609375","0.13183594","-23.3125","-10.28125","-14.125"
"1574876342964","63","0.3076172","-0.96972656","0.10644531","-26.9375","-10.96875","-14.0625"
"1574876342964","64","0.36035156","-0.88964844","0.06640625","-26.0","-13.28125","-12.84375"
"1574876342964","65","0.3623047","-0.88183594","0.047851562","-16.5","-16.65625","-9.5625"
"1574876342965","66","0.3642578","-0.8652344","0.083984375","-7.5","-18.09375","-3.875"
"1574876342965","67","0.3857422","-0.8613281","0.034179688","-5.9375","-22.3125","0.03125"
"1574876342965","68","0.36035156","-0.9033203","0.11328125","15.0","-15.84375","0.9375"
"1574876342965","69","0.32910156","-0.89941406","0.12695312","15.3125","-7.65625","2.46875"
"1574876343361","70","0.32910156","-0.92578125","0.09082031","6.53125","-0.84375","4.96875"
"1574876343361","71","0.38476562","-0.95703125","0.09375","6.78125","3.4375","2.90625"
"1574876343362","72","0.36328125","-0.95410156","0.09375","4.09375","6.6875","4.1875"
"1574876343363","73","0.39257812","-0.9238281","0.05078125","-8.625","5.5","0.875"
"1574876343364","74","0.41503906","-0.8925781","0.048828125","-4.09375","0.21875","-1.375"
"1574876343364","75","0.3623047","-0.88671875","0.057617188","-2.5625","2.59375","3.0"
"1574876343364","76","0.3701172","-0.8886719","0.047851562","-1.03125","7.03125","7.90625"
"1574876343365","77","0.36328125","-0.8701172","0.021484375","7.375","14.1875","9.0"
"1574876343365","78","0.36621094","-0.87597656","0.05078125","1.28125","7.34375","11.3125"
"1574876343365","79","0.33984375","-0.9511719","0.076171875","2.75","12.34375","15.71875"
"1574876343758","80","0.38085938","-0.8847656","0.08105469","10.3125","15.09375","14.0625"
"1574876343759","81","0.3310547","-0.91796875","0.07324219","12.03125","5.6875","9.90625"
"1574876343759","82","0.2783203","-0.9433594","0.12597656","16.28125","13.5","17.53125"
"1574876343759","83","0.32421875","-0.8486328","0.109375","6.53125","8.6875","14.375"
"1574876343760","84","0.31640625","-0.93359375","0.11035156","14.34375","0.03125","14.84375"
"1574876343761","85","0.22558594","-0.9404297","0.17578125","14.21875","4.125","19.75"
"1574876343762","86","0.26757812","-0.9267578","0.1171875","14.28125","5.6875","16.75"
"1574876343762","87","0.25097656","-0.97265625","0.12890625","20.875","0.4375","15.90625"
"1574876343762","88","0.21875","-0.9199219","0.17675781","15.96875","7.78125","19.625"
"1574876343763","89","0.24023438","-0.9248047","0.1328125","10.6875","4.53125","16.375"
"1574876344156","90","0.17382812","-0.9091797","0.1171875","13.53125","1.84375","13.6875"
"1574876344157","91","0.19824219","-0.91503906","0.14746094","1.21875","1.59375","15.46875"
"1574876344157","92","0.1953125","-0.9785156","0.15332031","3.46875","3.3125","13.875"
"1574876344157","93","0.14355469","-0.9082031","0.17382812","0.0625","-0.28125","10.46875"
"1574876344158","94","0.12890625","-0.9580078","0.20800781","-9.46875","2.84375","13.03125"
"1574876344158","95","0.020507812","-1.0136719","0.19140625","-14.34375","-3.21875","19.96875"
"1574876344158","96","0.18066406","-0.93359375","0.1953125","0.40625","7.71875","16.25"
"1574876344158","97","0.06933594","-1.0283203","0.2421875","-11.71875","3.9375","20.09375"
"1574876344159","98","0.06933594","-1.0048828","0.18164062","-24.90625","0.5","10.59375"
"1574876344159","99","0.0546875","-1.1044922","0.12011719","-33.625","-0.46875","3.1875"
"1574876344552","100","0.11230469","-1.0478516","0.13769531","-11.25","12.21875","-3.5625"
"1574876344553","101","0.21777344","-0.97265625","0.0859375","-1.53125","15.9375","-2.46875"
"1574876344553","102","0.24414062","-1.1123047","0.09667969","2.0625","16.0","4.65625"
"1574876344553","103","0.22851562","-1.2167969","0.16601562","16.71875","8.0625","0.5"
"1574876344553","104","0.08886719","-1.0107422","0.12207031","-3.25","7.65625","-0.84375"
"1574876344554","105","0.25","-0.9580078","0.052734375","7.1875","4.0","-10.21875"
"1574876344554","106","0.18945312","-1.0136719","0.057617188","-0.5","-10.71875","-9.0"
"1574876344554","107","0.18261719","-0.99609375","0.05859375","-10.625","-11.09375","-17.125"
"1574876344554","108","0.234375","-0.8720703","0.080078125","-5.375","-21.65625","-21.75"
"1574876344556","109","0.17773438","-0.9501953","0.07519531","-5.625","-22.625","-15.78125"
"1574876345349","110","0.19433594","-1.0029297","0.052734375","-7.21875","-16.34375","-18.34375"
"1574876345349","111","0.17773438","-0.9482422","0.1328125","-5.4375","-23.53125","-19.125"
"1574876345349","112","0.20898438","-0.9921875","0.061523438","-4.15625","-23.21875","-16.53125"
"1574876345350","113","0.20605469","-0.9423828","0.02734375","-3.4375","-20.375","-18.90625"
"1574876345350","114","0.18164062","-0.9091797","0.1015625","-2.4375","-15.0625","-12.5"
"1574876345350","115","0.2734375","-0.9824219","0.08300781","-4.71875","-7.4375","-12.65625"
