"# PR data"
"# Start time: 20191113T115843"
"# Subject: nikita"
"# Activity type: Shoulder press"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573646323716","0","-0.05859375","-0.93652344","0.18652344","-5.5","32.9375","-6.96875"
"1573646323717","1","-0.056640625","-1.0117188","0.21386719","-2.03125","25.75","-8.25"
"1573646323717","2","-0.03125","-0.98339844","0.20605469","10.84375","17.375","-5.625"
"1573646323718","3","-0.005859375","-0.9394531","0.21679688","12.9375","3.21875","-1.40625"
"1573646323718","4","0.0029296875","-0.94433594","0.24121094","19.28125","-0.875","1.4375"
"1573646323718","5","0.0029296875","-0.9716797","0.20410156","15.90625","-9.59375","2.25"
"1573646323718","6","0.009765625","-0.94921875","0.23828125","16.09375","-21.0625","7.5"
"1573646323718","7","-0.00390625","-0.9824219","0.21972656","26.53125","-31.75","12.375"
"1573646323719","8","0.017578125","-0.9501953","0.2607422","30.0625","-38.84375","12.625"
"1573646323719","9","0.0546875","-0.9472656","0.23828125","23.96875","-50.1875","18.0625"
"1573646323913","10","0.030273438","-0.93066406","0.3359375","20.625","-51.78125","18.0"
"1573646323916","11","-0.001953125","-0.9160156","0.3251953","15.625","-56.40625","19.34375"
"1573646323917","12","-0.028320312","-0.9667969","0.28320312","12.5625","-40.53125","13.15625"
"1573646323919","13","0.018554688","-1.0273438","0.3642578","-14.78125","-29.9375","2.96875"
"1573646323919","14","-9.765625E-4","-0.95996094","0.23535156","-20.65625","-31.25","4.3125"
"1573646323920","15","0.02734375","-0.91015625","0.33691406","-19.5","-27.0","2.25"
"1573646323920","16","0.051757812","-0.9609375","0.31640625","-19.71875","-28.09375","2.96875"
"1573646323920","17","-0.016601562","-0.9267578","0.29296875","-19.0625","-15.59375","5.125"
"1573646323921","18","9.765625E-4","-0.9267578","0.2939453","-25.90625","-12.78125","5.21875"
"1573646323921","19","-0.017578125","-0.89453125","0.30664062","-21.6875","0.09375","5.90625"
"1573646324117","20","-0.12597656","-0.94921875","0.28710938","-18.21875","10.65625","15.5"
"1573646324118","21","-0.24316406","-0.9560547","0.3095703","-9.46875","42.71875","13.96875"
"1573646324118","22","-0.23242188","-0.8720703","0.32421875","10.1875","52.09375","18.1875"
"1573646324119","23","-0.4169922","-0.91796875","0.33203125","50.09375","102.34375","22.125"
"1573646324119","24","-0.24511719","-0.9423828","0.23632812","46.125","92.21875","9.6875"
"1573646324119","25","0.033203125","-0.9316406","0.2607422","45.09375","108.125","15.96875"
"1573646324120","26","-0.09472656","-1.03125","0.2626953","37.53125","112.90625","5.125"
"1573646324120","27","0.005859375","-1.0830078","0.28515625","27.03125","94.03125","-15.9375"
"1573646324120","28","0.0078125","-1.0029297","0.37695312","20.5625","59.625","-19.4375"
"1573646324120","29","-0.025390625","-0.9042969","0.29101562","4.8125","19.09375","-12.34375"
"1573646324513","30","-0.140625","-0.97558594","0.30273438","-9.15625","0.03125","-8.0"
"1573646324514","31","-0.18164062","-0.8886719","0.22070312","-22.125","-6.78125","-8.875"
"1573646324514","32","-0.14355469","-0.92089844","0.2109375","-11.90625","-17.65625","-10.625"
"1573646324514","33","-0.19726562","-0.9765625","0.16992188","-13.75","-17.34375","-5.5625"
"1573646324515","34","-0.18847656","-0.9433594","0.22265625","-18.5625","-22.40625","-13.0625"
"1573646324515","35","-0.234375","-1.0019531","0.19433594","-22.71875","-21.25","-12.03125"
"1573646324515","36","-0.16894531","-0.9296875","0.1796875","-12.84375","-31.625","-16.625"
"1573646324519","37","-0.21972656","-1.0722656","0.3125","-19.84375","-5.625","-1.125"
"1573646324519","38","-0.29882812","-0.9453125","0.29492188","-2.625","-16.125","-5.25"
"1573646324520","39","0.057617188","-0.6923828","0.27148438","1.28125","-34.4375","-13.1875"
"1573646324910","40","-0.034179688","-0.8623047","0.3251953","4.5","-7.8125","4.0"
"1573646324910","41","-0.09375","-0.98535156","0.3310547","-5.3125","-6.1875","-10.5"
"1573646324910","42","-0.032226562","-1.0488281","0.3466797","-16.625","7.0625","-27.34375"
"1573646324911","43","0.025390625","-0.9765625","0.19628906","-18.5625","-2.21875","-15.875"
"1573646324911","44","-0.057617188","-1.1064453","0.40722656","-10.40625","21.21875","-10.75"
"1573646324911","45","-9.765625E-4","-0.9316406","0.22753906","-9.21875","11.53125","-28.53125"
"1573646324911","46","0.14160156","-0.8886719","0.115234375","-21.4375","-1.78125","-20.09375"
"1573646324911","47","0.05859375","-0.9121094","0.19433594","-25.28125","4.0","-11.3125"
"1573646324912","48","0.025390625","-0.9482422","0.16113281","-26.625","2.78125","-9.59375"
"1573646324912","49","0.025390625","-1.0078125","0.24902344","-30.28125","20.0","-6.0"
"1573646325504","50","-0.14941406","-1.1855469","0.28320312","-12.96875","27.09375","-7.8125"
"1573646325504","51","-0.029296875","-0.8720703","0.140625","19.34375","-17.59375","-10.15625"
"1573646325504","52","0.2109375","-0.8339844","0.20507812","9.1875","-25.71875","0.15625"
"1573646325504","53","-0.0703125","-0.95996094","0.19140625","-3.4375","16.09375","9.6875"
"1573646325504","54","-0.09375","-1.0390625","0.22558594","-2.75","2.71875","2.5"
"1573646325505","55","-0.048828125","-0.9892578","0.19140625","3.34375","-1.25","6.5625"
"1573646325505","56","-0.04296875","-0.9707031","0.23730469","4.875","-0.4375","7.5"
"1573646325505","57","-0.044921875","-0.93847656","0.18847656","10.125","-3.0625","2.4375"
"1573646325505","58","-0.0546875","-0.9482422","0.19824219","8.59375","0.96875","-0.125"
