"# PR data"
"# Start time: 20191113T115440"
"# Subject: nikita"
"# Activity type: Squats"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573646080645","0","-0.038085938","-0.97265625","0.19824219","-7.65625","8.96875","-3.375"
"1573646080646","1","-0.021484375","-0.9736328","0.16894531","-1.34375","-3.1875","-1.25"
"1573646080646","2","-0.029296875","-0.9902344","0.18945312","2.90625","1.03125","-0.4375"
"1573646080646","3","-0.060546875","-0.9716797","0.19140625","-5.4375","-1.65625","-2.8125"
"1573646080646","4","-0.046875","-0.94628906","0.1484375","-6.53125","3.15625","-7.8125"
"1573646080647","5","0.0","-0.99121094","0.15136719","-8.0","7.1875","-2.53125"
"1573646080647","6","-0.037109375","-0.9951172","0.17285156","-1.46875","3.53125","2.3125"
"1573646080647","7","-0.024414062","-0.9609375","0.14550781","6.40625","-3.5","1.5625"
"1573646080648","8","-0.048828125","-0.9863281","0.19628906","3.71875","1.03125","4.1875"
"1573646080648","9","-0.034179688","-0.96484375","0.14355469","-3.90625","-2.15625","0.53125"
"1573646081040","10","-0.040039062","-0.98535156","0.16992188","7.375","0.21875","5.34375"
"1573646081041","11","-0.08691406","-0.9794922","0.20214844","-1.40625","-3.125","2.84375"
"1573646081041","12","-0.07519531","-0.984375","0.18847656","-1.90625","-0.3125","0.90625"
"1573646081042","13","-0.052734375","-0.9736328","0.14648438","4.3125","-1.3125","-0.25"
"1573646081043","14","-0.0625","-0.9824219","0.19140625","-4.15625","2.71875","-0.3125"
"1573646081043","15","-0.064453125","-0.98046875","0.18164062","0.0","2.4375","0.15625"
"1573646081043","16","-0.056640625","-0.9824219","0.16992188","-2.03125","0.96875","0.0"
"1573646081043","17","-0.061523438","-0.9746094","0.17871094","-2.625","1.625","-0.1875"
"1573646081044","18","-0.055664062","-0.97753906","0.17089844","-1.46875","0.59375","-0.5625"
"1573646081044","19","-0.061523438","-0.9814453","0.17773438","-3.375","0.28125","0.03125"
"1573646081244","20","-0.0625","-0.98046875","0.1796875","-2.28125","1.03125","-0.75"
"1573646081244","21","-0.053710938","-0.98339844","0.16503906","-1.3125","0.59375","0.0"
"1573646081245","22","-0.0625","-0.97558594","0.18554688","-2.6875","1.5625","-1.84375"
"1573646081245","23","-0.052734375","-0.9814453","0.19335938","-2.53125","1.6875","-0.8125"
"1573646081245","24","-0.048828125","-0.97265625","0.13574219","-0.1875","-0.25","-1.59375"
"1573646081246","25","-0.06933594","-0.9951172","0.21582031","-6.78125","4.8125","-1.53125"
"1573646081246","26","-0.032226562","-0.96777344","0.16015625","-4.65625","-0.625","-2.03125"
"1573646081246","27","-0.06640625","-0.9863281","0.15820312","-0.9375","3.9375","-0.1875"
"1573646081246","28","-0.043945312","-0.97558594","0.17578125","-3.75","-0.6875","-1.96875"
"1573646081247","29","-0.053710938","-0.9824219","0.16796875","-2.6875","2.0","-0.75"
"1573646082035","30","-0.047851562","-0.9814453","0.14453125","3.34375","1.03125","-0.3125"
"1573646082035","31","-0.055664062","-0.98828125","0.17675781","-2.03125","2.0","-0.9375"
"1573646082036","32","-0.051757812","-0.9785156","0.18457031","2.65625","2.5625","-0.1875"
"1573646082036","33","-0.049804688","-0.9736328","0.17480469","-0.625","0.15625","0.21875"
"1573646082036","34","-0.041015625","-0.953125","0.17675781","0.71875","0.03125","0.71875"
"1573646082036","35","-0.06933594","-0.9189453","0.16601562","3.71875","1.5","3.34375"
"1573646082037","36","-0.0625","-0.8769531","0.1796875","6.09375","7.375","1.09375"
"1573646082037","37","-0.08105469","-0.8496094","0.15625","2.0","6.46875","-0.6875"
"1573646082038","38","-0.07324219","-0.8183594","0.08886719","8.15625","0.78125","-3.1875"
"1573646082038","39","0.022460938","-0.8730469","0.16796875","-0.875","-0.25","-0.8125"
"1573646082432","40","-0.06933594","-0.8730469","0.2626953","2.96875","5.34375","-4.65625"
"1573646082432","41","-0.046875","-0.8330078","0.12011719","5.96875","-18.8125","-6.1875"
"1573646082432","42","-0.05078125","-0.8564453","0.15136719","-5.875","9.625","0.15625"
"1573646082433","43","-0.036132812","-0.87890625","0.17578125","6.9375","8.59375","-3.3125"
"1573646082433","44","-0.00390625","-0.84375","0.15429688","-0.75","-7.875","3.53125"
"1573646082433","45","-0.08203125","-0.86621094","0.21484375","6.8125","10.0625","0.78125"
"1573646082434","46","-0.09667969","-0.92578125","0.12988281","-3.625","0.90625","5.0625"
"1573646082434","47","-0.11035156","-1.0234375","0.2578125","10.59375","26.03125","-5.875"
"1573646082434","48","0.038085938","-0.8769531","0.21679688","6.28125","-9.71875","-10.03125"
"1573646082435","49","-0.064453125","-0.9316406","0.16992188","-3.0","-0.25","10.1875"
