"# PR data"
"# Start time: 20191113T115348"
"# Subject: nikita"
"# Activity type: Knee extension"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573646028380","0","-0.11816406","-0.85839844","0.47460938","-54.6875","-9.46875","-30.21875"
"1573646028381","1","-0.10644531","-0.9501953","0.46484375","-50.3125","-18.75","-26.6875"
"1573646028381","2","-0.038085938","-0.93066406","0.3857422","-42.96875","-14.96875","-21.1875"
"1573646028382","3","-0.06347656","-0.91308594","0.30664062","-32.59375","-25.59375","-19.96875"
"1573646028382","4","-0.025390625","-0.9111328","0.30566406","-22.21875","-20.875","-18.8125"
"1573646028382","5","-0.016601562","-0.9140625","0.34960938","-41.65625","-18.09375","-22.84375"
"1573646028383","6","-0.0029296875","-0.93359375","0.2763672","-32.59375","-9.90625","-24.5625"
"1573646028383","7","0.0078125","-0.9638672","0.2705078","-42.0","-14.0","-26.4375"
"1573646028383","8","0.030273438","-0.96875","0.2734375","-39.625","-23.28125","-27.34375"
"1573646028383","9","0.029296875","-1.0009766","0.21875","-48.90625","-20.65625","-30.71875"
"1573646029169","10","0.07910156","-0.9404297","0.18066406","-57.5","-26.875","-39.6875"
"1573646029170","11","0.111328125","-0.95214844","0.15722656","-55.6875","-30.09375","-31.8125"
"1573646029170","12","0.09765625","-0.9091797","0.08203125","-67.71875","-8.6875","-35.71875"
"1573646029172","13","0.18945312","-0.9433594","0.055664062","-38.53125","-25.65625","-25.40625"
"1573646029172","14","0.21289062","-0.9765625","0.0546875","-21.5625","-20.53125","-10.9375"
"1573646029173","15","0.10253906","-1.0537109","0.013671875","-33.875","-9.40625","-11.96875"
"1573646029173","16","0.27929688","-1.0136719","-0.17773438","-26.375","-29.0","-11.5"
"1573646029173","17","0.2841797","-0.875","-0.033203125","-20.9375","1.625","-7.53125"
"1573646029173","18","0.22558594","-0.9277344","-0.06738281","9.125","11.03125","6.5625"
"1573646029174","19","0.23730469","-1.1044922","-0.1484375","-15.46875","-7.9375","-5.6875"
"1573646029566","20","0.40625","-0.87402344","-0.043945312","22.625","7.25","3.03125"
"1573646029566","21","0.14648438","-1.0839844","0.024414062","11.9375","24.75","23.375"
"1573646029566","22","0.1875","-0.9580078","0.08496094","1.75","7.6875","2.78125"
