"# PR data"
"# Start time: 20191113T120028"
"# Subject: nikita"
"# Activity type: Wall push offs"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1573646428457","0","-0.005859375","-0.96484375","0.36328125","-0.625","9.75","-1.65625"
"1573646428460","1","0.013671875","-0.90722656","0.32421875","1.5","7.0","-0.25"
"1573646428461","2","-0.017578125","-0.93847656","0.34277344","-2.59375","8.40625","0.0"
"1573646428461","3","-0.033203125","-0.93652344","0.34179688","0.53125","10.46875","-3.90625"
"1573646428461","4","-0.043945312","-0.94921875","0.30859375","-2.09375","7.3125","0.46875"
"1573646428461","5","-0.0126953125","-0.9326172","0.30566406","1.6875","15.84375","-3.5625"
"1573646428462","6","-0.013671875","-0.94921875","0.2861328","-3.375","18.34375","-4.09375"
"1573646428462","7","-0.057617188","-0.94433594","0.29882812","-10.34375","24.15625","-4.71875"
"1573646428462","8","-0.049804688","-0.95703125","0.3154297","-3.625","31.0","-8.3125"
"1573646428462","9","-0.037109375","-0.9277344","0.3203125","-9.46875","30.0625","-8.3125"
"1573646428655","10","-0.03125","-0.92578125","0.30078125","-10.03125","29.15625","-8.1875"
"1573646428655","11","-0.017578125","-0.9296875","0.28222656","-11.90625","27.375","-5.625"
"1573646428656","12","-0.04296875","-0.9375","0.28515625","-6.5","25.4375","-7.46875"
"1573646428657","13","-0.001953125","-0.94433594","0.28027344","-6.5","17.625","-4.46875"
"1573646428657","14","-0.07421875","-0.92285156","0.29003906","-0.5","18.34375","-7.03125"
"1573646428657","15","-0.04296875","-0.97265625","0.28710938","0.90625","19.75","-7.03125"
"1573646428658","16","-0.0546875","-0.93847656","0.29003906","0.03125","18.34375","-6.90625"
"1573646428658","17","-0.033203125","-0.9375","0.28808594","-0.1875","17.625","-6.78125"
"1573646428658","18","-0.041015625","-0.9453125","0.2705078","-0.625","14.6875","-2.53125"
"1573646428658","19","-0.0234375","-0.96972656","0.3017578","-2.875","12.4375","0.65625"
"1573646428856","20","-0.0390625","-0.93847656","0.29296875","0.09375","2.65625","4.125"
"1573646428856","21","-0.053710938","-0.94433594","0.32421875","3.09375","0.53125","5.65625"
"1573646428857","22","-0.0546875","-0.9345703","0.31640625","1.875","2.4375","2.375"
"1573646428857","23","-0.037109375","-0.9453125","0.30664062","-2.6875","-2.59375","4.0625"
"1573646428857","24","-0.057617188","-0.95214844","0.28222656","-1.40625","-5.75","3.90625"
"1573646428858","25","-0.083984375","-0.9267578","0.3125","0.71875","2.71875","2.0"
"1573646428863","26","-0.078125","-0.953125","0.30273438","-2.34375","3.84375","-1.78125"
"1573646428864","27","-0.09765625","-0.9628906","0.29101562","1.625","5.125","0.65625"
"1573646428864","28","-0.08984375","-0.9316406","0.31054688","0.21875","2.4375","-0.5"
"1573646428864","29","-0.09765625","-0.9326172","0.31347656","-0.3125","11.09375","-1.78125"
"1573646429254","30","-0.06542969","-0.94628906","0.32910156","0.40625","14.75","-2.15625"
"1573646429255","31","-0.053710938","-0.9267578","0.31640625","0.40625","6.28125","0.46875"
"1573646429255","32","-0.07519531","-0.93066406","0.32128906","5.90625","6.46875","-1.65625"
"1573646429255","33","-0.052734375","-0.9316406","0.32226562","2.4375","4.3125","-1.84375"
"1573646429255","34","-0.07128906","-0.9296875","0.3095703","2.0","4.125","-2.6875"
"1573646429256","35","-0.08691406","-0.9404297","0.30273438","3.90625","8.03125","-3.90625"
"1573646429256","36","-0.10546875","-0.9248047","0.3076172","5.40625","14.5","-6.65625"
"1573646429257","37","-0.14355469","-0.94433594","0.31152344","0.34375","21.03125","-9.34375"
"1573646429258","38","-0.076171875","-0.9472656","0.32910156","-4.40625","36.65625","-15.09375"
"1573646429258","39","-0.07519531","-0.9355469","0.30664062","-10.75","42.40625","-15.625"
"1573646429652","40","-0.06933594","-0.94433594","0.30273438","-17.84375","46.1875","-16.375"
"1573646429652","41","-0.103515625","-0.95410156","0.29296875","-26.875","54.84375","-21.4375"
"1573646429653","42","-0.040039062","-0.9267578","0.20214844","-33.34375","54.3125","-22.84375"
"1573646429653","43","0.029296875","-0.9794922","0.23535156","-11.96875","52.96875","-12.21875"
"1573646429653","44","-0.009765625","-0.9345703","0.19335938","-14.1875","40.15625","-9.90625"
"1573646429653","45","-0.001953125","-0.97265625","0.18554688","-4.71875","30.6875","-6.65625"
"1573646429654","46","0.001953125","-0.9658203","0.18945312","8.15625","24.03125","-3.0"
"1573646429654","47","-0.02734375","-0.9716797","0.21386719","5.125","17.1875","-2.21875"
"1573646429654","48","-0.059570312","-0.95214844","0.21386719","5.34375","10.84375","1.21875"
"1573646429655","49","-0.07324219","-0.9707031","0.19335938","10.84375","7.8125","3.21875"
"1573646430246","50","-0.052734375","-0.9404297","0.20605469","12.75","9.9375","6.21875"
"1573646430247","51","-0.048828125","-0.9501953","0.23632812","18.0","8.21875","8.21875"
"1573646430247","52","-0.099609375","-0.9404297","0.25878906","16.21875","3.90625","8.34375"
"1573646430248","53","-0.09277344","-0.93847656","0.26171875","14.3125","9.5625","3.71875"
"1573646430248","54","-0.06542969","-0.94921875","0.26953125","16.65625","8.15625","6.5625"
"1573646430248","55","-0.09472656","-0.94628906","0.29296875","14.15625","6.9375","9.03125"
"1573646430248","56","-0.11425781","-0.9189453","0.28808594","14.5","1.625","10.1875"
"1573646430249","57","-0.13476562","-0.91503906","0.31835938","18.65625","10.84375","8.46875"
"1573646430249","58","-0.15332031","-0.92285156","0.35253906","13.40625","8.71875","7.5"
"1573646430249","59","-0.13867188","-0.8847656","0.3125","23.90625","6.28125","6.28125"
"1573646430645","60","-0.15429688","-0.90234375","0.3857422","30.6875","7.375","11.9375"
"1573646430647","61","-0.17089844","-0.8701172","0.4140625","23.78125","5.34375","8.15625"
"1573646430649","62","-0.15625","-0.8925781","0.44726562","29.09375","11.59375","9.8125"
"1573646430650","63","-0.17871094","-0.83496094","0.4013672","13.28125","9.6875","5.90625"
"1573646430650","64","-0.17285156","-0.89453125","0.46875","12.75","8.59375","11.59375"
"1573646430650","65","-0.21777344","-0.8652344","0.4375","20.125","10.0625","7.90625"
"1573646430651","66","-0.17480469","-0.80859375","0.47265625","9.9375","6.28125","9.5"
"1573646430651","67","-0.21679688","-0.859375","0.4658203","10.84375","5.0","11.40625"
"1573646430651","68","-0.2607422","-0.82910156","0.51953125","2.1875","8.59375","6.875"
