"# PR data"
"# Start time: 20191128T212904"
"# Subject: rim"
"# Activity type: Bicep curl"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574972944696","0","0.20605469","-1.0664062","0.0078125","17.125","-57.5625","-18.46875"
"1574972944697","1","0.2841797","-1.1132812","-0.021484375","27.125","-63.59375","-9.8125"
"1574972944697","2","0.203125","-1.1015625","-0.171875","-6.6875","-31.6875","-2.125"
"1574972944698","3","0.13964844","-1.1591797","-0.28222656","-26.46875","-3.375","-9.0"
"1574972944699","4","0.15917969","-0.92285156","-0.30371094","-15.78125","9.03125","-6.5"
"1574972944700","5","0.25878906","-0.6464844","-0.13867188","-24.5","11.78125","-2.59375"
"1574972944700","6","0.36523438","-1.1435547","0.060546875","-55.34375","50.03125","-7.3125"
"1574972944700","7","0.056640625","-1.4853516","-0.30371094","-26.84375","51.625","3.625"
"1574972944701","8","0.026367188","-0.7578125","-0.34960938","17.65625","-26.5","0.09375"
"1574972944701","9","0.25","-0.5214844","-0.08886719","-7.125","8.65625","-1.3125"
"1574972945093","10","0.30371094","-0.8964844","-0.12597656","-15.84375","26.84375","14.4375"
"1574972945093","11","0.15039062","-1.2167969","-0.34765625","-16.09375","20.125","-3.59375"
"1574972945094","12","0.13769531","-1.0546875","-0.33984375","-2.59375","-4.46875","-2.25"
"1574972945094","13","0.20507812","-0.8310547","-0.22363281","-0.65625","5.90625","7.59375"
"1574972945094","14","0.203125","-0.8828125","-0.16796875","-8.71875","11.28125","2.71875"
"1574972945095","15","0.14257812","-1.0136719","-0.28125","-6.9375","5.25","3.0"
"1574972945095","16","0.20800781","-0.9902344","-0.28125","-5.28125","-0.4375","0.5625"
"1574972945095","17","0.21582031","-0.92285156","-0.22949219","-5.96875","-1.59375","1.125"
"1574972945096","18","0.18457031","-0.95214844","-0.265625","-5.46875","-2.5","-1.8125"
"1574972945096","19","0.18457031","-0.9589844","-0.28320312","-1.8125","-6.96875","-0.84375"
"1574972945491","20","0.19042969","-0.9638672","-0.27734375","0.03125","-7.5625","-1.5625"
"1574972945491","21","0.16992188","-0.9746094","-0.2783203","-2.84375","-6.78125","-1.375"
"1574972945491","22","0.18847656","-0.9453125","-0.296875","-2.40625","-3.1875","-1.0"
"1574972945492","23","0.22753906","-0.9345703","-0.29101562","0.5","-6.0625","-0.40625"
"1574972945492","24","0.21191406","-0.95996094","-0.2841797","-2.125","-4.9375","-0.96875"
"1574972945493","25","0.1953125","-0.95214844","-0.29101562","-0.09375","-5.1875","-1.3125"
"1574972945493","26","0.20898438","-0.9511719","-0.30859375","-0.34375","-4.28125","-1.75"
"1574972945493","27","0.20800781","-0.9404297","-0.30273438","1.5","-1.59375","0.5"
"1574972945494","28","0.20507812","-0.95703125","-0.27929688","0.3125","-0.3125","1.5625"
"1574972945494","29","0.21191406","-0.9609375","-0.2919922","1.0","0.25","1.71875"
"1574972946282","30","0.20117188","-0.9482422","-0.2998047","1.5625","-0.0625","0.5"
"1574972946282","31","0.21386719","-0.9326172","-0.31445312","6.0","2.0","4.28125"
"1574972946283","32","0.22753906","-0.9560547","-0.27246094","-2.25","2.375","4.34375"
"1574972946283","33","0.21679688","-0.9814453","-0.25878906","-6.8125","-0.0625","-0.53125"
"1574972946283","34","0.21679688","-0.9628906","-0.28027344","-6.1875","-4.21875","-1.8125"
"1574972946283","35","0.19335938","-0.9433594","-0.27734375","-4.5","-8.1875","-4.3125"
"1574972946284","36","0.18359375","-0.953125","-0.28125","-6.09375","-10.6875","-8.34375"
"1574972946285","37","0.22070312","-0.9589844","-0.2841797","-5.15625","-7.6875","-3.6875"
"1574972946285","38","0.22460938","-0.93066406","-0.2939453","-4.0","-2.8125","-1.25"
"1574972946285","39","0.18554688","-0.9267578","-0.32226562","-1.8125","-4.09375","0.09375"
"1574972946679","40","0.17871094","-0.9472656","-0.31835938","-5.71875","-2.9375","-3.53125"
"1574972946679","41","0.20898438","-0.9501953","-0.29589844","-1.0625","-2.375","-2.1875"
"1574972946680","42","0.21875","-0.9404297","-0.30371094","-1.875","-1.09375","0.28125"
"1574972946680","43","0.234375","-0.94921875","-0.3076172","0.15625","-0.6875","-0.53125"
"1574972946680","44","0.22949219","-0.90625","-0.33203125","7.46875","-3.71875","1.84375"
"1574972946680","45","0.20703125","-0.9345703","-0.33984375","7.03125","-0.4375","0.9375"
"1574972946681","46","0.24804688","-0.9550781","-0.31152344","5.09375","-8.3125","0.4375"
"1574972946681","47","0.22363281","-0.9267578","-0.31347656","4.28125","-5.125","-1.25"
