"# PR data"
"# Start time: 20191128T212719"
"# Subject: rim"
"# Activity type: Heel raises"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574972839355","0","0.14941406","-1.2089844","-0.30566406","-0.78125","15.4375","10.59375"
"1574972839359","1","0.1875","-0.8183594","-0.12597656","-28.84375","8.21875","9.53125"
"1574972839359","2","0.33984375","-0.8173828","0.06640625","-47.9375","42.40625","-27.125"
"1574972839359","3","0.22460938","-1.0917969","-0.1015625","-35.0625","36.96875","-26.46875"
"1574972839360","4","0.059570312","-1.0576172","-0.3203125","3.75","2.375","-13.71875"
"1574972839360","5","0.18066406","-0.8388672","-0.1953125","-7.0","-12.28125","-4.3125"
"1574972839360","6","0.2265625","-0.8046875","-0.026367188","-19.03125","1.46875","3.9375"
"1574972839361","7","0.10644531","-1.0039062","-0.20117188","-15.1875","3.15625","-4.25"
"1574972839361","8","0.07421875","-1.1923828","-0.328125","3.875","-10.5625","-1.875"
"1574972839361","9","0.14453125","-0.92285156","-0.18359375","8.75","-19.71875","18.625"
"1574972839553","10","0.13867188","-0.89453125","-0.15917969","-6.4375","4.9375","5.34375"
"1574972839554","11","0.076171875","-1.0097656","-0.2734375","-9.1875","7.25","-2.0625"
"1574972839554","12","0.10546875","-1.0185547","-0.22363281","3.75","-4.8125","11.9375"
"1574972839555","13","0.18847656","-0.9638672","-0.19238281","5.21875","-3.65625","12.03125"
"1574972839555","14","0.19628906","-0.953125","-0.21972656","-3.8125","1.40625","1.5"
"1574972839555","15","0.15917969","-1.0107422","-0.20800781","-3.15625","-5.0","5.875"
"1574972839556","16","0.13183594","-0.94140625","-0.20605469","4.96875","-14.34375","6.375"
"1574972839556","17","0.12988281","-0.97265625","-0.24121094","-2.28125","-3.3125","-2.53125"
"1574972839556","18","0.10839844","-1.0175781","-0.21582031","-6.875","-2.15625","-1.1875"
"1574972839556","19","0.13378906","-0.9980469","-0.20605469","2.03125","-9.21875","-1.0"
"1574972839952","20","0.12890625","-0.94921875","-0.21777344","2.09375","-9.03125","-0.90625"
"1574972839953","21","0.13964844","-0.9824219","-0.20996094","-4.3125","-4.34375","-6.5625"
"1574972839953","22","0.14941406","-1.0029297","-0.23144531","-1.625","-5.0","-4.96875"
"1574972839953","23","0.15234375","-0.984375","-0.22949219","-0.96875","-2.25","-2.1875"
"1574972839953","24","0.15820312","-0.9638672","-0.2265625","-0.53125","-5.0625","-0.09375"
"1574972839957","25","0.15234375","-0.96777344","-0.21484375","-0.21875","-2.6875","-2.25"
"1574972839960","26","0.14160156","-0.9785156","-0.2265625","-1.0","-5.0625","-0.46875"
"1574972839960","27","0.15917969","-0.98046875","-0.22949219","0.3125","-5.1875","-0.78125"
"1574972839961","28","0.14257812","-0.9716797","-0.26367188","0.5","-6.0","-2.71875"
"1574972839961","29","0.15820312","-0.9941406","-0.22167969","2.71875","-7.21875","0.28125"
"1574972840154","30","0.16210938","-0.9873047","-0.22949219","-2.65625","-4.53125","-5.34375"
"1574972840154","31","0.20117188","-0.98046875","-0.22167969","11.3125","-11.84375","-2.59375"
"1574972840154","32","0.16601562","-0.95214844","-0.19140625","0.28125","-10.6875","-0.84375"
"1574972840155","33","0.14746094","-0.9550781","-0.25195312","0.75","-13.875","-10.53125"
"1574972840155","34","0.13183594","-0.96777344","-0.23632812","5.34375","-14.71875","-3.15625"
"1574972840155","35","0.13769531","-0.9609375","-0.23925781","2.40625","-6.34375","-2.125"
