"# PR data"
"# Start time: 20191128T213427"
"# Subject: rim"
"# Activity type: Leg slide"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574973268062","0","0.0625","-1.3837891","-0.23535156","13.5","-9.90625","-12.625"
"1574973268065","1","0.2109375","-0.88378906","-0.13183594","18.8125","-36.5625","-5.78125"
"1574973268066","2","0.35058594","-0.6738281","-0.005859375","-10.34375","-17.34375","-23.84375"
"1574973268066","3","0.24511719","-1.0068359","-0.0126953125","-37.4375","-6.21875","-19.375"
"1574973268066","4","-0.078125","-1.3798828","-0.26171875","-26.15625","3.96875","-9.875"
"1574973268066","5","-0.0029296875","-1.1005859","-0.28222656","-5.90625","-18.125","-6.375"
"1574973268067","6","0.34570312","-0.7060547","-0.059570312","-8.34375","-32.125","-15.125"
"1574973268067","7","0.36328125","-0.78515625","-0.08691406","-16.9375","3.34375","-16.40625"
"1574973268067","8","0.05078125","-1.0585938","-0.20605469","-23.71875","10.5","-11.40625"
"1574973268068","9","0.038085938","-1.0888672","-0.27148438","-7.71875","3.09375","-0.65625"
"1574973268459","10","0.23046875","-0.94921875","-0.16699219","-6.625","-3.4375","3.4375"
"1574973268459","11","0.23339844","-0.9423828","-0.16308594","-9.125","10.8125","1.65625"
"1574973268460","12","0.13671875","-0.98339844","-0.18261719","-3.6875","11.71875","5.5625"
"1574973268461","13","0.19824219","-0.96484375","-0.19921875","2.65625","1.46875","1.1875"
"1574973268461","14","0.25585938","-0.93359375","-0.18261719","3.6875","0.0","-4.4375"
"1574973268461","15","0.23339844","-1.0019531","-0.23046875","-2.78125","1.09375","-3.625"
"1574973268462","16","0.17871094","-0.984375","-0.19824219","1.65625","0.0","-0.65625"
"1574973268462","17","0.17675781","-0.95410156","-0.21386719","1.0","-2.5625","0.3125"
"1574973268462","18","0.22949219","-0.9628906","-0.21875","-2.0625","-3.125","1.84375"
"1574973268462","19","0.22167969","-0.9658203","-0.23046875","-0.65625","-3.375","-0.21875"
"1574973269054","20","0.21191406","-0.9638672","-0.20800781","-1.875","-5.25","-2.65625"
"1574973269054","21","0.20019531","-0.96777344","-0.21484375","-8.15625","-4.21875","-3.03125"
"1574973269054","22","0.21679688","-0.98046875","-0.24707031","-0.03125","-5.125","-2.0"
"1574973269055","23","0.20214844","-0.94921875","-0.22265625","-2.40625","-7.03125","-1.9375"
"1574973269055","24","0.19628906","-0.9628906","-0.23925781","-2.84375","-3.1875","-1.6875"
"1574973269056","25","0.20703125","-0.97558594","-0.2421875","-1.8125","-2.6875","-0.53125"
"1574973269057","26","0.20117188","-0.9511719","-0.23046875","-0.90625","-2.15625","-0.40625"
"1574973269057","27","0.20996094","-0.95214844","-0.23925781","-0.28125","-3.1875","-0.28125"
"1574973269057","28","0.20898438","-0.95996094","-0.23242188","0.21875","-1.03125","0.3125"
"1574973269057","29","0.20703125","-0.9580078","-0.234375","2.03125","-1.09375","0.5"
"1574973269258","30","0.21582031","-0.9550781","-0.23242188","0.28125","-1.21875","0.6875"
"1574973269258","31","0.20996094","-0.9580078","-0.22753906","-0.34375","0.0625","0.03125"
"1574973269259","32","0.19335938","-0.9511719","-0.21582031","-0.65625","2.25","-0.71875"
"1574973269259","33","0.16894531","-0.9394531","-0.16308594","-0.34375","18.25","-3.53125"
"1574973269259","34","0.18164062","-0.98046875","-0.21191406","10.34375","19.78125","-1.6875"
"1574973269259","35","0.13867188","-0.9589844","-0.24511719","19.4375","8.1875","5.6875"
"1574973269260","36","0.19335938","-0.9082031","-0.20605469","28.40625","13.0","7.71875"
"1574973269260","37","0.234375","-0.8574219","-0.14648438","45.5","5.90625","1.375"
"1574973269261","38","0.24707031","-0.9091797","-0.12890625","63.1875","5.25","-1.875"
"1574973269261","39","0.40234375","-1.0537109","-0.1796875","70.34375","-17.09375","-0.46875"
"1574973269652","40","0.42285156","-1.0986328","0.0234375","31.5625","-2.9375","-12.71875"
"1574973269653","41","0.1875","-1.0351562","-0.041992188","22.65625","-16.96875","-8.9375"
"1574973269653","42","0.13574219","-0.98339844","-0.10058594","21.875","-13.3125","11.0"
"1574973269654","43","0.27539062","-0.8955078","-0.037109375","12.96875","-12.34375","12.65625"
"1574973269654","44","0.33203125","-0.8652344","0.0546875","-0.28125","-29.84375","-4.375"
"1574973269654","45","0.140625","-0.83691406","0.0146484375","12.28125","-30.21875","-2.84375"
"1574973269654","46","0.00390625","-0.6308594","-0.14160156","19.625","-33.5625","14.3125"
"1574973269655","47","0.3017578","-0.7421875","0.051757812","-14.625","-12.40625","12.40625"
"1574973269655","48","0.38183594","-0.9824219","0.06933594","-20.96875","11.84375","-5.90625"
"1574973269657","49","0.08984375","-0.95214844","-0.06542969","4.0","3.28125","23.21875"
"1574973270050","50","-0.03515625","-0.9814453","0.17578125","6.625","20.6875","21.8125"
"1574973270053","51","0.25683594","-1.3056641","-0.047851562","7.09375","38.1875","4.78125"
"1574973270053","52","0.22851562","-1.5830078","-0.3486328","6.375","10.75","8.375"
"1574973270054","53","0.38183594","-1.3222656","-0.09667969","0.21875","-7.40625","12.46875"
"1574973270054","54","0.0625","-1.2519531","0.0068359375","-17.375","-9.28125","12.96875"
"1574973270054","55","-0.09082031","-1.4355469","-0.22167969","3.3125","-18.1875","2.34375"
"1574973270054","56","0.10253906","-1.3134766","-0.10839844","5.9375","-16.1875","9.125"
"1574973270055","57","0.4140625","-1.1259766","0.12597656","19.625","-26.9375","2.90625"
"1574973270055","58","0.4296875","-0.99121094","0.13183594","-1.625","-8.1875","-7.59375"
"1574973270055","59","0.15234375","-0.859375","-0.01171875","19.75","-30.09375","-8.09375"
"1574973270448","60","0.078125","-0.52441406","0.09765625","41.03125","-25.03125","10.59375"
