"# PR data"
"# Start time: 20191128T212044"
"# Subject: rim"
"# Activity type: Sit to stand"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574972444443","0","0.390625","-0.7949219","-0.13964844","-6.25","3.53125","-3.8125"
"1574972444443","1","0.38183594","-0.9160156","-0.10644531","-31.59375","8.125","-6.375"
"1574972444444","2","0.36035156","-1.0410156","-0.15234375","-49.90625","-16.5","-7.125"
"1574972444444","3","0.12109375","-1.0273438","-0.18164062","-33.0625","-14.28125","-9.0625"
"1574972444444","4","0.11328125","-1.1259766","-0.1875","-35.0","-7.4375","3.0625"
"1574972444444","5","0.28125","-0.91308594","-0.15527344","-11.5","-8.25","12.53125"
"1574972444444","6","0.27246094","-0.88671875","-0.12207031","-3.34375","8.34375","11.0625"
"1574972444445","7","0.09863281","-0.97265625","-0.17871094","-12.375","3.21875","13.375"
"1574972444445","8","0.11425781","-0.9785156","-0.14550781","6.6875","2.125","11.5625"
"1574972444445","9","0.20605469","-0.99316406","-0.07910156","5.53125","-3.53125","9.375"
"1574972444839","10","0.1328125","-0.96191406","-0.16308594","-2.84375","-3.84375","17.0625"
"1574972444840","11","0.17089844","-1.0146484","-0.15234375","-5.03125","-3.96875","18.8125"
"1574972444840","12","0.20019531","-0.98828125","-0.14257812","-13.28125","-9.21875","10.53125"
"1574972444840","13","0.12011719","-0.9824219","-0.13671875","-5.53125","-11.25","7.34375"
"1574972444841","14","0.14550781","-1.03125","-0.18359375","4.78125","-14.65625","6.90625"
"1574972444841","15","0.11328125","-1.0166016","-0.15429688","-2.125","-7.6875","7.34375"
"1574972444841","16","0.13867188","-0.98339844","-0.16992188","4.125","-13.0625","3.5625"
"1574972444842","17","0.15136719","-0.97558594","-0.125","-0.15625","-4.46875","2.90625"
"1574972444842","18","0.1171875","-0.9765625","-0.1484375","-0.78125","-10.625","5.15625"
"1574972444842","19","0.107421875","-1.0166016","-0.15820312","-5.28125","-10.5625","3.125"
"1574972445237","20","0.109375","-1.0234375","-0.15332031","-6.03125","-7.6875","4.40625"
"1574972445237","21","0.08300781","-0.99609375","-0.16308594","-0.90625","-6.34375","6.125"
"1574972445237","22","0.080078125","-0.99316406","-0.18554688","-3.9375","-7.34375","4.34375"
"1574972445238","23","0.10644531","-0.99902344","-0.19335938","-3.34375","-6.65625","2.40625"
"1574972445238","24","0.078125","-0.9941406","-0.19238281","-4.5","-3.65625","2.53125"
"1574972445239","25","0.099609375","-0.98046875","-0.20605469","-3.75","-5.25","0.6875"
"1574972445239","26","0.10253906","-0.9941406","-0.19824219","-4.0625","-2.25","0.8125"
"1574972445239","27","0.09765625","-0.98828125","-0.19042969","-4.5","-4.28125","0.03125"
"1574972445240","28","0.09667969","-0.98535156","-0.20703125","-5.71875","-2.8125","-1.1875"
"1574972445240","29","0.115234375","-0.98828125","-0.22167969","-3.75","-1.53125","0.28125"
"1574972445635","30","0.103515625","-0.9892578","-0.21289062","-4.5","-5.1875","1.3125"
"1574972445635","31","0.11621094","-0.984375","-0.21386719","-3.34375","-5.0","-0.53125"
"1574972445636","32","0.10644531","-0.9794922","-0.21777344","-6.625","-4.9375","0.09375"
"1574972445636","33","0.109375","-0.9785156","-0.23144531","-3.21875","-6.40625","-0.65625"
"1574972445636","34","0.103515625","-0.97753906","-0.2265625","-4.625","-5.5625","-0.40625"
"1574972445636","35","0.10449219","-0.9824219","-0.24121094","-3.75","-5.6875","0.3125"
"1574972445637","36","0.109375","-0.9794922","-0.24414062","-3.34375","-4.65625","0.625"
"1574972445638","37","0.107421875","-0.97558594","-0.2421875","-0.28125","-6.71875","0.875"
"1574972445638","38","0.103515625","-0.96972656","-0.24511719","-2.90625","-5.875","-0.65625"
"1574972445639","39","0.103515625","-0.9716797","-0.2529297","-0.21875","-5.4375","0.03125"
"1574972446032","40","0.109375","-0.9736328","-0.24511719","-3.28125","-3.375","-0.09375"
"1574972446033","41","0.099609375","-0.9638672","-0.2607422","2.53125","-2.5625","0.21875"
"1574972446033","42","0.15332031","-0.98535156","-0.2626953","28.15625","-4.09375","-1.0625"
"1574972446033","43","0.11621094","-0.9482422","-0.22460938","30.84375","1.75","4.0"
"1574972446034","44","0.12695312","-0.8955078","-0.22460938","18.34375","-10.625","5.6875"
"1574972446034","45","0.16113281","-1.0439453","-0.24121094","48.375","-7.8125","11.875"
"1574972446034","46","0.119140625","-0.9267578","-0.21777344","27.375","-2.625","14.1875"
"1574972446034","47","0.15136719","-0.8857422","-0.19628906","33.71875","-10.9375","16.625"
"1574972446035","48","0.057617188","-0.9482422","-0.19042969","29.9375","-0.90625","25.90625"
"1574972446036","49","0.04296875","-0.9375","-0.14160156","43.90625","-9.96875","31.8125"
"1574972446430","50","0.087890625","-0.921875","-0.15625","54.40625","-7.15625","38.78125"
"1574972446430","51","0.02734375","-0.93066406","-0.091796875","65.09375","-7.34375","46.28125"
"1574972446431","52","-0.01171875","-0.92285156","-0.037109375","75.15625","-3.84375","51.53125"
"1574972446431","53","-0.024414062","-0.9550781","-0.013671875","97.1875","-15.375","58.90625"
"1574972446431","54","-0.009765625","-0.94433594","0.09472656","107.8125","-23.4375","64.84375"
"1574972446431","55","-0.06738281","-1.0566406","0.20214844","131.5625","-46.5","70.6875"
"1574972446432","56","-0.18457031","-1.2099609","0.2578125","154.875","-49.375","85.84375"
"1574972446432","57","-0.3935547","-1.0908203","0.7158203","177.875","-4.53125","91.09375"
