"# PR data"
"# Start time: 20191128T213129"
"# Subject: rim"
"# Activity type: Shoulder press"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574973089783","0","0.16113281","-0.98046875","-0.17578125","-0.34375","-6.65625","-2.34375"
"1574973089786","1","0.15722656","-0.9785156","-0.17285156","-0.96875","-4.21875","-2.40625"
"1574973089786","2","0.15332031","-0.984375","-0.18457031","-0.40625","-4.71875","-1.9375"
"1574973089787","3","0.15917969","-0.984375","-0.17871094","-0.21875","-3.84375","-1.375"
"1574973089787","4","0.16113281","-0.9873047","-0.17871094","-0.28125","-3.0","-0.53125"
"1574973089787","5","0.15625","-0.98339844","-0.17871094","0.75","-2.25","-0.59375"
"1574973089788","6","0.15429688","-0.9794922","-0.17578125","-1.4375","-0.875","0.625"
"1574973089788","7","0.17382812","-0.9921875","-0.18359375","-1.0625","-0.875","-0.03125"
"1574973089788","8","0.18066406","-0.984375","-0.18457031","2.9375","-2.03125","1.4375"
"1574973089788","9","0.16601562","-0.9794922","-0.17382812","1.1875","-3.1875","0.625"
"1574973090180","10","0.17089844","-0.9785156","-0.17578125","2.34375","-2.875","1.125"
"1574973090181","11","0.171875","-0.98339844","-0.18457031","1.4375","-4.46875","0.9375"
"1574973090181","12","0.171875","-0.98535156","-0.18554688","1.5","-3.65625","0.15625"
"1574973090182","13","0.16992188","-0.98339844","-0.18847656","1.90625","-4.03125","0.4375"
"1574973090183","14","0.16308594","-0.98535156","-0.19140625","1.65625","-3.53125","0.5"
"1574973090183","15","0.16210938","-0.98339844","-0.18359375","1.1875","-2.375","0.375"
"1574973090183","16","0.16699219","-0.9785156","-0.18457031","1.1875","-2.875","0.9375"
"1574973090183","17","0.17285156","-0.9794922","-0.17871094","1.375","-0.96875","1.625"
"1574973090184","18","0.16894531","-0.97558594","-0.1875","1.65625","-0.96875","1.96875"
"1574973090186","19","0.171875","-0.97265625","-0.18457031","2.84375","-1.21875","2.71875"
"1574973090579","20","0.16699219","-0.98339844","-0.17675781","3.875","-0.625","3.375"
"1574973090579","21","0.16503906","-0.9765625","-0.17675781","1.90625","1.09375","3.9375"
"1574973090579","22","0.17480469","-0.99121094","-0.18457031","3.0625","-0.0625","3.375"
"1574973090579","23","0.16699219","-0.9824219","-0.1875","4.90625","-0.25","4.78125"
"1574973090580","24","0.15136719","-0.9736328","-0.1796875","2.90625","1.65625","3.625"
"1574973090581","25","0.16503906","-0.99609375","-0.1953125","1.90625","0.90625","3.5"
