"# PR data"
"# Start time: 20191128T212129"
"# Subject: rim"
"# Activity type: Sit to stand"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574972489558","0","0.07519531","-0.9716797","-0.24316406","-0.71875","-2.875","2.46875"
"1574972489559","1","0.07910156","-0.9736328","-0.23730469","1.84375","-2.8125","3.375"
"1574972489559","2","0.045898438","-0.99609375","-0.24511719","-3.75","-2.6875","2.59375"
"1574972489560","3","0.060546875","-0.9736328","-0.2685547","-7.375","-0.375","1.25"
"1574972489560","4","0.044921875","-0.95996094","-0.2841797","-6.25","0.1875","1.84375"
"1574972489560","5","0.038085938","-0.97558594","-0.28222656","-3.8125","-0.125","-0.03125"
"1574972489560","6","0.048828125","-0.9765625","-0.2763672","-2.125","-0.5625","-0.53125"
"1574972489560","7","0.044921875","-0.96484375","-0.28125","-2.59375","-2.4375","-0.65625"
"1574972489561","8","0.06933594","-0.98046875","-0.29003906","-0.40625","-2.4375","-0.84375"
"1574972489561","9","0.061523438","-0.9746094","-0.28027344","-2.40625","-1.09375","-1.4375"
"1574972489956","10","0.061523438","-0.9707031","-0.28125","-3.15625","-1.90625","-1.4375"
"1574972489956","11","0.06738281","-0.95996094","-0.28710938","-5.15625","-2.21875","-1.3125"
"1574972489957","12","0.057617188","-0.9658203","-0.30371094","-3.40625","-1.65625","-0.65625"
"1574972489957","13","0.049804688","-0.9765625","-0.30371094","-4.3125","-3.78125","-2.59375"
"1574972489957","14","0.048828125","-0.9638672","-0.3173828","0.9375","-2.5","-2.28125"
"1574972489958","15","0.08300781","-0.9550781","-0.29882812","-1.5625","-0.90625","-2.28125"
"1574972489958","16","0.08105469","-0.9658203","-0.30078125","2.28125","-0.875","0.21875"
"1574972489959","17","0.076171875","-0.9716797","-0.31054688","0.625","-4.53125","-1.875"
"1574972489959","18","0.087890625","-0.9560547","-0.31054688","-1.9375","-3.84375","-2.40625"
"1574972489959","19","0.08203125","-0.9550781","-0.3076172","-0.53125","-1.84375","-0.21875"
"1574972490354","20","0.06738281","-0.9580078","-0.3125","-0.03125","-2.75","0.28125"
"1574972490355","21","0.07910156","-0.96484375","-0.3046875","2.21875","-3.0","0.5625"
"1574972490355","22","0.07714844","-0.9628906","-0.31835938","1.375","-1.65625","1.375"
"1574972490355","23","0.08496094","-0.9628906","-0.31640625","2.78125","-2.5","0.625"
"1574972490356","24","0.080078125","-0.95996094","-0.31347656","0.9375","-1.78125","0.5625"
"1574972490357","25","0.080078125","-0.96875","-0.3095703","0.625","-2.625","0.28125"
"1574972490357","26","0.0859375","-0.9560547","-0.30566406","0.5","-0.875","1.5625"
"1574972490357","27","0.0703125","-0.95703125","-0.3154297","1.375","-2.21875","0.75"
"1574972490358","28","0.07421875","-0.9628906","-0.30859375","1.90625","-1.78125","1.625"
"1574972490358","29","0.06933594","-0.9628906","-0.29785156","-3.59375","-1.15625","0.375"
"1574972490752","30","0.08886719","-0.9550781","-0.31835938","2.03125","-1.21875","2.09375"
"1574972490752","31","0.078125","-0.96484375","-0.31152344","1.25","-2.21875","2.21875"
"1574972490753","32","0.08300781","-0.9628906","-0.3095703","0.15625","-2.5","1.125"
"1574972490753","33","0.06933594","-0.9628906","-0.30664062","1.1875","-2.75","1.71875"
"1574972490753","34","0.07324219","-0.95703125","-0.31054688","2.15625","-2.5625","2.15625"
"1574972490753","35","0.08105469","-0.9580078","-0.3203125","3.75","-3.375","2.90625"
"1574972490753","36","0.07324219","-0.95996094","-0.31054688","5.09375","-3.59375","4.125"
"1574972490755","37","0.080078125","-0.95996094","-0.31054688","5.09375","-5.0","4.28125"
"1574972490755","38","0.08105469","-0.9580078","-0.32226562","9.25","-7.875","4.53125"
"1574972490756","39","0.076171875","-0.96777344","-0.29296875","12.65625","-9.03125","4.84375"
"1574972491149","40","0.030273438","-0.97558594","-0.2705078","17.59375","-4.59375","8.09375"
"1574972491150","41","0.05078125","-1.0126953","-0.23925781","45.4375","-6.65625","13.03125"
"1574972491150","42","0.06738281","-0.95410156","-0.23242188","27.5625","-4.15625","9.59375"
"1574972491150","43","0.056640625","-1.0244141","-0.21777344","41.53125","-10.5","11.4375"
"1574972491151","44","0.055664062","-0.98046875","-0.24121094","25.53125","-3.1875","10.09375"
"1574972491151","45","0.05859375","-0.9785156","-0.20800781","16.875","-6.59375","9.53125"
"1574972491151","46","0.043945312","-0.9785156","-0.17578125","21.25","-8.5","11.3125"
"1574972491151","47","0.0078125","-0.9892578","-0.1953125","36.78125","-10.03125","11.875"
"1574972491152","48","0.037109375","-0.9794922","-0.11328125","37.8125","-11.25","18.6875"
"1574972491153","49","-0.043945312","-1.03125","-0.13183594","51.65625","-10.03125","16.875"
"1574972491546","50","0.028320312","-0.99609375","-0.07421875","27.3125","-8.84375","21.25"
"1574972491546","51","0.017578125","-0.9873047","-0.068359375","43.0","-8.71875","24.4375"
"1574972491546","52","-0.041992188","-1.0136719","-0.045898438","25.78125","-4.34375","24.875"
"1574972491547","53","-0.041015625","-1.0537109","-0.015625","36.65625","-7.15625","24.625"
"1574972491547","54","-0.057617188","-1.0625","-0.01171875","38.40625","-10.8125","21.1875"
"1574972491547","55","-0.09667969","-1.0419922","0.036132812","29.0","-5.875","19.84375"
"1574972491547","56","-0.1171875","-0.9873047","0.036132812","29.875","-10.125","19.5"
"1574972491548","57","-0.14257812","-0.9941406","0.0859375","24.5625","-3.4375","20.71875"
"1574972491548","58","-0.20214844","-1.0068359","0.13769531","22.25","-2.21875","14.84375"
"1574972491548","59","-0.23144531","-1.0146484","0.11328125","19.5","-1.28125","13.6875"
"1574972491943","60","-0.16992188","-0.9980469","0.15722656","16.125","-1.65625","13.875"
"1574972491944","61","-0.19238281","-0.9638672","0.16699219","15.59375","-0.5625","14.375"
"1574972491945","62","-0.21191406","-0.99121094","0.15234375","10.53125","-4.65625","14.90625"
"1574972491945","63","-0.22167969","-0.9550781","0.171875","18.03125","-4.03125","11.75"
"1574972491946","64","-0.40429688","-1.0195312","0.18164062","5.40625","13.59375","12.96875"
"1574972491946","65","-0.15234375","-0.8847656","0.20019531","11.1875","10.6875","6.3125"
"1574972491946","66","-0.08203125","-1.0644531","0.1875","2.28125","16.09375","9.1875"
"1574972491946","67","-0.3125","-0.9560547","0.11425781","-1.8125","16.34375","7.78125"
"1574972491947","68","-0.18457031","-0.85058594","0.20703125","0.15625","20.9375","-6.375"
"1574972491947","69","-0.1328125","-0.96484375","0.07421875","3.875","10.96875","3.0"
"1574972492341","70","-0.24902344","-0.9472656","0.11425781","9.78125","9.75","3.125"
"1574972492341","71","-0.14746094","-0.9375","0.1328125","3.5","4.15625","10.65625"
"1574972492342","72","-0.20898438","-0.92871094","0.056640625","3.75","-8.96875","3.6875"
"1574972492343","73","-0.23925781","-0.9951172","0.2109375","10.15625","4.21875","9.375"
"1574972492343","74","-0.17480469","-1.0166016","0.20996094","3.0625","0.40625","14.625"
"1574972492343","75","-0.29101562","-1.0449219","0.078125","20.46875","-0.6875","14.1875"
"1574972492343","76","-0.3251953","-0.9951172","0.19726562","16.0625","-4.78125","11.25"
"1574972492344","77","-0.107421875","-1.0498047","0.053710938","31.28125","11.71875","25.65625"
"1574972492344","78","-0.28125","-1.0576172","0.29589844","20.21875","9.46875","27.625"
"1574972492344","79","-0.3310547","-1.0527344","0.21777344","19.6875","16.0","25.0"
"1574972493136","80","-0.18359375","-0.96484375","0.18164062","21.4375","8.96875","20.40625"
"1574972493136","81","-0.2626953","-0.87402344","0.36621094","8.5625","1.40625","29.5"
"1574972493137","82","-0.47558594","-0.9785156","0.2919922","11.5","12.875","26.15625"
"1574972493137","83","-0.33398438","-0.94140625","0.40039062","18.6875","-8.125","13.75"
"1574972493137","84","-0.50390625","-0.92871094","0.24902344","15.90625","-16.1875","1.90625"
"1574972493138","85","-0.43945312","-0.7919922","0.31054688","17.0625","-8.5","-4.0"
"1574972493139","86","-0.3486328","-1.0058594","0.4013672","10.34375","-15.25","5.9375"
"1574972493139","87","-0.6269531","-0.9033203","0.23632812","2.40625","-7.28125","-14.5"
