"# PR data"
"# Start time: 20191128T213849"
"# Subject: rim"
"# Activity type: Walking"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574973530408","0","0.21777344","-0.9091797","-0.13476562","-7.125","-6.40625","-3.9375"
"1574973530409","1","0.16308594","-0.9140625","-0.17089844","-3.75","-7.28125","-5.34375"
"1574973530410","2","0.10449219","-1.0009766","-0.22460938","-3.625","-14.53125","-2.59375"
"1574973530410","3","0.12988281","-0.9814453","-0.19628906","-1.125","-19.71875","-3.875"
"1574973530410","4","0.14746094","-0.9746094","-0.171875","1.1875","-18.3125","-4.90625"
"1574973530410","5","0.047851562","-0.99121094","-0.23925781","6.0","-20.9375","-6.75"
"1574973530411","6","0.013671875","-0.9941406","-0.24316406","4.28125","-15.15625","-5.03125"
"1574973530411","7","0.040039062","-0.9736328","-0.24511719","0.6875","-9.96875","-2.40625"
"1574973530411","8","0.140625","-0.97265625","-0.20800781","5.15625","-2.25","-3.09375"
"1574973530411","9","0.19921875","-0.9951172","-0.22070312","4.28125","-10.25","-4.8125"
"1574973530809","10","0.17675781","-0.9980469","-0.18847656","-0.34375","-9.09375","-3.59375"
"1574973530810","11","0.13085938","-0.9716797","-0.2109375","1.375","-9.21875","-1.8125"
"1574973530810","12","0.15234375","-0.96875","-0.23925781","-0.46875","-6.90625","-2.40625"
"1574973530810","13","0.18261719","-0.98828125","-0.21191406","0.5","-4.53125","-0.15625"
"1574973530811","14","0.14746094","-0.9824219","-0.21777344","3.0","-5.375","1.71875"
"1574973530811","15","0.16113281","-0.9814453","-0.21679688","1.84375","-6.78125","-0.34375"
"1574973530811","16","0.17382812","-0.9824219","-0.22167969","2.40625","-5.125","0.28125"
"1574973530812","17","0.16601562","-0.9746094","-0.21484375","3.0625","-5.6875","1.90625"
"1574973530812","18","0.16503906","-0.96484375","-0.21484375","2.34375","-6.0","1.4375"
"1574973530812","19","0.1796875","-0.9746094","-0.22460938","0.5","-3.59375","0.5"
"1574973531008","20","0.18164062","-0.97558594","-0.22460938","2.21875","-4.53125","1.96875"
"1574973531009","21","0.16601562","-0.9716797","-0.2265625","5.46875","-7.09375","2.15625"
"1574973531009","22","0.15527344","-0.96484375","-0.20019531","3.875","-8.96875","2.09375"
"1574973531009","23","0.18652344","-0.9746094","-0.22167969","6.3125","-10.1875","1.625"
"1574973531009","24","0.16992188","-0.95703125","-0.21875","10.09375","-10.6875","2.9375"
"1574973531010","25","0.14648438","-0.97265625","-0.20214844","6.4375","-11.25","-0.53125"
"1574973531010","26","0.13085938","-0.9794922","-0.23046875","11.375","-10.5625","0.3125"
