"# PR data"
"# Start time: 20191128T213304"
"# Subject: rim"
"# Activity type: Wall push offs"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574973184189","0","0.0146484375","-1.0117188","0.005859375","10.40625","-2.03125","5.9375"
"1574973184190","1","0.01171875","-1.0205078","0.026367188","5.46875","-2.375","5.21875"
"1574973184190","2","0.00390625","-1.0087891","0.033203125","4.59375","-3.84375","4.28125"
"1574973184190","3","0.0","-1.0136719","0.044921875","6.6875","-4.40625","3.6875"
"1574973184190","4","0.0234375","-0.99121094","0.07421875","10.21875","-7.09375","3.3125"
"1574973184191","5","-0.045898438","-1.1376953","0.07519531","7.90625","-18.875","-7.25"
"1574973184191","6","-0.0087890625","-0.94628906","0.087890625","-10.90625","-4.28125","-7.25"
"1574973184191","7","-0.053710938","-1.0039062","0.07128906","10.03125","-14.40625","1.25"
"1574973184191","8","0.018554688","-1.0703125","0.08984375","6.1875","-16.78125","2.9375"
"1574973184191","9","0.087890625","-1.0146484","0.06640625","3.875","-27.34375","-0.15625"
"1574973184588","10","-0.018554688","-0.96191406","0.053710938","4.46875","-16.0625","-8.28125"
"1574973184589","11","-0.07324219","-0.9707031","0.09375","-0.71875","-11.0625","6.1875"
"1574973184589","12","-0.0087890625","-1.0654297","0.049804688","5.40625","-5.125","14.625"
"1574973184590","13","0.013671875","-0.9794922","0.0625","5.09375","2.0625","9.0625"
"1574973184590","14","-0.02734375","-0.9199219","0.06347656","-5.78125","5.5","10.71875"
"1574973184590","15","-0.07519531","-0.9345703","0.049804688","10.03125","8.0","23.09375"
"1574973184591","16","-0.032226562","-0.9902344","0.04296875","15.34375","19.03125","35.0"
"1574973184591","17","-0.08300781","-0.99902344","0.08203125","15.78125","8.0625","31.625"
"1574973184591","18","-0.12988281","-1.0136719","0.0","15.03125","5.84375","17.46875"
"1574973184591","19","-0.08203125","-1.0820312","0.055664062","5.15625","3.53125","12.59375"
"1574973185379","20","-0.07324219","-1.0498047","0.083984375","1.1875","-4.40625","1.84375"
"1574973185380","21","-0.12109375","-1.0332031","0.072265625","1.90625","-5.9375","-10.0"
"1574973185380","22","-0.1484375","-1.0703125","0.021484375","-8.71875","-3.71875","-14.9375"
"1574973185380","23","-0.16503906","-0.99121094","0.029296875","-21.03125","-0.96875","-16.625"
"1574973185381","24","-0.22167969","-1.0371094","-0.047851562","-18.84375","1.34375","-28.65625"
"1574973185382","25","-0.20996094","-1.0595703","-0.10253906","-27.8125","16.03125","-23.84375"
"1574973185383","26","-0.0859375","-1.1386719","-0.1171875","-31.90625","19.15625","-30.96875"
"1574973185383","27","-0.0078125","-1.0859375","-0.0390625","-29.625","26.53125","-41.40625"
"1574973185383","28","0.2841797","-1.0898438","0.0146484375","-15.125","5.5625","-16.59375"
"1574973185383","29","0.021484375","-0.8886719","-0.06933594","-1.875","-10.3125","-10.21875"
"1574973185577","30","-0.020507812","-0.8535156","-0.09277344","-17.125","-0.1875","-27.3125"
"1574973185577","31","0.14941406","-0.90722656","-0.08984375","-26.40625","7.8125","-21.46875"
"1574973185578","32","0.087890625","-1.0273438","-0.06933594","-17.375","-0.625","-1.5"
"1574973185578","33","0.045898438","-1.0527344","-0.109375","14.1875","-4.34375","7.15625"
"1574973185578","34","0.14648438","-0.9111328","-0.07324219","12.71875","-3.90625","7.96875"
"1574973185578","35","0.1640625","-0.8535156","-0.09082031","20.96875","-6.34375","13.75"
"1574973185579","36","0.06542969","-0.9746094","-0.087890625","13.21875","-1.59375","15.84375"
"1574973185580","37","0.01171875","-0.95996094","-0.06738281","10.9375","-2.3125","16.8125"
"1574973185580","38","0.01171875","-0.9121094","-0.026367188","14.78125","3.71875","17.28125"
"1574973185581","39","0.05078125","-0.98339844","0.048828125","16.625","7.375","25.78125"
"1574973185780","40","-0.09277344","-1.1650391","0.123046875","2.46875","1.34375","18.21875"
"1574973185780","41","-0.4423828","-1.21875","0.07128906","-18.53125","6.90625","-18.90625"
"1574973185781","42","-0.31445312","-1.1933594","0.0859375","3.25","10.0","-5.96875"
"1574973185781","43","0.13867188","-1.0244141","-0.045898438","36.8125","-11.0","11.625"
"1574973185781","44","0.3359375","-0.8769531","0.0703125","6.5625","1.8125","-3.6875"
"1574973185781","45","0.24121094","-0.9140625","0.08984375","-28.34375","-5.25","-20.1875"
"1574973185782","46","-0.047851562","-1.0224609","0.005859375","11.125","-27.84375","-17.375"
"1574973185782","47","-0.034179688","-1.0820312","0.026367188","10.71875","-29.65625","-13.15625"
"1574973185782","48","0.08984375","-0.94628906","0.078125","17.25","-37.0","-15.78125"
"1574973185783","49","0.16699219","-0.9433594","0.076171875","14.1875","-36.9375","-12.6875"
"1574973186177","50","0.12109375","-1.0322266","0.055664062","6.375","-35.78125","-16.21875"
"1574973186178","51","0.078125","-1.0439453","0.016601562","1.0625","-24.71875","-14.375"
"1574973186178","52","0.078125","-1.0693359","-0.0107421875","0.6875","-0.75","-5.96875"
"1574973186179","53","0.049804688","-1.0253906","0.030273438","2.59375","11.59375","0.8125"
"1574973186179","54","0.19238281","-0.9736328","0.072265625","2.15625","20.3125","7.46875"
"1574973186179","55","0.26953125","-1.0566406","0.048828125","2.84375","17.375","9.78125"
"1574973186179","56","0.111328125","-1.0351562","-0.05859375","-2.96875","12.4375","11.75"
"1574973186180","57","-0.01171875","-0.94921875","-0.017578125","-11.5","18.625","4.53125"
"1574973186180","58","0.07324219","-0.90234375","0.07324219","-8.53125","24.59375","13.75"
"1574973186180","59","0.15917969","-1.0332031","0.032226562","-6.4375","16.90625","12.96875"
"1574973186575","60","-0.029296875","-1.0751953","-0.056640625","-4.25","12.625","9.71875"
"1574973186576","61","-0.09472656","-0.98535156","-0.026367188","-6.5","19.65625","13.6875"
"1574973186576","62","0.055664062","-0.9580078","0.033203125","-14.0","19.15625","14.3125"
"1574973186577","63","0.047851562","-1.0585938","0.021484375","-10.15625","9.46875","1.71875"
"1574973186577","64","0.0107421875","-1.0859375","0.0087890625","-6.625","-0.6875","-5.46875"
"1574973186577","65","9.765625E-4","-1.0253906","0.021484375","-4.625","-13.0","2.65625"
"1574973186577","66","0.001953125","-1.0371094","-0.07519531","-0.21875","-22.59375","-6.03125"
"1574973186578","67","0.00390625","-0.9785156","-0.076171875","-7.78125","-9.90625","-22.0625"
"1574973186578","68","-0.03125","-0.93066406","-0.030273438","0.21875","-7.34375","-14.6875"
"1574973186579","69","0.01953125","-0.9902344","-0.07910156","15.9375","-11.90625","-3.21875"
"1574973186973","70","0.13183594","-1.0039062","-0.020507812","6.375","-0.375","12.78125"
"1574973186974","71","0.111328125","-0.9453125","-0.030273438","-2.0","-0.5625","19.5"
"1574973186974","72","-0.036132812","-1.0205078","-0.055664062","3.25","-1.90625","7.53125"
"1574973186975","73","-0.072265625","-1.0048828","-0.037109375","0.8125","12.5625","5.21875"
"1574973186976","74","0.00390625","-1.0029297","-0.0126953125","-0.28125","11.34375","21.6875"
"1574973186976","75","0.11621094","-1.0537109","-0.020507812","-4.6875","7.125","14.78125"
"1574973186976","76","0.0234375","-1.0605469","-0.07128906","-0.78125","-4.46875","1.0625"
"1574973186977","77","0.0078125","-1.0429688","-0.020507812","-8.28125","-1.15625","-1.0625"
"1574973186977","78","0.045898438","-0.9921875","-0.043945312","-4.5","-7.625","-1.5"
"1574973186977","79","0.043945312","-0.98828125","-0.05859375","-8.46875","-8.625","-7.3125"
"1574973187370","80","0.001953125","-1.0253906","-0.06542969","-10.15625","-4.40625","-11.625"
"1574973187370","81","-0.0078125","-0.984375","-0.07519531","-5.59375","-6.21875","-8.15625"
"1574973187370","82","0.025390625","-0.95996094","-0.076171875","0.3125","-5.9375","-4.90625"
"1574973187371","83","0.048828125","-1.0146484","-0.095703125","-1.0625","-1.34375","-4.5"
"1574973187371","84","0.05078125","-1.0117188","-0.09472656","-3.21875","-0.125","-4.75"
