"# PR data"
"# Start time: 20191205T182144"
"# Subject: ron"
"# Activity type: Heel raises"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1575566504732","0","-0.14257812","-1.0224609","0.17675781","-5.15625","9.75","-4.40625"
"1575566504733","1","-0.23632812","-1.0498047","0.037109375","7.75","-3.75","-3.0"
"1575566504734","2","-0.123046875","-0.9580078","0.13574219","-7.71875","-8.3125","-0.1875"
"1575566504734","3","-0.19824219","-0.93652344","0.09472656","6.875","-9.125","-3.25"
"1575566504734","4","-0.21777344","-1.0","0.09082031","-0.125","1.375","-6.59375"
"1575566504740","5","-0.22070312","-0.96875","0.13183594","-1.78125","6.9375","-1.59375"
"1575566504740","6","-0.15136719","-0.94921875","0.12402344","4.6875","15.1875","-6.71875"
"1575566504741","7","-0.08886719","-0.99609375","0.16796875","0.40625","8.59375","-6.84375"
"1575566504741","8","-0.11328125","-1.0058594","0.15625","-2.09375","-0.9375","-4.78125"
"1575566504741","9","-0.09277344","-0.9980469","0.12597656","-0.0625","-4.40625","-5.875"
"1575566505130","10","-0.09472656","-0.9951172","0.15136719","-6.90625","-5.75","-4.59375"
"1575566505130","11","-0.13085938","-0.96777344","0.12109375","-5.3125","-5.09375","-5.4375"
"1575566505130","12","-0.1640625","-0.9824219","0.10546875","-3.25","2.65625","-3.75"
"1575566505131","13","-0.17480469","-0.98339844","0.109375","-4.34375","9.75","-1.71875"
"1575566505131","14","-0.13378906","-0.9980469","0.09375","-2.625","13.46875","-1.1875"
"1575566505132","15","-0.1171875","-0.9785156","0.107421875","-4.34375","12.1875","-1.0625"
"1575566505132","16","-0.12402344","-0.97558594","0.10253906","-4.21875","9.09375","1.3125"
"1575566505132","17","-0.16699219","-0.9921875","0.08496094","-2.625","9.625","1.75"
"1575566505133","18","-0.16210938","-0.9873047","0.078125","-2.9375","14.75","1.09375"
"1575566505133","19","-0.140625","-0.9921875","0.07324219","-3.25","15.90625","1.6875"
"1575566505530","20","-0.13183594","-1.0039062","0.046875","-3.625","14.21875","0.71875"
"1575566505530","21","-0.12402344","-1.0107422","0.033203125","-5.75","7.3125","-3.125"
"1575566505530","22","-0.13574219","-1.0068359","0.020507812","-1.40625","2.375","-2.875"
"1575566505531","23","-0.13769531","-1.0185547","0.017578125","-3.96875","-3.0625","-6.0625"
"1575566505531","24","-0.16601562","-0.96875","0.020507812","-11.0625","-6.1875","-5.4375"
"1575566505532","25","-0.18066406","-0.9667969","0.016601562","-8.6875","-6.5","-6.0625"
"1575566505533","26","-0.15234375","-1.0019531","0.0078125","-10.5625","-5.9375","-7.03125"
"1575566505533","27","-0.14648438","-1.0361328","0.030273438","-14.59375","-5.875","-10.9375"
"1575566505533","28","-0.19335938","-0.98046875","0.022460938","-17.84375","-5.375","-4.46875"
"1575566505533","29","-0.22167969","-0.9423828","0.01953125","-9.78125","5.96875","-1.34375"
"1575566505924","30","-0.17578125","-1.0019531","0.024414062","-0.4375","13.78125","3.59375"
"1575566505925","31","-0.14453125","-1.0078125","0.0087890625","-2.8125","13.65625","4.0"
"1575566505925","32","-0.10644531","-0.98828125","0.0029296875","-3.625","10.96875","2.3125"
"1575566505925","33","-0.080078125","-1.0097656","0.028320312","-6.1875","5.96875","0.96875"
"1575566505925","34","-0.09765625","-1.0078125","0.045898438","-7.9375","-2.59375","-0.9375"
"1575566505926","35","-0.10253906","-0.9785156","0.05859375","-5.375","-6.0625","0.53125"
"1575566505926","36","-0.08886719","-0.9511719","0.076171875","-4.40625","-4.59375","-1.65625"
"1575566505927","37","-0.12402344","-0.9589844","0.029296875","-0.1875","-8.75","-1.53125"
"1575566505927","38","-0.19433594","-1.0029297","0.015625","-5.8125","-1.96875","-0.25"
"1575566505928","39","-0.19433594","-1.0058594","0.03515625","-6.59375","6.75","-1.90625"
"1575566506520","40","-0.13671875","-1.0195312","-0.041992188","5.34375","7.5","-0.375"
"1575566506521","41","-0.11035156","-0.9765625","-0.020507812","-6.25","1.3125","-0.3125"
"1575566506521","42","-0.18164062","-0.9433594","0.022460938","0.21875","-2.15625","2.4375"
"1575566506522","43","-0.19042969","-0.98339844","-0.0126953125","10.84375","0.09375","4.25"
"1575566506522","44","-0.12011719","-0.98828125","-9.765625E-4","5.84375","-3.125","6.5625"
"1575566506522","45","-0.13183594","-0.99609375","0.041015625","5.1875","-9.96875","7.125"
"1575566506522","46","-0.14453125","-0.99609375","0.029296875","4.8125","-12.71875","4.5625"
"1575566506523","47","-0.20703125","-0.9902344","0.0703125","-0.5","-3.125","7.125"
"1575566506523","48","-0.19335938","-0.9707031","0.017578125","2.0","5.78125","3.65625"
"1575566506524","49","-0.10839844","-1.015625","0.08105469","1.09375","3.21875","4.125"
"1575566506720","50","-0.17675781","-1.0126953","-0.017578125","3.34375","-8.6875","-0.9375"
"1575566506721","51","-0.1484375","-0.9658203","0.020507812","-4.84375","-8.4375","2.0"
"1575566506721","52","-0.16015625","-0.97558594","0.029296875","2.90625","-15.28125","2.375"
"1575566506721","53","-0.17480469","-0.98339844","0.0107421875","5.84375","-13.9375","-2.03125"
"1575566506722","54","-0.20019531","-1.0039062","0.051757812","-1.71875","-13.25","0.03125"
"1575566506722","55","-0.18359375","-0.97558594","0.064453125","2.1875","-4.78125","0.34375"
"1575566506722","56","-0.115234375","-0.98828125","0.0703125","-0.3125","-0.9375","-0.625"
"1575566506722","57","-0.17089844","-0.97265625","0.06933594","3.84375","-1.1875","0.03125"
"1575566506723","58","-0.22851562","-1.0087891","0.0146484375","3.90625","3.40625","1.6875"
"1575566506723","59","-0.19628906","-0.9824219","0.078125","-5.25","6.625","3.65625"
"1575566507314","60","-0.17089844","-0.9746094","0.06933594","3.59375","10.59375","1.5"
"1575566507315","61","-0.20800781","-1.0097656","0.022460938","5.65625","6.6875","0.15625"
"1575566507315","62","-0.16503906","-0.9951172","0.028320312","1.5","2.3125","2.65625"
"1575566507315","63","-0.14453125","-0.96484375","0.08300781","3.09375","2.96875","0.28125"
"1575566507316","64","-0.1171875","-1.0126953","0.053710938","8.96875","-5.375","2.0"
"1575566507316","65","-0.14746094","-1.0332031","0.057617188","1.6875","-9.78125","-0.6875"
"1575566507316","66","-0.1796875","-0.98535156","0.047851562","-1.96875","-6.0625","-3.3125"
"1575566507316","67","-0.16210938","-0.99316406","0.057617188","-2.40625","-5.03125","-4.09375"
"1575566507317","68","-0.18945312","-0.9814453","0.052734375","-1.125","-7.8125","-3.125"
