"# PR data"
"# Start time: 20191128T195333"
"# Subject: santi"
"# Activity type: Bicep curl"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574967213538","0","0.059570312","-0.9560547","-0.18457031","-0.84375","-15.96875","-9.5625"
"1574967213539","1","0.087890625","-0.82714844","-0.140625","10.9375","-26.28125","-6.65625"
"1574967213539","2","0.0029296875","-0.78808594","-0.07128906","-6.40625","-14.25","-2.125"
"1574967213539","3","-0.055664062","-0.8955078","-0.060546875","3.65625","-4.375","-1.8125"
"1574967213540","4","0.036132812","-0.9355469","-0.07714844","13.5625","-17.1875","1.21875"
"1574967213540","5","-0.13574219","-0.8779297","-0.12109375","25.09375","-37.03125","5.5625"
"1574967213540","6","-0.033203125","-0.6689453","-0.030273438","-9.6875","-19.03125","7.15625"
"1574967213541","7","-0.046875","-0.82910156","-0.07324219","3.53125","-16.03125","2.5"
"1574967213541","8","-0.17578125","-1.0107422","-0.09765625","-10.90625","-3.40625","-1.28125"
"1574967213543","9","-0.115234375","-0.87109375","-0.1328125","-9.53125","7.03125","-0.34375"
"1574967213936","10","0.0048828125","-0.78808594","-0.07910156","-12.875","11.5","-1.875"
"1574967213937","11","-0.07519531","-0.8251953","-0.09472656","-4.15625","3.5","-5.125"
"1574967213937","12","-0.041992188","-0.875","-0.13378906","-3.53125","4.90625","-4.03125"
"1574967213938","13","-0.040039062","-0.8261719","-0.111328125","-6.96875","5.03125","-2.875"
"1574967213938","14","-0.068359375","-0.84277344","-0.09667969","-7.6875","6.25","-1.34375"
"1574967213939","15","-0.041015625","-0.8691406","-0.12695312","-3.46875","5.09375","0.5"
"1574967213939","16","0.001953125","-0.859375","-0.13574219","3.40625","-0.59375","0.375"
"1574967213939","17","-0.015625","-0.8671875","-0.11425781","2.1875","-5.71875","1.34375"
"1574967213939","18","-0.06933594","-0.8564453","-0.16699219","2.3125","-9.5","-1.21875"
"1574967213940","19","-0.036132812","-0.8828125","-0.107421875","-6.53125","-9.5625","-2.5"
"1574967214729","20","-0.0068359375","-0.87890625","-0.14746094","-4.4375","-9.375","-5.25"
"1574967214730","21","-0.0546875","-0.8574219","-0.1484375","2.03125","-15.125","-4.9375"
"1574967214730","22","-0.049804688","-0.85839844","-0.13574219","-0.53125","-15.15625","-4.5625"
"1574967214730","23","-0.017578125","-0.8535156","-0.1484375","-1.65625","-11.9375","-4.625"
"1574967214731","24","-0.030273438","-0.8642578","-0.13964844","-1.46875","-11.75","-2.375"
"1574967214731","25","-0.026367188","-0.8652344","-0.15820312","2.4375","-11.4375","-1.875"
"1574967214731","26","-0.0234375","-0.8457031","-0.17480469","4.40625","-11.375","-0.59375"
"1574967214732","27","-0.009765625","-0.8564453","-0.15625","2.6875","-7.65625","-0.46875"
"1574967214732","28","-0.020507812","-0.8613281","-0.14453125","3.0","-3.75","-0.125"
"1574967214732","29","-0.041015625","-0.8515625","-0.15527344","2.125","-1.1875","-0.0625"
"1574967214732","30","-0.0146484375","-0.8574219","-0.14355469","2.5","-0.53125","1.59375"
"1574967214733","31","0.017578125","-0.8388672","-0.14257812","3.1875","-0.71875","3.5"
"1574967214733","32","-0.0146484375","-0.8847656","-0.13671875","5.5","-4.90625","3.25"
