"# PR data"
"# Start time: 20191128T195716"
"# Subject: santi"
"# Activity type: Leg slide"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574967436731","0","-0.18359375","-0.7841797","-0.13085938","-21.71875","19.625","-5.71875"
"1574967436732","1","-0.07324219","-0.9794922","-0.10546875","-36.75","37.25","-5.25"
"1574967436732","2","-0.0048828125","-0.93652344","-0.1015625","-17.875","13.09375","2.875"
"1574967436732","3","-0.030273438","-0.796875","-0.18261719","-21.0","1.5625","-7.5625"
"1574967436733","4","0.021484375","-0.7919922","-0.20898438","-15.5625","2.78125","-10.375"
"1574967436733","5","-0.052734375","-0.83203125","-0.19042969","-8.0625","5.75","-1.5625"
"1574967436733","6","-0.09863281","-0.8623047","-0.21191406","-7.75","12.59375","-3.28125"
"1574967436733","7","-0.051757812","-0.89160156","-0.21386719","-1.71875","14.5625","2.375"
"1574967436737","8","-0.040039062","-0.8652344","-0.20703125","4.9375","14.75","5.0625"
"1574967436737","9","-0.0068359375","-0.8564453","-0.21484375","2.8125","13.28125","5.0625"
"1574967436933","10","0.022460938","-0.85546875","-0.20800781","-0.71875","9.375","6.65625"
"1574967436934","11","-0.001953125","-0.84472656","-0.21679688","-1.65625","4.3125","4.84375"
"1574967436934","12","-0.040039062","-0.8964844","-0.22558594","-1.59375","2.53125","5.5625"
"1574967436935","13","-0.0087890625","-0.8623047","-0.23535156","-4.8125","-6.75","4.9375"
"1574967436936","14","-0.0029296875","-0.85253906","-0.23242188","0.8125","-16.34375","2.6875"
"1574967436936","15","-0.038085938","-0.8466797","-0.20898438","-7.5625","-14.9375","-2.0625"
"1574967436937","16","-0.034179688","-0.85253906","-0.24511719","6.40625","-18.21875","-2.4375"
"1574967436937","17","-0.07910156","-0.8417969","-0.21972656","2.125","-14.0625","-0.71875"
"1574967436937","18","-0.03515625","-0.86328125","-0.23632812","4.40625","-9.9375","-1.6875"
"1574967436938","19","-0.0234375","-0.8564453","-0.24121094","5.75","-11.09375","-1.625"
"1574967437331","20","-0.040039062","-0.8417969","-0.23730469","7.375","-10.28125","-3.15625"
"1574967437331","21","-0.025390625","-0.8564453","-0.22363281","2.75","-9.375","-3.15625"
"1574967437331","22","-0.040039062","-0.8574219","-0.21679688","1.09375","-7.0","-3.09375"
"1574967437331","23","-0.051757812","-0.8613281","-0.22070312","2.03125","-3.875","-2.375"
"1574967437332","24","-0.018554688","-0.8544922","-0.21386719","-0.65625","-3.21875","-1.6875"
"1574967437333","25","-0.046875","-0.84765625","-0.20507812","0.625","-1.875","-0.53125"
"1574967437333","26","-0.055664062","-0.85058594","-0.2109375","2.5","2.28125","0.125"
"1574967437333","27","-0.020507812","-0.8798828","-0.21777344","3.84375","3.625","0.8125"
"1574967437336","28","-0.009765625","-0.8574219","-0.21679688","1.34375","1.3125","0.3125"
"1574967437337","29","-0.016601562","-0.84472656","-0.21191406","0.1875","0.75","0.1875"
"1574967437729","30","-0.041015625","-0.875","-0.20117188","2.4375","2.71875","1.03125"
"1574967437729","31","-0.015625","-0.85546875","-0.2109375","1.53125","0.875","1.09375"
"1574967437729","32","-0.0146484375","-0.84765625","-0.22753906","1.03125","-2.78125","1.03125"
"1574967437730","33","-0.038085938","-0.8642578","-0.21875","0.5625","-2.0625","0.75"
"1574967437730","34","-0.017578125","-0.85546875","-0.20410156","1.46875","-1.0","0.5625"
