"# PR data"
"# Start time: 20191128T195435"
"# Subject: santi"
"# Activity type: Shoulder press"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574967276144","0","0.0146484375","-0.7158203","-0.043945312","-6.03125","8.09375","-15.3125"
"1574967276146","1","-0.053710938","-0.9814453","-0.111328125","-22.15625","8.875","-7.8125"
"1574967276146","2","-0.060546875","-0.91308594","-0.08203125","-24.96875","8.15625","-10.6875"
"1574967276147","3","-0.034179688","-0.83691406","-0.08203125","-16.15625","9.5625","-5.84375"
"1574967276147","4","-0.07324219","-0.8339844","-0.115234375","-13.71875","13.9375","-5.1875"
"1574967276147","5","-0.024414062","-0.8388672","-0.15039062","-8.59375","13.9375","-0.71875"
"1574967276148","6","-0.01171875","-0.86035156","-0.13085938","-5.125","12.40625","-0.90625"
"1574967276148","7","-0.037109375","-0.8535156","-0.12109375","-2.3125","11.3125","-1.6875"
"1574967276149","8","-0.032226562","-0.84765625","-0.14746094","-0.5","9.375","-0.0625"
"1574967276149","9","-0.030273438","-0.8671875","-0.16015625","2.1875","8.28125","0.375"
"1574967276341","10","-0.018554688","-0.8535156","-0.14746094","3.0625","4.90625","1.28125"
"1574967276342","11","-0.021484375","-0.88183594","-0.14160156","4.46875","-0.28125","2.6875"
"1574967276342","12","-0.046875","-0.8564453","-0.13574219","8.125","-3.40625","6.34375"
"1574967276344","13","-0.07519531","-0.8457031","-0.10644531","8.5","-4.5","8.75"
"1574967276344","14","-0.0234375","-0.83203125","-0.12792969","13.3125","-10.09375","5.875"
"1574967276345","15","0.0048828125","-0.8417969","-0.13964844","9.59375","-20.1875","1.0"
"1574967276345","16","-0.052734375","-0.8769531","-0.115234375","3.78125","-22.0625","-0.59375"
"1574967276345","17","-0.043945312","-0.8779297","-0.115234375","0.84375","-20.46875","-4.4375"
"1574967276346","18","-0.0087890625","-0.8798828","-0.107421875","3.53125","-24.09375","-3.71875"
"1574967276346","19","-0.07128906","-0.83496094","-0.10644531","4.59375","-23.71875","-0.34375"
"1574967276539","20","-0.111328125","-0.85058594","-0.09082031","5.5625","-13.15625","1.78125"
"1574967276539","21","-0.06347656","-0.90527344","-0.10253906","7.28125","-7.46875","3.1875"
"1574967276540","22","-0.046875","-0.8671875","-0.13183594","4.46875","-8.09375","1.28125"
