"# PR data"
"# Start time: 20191128T195534"
"# Subject: santi"
"# Activity type: Wall push offs"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574967334971","0","-0.115234375","-0.84277344","0.07910156","-5.0625","12.28125","-2.5"
"1574967334972","1","-0.14941406","-0.8125","0.0546875","-4.8125","14.0","-3.09375"
"1574967334972","2","-0.11328125","-0.8828125","0.10449219","-2.3125","16.3125","1.65625"
"1574967334973","3","-0.15136719","-0.87890625","0.095703125","-17.21875","22.0","-3.40625"
"1574967334973","4","-0.08300781","-0.8984375","0.047851562","-6.03125","10.65625","-1.21875"
"1574967334973","5","-0.19628906","-0.8691406","0.11816406","-24.78125","12.0625","-1.03125"
"1574967334973","6","-0.17480469","-0.79003906","0.044921875","-23.96875","17.96875","-7.9375"
"1574967334974","7","-0.16503906","-0.88183594","0.044921875","-27.34375","31.03125","-11.28125"
"1574967334974","8","-0.16210938","-0.84375","-0.0546875","-20.5625","33.09375","-9.5625"
"1574967334974","9","-0.09472656","-0.8935547","-0.09765625","-20.75","32.8125","-2.875"
"1574967335173","10","-0.09667969","-0.85546875","-0.017578125","-51.4375","48.90625","-1.34375"
"1574967335174","11","-0.15722656","-0.7841797","-0.14453125","-33.875","48.84375","1.71875"
"1574967335174","12","-0.051757812","-0.8798828","-0.14746094","-16.53125","46.65625","4.28125"
"1574967335174","13","-0.04296875","-0.8359375","-0.16992188","-14.09375","41.21875","8.5625"
"1574967335174","14","-0.09472656","-0.8076172","-0.21972656","-7.1875","31.59375","10.09375"
"1574967335175","15","-0.041015625","-0.8535156","-0.21484375","-2.125","26.5","6.0625"
"1574967335175","16","-0.057617188","-0.8388672","-0.20898438","-1.46875","17.84375","6.125"
"1574967335175","17","-0.0859375","-0.8144531","-0.20996094","4.65625","12.0625","5.625"
"1574967335176","18","-0.087890625","-0.85839844","-0.2109375","3.25","8.875","2.375"
"1574967335176","19","-0.11328125","-0.8457031","-0.20019531","2.03125","-0.46875","-0.90625"
"1574967335570","20","-0.12011719","-0.8535156","-0.18945312","5.1875","-2.46875","-4.625"
"1574967335571","21","-0.095703125","-0.8720703","-0.18164062","-0.3125","-5.15625","-7.0625"
"1574967335571","22","-0.12011719","-0.8486328","-0.15429688","-1.78125","-9.625","-2.5"
"1574967335571","23","-0.14355469","-0.86035156","-0.19824219","5.0","-6.3125","-4.375"
"1574967335572","24","-0.15234375","-0.8642578","-0.15136719","-6.90625","-6.25","-3.46875"
"1574967335572","25","-0.109375","-0.85546875","-0.18359375","-1.15625","-3.875","-5.125"
"1574967335572","26","-0.1328125","-0.86621094","-0.18164062","2.75","-4.84375","-3.96875"
"1574967335573","27","-0.13183594","-0.8613281","-0.17089844","4.40625","-7.46875","-3.46875"
"1574967335573","28","-0.12402344","-0.8691406","-0.171875","4.09375","-8.28125","-1.9375"
"1574967335573","29","-0.13085938","-0.8623047","-0.15722656","0.6875","-5.03125","-2.5"
"1574967335968","30","-0.12402344","-0.8720703","-0.16210938","6.21875","-7.65625","-1.03125"
"1574967335968","31","-0.11816406","-0.85839844","-0.14160156","2.875","-4.375","0.4375"
"1574967335969","32","-0.10644531","-0.8652344","-0.15917969","2.75","-5.96875","0.1875"
"1574967335969","33","-0.08984375","-0.8613281","-0.16308594","3.375","-5.40625","3.4375"
"1574967335969","34","-0.12207031","-0.8535156","-0.16210938","3.46875","-5.53125","1.78125"
"1574967335969","35","-0.08691406","-0.8720703","-0.16308594","4.75","-5.34375","0.25"
"1574967335970","36","-0.046875","-0.8457031","-0.18847656","7.21875","-8.28125","1.71875"
"1574967335971","37","-0.07421875","-0.796875","-0.18554688","6.34375","-3.9375","5.5"
"1574967335971","38","-0.038085938","-0.83496094","-0.18359375","13.4375","-1.4375","6.65625"
"1574967335971","39","-0.026367188","-0.86328125","-0.1953125","13.96875","-5.21875","5.1875"
"1574967336366","40","-0.033203125","-0.8095703","-0.19628906","17.59375","-7.46875","10.5"
"1574967336367","41","-0.0087890625","-0.8515625","-0.18261719","16.125","-9.6875","8.4375"
"1574967336367","42","-0.037109375","-0.8486328","-0.16308594","12.03125","-11.3125","8.75"
"1574967336368","43","-0.049804688","-0.82714844","-0.18359375","17.46875","-16.75","9.96875"
"1574967336368","44","-0.109375","-0.8339844","-0.13867188","13.5","-13.09375","9.09375"
"1574967336368","45","-0.11816406","-0.8339844","-0.13574219","18.625","-10.46875","9.71875"
"1574967336368","46","-0.12597656","-0.7988281","-0.08300781","20.21875","-0.15625","14.46875"
"1574967336369","47","-0.14550781","-0.79003906","-0.15625","31.0","-0.875","15.09375"
"1574967336369","48","-0.17285156","-0.8154297","-0.0048828125","18.875","9.71875","19.1875"
"1574967336369","49","-0.1484375","-0.8222656","-0.0625","30.71875","6.5625","23.5625"
"1574967337160","50","-0.26953125","-0.8183594","0.009765625","24.40625","17.3125","22.09375"
"1574967337160","51","-0.20117188","-0.8417969","0.0126953125","24.40625","17.96875","21.125"
"1574967337161","52","-0.20703125","-0.82421875","0.03515625","33.8125","2.65625","22.46875"
"1574967337161","53","-0.2939453","-0.79785156","0.09863281","27.03125","-1.3125","27.09375"
"1574967337161","54","-0.3154297","-0.80859375","0.11035156","32.0","5.28125","24.84375"
"1574967337161","55","-0.3173828","-0.7919922","0.12988281","25.75","1.1875","18.6875"
