"# PR data"
"# Start time: 20191128T195355"
"# Subject: santi"
"# Activity type: Bicep curl"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574967235797","0","-0.017578125","-0.83691406","-0.2578125","2.5","-9.6875","-5.125"
"1574967235800","1","-0.0087890625","-0.8515625","-0.25390625","6.40625","-9.8125","-5.0625"
"1574967235800","2","0.0029296875","-0.85253906","-0.2763672","5.375","-9.8125","-4.4375"
"1574967235800","3","-0.0078125","-0.8496094","-0.25683594","6.59375","-10.59375","-3.65625"
"1574967235801","4","-0.0029296875","-0.85546875","-0.26171875","5.5","-9.9375","-5.0625"
"1574967235801","5","-0.009765625","-0.84765625","-0.2626953","6.15625","-10.15625","-3.46875"
"1574967235801","6","-0.0126953125","-0.8769531","-0.24707031","3.25","-6.625","-3.46875"
"1574967235801","7","-0.0146484375","-0.84472656","-0.2607422","2.875","-5.15625","-2.1875"
"1574967235801","8","-0.01171875","-0.85058594","-0.24707031","2.375","-1.5625","-0.59375"
"1574967235802","9","-0.001953125","-0.85058594","-0.2607422","3.25","1.90625","0.125"
"1574967235996","10","0.018554688","-0.8544922","-0.24414062","3.375","-0.46875","1.15625"
"1574967235997","11","0.001953125","-0.8671875","-0.24316406","0.25","0.34375","0.9375"
"1574967235997","12","0.0078125","-0.8378906","-0.24609375","3.53125","-0.15625","1.96875"
"1574967235998","13","0.034179688","-0.85546875","-0.24023438","4.65625","-2.21875","1.40625"
"1574967236000","14","0.013671875","-0.85546875","-0.23828125","4.40625","-4.1875","1.46875"
"1574967236001","15","0.01953125","-0.8408203","-0.234375","7.15625","-5.21875","1.34375"
"1574967236001","16","0.029296875","-0.8515625","-0.22558594","6.34375","-6.125","2.5625"
"1574967236001","17","0.025390625","-0.87890625","-0.21777344","4.34375","-8.46875","1.46875"
"1574967236002","18","0.01171875","-0.85253906","-0.24511719","11.65625","-7.65625","1.0"
"1574967236002","19","-0.0048828125","-0.8544922","-0.18554688","1.28125","-7.96875","2.6875"
"1574967236592","20","0.017578125","-0.86035156","-0.22265625","3.90625","-5.78125","2.21875"
"1574967236592","21","-0.018554688","-0.86816406","-0.21484375","4.65625","-5.09375","4.21875"
"1574967236592","22","-0.021484375","-0.84472656","-0.20996094","6.53125","-1.125","6.28125"
"1574967236592","23","-0.021484375","-0.8535156","-0.19921875","8.25","0.875","8.0"
"1574967236593","24","-0.05078125","-0.859375","-0.19921875","10.1875","6.125","13.0"
"1574967236594","25","-0.068359375","-0.86035156","-0.19042969","11.28125","7.59375","17.21875"
"1574967236594","26","-0.06542969","-0.8652344","-0.19921875","11.28125","4.71875","21.5"
"1574967236595","27","-0.095703125","-0.8232422","-0.2265625","13.96875","2.34375","21.125"
"1574967236595","28","-0.08886719","-0.85839844","-0.22851562","12.34375","8.21875","14.40625"
"1574967236595","29","-0.0234375","-0.90527344","-0.2548828","5.375","4.84375","4.15625"
"1574967237188","30","-0.025390625","-0.87109375","-0.22363281","1.53125","-2.125","-3.03125"
"1574967237188","31","-0.0390625","-0.84375","-0.21582031","1.21875","-4.90625","-6.71875"
"1574967237189","32","-0.06542969","-0.85546875","-0.24609375","-3.28125","-5.59375","-10.0625"
"1574967237189","33","-0.051757812","-0.8623047","-0.265625","-7.0625","-7.25","-12.4375"
"1574967237189","34","-0.051757812","-0.8642578","-0.25683594","-9.28125","-8.65625","-14.6875"
"1574967237189","35","-0.056640625","-0.9042969","-0.25585938","-13.375","-9.875","-16.15625"
"1574967237190","36","-0.06933594","-0.9326172","-0.24804688","-21.96875","-5.78125","-11.59375"
"1574967237191","37","-0.09082031","-0.8388672","-0.21679688","-16.28125","-2.28125","-2.96875"
"1574967237192","38","-0.029296875","-0.7734375","-0.20996094","-0.90625","-1.5625","-3.46875"
"1574967237192","39","0.0029296875","-0.81933594","-0.22070312","-2.3125","1.375","-6.78125"
"1574967237386","40","0.0048828125","-0.85546875","-0.23144531","-11.03125","1.1875","-7.875"
"1574967237386","41","0.0029296875","-0.89453125","-0.20117188","-7.875","-4.1875","-4.3125"
"1574967237386","42","-0.016601562","-0.8300781","-0.20800781","-6.40625","1.125","-3.59375"
"1574967237387","43","0.020507812","-0.8457031","-0.24414062","6.40625","0.09375","-0.40625"
"1574967237387","44","0.021484375","-0.8701172","-0.22167969","7.9375","-2.40625","0.1875"
"1574967237387","45","0.0107421875","-0.8378906","-0.21777344","5.3125","-3.875","-0.34375"
"1574967237387","46","0.055664062","-0.8691406","-0.23339844","2.3125","-4.0625","-2.625"
"1574967237388","47","0.033203125","-0.8457031","-0.23632812","3.0","-8.40625","-1.5625"
"1574967237388","48","-9.765625E-4","-0.8496094","-0.21484375","2.9375","-4.625","-1.875"
"1574967237389","49","0.028320312","-0.8613281","-0.22949219","1.46875","-4.125","-3.03125"
"1574967237586","50","0.020507812","-0.85253906","-0.2421875","-0.25","-7.25","-1.34375"
"1574967237587","51","9.765625E-4","-0.83496094","-0.20605469","4.09375","-4.3125","-1.34375"
"1574967237587","52","0.036132812","-0.86035156","-0.22753906","3.0","-3.5","-1.46875"
"1574967237587","53","0.03515625","-0.86816406","-0.24609375","0.96875","-6.375","-0.96875"
"1574967237587","54","0.03515625","-0.85546875","-0.24414062","3.0625","-11.875","-0.53125"
"1574967237588","55","0.041992188","-0.8496094","-0.2265625","1.21875","-15.125","-1.03125"
"1574967237588","56","0.028320312","-0.85546875","-0.2265625","2.625","-15.21875","-2.625"
"1574967237588","57","0.037109375","-0.8408203","-0.23828125","3.46875","-17.0","-2.1875"
"1574967237588","58","0.041015625","-0.85253906","-0.23242188","5.0625","-18.09375","-2.0625"
"1574967237589","59","0.017578125","-0.8652344","-0.23144531","2.875","-19.5","-2.3125"
"1574967237985","60","0.022460938","-0.85546875","-0.23730469","6.03125","-20.96875","-0.1875"
"1574967237986","61","0.034179688","-0.85058594","-0.24121094","8.625","-20.125","0.875"
"1574967237986","62","0.0234375","-0.8535156","-0.2265625","5.3125","-20.78125","1.0"
"1574967237986","63","0.005859375","-0.8730469","-0.19726562","9.03125","-19.5","0.3125"
"1574967237987","64","0.018554688","-0.8515625","-0.22167969","2.25","-14.5625","-0.71875"
"1574967237987","65","0.018554688","-0.8544922","-0.24023438","5.0","-15.46875","-0.125"
"1574967237987","66","0.028320312","-0.8564453","-0.23242188","4.53125","-14.5625","0.375"
"1574967237987","67","0.01953125","-0.8515625","-0.22265625","4.09375","-14.0625","0.75"
"1574967237988","68","0.01953125","-0.86035156","-0.22753906","4.75","-11.5","1.53125"
"1574967237989","69","0.016601562","-0.85253906","-0.23242188","7.21875","-10.34375","1.84375"
"1574967238381","70","0.00390625","-0.8496094","-0.23144531","3.53125","-7.90625","1.96875"
"1574967238382","71","0.020507812","-0.8544922","-0.22167969","5.125","-6.875","1.84375"
"1574967238382","72","0.025390625","-0.8535156","-0.21875","4.71875","-5.46875","2.375"
"1574967238383","73","-0.00390625","-0.84765625","-0.20117188","3.25","-3.28125","1.84375"
"1574967238384","74","0.0087890625","-0.8642578","-0.20996094","3.78125","-2.65625","1.46875"
"1574967238384","75","0.0087890625","-0.8535156","-0.203125","2.5625","-3.03125","1.53125"
"1574967238384","76","9.765625E-4","-0.8544922","-0.20214844","2.6875","-2.0","0.875"
"1574967238385","77","9.765625E-4","-0.85546875","-0.203125","2.3125","-2.84375","1.40625"
"1574967238385","78","0.001953125","-0.859375","-0.19335938","2.25","-3.28125","1.09375"
"1574967238385","79","0.0029296875","-0.86816406","-0.20214844","4.46875","-4.0","1.03125"
"1574967238976","80","-0.01171875","-0.8535156","-0.19921875","3.71875","-3.75","0.5625"
"1574967238977","81","-0.0068359375","-0.85253906","-0.19140625","3.125","-1.375","0.75"
"1574967238977","82","-0.0087890625","-0.859375","-0.18945312","5.25","-0.21875","1.28125"
"1574967238977","83","0.015625","-0.8642578","-0.19140625","1.15625","-0.78125","1.71875"
