"# PR data"
"# Start time: 20191128T195251"
"# Subject: santi"
"# Activity type: Heel raises"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574967172000","0","-0.045898438","-0.87109375","-0.14355469","1.34375","-3.03125","1.28125"
"1574967172001","1","-0.05078125","-0.8544922","-0.18457031","-3.40625","-1.875","-0.65625"
"1574967172001","2","-0.048828125","-0.875","-0.1875","3.1875","-3.4375","0.75"
"1574967172001","3","-0.05859375","-0.8388672","-0.17871094","-0.84375","-2.53125","0.4375"
"1574967172002","4","-0.051757812","-0.86035156","-0.17675781","-0.1875","0.21875","0.375"
"1574967172002","5","-0.052734375","-0.86035156","-0.17382812","0.0","0.875","1.09375"
"1574967172002","6","-0.0390625","-0.8652344","-0.17675781","4.875","-0.65625","2.5"
"1574967172002","7","-0.041015625","-0.86328125","-0.17382812","7.5","-1.125","2.875"
"1574967172003","8","-0.057617188","-0.8847656","-0.18066406","7.5625","-3.625","1.40625"
"1574967172003","9","-0.05859375","-0.86328125","-0.16503906","3.0","-2.96875","0.4375"
"1574967172197","10","-0.051757812","-0.86816406","-0.16210938","3.65625","-2.78125","-0.0625"
"1574967172198","11","-0.068359375","-0.87109375","-0.15527344","-1.53125","-2.65625","-2.25"
"1574967172198","12","-0.064453125","-0.84277344","-0.171875","-2.875","-2.65625","-3.21875"
"1574967172199","13","-0.049804688","-0.83691406","-0.17382812","-4.8125","-0.34375","-2.5625"
"1574967172199","14","-0.030273438","-0.86621094","-0.18261719","1.84375","0.28125","0.625"
"1574967172200","15","-0.026367188","-0.86816406","-0.18066406","5.3125","-3.09375","2.09375"
"1574967172200","16","-0.046875","-0.85058594","-0.16796875","5.6875","-4.75","2.15625"
"1574967172200","17","-0.056640625","-0.8623047","-0.16796875","5.0","-2.84375","2.21875"
"1574967172200","18","-0.05078125","-0.8623047","-0.171875","3.71875","-2.15625","1.84375"
"1574967172201","19","-0.03125","-0.85253906","-0.17578125","1.84375","-4.0625","1.46875"
"1574967172396","20","-0.030273438","-0.8496094","-0.16308594","3.0","-5.03125","1.28125"
"1574967172397","21","-0.049804688","-0.8701172","-0.16503906","2.3125","-5.53125","0.9375"
"1574967172397","22","-0.0390625","-0.8701172","-0.16210938","3.3125","-7.0625","1.96875"
"1574967172397","23","-0.034179688","-0.8515625","-0.18457031","12.40625","-2.21875","2.28125"
"1574967172397","24","-0.06640625","-0.8486328","-0.13574219","-3.96875","-1.8125","0.375"
"1574967172399","25","-0.026367188","-0.8720703","-0.17871094","6.15625","-1.8125","1.40625"
"1574967172399","26","-0.0390625","-0.8652344","-0.17089844","3.375","-3.6875","1.28125"
"1574967172399","27","-0.06542969","-0.8564453","-0.140625","5.1875","-1.875","0.8125"
"1574967172399","28","-0.047851562","-0.8701172","-0.15625","4.34375","-1.875","1.34375"
"1574967172399","29","-0.053710938","-0.859375","-0.15625","5.3125","-2.96875","1.78125"
"1574967172794","30","-0.051757812","-0.8671875","-0.14550781","4.40625","-3.34375","2.625"
"1574967172795","31","-0.064453125","-0.8623047","-0.13085938","3.59375","-2.71875","2.03125"
"1574967172795","32","-0.041015625","-0.8828125","-0.15332031","3.90625","-3.15625","1.15625"
"1574967172795","33","-0.038085938","-0.87109375","-0.13769531","4.09375","-7.78125","0.9375"
"1574967172795","34","-0.05859375","-0.86621094","-0.12695312","2.5","-9.3125","0.25"
"1574967172796","35","-0.06640625","-0.88964844","-0.123046875","2.75","-7.34375","-0.25"
"1574967172796","36","-0.05859375","-0.88183594","-0.13574219","4.8125","-9.5625","0.3125"
"1574967172798","37","-0.07324219","-0.87597656","-0.119140625","6.21875","-9.875","1.09375"
"1574967172798","38","-0.080078125","-0.8828125","-0.11035156","6.53125","-7.40625","1.78125"
"1574967172799","39","-0.068359375","-0.8847656","-0.11230469","6.28125","-5.15625","1.84375"
"1574967173192","40","-0.07324219","-0.88378906","-0.09277344","8.25","-6.5625","2.8125"
"1574967173192","41","-0.06933594","-0.8808594","-0.10644531","5.5625","-4.375","3.125"
"1574967173193","42","-0.057617188","-0.8857422","-0.10839844","4.46875","-5.65625","2.34375"
"1574967173193","43","-0.08691406","-0.8496094","-0.10058594","3.65625","-6.3125","2.625"
"1574967173193","44","-0.09082031","-0.8408203","-0.09375","9.09375","-5.40625","3.71875"
"1574967173193","45","-0.083984375","-0.81347656","-0.091796875","5.1875","-3.4375","4.9375"
"1574967173194","46","-0.06738281","-0.8798828","-0.10058594","-0.78125","0.21875","-0.59375"
"1574967173194","47","-0.076171875","-0.93652344","-0.11035156","-2.4375","1.625","1.96875"
"1574967173194","48","-0.11425781","-1.0117188","-0.099609375","-0.78125","6.4375","2.75"
"1574967173195","49","-0.051757812","-0.9238281","-0.2607422","18.6875","-1.875","9.90625"
"1574967173788","50","-0.046875","-0.70214844","-0.05859375","3.46875","-15.28125","3.375"
"1574967173789","51","-0.17480469","-0.66015625","-0.05859375","12.875","-8.03125","-2.90625"
"1574967173789","52","-0.08300781","-0.76171875","-0.09472656","8.4375","2.78125","-3.90625"
"1574967173790","53","-0.056640625","-0.79785156","-0.09277344","-11.46875","11.4375","-8.15625"
"1574967173790","54","-0.07128906","-0.9003906","-0.078125","-9.75","11.5","-4.1875"
"1574967173790","55","-0.053710938","-0.90722656","-0.09765625","-16.0625","11.625","-4.8125"
"1574967173790","56","-0.06542969","-0.9375","-0.1171875","-14.65625","7.96875","-5.0"
"1574967173791","57","-0.061523438","-0.8310547","-0.12890625","-6.40625","-0.34375","-0.90625"
"1574967173791","58","-0.038085938","-0.7910156","-0.14746094","-8.3125","-1.375","-4.875"
"1574967173791","59","-0.059570312","-0.90625","-0.13867188","-6.96875","-2.21875","-3.40625"
"1574967173988","60","-0.055664062","-0.8515625","-0.13867188","-3.28125","-5.78125","-0.71875"
"1574967173990","61","-0.0625","-0.8466797","-0.14550781","0.4375","-5.84375","-3.65625"
"1574967173990","62","-0.056640625","-0.828125","-0.14160156","0.96875","-2.59375","-4.03125"
"1574967173991","63","-0.020507812","-0.8417969","-0.1171875","-3.96875","-3.34375","-1.40625"
"1574967173991","64","-0.07324219","-0.8173828","-0.115234375","1.21875","-6.5625","-0.40625"
"1574967173991","65","-0.03125","-0.8017578","-0.1328125","-0.5","-5.59375","0.3125"
"1574967173991","66","-0.049804688","-0.7998047","-0.11035156","3.90625","-6.5","2.09375"
"1574967173992","67","-0.10253906","-0.76171875","-0.12207031","8.25","-10.96875","3.90625"
"1574967173992","68","-0.076171875","-0.7597656","-0.17578125","-1.21875","-10.46875","3.65625"
"1574967173992","69","-0.015625","-0.8798828","-0.09375","-4.9375","-5.03125","1.78125"
"1574967174386","70","-0.11328125","-0.87597656","-0.12207031","13.5625","-14.0","7.34375"
"1574967174386","71","0.021484375","-0.98046875","-0.25878906","-37.40625","5.53125","-1.21875"
"1574967174386","72","-0.076171875","-1.5966797","-0.11230469","-8.78125","11.25","-15.5"
"1574967174388","73","0.0126953125","-0.75878906","-0.33984375","28.875","-41.78125","15.8125"
"1574967174388","74","-0.0546875","-0.31054688","-0.095703125","27.28125","-15.125","-0.84375"
"1574967174388","75","-0.1875","-0.9404297","-0.087890625","2.625","19.125","6.0"
"1574967174389","76","-0.078125","-1.1259766","-0.20703125","-18.1875","13.875","-0.0625"
"1574967174389","77","0.040039062","-0.83496094","-0.18261719","-12.375","-8.6875","0.9375"
"1574967174389","78","-0.0234375","-0.7363281","-0.16894531","10.25","4.25","2.03125"
"1574967174389","79","-0.055664062","-0.9482422","-0.17089844","10.6875","5.65625","2.4375"
"1574967174782","80","-0.037109375","-0.8232422","-0.16503906","-4.75","0.46875","-0.71875"
"1574967174782","81","-0.03515625","-0.86328125","-0.1640625","0.6875","2.65625","-1.28125"
"1574967174782","82","-0.036132812","-0.88671875","-0.17089844","4.59375","0.40625","1.78125"
"1574967174783","83","-0.015625","-0.8222656","-0.16308594","3.3125","-3.4375","1.40625"
"1574967174783","84","-0.0146484375","-0.86816406","-0.171875","1.03125","-3.40625","-1.28125"
"1574967174787","85","-0.015625","-0.8701172","-0.18261719","2.8125","-7.1875","-0.0625"
