"# PR data"
"# Start time: 20191128T194923"
"# Subject: santi"
"# Activity type: Knee extension"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574966963910","0","-0.016601562","-0.85839844","-0.16992188","0.5625","-4.96875","0.375"
"1574966963911","1","-0.015625","-0.8642578","-0.16113281","1.78125","-3.625","1.03125"
"1574966963911","2","-0.01171875","-0.8515625","-0.16503906","1.78125","-4.625","0.8125"
"1574966963911","3","9.765625E-4","-0.86035156","-0.17773438","1.59375","-4.96875","1.28125"
"1574966963911","4","-9.765625E-4","-0.8798828","-0.16601562","0.6875","-4.78125","1.84375"
"1574966963911","5","-0.0048828125","-0.8671875","-0.17285156","1.15625","-5.53125","1.34375"
"1574966963912","6","-0.0068359375","-0.86035156","-0.17773438","1.65625","-3.625","1.21875"
"1574966963912","7","-0.026367188","-0.8691406","-0.17285156","-2.4375","-3.28125","0.6875"
"1574966963912","8","-0.016601562","-0.85058594","-0.17773438","-0.59375","-2.96875","1.96875"
"1574966963912","9","-0.00390625","-0.8564453","-0.17480469","1.71875","-0.875","3.125"
"1574966964305","10","-0.028320312","-0.87402344","-0.18066406","-1.21875","-1.3125","2.15625"
"1574966964305","11","-0.028320312","-0.8613281","-0.1796875","-0.125","-0.65625","2.625"
"1574966964306","12","-0.018554688","-0.8623047","-0.18164062","-0.375","-1.0","2.6875"
"1574966964307","13","-0.020507812","-0.8642578","-0.18457031","-0.53125","1.5625","2.5"
"1574966964307","14","-0.0078125","-0.8613281","-0.18261719","-2.75","1.25","3.25"
"1574966964307","15","-0.0146484375","-0.8623047","-0.15917969","-1.21875","-3.21875","3.5"
"1574966964308","16","-0.0234375","-0.82714844","-0.19726562","6.90625","-1.5625","4.46875"
"1574966964308","17","-0.021484375","-0.85546875","-0.14648438","-3.28125","-4.25","0.4375"
"1574966964308","18","-0.0029296875","-0.85546875","-0.20800781","2.25","-4.5625","0.1875"
"1574966964308","19","-0.03515625","-0.87597656","-0.18261719","-0.1875","-6.3125","-0.34375"
"1574966964704","20","-0.018554688","-0.8564453","-0.1796875","-1.8125","-7.125","-2.25"
"1574966964705","21","-0.038085938","-0.859375","-0.19140625","-0.5","-8.59375","-0.25"
"1574966964705","22","-0.052734375","-0.86035156","-0.19042969","0.96875","-5.15625","2.34375"
"1574966964705","23","-0.020507812","-0.86621094","-0.19238281","3.90625","-4.0625","2.625"
"1574966964705","24","-0.041015625","-0.8613281","-0.19921875","0.6875","-5.84375","2.28125"
"1574966964707","25","-0.022460938","-0.8544922","-0.20117188","0.25","-3.75","0.5"
"1574966964707","26","-0.01953125","-0.87597656","-0.18554688","-1.9375","-0.28125","0.3125"
"1574966964707","27","-0.028320312","-0.86621094","-0.18261719","-3.0","-1.25","0.5"
"1574966964708","28","-0.01953125","-0.86035156","-0.18652344","-1.9375","-2.125","-0.59375"
"1574966964708","29","-0.036132812","-0.8574219","-0.1875","-3.21875","-2.53125","-1.03125"
"1574966965101","30","-0.030273438","-0.8564453","-0.19335938","-3.90625","-0.09375","-1.03125"
"1574966965101","31","-0.036132812","-0.85546875","-0.20117188","-2.875","1.78125","-3.03125"
"1574966965102","32","-0.016601562","-0.8701172","-0.21679688","-0.5","0.6875","-4.5625"
"1574966965102","33","-0.009765625","-0.85546875","-0.22070312","-4.21875","-2.96875","-5.78125"
"1574966965103","34","-0.018554688","-0.8671875","-0.20507812","-7.0","-1.75","-2.3125"
"1574966965103","35","-0.0087890625","-0.8691406","-0.23632812","-6.15625","-3.875","-2.4375"
"1574966965103","36","-0.017578125","-0.8828125","-0.23828125","-3.65625","0.9375","4.90625"
"1574966965104","37","0.034179688","-0.8417969","-0.28515625","4.875","-5.90625","2.5"
"1574966965104","38","0.00390625","-0.8330078","-0.19238281","-4.6875","-10.90625","2.21875"
"1574966965104","39","-0.024414062","-0.82128906","-0.234375","-6.15625","0.625","3.0"
"1574966965498","40","-0.013671875","-0.8691406","-0.23730469","-0.96875","-2.65625","-0.53125"
"1574966965498","41","0.0","-0.8378906","-0.234375","-5.71875","-5.71875","-1.8125"
"1574966965499","42","-0.02734375","-0.8544922","-0.24804688","-3.65625","-1.625","-1.34375"
"1574966965499","43","-0.0078125","-0.87109375","-0.25195312","-1.78125","1.0625","-2.3125"
"1574966965499","44","-0.016601562","-0.86816406","-0.26367188","2.5625","-1.75","-0.78125"
"1574966965499","45","-0.015625","-0.8486328","-0.23730469","0.0","-1.4375","-0.25"
"1574966965500","46","0.0087890625","-0.82714844","-0.2548828","2.8125","-1.5625","-0.71875"
"1574966965500","47","-0.015625","-0.85546875","-0.234375","3.71875","1.0625","0.875"
"1574966965500","48","0.0146484375","-0.8486328","-0.25","-1.40625","-1.5625","-2.625"
"1574966965501","49","0.018554688","-0.8496094","-0.25097656","0.125","-0.15625","-1.09375"
"1574966965896","50","-0.03125","-0.88378906","-0.24414062","3.40625","-0.40625","-0.34375"
"1574966965897","51","0.041992188","-0.828125","-0.26464844","4.40625","-5.09375","-0.125"
"1574966965897","52","-0.005859375","-0.8652344","-0.2109375","6.03125","1.25","2.4375"
"1574966965897","53","-0.0048828125","-0.8408203","-0.24316406","4.28125","-4.4375","0.75"
"1574966965898","54","0.048828125","-0.8203125","-0.25683594","3.84375","-1.3125","1.0"
"1574966965898","55","-0.044921875","-0.8876953","-0.21679688","-1.53125","0.9375","-2.125"
"1574966965898","56","0.0048828125","-0.8232422","-0.25683594","-1.78125","-2.84375","-1.34375"
"1574966965898","57","-0.009765625","-0.8964844","-0.21191406","4.71875","1.625","1.46875"
"1574966965899","58","-0.02734375","-0.8720703","-0.21386719","2.75","-4.3125","0.8125"
"1574966965899","59","0.013671875","-0.8359375","-0.25976562","12.53125","-0.71875","3.5"
"1574966966491","60","-0.021484375","-0.8671875","-0.19335938","0.90625","-3.21875","-0.84375"
"1574966966492","61","0.072265625","-0.8408203","-0.29882812","-0.0625","-5.40625","-2.8125"
"1574966966492","62","0.0078125","-0.8847656","-0.22265625","-4.21875","-2.15625","-1.9375"
"1574966966493","63","0.046875","-0.82714844","-0.2783203","-5.5625","-7.90625","-2.875"
"1574966966493","64","0.040039062","-0.8779297","-0.25976562","-3.46875","-4.75","-3.46875"
"1574966966493","65","0.05078125","-0.8388672","-0.2685547","-0.78125","-13.46875","-1.53125"
"1574966966493","66","-9.765625E-4","-0.83691406","-0.24414062","0.96875","0.875","2.09375"
"1574966966494","67","-0.020507812","-0.88671875","-0.2421875","-1.21875","-5.34375","-1.46875"
"1574966966494","68","0.033203125","-0.7841797","-0.25976562","-1.15625","-7.78125","2.09375"
"1574966966494","69","-0.0107421875","-0.8828125","-0.24023438","-1.28125","0.34375","1.28125"
"1574966966691","70","0.0068359375","-0.87402344","-0.23632812","-0.59375","-3.75","0.4375"
"1574966966691","71","-0.0048828125","-0.84472656","-0.24707031","0.375","-2.59375","0.4375"
"1574966966692","72","0.0234375","-0.8457031","-0.26757812","-0.5","-3.09375","1.21875"
"1574966966693","73","0.01171875","-0.85546875","-0.24902344","0.375","-0.9375","1.71875"
"1574966966693","74","0.0146484375","-0.8378906","-0.2626953","-0.53125","-2.96875","-0.1875"
"1574966966694","75","0.032226562","-0.82714844","-0.2685547","-0.5","-4.6875","0.75"
"1574966966694","76","-0.021484375","-0.8691406","-0.24511719","-3.21875","-0.21875","-0.90625"
"1574966966694","77","0.018554688","-0.8300781","-0.2705078","-1.03125","-3.625","1.78125"
"1574966966694","78","-0.0048828125","-0.8642578","-0.26171875","0.625","-2.84375","0.75"
"1574966966694","79","0.0146484375","-0.8408203","-0.2626953","0.75","-4.75","1.0"
"1574966967088","80","0.020507812","-0.8544922","-0.27929688","4.03125","-3.40625","3.0625"
"1574966967089","81","0.021484375","-0.84277344","-0.33203125","3.0","-10.46875","1.71875"
"1574966967089","82","-0.001953125","-0.83984375","-0.20117188","3.40625","-4.0","2.4375"
"1574966967090","83","-0.001953125","-0.84277344","-0.28710938","0.0","0.875","0.3125"
"1574966967090","84","0.0390625","-0.8378906","-0.27441406","3.46875","-3.9375","0.3125"
"1574966967094","85","-0.0146484375","-0.8671875","-0.22949219","-0.65625","0.5","0.1875"
"1574966967095","86","0.00390625","-0.8330078","-0.25","-3.78125","-2.28125","-4.5625"
"1574966967095","87","0.040039062","-0.8339844","-0.27441406","-0.375","-0.84375","-0.71875"
"1574966967100","88","0.020507812","-0.8935547","-0.27246094","3.78125","0.15625","-1.5625"
"1574966967100","89","-0.005859375","-0.8623047","-0.24804688","6.34375","-5.03125","-4.3125"
"1574966967485","90","0.022460938","-0.8222656","-0.26660156","6.21875","-1.8125","-2.8125"
"1574966967486","91","0.06933594","-0.8935547","-0.27148438","6.65625","-3.4375","-4.875"
"1574966967486","92","0.041015625","-0.8691406","-0.24414062","2.125","-10.53125","-6.40625"
"1574966967487","93","0.037109375","-0.8154297","-0.25097656","7.09375","-5.09375","-2.75"
"1574966967487","94","0.0078125","-0.9121094","-0.2685547","6.34375","-4.625","-3.03125"
"1574966967487","95","0.08105469","-0.7988281","-0.24121094","3.0","-7.90625","0.4375"
"1574966967487","96","-0.0087890625","-0.85253906","-0.23242188","1.40625","-5.34375","1.09375"
"1574966967488","97","0.038085938","-0.8046875","-0.22558594","2.25","-8.28125","-4.375"
"1574966967488","98","0.0234375","-0.8251953","-0.24023438","-2.0","-3.03125","-3.71875"
"1574966967488","99","0.0234375","-0.8828125","-0.2548828","-4.15625","0.09375","-3.46875"
"1574966967883","100","0.048828125","-0.8808594","-0.27441406","-1.40625","2.09375","-1.5625"
"1574966967884","101","0.057617188","-0.88964844","-0.26367188","-2.0","-0.65625","-0.53125"
"1574966967884","102","0.037109375","-0.8261719","-0.2705078","0.0625","-0.65625","2.21875"
"1574966967884","103","0.033203125","-0.8300781","-0.26757812","-2.5625","-0.21875","2.9375"
"1574966967885","104","0.053710938","-0.8300781","-0.22460938","5.5625","1.1875","4.40625"
"1574966967885","105","0.025390625","-0.85058594","-0.24414062","-0.90625","2.03125","2.21875"
"1574966967885","106","0.041015625","-0.8652344","-0.2763672","4.46875","1.75","2.15625"
"1574966967886","107","0.041992188","-0.85839844","-0.25683594","4.40625","1.125","2.5"
"1574966967886","108","0.0546875","-0.8378906","-0.26171875","2.09375","1.375","1.34375"
"1574966967887","109","0.032226562","-0.83691406","-0.25585938","4.03125","1.75","0.25"
"1574966968281","110","0.041992188","-0.8388672","-0.25195312","2.1875","2.34375","1.15625"
"1574966968282","111","0.0390625","-0.8574219","-0.21875","3.78125","2.71875","1.40625"
"1574966968282","112","0.020507812","-0.85546875","-0.23730469","1.84375","0.03125","0.125"
"1574966968282","113","0.041992188","-0.8671875","-0.24316406","4.34375","1.5625","1.28125"
"1574966968282","114","0.051757812","-0.8613281","-0.234375","6.40625","1.125","0.9375"
"1574966968283","115","0.046875","-0.85839844","-0.24414062","1.34375","0.03125","0.4375"
"1574966968283","116","0.05859375","-0.8574219","-0.23730469","5.1875","0.5625","-0.71875"
"1574966968283","117","0.043945312","-0.8378906","-0.25878906","6.21875","-0.53125","0.25"
"1574966968283","118","0.06542969","-0.8232422","-0.22851562","1.78125","1.75","-0.65625"
"1574966968284","119","0.045898438","-0.83203125","-0.22363281","4.8125","-1.125","-1.9375"
"1574966968677","120","0.029296875","-0.8535156","-0.20898438","0.3125","-0.53125","-0.96875"
"1574966968679","121","0.04296875","-0.8623047","-0.22070312","0.4375","-0.09375","-2.125"
"1574966968679","122","0.056640625","-0.8720703","-0.22265625","1.28125","-2.96875","-0.78125"
"1574966968679","123","0.05859375","-0.86621094","-0.23632812","0.8125","-2.90625","0.0"
"1574966968679","124","0.080078125","-0.84375","-0.24609375","2.4375","-4.84375","-0.28125"
"1574966968680","125","0.0703125","-0.8466797","-0.2265625","1.90625","-3.625","1.53125"
"1574966968680","126","0.07519531","-0.8564453","-0.24023438","1.71875","-5.15625","-2.3125"
"1574966968680","127","0.06347656","-0.8515625","-0.2109375","-2.1875","-5.21875","0.375"
"1574966968680","128","0.06933594","-0.859375","-0.21582031","3.71875","-2.53125","-0.53125"
"1574966968681","129","0.046875","-0.8408203","-0.2265625","-1.40625","-7.34375","-0.53125"
"1574966969272","130","0.05859375","-0.8457031","-0.22265625","3.0","-0.53125","1.59375"
"1574966969272","131","0.061523438","-0.86328125","-0.23144531","6.21875","-4.0625","2.28125"
"1574966969273","132","0.043945312","-0.84277344","-0.22363281","-0.71875","-4.25","4.34375"
"1574966969274","133","0.05859375","-0.8378906","-0.22558594","2.375","-3.5625","0.5625"
"1574966969274","134","0.059570312","-0.8564453","-0.23242188","-2.9375","-4.125","2.875"
"1574966969275","135","0.044921875","-0.86816406","-0.2265625","2.1875","-2.40625","3.375"
"1574966969275","136","0.040039062","-0.8515625","-0.22753906","3.46875","-4.4375","3.84375"
"1574966969275","137","0.044921875","-0.8671875","-0.23242188","6.28125","-3.875","5.3125"
"1574966969276","138","0.046875","-0.8359375","-0.22851562","4.34375","-4.375","3.90625"
"1574966969276","139","0.030273438","-0.8544922","-0.234375","5.25","-1.875","7.03125"
"1574966969473","140","0.026367188","-0.8457031","-0.21972656","3.65625","-6.4375","5.25"
"1574966969474","141","0.033203125","-0.8066406","-0.22460938","5.625","-4.78125","3.84375"
"1574966969474","142","0.009765625","-0.8730469","-0.22070312","1.46875","2.40625","3.96875"
"1574966969474","143","0.043945312","-0.86035156","-0.20800781","6.09375","-2.46875","-1.28125"
"1574966969474","144","0.043945312","-0.8251953","-0.2265625","7.28125","-7.71875","-1.34375"
"1574966969476","145","0.0029296875","-0.8955078","-0.19628906","0.90625","-4.125","2.15625"
"1574966969476","146","-0.0048828125","-0.87597656","-0.19140625","-1.03125","-7.78125","5.125"
"1574966969476","147","0.0625","-0.8925781","-0.20117188","1.03125","-15.15625","10.625"
"1574966969477","148","0.021484375","-0.89453125","-0.19824219","-6.53125","-16.34375","11.1875"
"1574966969477","149","0.0068359375","-0.84472656","-0.19824219","-10.5625","-6.75","8.90625"
"1574966969872","150","-0.0107421875","-0.85839844","-0.23535156","-7.75","-7.40625","6.46875"
"1574966969872","151","0.07128906","-0.81640625","-0.2607422","0.3125","-8.15625","4.46875"
"1574966969873","152","-0.020507812","-0.8574219","-0.23339844","-6.84375","-4.5","3.84375"
"1574966969873","153","-0.04296875","-0.84375","-0.20507812","3.78125","-9.375","4.59375"
"1574966969873","154","-0.0107421875","-0.82128906","-0.23925781","-9.15625","-2.71875","1.28125"
"1574966969873","155","-0.04296875","-0.87402344","-0.2734375","-2.1875","-0.9375","0.1875"
"1574966969873","156","-0.0107421875","-0.85058594","-0.25195312","-4.09375","-1.4375","-0.34375"
"1574966969875","157","0.018554688","-0.8652344","-0.26953125","-2.75","-3.6875","-2.1875"
"1574966969875","158","-0.0068359375","-0.86035156","-0.265625","-1.46875","-4.5","-3.84375"
"1574966969876","159","0.009765625","-0.83691406","-0.26171875","0.5625","-1.5","-1.875"
"1574966970269","160","0.0126953125","-0.8623047","-0.24023438","3.46875","-3.6875","-1.75"
"1574966970269","161","-0.0068359375","-0.83984375","-0.24414062","2.5625","-5.78125","-1.5625"
"1574966970270","162","0.0029296875","-0.8535156","-0.24707031","6.28125","-2.15625","0.5625"
"1574966970270","163","0.020507812","-0.86816406","-0.24804688","6.65625","-6.125","0.8125"
"1574966970270","164","0.022460938","-0.8300781","-0.26171875","2.8125","-8.46875","-0.84375"
"1574966970270","165","-0.017578125","-0.8544922","-0.22460938","0.96875","-0.21875","-1.53125"
"1574966970271","166","0.0029296875","-0.86621094","-0.23242188","1.34375","-3.5625","-0.90625"
"1574966970271","167","0.01953125","-0.83691406","-0.24804688","1.09375","-8.6875","-0.1875"
"1574966970271","168","-0.015625","-0.8730469","-0.23242188","2.125","-3.6875","1.15625"
"1574966970273","169","0.015625","-0.8535156","-0.2529297","3.90625","-7.59375","0.3125"
"1574966970666","170","0.00390625","-0.8564453","-0.23925781","1.84375","-3.09375","2.21875"
"1574966970666","171","0.0029296875","-0.85253906","-0.2548828","1.28125","-5.53125","1.09375"
"1574966970667","172","0.0126953125","-0.83496094","-0.25585938","0.375","-5.21875","0.8125"
"1574966970667","173","-0.00390625","-0.8642578","-0.23242188","1.34375","-2.96875","0.625"
"1574966970667","174","0.009765625","-0.8388672","-0.24609375","-1.21875","-3.625","-0.25"
"1574966970667","175","-0.0029296875","-0.8623047","-0.27734375","2.3125","-2.96875","0.0"
"1574966970668","176","0.0068359375","-0.828125","-0.22753906","-2.875","-9.625","-1.5625"
"1574966970668","177","0.01953125","-0.85546875","-0.26953125","-0.59375","2.03125","0.75"
"1574966970668","178","-0.0078125","-0.90234375","-0.23339844","3.3125","-3.09375","0.9375"
"1574966970669","179","0.020507812","-0.7988281","-0.26660156","-5.4375","-5.46875","0.5625"
"1574966971263","180","0.018554688","-0.86816406","-0.27441406","0.3125","0.21875","1.15625"
"1574966971264","181","0.00390625","-0.8691406","-0.24902344","0.1875","-0.71875","1.21875"
"1574966971265","182","0.018554688","-0.82421875","-0.2685547","3.46875","-4.375","1.71875"
"1574966971265","183","-0.001953125","-0.8330078","-0.23828125","0.3125","-0.09375","2.625"
"1574966971265","184","-0.017578125","-0.86621094","-0.23632812","3.90625","0.6875","2.5"
"1574966971266","185","0.028320312","-0.82714844","-0.2607422","5.8125","-5.65625","3.1875"
"1574966971266","186","0.0029296875","-0.85253906","-0.25390625","3.96875","-3.6875","2.8125"
"1574966971266","187","-0.009765625","-0.8564453","-0.25585938","6.46875","-3.5625","2.75"
"1574966971267","188","-0.0107421875","-0.8496094","-0.23632812","4.34375","-2.15625","2.4375"
"1574966971267","189","-0.020507812","-0.86328125","-0.23925781","2.25","-1.3125","2.09375"
"1574966971460","190","-0.0126953125","-0.8515625","-0.24121094","3.0","-1.3125","3.3125"
"1574966971461","191","-0.016601562","-0.87109375","-0.22753906","7.3125","-0.28125","3.5625"
"1574966971461","192","-0.018554688","-0.85058594","-0.23144531","5.75","0.75","2.5"
"1574966971463","193","9.765625E-4","-0.8359375","-0.234375","4.09375","1.90625","1.78125"
"1574966971463","194","-0.01953125","-0.8671875","-0.21386719","3.40625","3.375","0.25"
"1574966971463","195","0.0107421875","-0.8535156","-0.22753906","-0.53125","-0.9375","-2.96875"
"1574966971464","196","-0.024414062","-0.8857422","-0.18066406","2.6875","3.875","-1.875"
"1574966971464","197","-0.026367188","-0.8515625","-0.23730469","6.28125","0.8125","-5.90625"
"1574966971464","198","0.015625","-0.84277344","-0.19433594","-10.5625","-3.875","-8.59375"
"1574966971464","199","0.057617188","-0.8720703","-0.26464844","-9.21875","-0.59375","-10.96875"
