"# PR data"
"# Start time: 20191128T195734"
"# Subject: santi"
"# Activity type: Leg slide"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574967454224","0","-0.026367188","-0.8828125","-0.19140625","-2.75","-6.1875","0.9375"
"1574967454225","1","-0.0390625","-0.84472656","-0.16601562","0.375","-8.03125","0.5"
"1574967454225","2","-0.09082031","-0.8808594","-0.16699219","-0.0625","-7.34375","1.0"
"1574967454225","3","-0.045898438","-0.8515625","-0.20800781","4.65625","-2.78125","1.0"
"1574967454225","4","-0.057617188","-0.8671875","-0.16113281","-6.71875","-6.03125","0.875"
"1574967454226","5","-0.056640625","-0.8466797","-0.19726562","-2.0","-2.34375","0.5"
"1574967454226","6","-0.059570312","-0.8623047","-0.19921875","1.46875","-3.625","1.53125"
"1574967454226","7","-0.049804688","-0.87109375","-0.18554688","-3.40625","-4.125","0.5625"
"1574967454227","8","-0.0546875","-0.8564453","-0.17773438","-0.5","-6.1875","0.9375"
"1574967454227","9","-0.03515625","-0.82910156","-0.16796875","3.0","-6.625","1.78125"
"1574967454623","10","-0.043945312","-0.8466797","-0.15527344","0.3125","-4.3125","3.96875"
"1574967454623","11","-0.060546875","-0.91796875","-0.17675781","-2.3125","0.03125","3.3125"
"1574967454624","12","-0.034179688","-0.8876953","-0.21484375","-1.15625","-3.5625","5.8125"
"1574967454625","13","-0.041992188","-0.828125","-0.16601562","3.0625","-6.8125","7.34375"
"1574967454625","14","-0.087890625","-0.8466797","-0.15917969","1.53125","-4.25","7.03125"
"1574967454626","15","-0.0859375","-0.8798828","-0.19140625","1.84375","-5.28125","5.75"
"1574967454626","16","-0.08105469","-0.8535156","-0.20800781","1.34375","-6.25","5.9375"
"1574967454626","17","-0.0703125","-0.84765625","-0.21191406","-1.09375","-6.375","2.34375"
"1574967454627","18","-0.053710938","-0.8408203","-0.20800781","-3.0625","-6.125","1.46875"
"1574967454627","19","-0.10058594","-0.88183594","-0.18457031","-2.75","-2.90625","4.53125"
"1574967455020","20","-0.12988281","-0.87597656","-0.20410156","-0.125","2.03125","11.25"
"1574967455021","21","-0.12988281","-0.8935547","-0.19726562","6.71875","2.84375","15.6875"
"1574967455021","22","-0.12207031","-0.8642578","-0.21484375","7.5625","3.625","17.40625"
"1574967455021","23","-0.09863281","-0.85839844","-0.19824219","3.1875","7.21875","15.4375"
"1574967455021","24","-0.109375","-0.8808594","-0.19335938","3.1875","4.125","12.09375"
"1574967455023","25","-0.07421875","-0.7832031","-0.20410156","7.03125","0.46875","7.28125"
"1574967455023","26","-0.15917969","-0.8388672","-0.15917969","-1.40625","3.5","6.34375"
"1574967455023","27","-0.17578125","-0.8828125","-0.19921875","6.84375","7.78125","5.75"
"1574967455023","28","-0.07421875","-0.86816406","-0.21679688","2.25","1.5625","5.0625"
"1574967455024","29","-0.13476562","-0.8613281","-0.16601562","0.5","0.875","4.65625"
"1574967455418","30","-0.18164062","-0.81347656","-0.18554688","4.15625","-1.25","5.25"
"1574967455419","31","-0.12109375","-0.8515625","-0.2265625","1.03125","1.5625","2.09375"
"1574967455419","32","-0.19433594","-0.86328125","-0.19335938","1.03125","1.84375","5.125"
"1574967455419","33","-0.17578125","-0.8544922","-0.20996094","0.84375","7.53125","2.03125"
"1574967455419","34","-0.16503906","-0.89453125","-0.19921875","2.09375","6.1875","6.125"
"1574967455419","35","-0.17675781","-0.8310547","-0.23046875","-1.40625","2.59375","4.84375"
"1574967455420","36","-0.14550781","-0.8359375","-0.23730469","-0.59375","1.25","3.0625"
"1574967455421","37","-0.16992188","-0.8574219","-0.23339844","1.21875","-1.9375","1.34375"
"1574967455421","38","-0.15136719","-0.8339844","-0.22070312","0.625","-6.25","1.59375"
"1574967455422","39","-0.18554688","-0.84277344","-0.20117188","2.03125","-8.53125","1.21875"
"1574967456210","40","-0.21289062","-0.80859375","-0.18066406","3.125","-4.78125","1.78125"
"1574967456211","41","-0.17285156","-0.875","-0.21289062","7.625","-4.6875","-2.625"
"1574967456211","42","-0.17675781","-0.88378906","-0.19140625","2.9375","-1.6875","-4.375"
"1574967456212","43","-0.16699219","-0.85839844","-0.17382812","3.84375","-0.46875","-2.3125"
"1574967456212","44","-0.13085938","-0.8310547","-0.203125","2.4375","-4.4375","-4.875"
"1574967456212","45","-0.119140625","-0.8261719","-0.21386719","3.25","-8.46875","-7.125"
"1574967456212","46","-0.13085938","-0.8359375","-0.17285156","0.75","-8.9375","-9.375"
"1574967456213","47","-0.15625","-0.87597656","-0.1640625","10.5625","-10.28125","-8.65625"
"1574967456213","48","-0.11328125","-0.8310547","-0.17285156","6.15625","-12.5","-11.28125"
"1574967456215","49","-0.13769531","-0.8339844","-0.15917969","13.8125","-9.125","-11.34375"
"1574967456408","50","-0.13378906","-0.86621094","-0.14941406","12.15625","-8.53125","-10.5"
"1574967456409","51","-0.061523438","-0.8857422","-0.15332031","8.96875","-8.09375","-14.40625"
"1574967456409","52","-0.13867188","-0.9296875","-0.1484375","7.8125","-12.25","-12.0"
"1574967456409","53","-0.12792969","-0.87890625","-0.17480469","3.0625","-12.78125","-9.15625"
"1574967456410","54","-0.10839844","-0.8183594","-0.18261719","5.1875","-12.0625","-7.5"
"1574967456410","55","-0.1015625","-0.8457031","-0.15527344","6.0","-10.09375","-8.90625"
