"# PR data"
"# Start time: 20191128T195046"
"# Subject: santi"
"# Activity type: Squats"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574967047183","0","-0.06347656","-0.890625","-0.18066406","-0.59375","-18.21875","-13.65625"
"1574967047184","1","-0.047851562","-0.87890625","-0.18945312","2.3125","-14.5625","-5.25"
"1574967047184","2","0.0","-0.85058594","-0.21484375","3.40625","-14.5","-1.09375"
"1574967047185","3","-0.0234375","-0.87402344","-0.18359375","-3.71875","-12.0","3.375"
"1574967047185","4","-0.095703125","-0.8564453","-0.14257812","-4.75","-7.25","6.25"
"1574967047185","5","-0.07910156","-0.890625","-0.17578125","-0.65625","-10.78125","6.28125"
"1574967047186","6","-0.0546875","-0.89160156","-0.18359375","-6.21875","-9.75","8.75"
"1574967047186","7","-0.095703125","-0.8691406","-0.19335938","-6.21875","-10.21875","4.09375"
"1574967047186","8","-0.08203125","-0.8623047","-0.16992188","-2.9375","-6.125","3.90625"
"1574967047186","9","-0.051757812","-0.87109375","-0.18261719","-9.75","0.09375","2.6875"
"1574967047381","10","-0.0546875","-0.875","-0.2265625","-6.96875","-4.78125","0.9375"
"1574967047381","11","-0.049804688","-0.8046875","-0.23144531","2.09375","-6.5","0.5"
"1574967047382","12","-0.037109375","-0.8544922","-0.17675781","-11.15625","-3.28125","-4.3125"
"1574967047383","13","-0.09375","-0.8408203","-0.2265625","-3.96875","-4.75","-7.375"
"1574967047384","14","-0.07324219","-0.83496094","-0.24316406","-1.21875","-0.46875","-4.4375"
"1574967047384","15","-0.0703125","-0.8720703","-0.23828125","-2.125","-1.5","-9.03125"
"1574967047384","16","-0.001953125","-0.84472656","-0.25390625","10.8125","-6.125","-7.0625"
"1574967047384","17","0.028320312","-0.87890625","-0.20507812","12.46875","-8.34375","-4.4375"
"1574967047385","18","-0.061523438","-0.8779297","-0.19335938","3.375","-12.71875","-3.28125"
"1574967047385","19","-0.037109375","-0.8544922","-0.22949219","13.3125","-19.25","-0.65625"
"1574967047578","20","-0.0048828125","-0.8925781","-0.1875","16.0625","-17.0625","3.5625"
"1574967047578","21","-0.0087890625","-0.86035156","-0.14941406","2.125","-9.5","4.21875"
"1574967047578","22","-0.044921875","-0.8154297","-0.17675781","3.90625","-8.9375","3.5"
"1574967047578","23","0.0126953125","-0.8847656","-0.18652344","7.21875","-9.0625","4.28125"
"1574967047579","24","-0.051757812","-0.83203125","-0.20800781","14.90625","-18.53125","7.15625"
"1574967047580","25","-0.06933594","-0.8652344","-0.17382812","14.96875","-14.25","4.59375"
"1574967047580","26","-0.119140625","-0.8642578","-0.15820312","21.125","-8.9375","4.46875"
"1574967047580","27","-0.09667969","-0.86816406","-0.07128906","-2.25","8.09375","1.46875"
"1574967047581","28","-0.087890625","-0.8515625","-0.11816406","-1.53125","6.0625","0.0"
"1574967047581","29","-0.033203125","-0.8671875","-0.20507812","12.9375","2.96875","-2.3125"
"1574967047781","30","-0.0625","-0.8857422","-0.14160156","-14.21875","4.53125","-1.28125"
"1574967047781","31","-0.018554688","-0.8300781","-0.13671875","-3.96875","4.59375","-0.90625"
"1574967047781","32","-0.025390625","-0.8251953","-0.17675781","0.75","2.34375","-1.6875"
"1574967047782","33","-0.05078125","-0.8535156","-0.21777344","8.625","-7.46875","-1.46875"
"1574967047782","34","-0.13964844","-0.8955078","-0.14257812","15.8125","-8.40625","-2.1875"
"1574967047782","35","-0.15332031","-0.83984375","-0.13085938","-4.4375","0.28125","-9.9375"
"1574967047782","36","-0.0234375","-0.82910156","-0.19628906","17.9375","14.78125","-20.0625"
"1574967047785","37","0.043945312","-0.95410156","-0.24414062","45.84375","1.4375","-3.28125"
"1574967047785","38","0.12890625","-0.9160156","-0.022460938","18.375","-17.90625","2.5"
"1574967047786","39","0.07910156","-0.7451172","0.17675781","-8.3125","10.40625","7.15625"
"1574967048177","40","-0.05078125","-0.9013672","0.01171875","-0.5","43.71875","7.09375"
"1574967048178","41","0.17773438","-0.91308594","-0.1015625","-10.0625","37.1875","12.21875"
"1574967048178","42","0.13671875","-0.8261719","0.03515625","-36.96875","6.3125","13.625"
"1574967048178","43","-0.0703125","-0.9824219","-0.30664062","-4.34375","-40.3125","10.1875"
"1574967048178","44","0.01953125","-1.0410156","-0.234375","-18.5","-53.25","4.21875"
"1574967048179","45","-0.14648438","-0.7138672","-0.10839844","3.84375","-60.40625","0.0"
"1574967048179","46","-0.17773438","-0.6972656","-0.21289062","23.9375","-56.3125","13.4375"
"1574967048179","47","-0.12890625","-0.7861328","-0.24414062","13.625","-35.5625","12.53125"
"1574967048179","48","-0.20507812","-0.86816406","-0.17871094","12.625","-26.875","9.28125"
"1574967048180","49","-0.2626953","-0.82128906","-0.11816406","14.65625","-8.8125","3.78125"
"1574967048575","50","-0.21289062","-0.9355469","-0.0625","17.875","13.5","7.21875"
"1574967048575","51","-0.14453125","-0.9296875","-0.0390625","11.34375","6.3125","8.8125"
"1574967048575","52","-0.055664062","-0.7421875","-0.057617188","-3.0625","8.09375","2.8125"
"1574967048576","53","-0.10449219","-0.9033203","-0.11230469","-9.9375","16.875","-0.96875"
"1574967048576","54","-0.055664062","-0.9609375","-0.11621094","-1.09375","10.03125","-4.5"
"1574967048576","55","-0.046875","-0.8261719","-0.12890625","-2.0","0.15625","-5.84375"
"1574967048576","56","-0.03515625","-0.7871094","-0.078125","0.90625","3.03125","-7.875"
"1574967048577","57","-0.08886719","-0.9082031","-0.08984375","1.21875","4.90625","-4.3125"
"1574967048577","58","-0.08203125","-0.8544922","-0.07519531","-9.28125","11.3125","-7.8125"
"1574967048577","59","-0.01953125","-0.859375","-0.11328125","-15.5625","8.6875","-8.90625"
"1574967048974","60","-0.04296875","-0.8779297","-0.13671875","-6.65625","-0.65625","-8.15625"
"1574967048976","61","-0.08886719","-0.87890625","-0.15136719","-7.125","1.3125","-6.03125"
"1574967048976","62","-0.06347656","-0.85058594","-0.15527344","-2.0625","7.78125","-2.625"
"1574967048977","63","-0.0625","-0.86035156","-0.15429688","3.3125","6.5625","-2.6875"
"1574967048977","64","-0.036132812","-0.8574219","-0.16308594","10.8125","-5.40625","-4.1875"
"1574967048977","65","-0.076171875","-0.77441406","-0.2548828","4.875","-50.875","7.625"
"1574967048977","66","-0.1328125","-0.8339844","-0.047851562","-3.59375","-24.4375","23.625"
"1574967048978","67","-0.0234375","-0.7011719","-0.16796875","8.84375","13.34375","16.0625"
"1574967048978","68","0.028320312","-0.7402344","-0.24121094","19.40625","15.96875","18.625"
"1574967048978","69","-0.01953125","-0.73535156","-0.16601562","16.25","9.5","26.5"
"1574967049371","70","-0.06640625","-0.7158203","-0.08300781","12.03125","20.84375","22.34375"
"1574967049372","71","-0.095703125","-0.7294922","-0.0546875","18.5","17.71875","16.625"
"1574967049372","72","-0.17871094","-0.71484375","0.061523438","31.6875","6.5","16.90625"
"1574967049374","73","-0.3203125","-0.70410156","-0.005859375","13.90625","1.75","10.4375"
"1574967049374","74","-0.11621094","-0.8574219","-0.00390625","-2.0","16.1875","4.28125"
"1574967049374","75","-0.14941406","-1.0888672","-0.021484375","-4.15625","-6.625","0.5625"
"1574967049375","76","-0.19042969","-0.9091797","-0.123046875","-34.0625","-14.0","-9.8125"
"1574967049375","77","-0.107421875","-0.77734375","-0.103515625","-4.34375","-13.78125","-14.03125"
"1574967049375","78","-0.17871094","-0.88183594","-0.017578125","-8.125","-4.0625","-0.96875"
"1574967049375","79","-0.16308594","-1.1660156","-0.15820312","-10.0","-1.0","-15.375"
"1574967049770","80","-0.08203125","-1.0478516","-0.14355469","-24.34375","-19.1875","-11.21875"
"1574967049770","81","-0.16503906","-0.6767578","-0.14355469","-3.15625","-14.75","-3.40625"
"1574967049771","82","-0.099609375","-0.86328125","-0.12011719","5.4375","-3.9375","-10.4375"
"1574967049771","83","-0.11328125","-0.9785156","-0.13769531","-11.34375","-9.875","-0.84375"
"1574967049771","84","-0.1953125","-0.8076172","-0.14453125","-13.53125","-2.40625","-10.78125"
"1574967049772","85","-0.076171875","-0.9238281","-0.09765625","-10.5625","-1.875","-10.0"
"1574967049773","86","-0.10253906","-0.84472656","-0.16210938","-16.125","-6.6875","-9.9375"
"1574967049773","87","-0.11816406","-0.88964844","-0.17089844","-16.40625","1.84375","-14.8125"
"1574967049774","88","-0.033203125","-0.9189453","-0.15527344","-18.78125","-4.90625","-9.9375"
"1574967049774","89","-0.032226562","-0.8125","-0.22363281","-11.78125","-7.78125","-7.5625"
"1574967050165","90","-0.025390625","-0.6982422","-0.26464844","-11.34375","2.03125","1.84375"
"1574967050165","91","-0.047851562","-0.8378906","-0.18359375","-0.84375","9.65625","5.25"
"1574967050165","92","-0.24414062","-0.9423828","-0.24414062","8.4375","1.4375","-9.8125"
"1574967050166","93","-0.10253906","-0.8339844","-0.26367188","7.15625","1.125","-12.1875"
"1574967050166","94","0.0859375","-0.8486328","-0.1953125","14.96875","3.6875","2.4375"
