"# PR data"
"# Start time: 20191027T153502"
"# Subject: seb"
"# Activity type: Knee extension"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1572190502219","0","0.07519531","-1.0126953","-0.12890625","-0.09375","-5.96875","-2.46875"
"1572190502219","1","0.0146484375","-1.0371094","-0.12207031","19.78125","-0.5","-0.3125"
"1572190502220","2","-0.024414062","-1.0244141","-0.10644531","15.34375","1.71875","3.46875"
"1572190502222","3","-0.02734375","-0.9667969","-0.11230469","4.78125","-1.84375","4.8125"
"1572190502223","4","-0.03125","-0.9248047","-0.109375","-1.9375","-0.6875","5.46875"
"1572190502223","5","-0.02734375","-0.95703125","-0.12207031","-7.78125","2.0625","3.53125"
"1572190502224","6","-0.0107421875","-1.0136719","-0.15136719","-10.21875","0.5","0.90625"
"1572190502224","7","0.022460938","-1.0371094","-0.15820312","-11.75","-3.65625","-3.8125"
"1572190502224","8","0.018554688","-1.0390625","-0.18261719","-7.0625","-4.21875","-5.625"
"1572190502224","9","0.051757812","-1.0058594","-0.20214844","-1.9375","-8.5625","-8.1875"
"1572190502423","10","0.038085938","-1.0107422","-0.1953125","0.15625","-4.21875","-7.78125"
"1572190502423","11","0.036132812","-1.0009766","-0.16503906","-4.0","-5.0625","-5.75"
"1572190502424","12","0.051757812","-0.9550781","-0.22949219","1.5","-4.03125","-5.6875"
"1572190502424","13","0.009765625","-0.98535156","-0.16894531","-8.78125","-5.6875","-5.25"
"1572190502424","14","0.030273438","-0.9628906","-0.17773438","-5.96875","-3.3125","-4.53125"
"1572190502425","15","0.05078125","-1.0048828","-0.18847656","3.0625","-2.3125","-4.03125"
"1572190502425","16","0.026367188","-0.9550781","-0.18945312","-2.71875","-2.125","-2.75"
"1572190502425","17","0.041992188","-0.97265625","-0.20605469","0.15625","-1.59375","-2.09375"
"1572190502425","18","0.049804688","-0.9785156","-0.21875","1.375","-0.625","-0.625"
"1572190502426","19","0.06933594","-0.9765625","-0.2109375","-0.78125","0.59375","0.28125"
"1572190502818","20","0.0625","-0.98828125","-0.20410156","-1.625","-1.59375","-1.0"
"1572190502819","21","0.043945312","-0.9814453","-0.20214844","0.4375","-1.09375","-0.125"
"1572190502819","22","0.047851562","-0.98535156","-0.18261719","0.03125","-2.3125","0.53125"
"1572190502819","23","0.045898438","-0.9814453","-0.203125","0.03125","-0.96875","1.21875"
"1572190502819","24","0.052734375","-0.9873047","-0.20214844","0.21875","-2.125","0.46875"
"1572190502821","25","0.0546875","-0.97558594","-0.22265625","0.6875","-0.375","0.53125"
"1572190502821","26","0.040039062","-0.98339844","-0.19042969","-6.21875","-1.53125","-0.625"
"1572190502821","27","0.076171875","-0.99609375","-0.22753906","3.875","0.375","2.25"
"1572190502825","28","0.045898438","-0.98535156","-0.18066406","-5.28125","-3.25","-1.84375"
"1572190502825","29","0.060546875","-0.9824219","-0.20605469","0.15625","-3.84375","-0.625"
"1572190503215","30","0.06542969","-1.0019531","-0.22167969","0.21875","-4.40625","0.53125"
"1572190503216","31","0.05859375","-0.9609375","-0.21484375","-2.90625","-4.9375","2.0"
"1572190503216","32","0.047851562","-0.9658203","-0.22460938","-1.1875","-6.15625","2.4375"
"1572190503216","33","0.041015625","-0.9716797","-0.234375","-0.09375","-3.59375","1.625"
"1572190503217","34","0.038085938","-0.96777344","-0.23339844","-1.9375","-3.0","0.96875"
"1572190503217","35","0.06933594","-0.984375","-0.23242188","-1.03125","-2.25","-0.1875"
"1572190503217","36","0.05078125","-0.97753906","-0.23046875","1.4375","-2.375","-0.0625"
"1572190503218","37","0.043945312","-0.98046875","-0.23339844","0.03125","-1.21875","0.0"
"1572190503219","38","0.05078125","-0.9589844","-0.22949219","-0.59375","-2.03125","0.09375"
"1572190503219","39","0.059570312","-0.9716797","-0.23632812","-0.28125","-2.625","0.09375"
"1572190503615","40","0.040039062","-0.9941406","-0.21972656","1.0625","-2.75","0.96875"
"1572190503615","41","0.045898438","-0.97265625","-0.27441406","4.65625","0.0","0.71875"
"1572190503615","42","0.029296875","-0.9902344","-0.19726562","-2.59375","-3.84375","1.4375"
"1572190503616","43","0.032226562","-0.9667969","-0.22851562","1.0625","-0.625","0.84375"
"1572190503616","44","0.056640625","-0.98828125","-0.25097656","3.3125","-0.1875","0.53125"
"1572190503616","45","0.056640625","-0.9814453","-0.23046875","-2.53125","-3.0","0.53125"
"1572190503617","46","0.044921875","-0.96484375","-0.20703125","-3.875","-3.78125","-0.25"
"1572190503617","47","0.053710938","-0.97753906","-0.22558594","-0.21875","-4.53125","0.34375"
"1572190503617","48","0.057617188","-0.97753906","-0.2421875","-3.59375","-7.09375","0.21875"
"1572190503619","49","0.061523438","-0.984375","-0.25","-2.0","-6.84375","1.21875"
"1572190504012","50","0.032226562","-0.9873047","-0.25","-1.625","-6.59375","0.65625"
"1572190504013","51","0.06542969","-0.9609375","-0.296875","2.40625","-2.375","2.0625"
"1572190504013","52","0.09472656","-0.9980469","-0.2783203","3.125","-2.375","0.21875"
"1572190504013","53","0.059570312","-0.9638672","-0.27441406","-0.71875","-1.46875","-0.3125"
"1572190504014","54","0.046875","-0.98535156","-0.24414062","2.03125","1.65625","2.0"
"1572190504014","55","0.06738281","-0.9472656","-0.29589844","9.84375","0.0625","2.0625"
"1572190504014","56","-0.0087890625","-0.9501953","-0.18261719","1.5","8.40625","0.71875"
"1572190504014","57","0.018554688","-0.9589844","-0.24609375","5.8125","7.75","1.03125"
"1572190504015","58","0.045898438","-0.99316406","-0.25390625","5.28125","4.625","0.34375"
"1572190504015","59","-0.005859375","-0.9814453","-0.20800781","0.21875","6.90625","1.15625"
"1572190504802","60","0.001953125","-0.96777344","-0.22167969","0.6875","7.875","0.90625"
"1572190504803","61","0.064453125","-0.97265625","-0.22851562","5.15625","-0.1875","2.78125"
"1572190504804","62","0.07910156","-0.9736328","-0.21386719","-3.75","-1.84375","0.0"
"1572190504805","63","0.06347656","-1.0019531","-0.234375","-0.53125","-2.875","-1.125"
"1572190504805","64","0.11230469","-1.0039062","-0.25878906","2.34375","-9.65625","0.15625"
"1572190504805","65","0.06640625","-0.9707031","-0.25585938","-0.28125","-9.59375","1.625"
"1572190504806","66","0.07519531","-0.97753906","-0.25878906","1.71875","-8.0","2.0625"
"1572190504806","67","0.1015625","-0.9658203","-0.24316406","-2.0","-9.46875","0.40625"
"1572190504806","68","0.022460938","-0.97265625","-0.23730469","-4.0","-8.125","2.0"
"1572190504806","69","0.030273438","-0.9814453","-0.23828125","9.53125","-1.59375","3.59375"
"1572190505000","70","-0.022460938","-0.9501953","-0.203125","2.40625","0.1875","2.71875"
"1572190505001","71","-0.0029296875","-0.9550781","-0.24316406","10.40625","1.9375","3.65625"
"1572190505001","72","0.032226562","-0.97558594","-0.25","7.28125","1.34375","0.09375"
"1572190505002","73","-0.030273438","-0.9550781","-0.22070312","2.40625","10.1875","-0.9375"
"1572190505002","74","0.048828125","-0.95410156","-0.22070312","3.625","3.59375","-3.25"
"1572190505002","75","0.0390625","-0.95703125","-0.24414062","-2.375","1.59375","-7.15625"
"1572190505002","76","0.09082031","-1.0058594","-0.24511719","-9.875","2.25","-7.40625"
"1572190505003","77","0.08203125","-1.0","-0.24121094","-7.71875","-3.71875","-8.25"
"1572190505003","78","0.0859375","-1.0019531","-0.25976562","-4.4375","-6.28125","-1.71875"
"1572190505003","79","0.07714844","-0.984375","-0.24511719","0.03125","-5.1875","-0.125"
"1572190505204","80","0.07324219","-0.96777344","-0.24804688","4.59375","-8.5","0.59375"
"1572190505204","81","0.044921875","-0.9550781","-0.25195312","2.78125","-4.21875","0.53125"
"1572190505204","82","0.06347656","-0.98535156","-0.23242188","-2.3125","-4.28125","-0.5625"
"1572190505205","83","0.07421875","-0.9746094","-0.2705078","6.4375","-0.625","-0.5"
"1572190505205","84","0.051757812","-0.9765625","-0.2265625","-4.96875","0.3125","-4.15625"
"1572190505205","85","0.0625","-0.97265625","-0.24707031","0.3125","3.53125","-1.0625"
"1572190505206","86","0.07910156","-0.9746094","-0.25390625","2.78125","2.9375","1.625"
"1572190505206","87","0.06542969","-0.9667969","-0.2578125","-0.90625","0.71875","1.6875"
"1572190505206","88","0.07324219","-0.96191406","-0.26757812","-0.03125","-0.375","2.125"
"1572190505207","89","0.0703125","-0.9736328","-0.25585938","0.5","-0.625","2.90625"
"1572190505604","90","0.06933594","-0.96972656","-0.26171875","0.6875","-2.875","1.3125"
"1572190505604","91","0.06933594","-0.9716797","-0.2548828","3.125","-1.78125","3.21875"
"1572190505604","92","0.068359375","-0.9716797","-0.25390625","5.8125","-3.1875","3.53125"
"1572190505605","93","0.057617188","-0.96777344","-0.24023438","3.9375","-5.625","4.0"
"1572190505605","94","0.036132812","-0.9423828","-0.2529297","2.9375","-2.75","4.4375"
"1572190505606","95","0.045898438","-0.9794922","-0.2685547","2.65625","0.0","2.1875"
"1572190505606","96","0.07519531","-0.96777344","-0.28515625","2.03125","-0.75","1.28125"
"1572190505607","97","0.044921875","-0.97265625","-0.26464844","-6.15625","-6.28125","-1.71875"
"1572190505607","98","0.07519531","-0.9863281","-0.27246094","0.03125","-8.4375","1.3125"
"1572190505608","99","0.033203125","-0.95703125","-0.25195312","-5.65625","-4.53125","-0.875"
"1572190506194","100","0.07714844","-0.96777344","-0.2763672","0.09375","-4.09375","-1.0625"
"1572190506194","101","0.040039062","-0.9658203","-0.26367188","-5.03125","-3.34375","0.40625"
"1572190506194","102","0.044921875","-0.9472656","-0.23828125","-3.59375","-0.5625","1.09375"
"1572190506195","103","0.041992188","-0.97265625","-0.26953125","1.0","-1.34375","0.09375"
"1572190506195","104","0.0546875","-0.9824219","-0.24609375","4.0625","-4.46875","1.09375"
"1572190506195","105","0.0146484375","-0.96972656","-0.24804688","4.71875","-1.53125","1.28125"
"1572190506195","106","0.046875","-0.984375","-0.27246094","6.78125","2.3125","2.96875"
"1572190506196","107","0.072265625","-0.96191406","-0.26464844","2.9375","0.5625","3.40625"
"1572190506196","108","0.052734375","-0.95214844","-0.28222656","2.71875","2.6875","3.9375"
"1572190506197","109","0.07128906","-0.97753906","-0.2890625","1.96875","3.53125","3.34375"
"1572190506398","110","0.072265625","-0.984375","-0.24902344","-1.6875","-2.8125","1.5625"
"1572190506398","111","0.068359375","-0.9736328","-0.2685547","0.75","-4.59375","1.3125"
"1572190506399","112","0.029296875","-0.9511719","-0.31445312","2.71875","2.0625","0.53125"
"1572190506399","113","0.07714844","-1.0009766","-0.22363281","-2.65625","-4.6875","2.0"
"1572190506399","114","0.048828125","-0.9453125","-0.2626953","-1.25","-7.375","1.375"
"1572190506399","115","0.059570312","-0.98339844","-0.31152344","7.03125","-4.03125","2.25"
"1572190506400","116","0.059570312","-0.9707031","-0.28515625","1.90625","-4.6875","1.75"
"1572190506400","117","0.044921875","-0.9628906","-0.2685547","0.15625","-8.125","2.96875"
"1572190506400","118","0.051757812","-0.9580078","-0.27929688","4.78125","-4.9375","2.5"
"1572190506400","119","0.017578125","-0.9628906","-0.24316406","1.375","-4.9375","3.59375"
"1572190506793","120","0.0234375","-0.9580078","-0.2421875","3.125","-2.1875","3.65625"
"1572190506794","121","0.0146484375","-0.9746094","-0.2578125","6.0625","-0.125","2.3125"
"1572190506794","122","0.0146484375","-0.9746094","-0.23632812","3.0625","3.0625","1.6875"
"1572190506794","123","0.013671875","-0.9638672","-0.2529297","2.03125","4.09375","1.3125"
"1572190506794","124","0.0146484375","-0.96875","-0.23828125","-1.0625","3.96875","0.15625"
"1572190506795","125","0.03515625","-0.94140625","-0.26757812","1.71875","2.4375","0.15625"
"1572190506795","126","0.03515625","-1.0068359","-0.2607422","-2.40625","0.59375","-1.3125"
"1572190506795","127","0.060546875","-0.96972656","-0.26660156","-1.5","-5.96875","-1.25"
"1572190506795","128","0.057617188","-0.97265625","-0.26367188","-2.65625","-5.5","-4.46875"
"1572190506796","129","0.049804688","-0.9863281","-0.31640625","3.875","-4.9375","-3.5625"
"1572190507388","130","0.057617188","-0.9814453","-0.296875","0.3125","-5.5","-0.6875"
"1572190507388","131","0.052734375","-0.93847656","-0.27148438","4.65625","-8.90625","0.53125"
"1572190507388","132","0.02734375","-0.9609375","-0.2939453","10.28125","-0.75","2.59375"
"1572190507390","133","-0.00390625","-0.9921875","-0.28710938","4.0","1.875","2.25"
"1572190507390","134","0.078125","-0.9746094","-0.24316406","2.28125","0.59375","1.15625"
"1572190507391","135","0.017578125","-0.9501953","-0.22460938","8.375","6.65625","-1.34375"
"1572190507391","136","0.043945312","-0.9482422","-0.18554688","8.3125","8.0","1.28125"
"1572190507391","137","0.046875","-0.96777344","-0.19238281","2.46875","1.40625","-1.25"
"1572190507392","138","0.015625","-0.96191406","-0.22753906","0.9375","6.09375","-2.03125"
"1572190507392","139","0.044921875","-0.97558594","-0.21582031","-6.5625","5.0","-0.4375"
"1572190507589","140","0.08300781","-0.9736328","-0.22949219","-7.65625","-5.375","1.09375"
"1572190507589","141","0.07128906","-0.96875","-0.33398438","-4.125","-2.4375","-3.0625"
"1572190507589","142","0.052734375","-1.0234375","-0.26757812","-13.09375","-0.1875","-4.46875"
"1572190507590","143","0.076171875","-0.9560547","-0.28320312","-11.875","-2.125","-4.46875"
"1572190507590","144","0.08886719","-0.9394531","-0.32421875","-0.46875","-4.03125","-2.40625"
"1572190507591","145","0.049804688","-0.9609375","-0.2998047","1.65625","2.0625","-1.96875"
"1572190507591","146","0.046875","-0.95410156","-0.29589844","0.625","1.46875","-0.375"
"1572190507592","147","0.060546875","-0.97265625","-0.30664062","3.3125","-2.5625","-0.6875"
"1572190507592","148","0.040039062","-0.953125","-0.27539062","1.3125","-4.40625","-0.875"
"1572190507592","149","0.06933594","-0.96777344","-0.2705078","1.1875","-2.375","-1.0"
"1572190507987","150","0.07519531","-0.96777344","-0.2861328","3.0","-4.8125","-0.4375"
"1572190507988","151","0.057617188","-0.9589844","-0.2705078","2.78125","-3.84375","0.28125"
"1572190507988","152","0.06738281","-0.97558594","-0.27246094","3.625","-1.21875","0.46875"
"1572190507988","153","0.09082031","-0.95996094","-0.2763672","2.28125","-3.3125","0.84375"
"1572190507989","154","0.07421875","-0.95996094","-0.28125","2.15625","-4.28125","0.84375"
"1572190507989","155","0.087890625","-0.98046875","-0.265625","4.125","-2.75","1.15625"
"1572190507989","156","0.07519531","-0.9423828","-0.31640625","6.3125","-0.90625","-1.1875"
"1572190507990","157","0.034179688","-0.9707031","-0.24121094","-1.6875","-0.75","0.28125"
"1572190507991","158","0.06738281","-0.9580078","-0.2548828","-0.15625","-1.21875","0.0"
"1572190507991","159","0.091796875","-0.9814453","-0.3203125","3.875","-1.96875","0.90625"
"1572190508777","160","0.07128906","-0.9667969","-0.29003906","-4.3125","-4.03125","1.6875"
"1572190508778","161","0.046875","-0.94628906","-0.2783203","-3.09375","-3.59375","1.375"
"1572190508778","162","0.07910156","-0.9609375","-0.2890625","3.5625","-2.5","0.90625"
"1572190508778","163","0.044921875","-0.9638672","-0.2861328","1.375","-2.4375","2.0625"
"1572190508779","164","0.06347656","-0.9589844","-0.28222656","-1.03125","-3.53125","2.59375"
"1572190508779","165","0.09765625","-0.96191406","-0.3203125","1.5","-4.46875","0.53125"
"1572190508779","166","0.0625","-0.9716797","-0.2841797","1.90625","-2.375","-0.0625"
"1572190508779","167","0.059570312","-0.95214844","-0.29492188","1.4375","-3.40625","0.53125"
"1572190508780","168","0.0625","-0.9716797","-0.30078125","2.15625","-3.40625","-0.0625"
"1572190508782","169","0.0126953125","-0.9794922","-0.27441406","1.71875","-1.78125","1.3125"
"1572190508783","170","0.040039062","-0.9238281","-0.29296875","5.40625","1.34375","2.375"
"1572190508783","171","0.02734375","-0.92285156","-0.2939453","-1.375","0.375","0.03125"
"1572190508783","172","0.068359375","-0.9980469","-0.2705078","-2.59375","-0.90625","0.96875"
"1572190508784","173","0.04296875","-0.9765625","-0.23730469","-4.75","-5.0625","-1.34375"
"1572190508784","174","0.08691406","-1.0029297","-0.3232422","3.6875","-9.28125","1.15625"
"1572190508784","175","0.07714844","-0.9736328","-0.2841797","1.59375","-10.625","1.9375"
"1572190508784","176","0.052734375","-0.95214844","-0.3203125","1.96875","-14.78125","2.125"
"1572190508785","177","0.095703125","-0.93359375","-0.32226562","3.9375","-11.71875","2.0"
"1572190508785","178","0.046875","-0.953125","-0.32617188","3.375","-6.03125","-0.375"
"1572190508786","179","0.107421875","-0.9667969","-0.32617188","-0.21875","-9.71875","-1.3125"
"1572190509180","180","0.080078125","-0.94921875","-0.3173828","1.84375","-5.4375","-2.46875"
"1572190509181","181","0.030273438","-0.97265625","-0.28808594","1.90625","1.65625","0.34375"
"1572190509181","182","0.060546875","-0.9355469","-0.3125","6.0625","2.8125","0.78125"
"1572190509181","183","0.038085938","-0.98828125","-0.27148438","3.5625","5.75","1.3125"
"1572190509182","184","-0.0126953125","-0.93847656","-0.27148438","4.0625","0.90625","3.78125"
"1572190509182","185","0.040039062","-0.9472656","-0.28515625","6.625","1.71875","3.78125"
"1572190509182","186","0.046875","-0.98046875","-0.23535156","2.9375","-0.78125","3.15625"
"1572190509183","187","0.037109375","-0.93652344","-0.3203125","5.75","-4.28125","0.96875"
"1572190509183","188","0.0234375","-0.9736328","-0.23632812","-1.4375","-3.65625","0.15625"
"1572190509183","189","0.025390625","-0.9667969","-0.28125","1.65625","-0.6875","-0.25"
"1572190509577","190","0.060546875","-0.97265625","-0.2890625","3.375","-0.0625","-0.4375"
"1572190509578","191","0.038085938","-0.9550781","-0.27246094","1.59375","-1.34375","-0.375"
"1572190509578","192","0.07519531","-0.95996094","-0.27734375","1.78125","-2.0625","-0.625"
"1572190509579","193","0.076171875","-0.9814453","-0.27929688","2.875","-2.3125","0.0"
"1572190509580","194","0.057617188","-0.97265625","-0.28710938","-2.40625","-3.78125","0.65625"
"1572190509580","195","0.11328125","-0.99316406","-0.3017578","-1.5625","-7.5625","-1.1875"
"1572190509580","196","0.06738281","-0.9746094","-0.28515625","-2.1875","-5.875","-0.5"
"1572190509580","197","0.030273438","-0.9404297","-0.28222656","4.84375","-4.46875","1.3125"
"1572190509581","198","0.052734375","-0.9628906","-0.29003906","5.5625","-2.25","2.78125"
"1572190509581","199","0.043945312","-0.94921875","-0.27929688","5.5625","-0.5","1.4375"
"1572190509973","200","0.049804688","-0.9609375","-0.29589844","9.0","0.59375","3.84375"
"1572190509974","201","0.0078125","-0.9707031","-0.2763672","4.0625","2.5625","4.0625"
"1572190509974","202","-9.765625E-4","-0.94140625","-0.28125","12.40625","5.25","4.9375"
"1572190509975","203","-0.0126953125","-0.9316406","-0.23828125","7.90625","9.21875","2.0"
"1572190509975","204","0.034179688","-0.9589844","-0.2783203","6.6875","11.65625","-1.25"
"1572190509976","205","0.03125","-0.9921875","-0.24707031","-2.40625","7.625","-3.25"
"1572190509977","206","0.053710938","-0.9609375","-0.26757812","-4.96875","4.15625","-3.875"
"1572190509977","207","0.09277344","-1.0087891","-0.2763672","-4.25","2.0625","-4.96875"
"1572190509977","208","0.09082031","-0.98339844","-0.26953125","-3.28125","-1.53125","-2.40625"
"1572190509978","209","0.087890625","-0.96191406","-0.2685547","0.21875","-6.90625","-2.34375"
"1572190510373","210","0.08984375","-0.9794922","-0.28515625","5.8125","-9.875","-0.8125"
"1572190510374","211","0.06347656","-0.9628906","-0.28125","5.9375","-5.6875","1.15625"
"1572190510374","212","0.08203125","-0.9550781","-0.265625","6.375","-5.4375","1.21875"
"1572190510374","213","0.0703125","-0.9589844","-0.2607422","5.875","-1.53125","0.03125"
