"# PR data"
"# Start time: 20191027T153816"
"# Subject: seb"
"# Activity type: Shoulder press"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1572190696203","0","0.053710938","-0.8857422","0.06640625","-0.09375","-13.125","11.65625"
"1572190696204","1","0.022460938","-0.9501953","0.053710938","10.09375","-8.25","1.28125"
"1572190696204","2","0.015625","-1.0361328","-0.018554688","6.5","1.46875","-3.5625"
"1572190696205","3","0.0","-1.0419922","-0.04296875","-4.75","8.0625","2.3125"
"1572190696205","4","0.005859375","-1.046875","-0.03515625","-11.6875","11.78125","7.90625"
"1572190696208","5","-0.040039062","-0.96777344","-0.041992188","-6.9375","5.96875","8.46875"
"1572190696208","6","-0.0234375","-0.9707031","-0.0390625","4.15625","1.9375","10.46875"
"1572190696209","7","-9.765625E-4","-1.0351562","-0.060546875","2.59375","3.0625","9.3125"
"1572190696209","8","-0.044921875","-1.0146484","-0.037109375","-0.46875","-5.6875","6.9375"
"1572190696209","9","-0.055664062","-1.0244141","-0.0390625","-1.375","-9.59375","1.625"
"1572190696600","10","-0.072265625","-0.9892578","-0.044921875","-5.78125","-7.25","-3.0"
"1572190696601","11","-0.09863281","-0.9140625","-0.036132812","-8.15625","2.375","-2.875"
"1572190696601","12","-0.068359375","-0.95996094","-0.041992188","-0.34375","7.5625","-1.96875"
"1572190696602","13","-0.013671875","-1.0283203","-0.0546875","1.78125","-2.0625","4.1875"
"1572190696602","14","9.765625E-4","-1.0419922","-0.10058594","9.53125","-9.875","9.25"
"1572190696603","15","-0.049804688","-1.0175781","-0.036132812","-0.03125","-12.46875","9.125"
"1572190696603","16","-0.03515625","-0.9863281","-0.041015625","8.375","-10.4375","9.625"
"1572190696603","17","-0.041992188","-1.0166016","-0.059570312","5.625","-7.8125","9.25"
"1572190696604","18","-0.068359375","-0.99902344","-0.030273438","1.90625","-3.96875","7.0625"
"1572190696604","19","-0.080078125","-1.0048828","-0.02734375","3.0","-6.96875","6.5625"
"1572190697193","20","-0.06640625","-1.0126953","-0.036132812","3.25","-5.96875","6.75"
"1572190697194","21","-0.080078125","-1.0019531","-0.03125","2.65625","-5.6875","6.15625"
"1572190697194","22","-0.072265625","-0.99902344","-0.018554688","1.78125","-4.21875","4.8125"
"1572190697194","23","-0.06542969","-1.0019531","-0.02734375","1.90625","-6.09375","2.78125"
"1572190697194","24","-0.07519531","-0.99609375","-0.0234375","-0.65625","-4.59375","1.375"
"1572190697195","25","-0.083984375","-0.99316406","-0.026367188","-0.90625","-2.5625","0.09375"
"1572190697195","26","-0.072265625","-1.0029297","-0.03515625","-1.4375","-2.125","1.09375"
"1572190697195","27","-0.056640625","-1.0029297","-0.033203125","-1.25","-3.71875","0.90625"
"1572190697196","28","-0.045898438","-1.0019531","-0.038085938","-0.03125","-5.75","1.21875"
"1572190697196","29","-0.08300781","-0.9892578","-0.022460938","-5.90625","-6.78125","-1.46875"
"1572190697396","30","-0.041015625","-1.0244141","-0.041015625","1.53125","-4.9375","1.875"
"1572190697397","31","-0.10058594","-0.9794922","-0.005859375","-5.09375","-7.03125","-2.15625"
"1572190697397","32","-0.080078125","-1.0078125","-0.045898438","1.96875","-6.34375","-0.375"
"1572190697397","33","-0.056640625","-1.0048828","-0.03515625","1.0","-5.4375","0.09375"
"1572190697397","34","-0.08105469","-0.99609375","-0.034179688","2.78125","-6.84375","-0.5625"
"1572190697398","35","-0.072265625","-0.9980469","-0.038085938","2.46875","-5.1875","-0.875"
"1572190697398","36","-0.059570312","-1.0087891","-0.03125","3.1875","-3.59375","-1.78125"
"1572190697400","37","-0.0703125","-1.0039062","-0.034179688","5.34375","-2.625","-2.28125"
"1572190697401","38","-0.05859375","-0.9970703","-0.03125","6.4375","-2.625","-1.90625"
"1572190697401","39","-0.05078125","-1.0078125","-0.037109375","4.46875","-1.53125","-1.0625"
"1572190697990","40","-0.06640625","-1.0107422","-0.029296875","3.625","-1.28125","-0.6875"
"1572190697990","41","-0.06640625","-1.0185547","-0.015625","5.28125","-2.5","-0.1875"
"1572190697991","42","-0.043945312","-1.0117188","-0.030273438","1.3125","0.0625","-0.1875"
"1572190697991","43","-0.05859375","-0.9951172","-0.02734375","-2.1875","-0.84375","0.09375"
"1572190697991","44","-0.06933594","-0.9970703","-0.03125","3.8125","-2.25","0.71875"
"1572190697991","45","-0.08105469","-1.0136719","-0.021484375","-3.09375","-5.625","0.03125"
"1572190697991","46","-0.049804688","-1.015625","-0.043945312","4.125","-3.96875","0.78125"
"1572190697992","47","-0.064453125","-0.98535156","0.0048828125","-5.84375","-2.8125","-2.75"
"1572190697992","48","-0.0546875","-1.0009766","-0.03515625","1.65625","-6.53125","-1.25"
"1572190697994","49","-0.0146484375","-1.0019531","-0.047851562","-2.59375","-4.15625","-0.5625"
"1572190698190","50","-0.022460938","-1.0019531","-0.052734375","-3.6875","-5.3125","-1.1875"
"1572190698190","51","-0.037109375","-1.0","-0.07324219","-1.625","-7.25","-0.25"
"1572190698190","52","-0.0078125","-1.0742188","-0.08886719","10.03125","-14.96875","2.78125"
"1572190698190","53","-0.0126953125","-1.0273438","-0.021484375","-3.59375","-10.8125","5.65625"
"1572190698191","54","-0.06347656","-0.9453125","-0.005859375","-8.9375","-3.34375","5.40625"
"1572190698191","55","-0.06640625","-0.96484375","-0.016601562","-4.96875","4.03125","-0.25"
"1572190698191","56","-0.16113281","-0.9716797","-0.0146484375","-7.0","15.75","-5.75"
"1572190698191","57","-0.11035156","-1.0048828","-0.051757812","-9.1875","18.5","-8.9375"
"1572190698192","58","-0.0546875","-1.0371094","-0.083984375","-4.0","6.71875","-5.875"
"1572190698192","59","-0.024414062","-0.9970703","-0.049804688","1.90625","1.71875","-0.0625"
"1572190698587","60","-0.009765625","-1.0039062","-0.04296875","4.40625","3.0625","2.0"
"1572190698589","61","-0.0234375","-1.0136719","-0.07519531","9.125","-3.40625","4.125"
"1572190698589","62","-0.047851562","-0.9746094","-0.056640625","7.15625","-4.21875","4.4375"
"1572190698589","63","-0.03515625","-1.0126953","-0.053710938","14.125","-4.65625","6.28125"
"1572190698590","64","-0.055664062","-0.9980469","-0.018554688","1.59375","-0.375","2.65625"
"1572190698590","65","-0.051757812","-1.0136719","-0.061523438","7.34375","-3.0","3.78125"
"1572190698590","66","-0.052734375","-1.0078125","-0.034179688","-1.125","0.0625","2.0625"
