"# PR data"
"# Start time: 20191027T154117"
"# Subject: seb"
"# Activity type: Step ups"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1572190877663","0","-0.06933594","-1.0078125","0.005859375","-7.375","1.46875","4.8125"
"1572190877663","1","-0.08886719","-0.99609375","-0.018554688","-1.1875","-3.125","6.46875"
"1572190877664","2","-0.125","-0.98535156","-0.041992188","-1.03125","-0.96875","5.71875"
"1572190877664","3","-0.111328125","-0.98339844","-0.038085938","-2.40625","5.4375","4.6875"
"1572190877664","4","-0.07714844","-0.9951172","-0.030273438","1.78125","2.0625","4.6875"
"1572190877664","5","-0.07128906","-1.0039062","-0.029296875","3.5","-0.4375","3.65625"
"1572190877664","6","-0.08496094","-1.0","-0.0107421875","4.0","-2.1875","3.59375"
"1572190877665","7","-0.1015625","-0.9765625","-0.030273438","4.28125","-0.78125","4.75"
"1572190877665","8","-0.11328125","-0.9736328","-0.0087890625","-2.53125","2.3125","3.53125"
"1572190877665","9","-0.09375","-1.015625","-0.036132812","8.125","4.5625","4.1875"
"1572190878060","10","-0.10058594","-0.9863281","-0.01171875","-3.15625","7.9375","0.34375"
"1572190878060","11","-0.09472656","-1.0234375","-0.051757812","5.875","2.125","2.84375"
"1572190878060","12","-0.09375","-1.0019531","-0.04296875","2.09375","-0.0625","3.59375"
"1572190878063","13","-0.123046875","-0.98535156","-0.037109375","3.625","-0.125","3.59375"
"1572190878064","14","-0.12207031","-1.0009766","-0.040039062","0.625","-0.6875","3.40625"
"1572190878064","15","-0.12402344","-0.9863281","-0.04296875","5.34375","-1.34375","3.78125"
"1572190878064","16","-0.13671875","-0.98535156","-0.0390625","5.9375","-7.21875","4.625"
"1572190878065","17","-0.125","-0.9970703","-0.034179688","3.25","-4.28125","3.09375"
"1572190878065","18","-0.12792969","-0.9873047","-0.03125","8.375","-5.625","5.65625"
"1572190878065","19","-0.13378906","-0.9794922","-0.028320312","6.4375","-9.28125","6.28125"
"1572190878457","20","-0.13867188","-0.9814453","-0.030273438","5.875","-4.03125","6.5"
"1572190878458","21","-0.10546875","-1.0117188","-0.0234375","7.28125","-4.09375","4.3125"
"1572190878458","22","-0.13476562","-1.0078125","-0.0048828125","4.65625","-3.46875","5.28125"
"1572190878458","23","-0.12988281","-1.0048828","-0.009765625","6.84375","-2.375","5.40625"
"1572190878458","24","-0.17675781","-0.9814453","9.765625E-4","0.25","0.5","1.5625"
"1572190878459","25","-0.16308594","-1.0","-0.0126953125","3.0625","2.9375","5.28125"
"1572190878460","26","-0.15527344","-0.9765625","0.018554688","-0.09375","5.75","3.46875"
"1572190878460","27","-0.13964844","-1.0009766","-0.032226562","7.78125","0.59375","3.46875"
"1572190878460","28","-0.13183594","-0.98046875","-0.0126953125","7.53125","-4.15625","3.65625"
"1572190878460","29","-0.13476562","-0.9980469","0.0078125","6.84375","-4.03125","1.21875"
"1572190878853","30","-0.15332031","-0.98535156","0.0029296875","6.1875","-6.03125","1.03125"
"1572190878854","31","-0.17480469","-1.0019531","-0.0048828125","2.875","-3.59375","0.59375"
"1572190878854","32","-0.14746094","-0.98046875","0.0107421875","3.1875","-2.375","0.65625"
"1572190878854","33","-0.13574219","-0.96875","0.032226562","6.75","-8.96875","2.375"
"1572190878855","34","-0.109375","-0.9970703","0.041015625","9.65625","-6.71875","1.375"
"1572190878855","35","-0.123046875","-0.99609375","0.08886719","5.40625","-2.8125","-0.3125"
"1572190878855","36","-0.13964844","-1.0068359","0.07421875","1.90625","-5.625","2.3125"
"1572190878856","37","-0.119140625","-1.0107422","0.029296875","2.03125","-2.03125","2.125"
"1572190878856","38","-0.115234375","-0.9902344","0.029296875","-2.53125","1.78125","7.25"
"1572190878857","39","-0.17382812","-0.9658203","0.047851562","-1.5","-4.75","7.5"
"1572190879252","40","-0.19433594","-0.9746094","0.024414062","8.4375","0.375","8.96875"
"1572190879252","41","-0.20800781","-0.9609375","0.04296875","-0.03125","2.125","6.09375"
"1572190879252","42","-0.14160156","-0.9707031","0.0","11.625","3.15625","7.375"
"1572190879253","43","-0.17089844","-1.0078125","0.033203125","6.1875","1.65625","5.125"
"1572190879253","44","-0.17382812","-0.9628906","0.049804688","2.59375","1.59375","5.34375"
"1572190879253","45","-0.22851562","-1.0214844","0.043945312","2.84375","4.40625","7.125"
"1572190879253","46","-0.26171875","-0.9863281","0.055664062","3.1875","11.03125","11.875"
"1572190879254","47","-0.29003906","-0.921875","0.03125","7.21875","13.125","18.28125"
"1572190879254","48","-0.2861328","-0.953125","-0.0078125","16.0","23.25","14.9375"
"1572190879255","49","-0.20507812","-1.0615234","-0.0546875","12.34375","26.3125","7.8125"
"1572190879649","50","-0.14550781","-1.015625","-9.765625E-4","10.75","19.40625","10.375"
"1572190879650","51","-0.16699219","-0.9980469","0.001953125","12.34375","22.21875","8.59375"
"1572190879650","52","-0.16992188","-1.0029297","-0.0087890625","9.0625","19.71875","11.21875"
"1572190879650","53","-0.19433594","-0.94921875","-0.005859375","5.8125","16.53125","12.375"
"1572190879651","54","-0.2109375","-0.96484375","-0.0068359375","5.625","15.125","13.15625"
"1572190879651","55","-0.23339844","-0.9404297","-0.034179688","4.65625","11.03125","11.75"
"1572190879651","56","-0.234375","-0.9736328","-0.016601562","6.3125","8.84375","10.125"
"1572190879651","57","-0.23339844","-0.9501953","-0.036132812","0.9375","10.0","5.90625"
"1572190879651","58","-0.21777344","-0.96191406","-0.076171875","6.0","8.78125","2.4375"
"1572190879652","59","-0.23339844","-0.97265625","-0.0703125","2.46875","6.78125","-0.625"
"1572190880048","60","-0.26757812","-0.9746094","-0.03515625","8.9375","2.125","-3.375"
"1572190880050","61","-0.23730469","-0.9746094","0.009765625","20.59375","-2.8125","0.09375"
"1572190880050","62","-0.3359375","-1.0107422","0.018554688","24.8125","-3.53125","-1.59375"
"1572190880051","63","-0.23925781","-1.140625","0.029296875","23.59375","-7.5","-0.6875"
"1572190880051","64","-0.29785156","-1.2626953","0.061523438","19.4375","-11.28125","-10.34375"
"1572190880051","65","-0.41308594","-1.3798828","0.15234375","15.84375","-16.0","-9.96875"
"1572190880051","66","-0.36523438","-1.2958984","0.1875","12.46875","-32.53125","-7.15625"
"1572190880052","67","-0.15917969","-0.96191406","0.22851562","9.0","-47.0625","-1.53125"
"1572190880052","68","-0.28125","-0.80078125","0.34277344","-4.5625","-43.21875","-3.1875"
"1572190880052","69","-0.30078125","-0.8955078","0.23632812","-2.78125","-26.125","-17.34375"
"1572190880445","70","-0.21972656","-0.8847656","0.23535156","-20.375","-22.875","-20.78125"
"1572190880445","71","-0.20214844","-0.8964844","0.19921875","-17.4375","-21.375","-16.5"
"1572190880446","72","-0.15039062","-0.88671875","0.16601562","-17.5","-24.78125","-23.875"
"1572190880447","73","-0.123046875","-0.85546875","0.10546875","-12.5625","-31.875","-20.40625"
"1572190880448","74","-0.11621094","-0.79296875","0.11230469","-14.625","-28.125","-14.96875"
"1572190880448","75","-0.11035156","-0.7763672","0.111328125","-17.5625","-22.03125","-12.78125"
"1572190880448","76","-0.119140625","-0.8339844","0.12011719","-10.53125","-17.53125","-14.0"
"1572190880448","77","-0.14941406","-0.8964844","0.123046875","-12.75","-4.53125","-16.625"
"1572190880449","78","-0.091796875","-0.9394531","0.111328125","-16.46875","5.84375","-15.9375"
"1572190880449","79","-0.07324219","-0.9628906","0.11425781","-22.375","7.375","-17.90625"
"1572190880841","80","-0.0234375","-0.9951172","0.109375","-17.125","5.5625","-20.53125"
"1572190880842","81","-0.16210938","-1.1240234","0.001953125","-13.96875","13.5","-18.03125"
"1572190880842","82","-0.07519531","-1.0126953","-0.02734375","-8.09375","0.84375","-4.34375"
"1572190880842","83","-0.032226562","-0.8886719","0.001953125","-1.625","-11.71875","11.9375"
"1572190880842","84","-0.064453125","-0.98535156","0.12695312","0.8125","3.71875","4.5"
"1572190880844","85","-0.07128906","-0.92578125","0.09277344","16.5625","2.875","4.875"
"1572190880844","86","-0.10839844","-1.0185547","0.11328125","2.40625","1.78125","3.65625"
"1572190880844","87","-0.09863281","-0.96484375","0.10253906","3.3125","9.21875","8.46875"
"1572190880844","88","-0.12207031","-1.0292969","0.08691406","13.375","10.9375","6.46875"
"1572190880845","89","-0.13183594","-1.015625","0.0625","9.65625","17.21875","13.21875"
"1572190881239","90","-0.23144531","-0.94921875","0.076171875","7.78125","31.375","22.3125"
"1572190881239","91","-0.27441406","-0.8769531","0.109375","17.90625","31.96875","42.96875"
"1572190881240","92","-0.23242188","-0.8144531","0.095703125","35.65625","43.09375","56.3125"
"1572190881240","93","-0.14257812","-1.0175781","0.0068359375","39.28125","44.1875","32.53125"
"1572190881240","94","-0.11230469","-1.1855469","-0.08496094","16.625","15.5625","12.875"
"1572190881240","95","-0.140625","-0.95703125","0.072265625","11.96875","7.0625","21.09375"
"1572190881241","96","-0.20605469","-1.0253906","0.03125","10.53125","5.84375","10.46875"
"1572190881242","97","-0.19726562","-0.9453125","0.0146484375","1.84375","-2.4375","8.84375"
"1572190881242","98","-0.2548828","-0.88378906","0.021484375","-0.21875","-7.25","5.78125"
"1572190881242","99","-0.22753906","-0.7890625","0.08691406","-0.28125","-15.125","9.5625"
"1572190881637","100","-0.29785156","-0.70703125","0.06738281","10.46875","-17.40625","7.5625"
"1572190881638","101","-0.25878906","-0.71484375","0.12695312","5.28125","-14.03125","7.4375"
"1572190881638","102","-0.23046875","-0.6328125","0.0546875","8.375","-22.53125","0.40625"
"1572190881638","103","-0.1328125","-0.5830078","0.03125","33.65625","-30.53125","-4.71875"
"1572190881639","104","-0.3046875","-0.51464844","0.15722656","30.53125","-32.21875","12.0"
"1572190881639","105","-0.36328125","-0.7421875","0.15625","28.40625","-22.46875","5.125"
"1572190881639","106","-0.38671875","-1.3447266","0.43652344","24.9375","8.84375","-9.46875"
"1572190881639","107","-0.7392578","-1.4707031","0.54589844","24.875","16.28125","-2.53125"
"1572190881640","108","0.0078125","-1.6191406","0.25683594","40.1875","47.59375","5.40625"
"1572190881641","109","0.0078125","-1.5302734","0.3828125","19.3125","-36.8125","-26.5"
"1572190882035","110","-0.2421875","-1.2744141","0.3095703","-2.40625","-26.625","-13.875"
"1572190882035","111","-0.05078125","-0.9609375","0.30566406","-13.46875","-16.375","0.59375"
"1572190882036","112","-0.125","-0.9902344","0.22167969","-23.1875","-20.375","-14.71875"
"1572190882036","113","-0.103515625","-0.8847656","0.19335938","-27.1875","-16.1875","-12.09375"
"1572190882036","114","-0.1875","-0.87402344","0.19140625","-29.59375","-12.40625","-12.71875"
"1572190882036","115","-0.087890625","-0.8857422","0.16992188","-14.5","-15.0625","-10.9375"
"1572190882036","116","-0.12792969","-0.9736328","0.23046875","-25.5","-13.4375","-13.375"
"1572190882037","117","-0.12792969","-0.94140625","0.20214844","-19.15625","-4.75","-11.125"
"1572190882037","118","0.025390625","-0.99121094","0.19433594","-14.9375","-9.28125","-7.34375"
"1572190882037","119","-0.14550781","-0.9433594","0.17871094","-30.75","-3.65625","-9.71875"
"1572190882433","120","-0.068359375","-0.890625","0.14746094","-33.5","-0.96875","-6.96875"
"1572190882435","121","-0.13378906","-1.1191406","0.15234375","-24.6875","16.28125","-15.03125"
"1572190882435","122","-0.43164062","-1.1152344","0.016601562","-39.96875","33.6875","-3.8125"
"1572190882435","123","-0.15917969","-1.0517578","-0.13085938","-18.40625","10.1875","11.59375"
"1572190882436","124","0.14160156","-0.8417969","0.001953125","-10.96875","-7.5625","16.90625"
"1572190882436","125","-0.25683594","-0.8515625","0.13476562","-2.65625","0.0","11.15625"
"1572190882436","126","-0.23339844","-0.9824219","0.06640625","1.5","3.0","4.0625"
"1572190882436","127","-0.15332031","-1.0585938","-0.028320312","-9.8125","0.0","6.03125"
"1572190882437","128","-0.15625","-0.96191406","-0.020507812","-7.84375","-7.21875","7.0"
"1572190882437","129","-0.16308594","-0.9589844","-0.015625","-1.875","-3.0625","1.5"
"1572190882829","130","-0.19726562","-0.9824219","-0.055664062","10.8125","-1.28125","1.28125"
"1572190882829","131","-0.2529297","-0.9550781","0.0107421875","-0.84375","4.9375","1.375"
"1572190882830","132","-0.20898438","-0.95703125","-0.041992188","6.0625","4.21875","4.5625"
"1572190882831","133","-0.16015625","-0.97265625","-0.016601562","4.46875","7.1875","1.21875"
"1572190882831","134","-0.17480469","-0.9375","-0.0048828125","7.96875","5.84375","-2.28125"
"1572190882831","135","-0.12402344","-0.9609375","0.045898438","19.5","-9.78125","-2.46875"
"1572190882832","136","-0.091796875","-1.0009766","0.09277344","32.3125","-28.5625","3.78125"
"1572190882832","137","-0.13769531","-0.9345703","0.09863281","29.625","-38.875","11.15625"
"1572190882832","138","-0.09472656","-0.98046875","0.11425781","12.09375","-26.84375","18.34375"
"1572190882832","139","-0.17578125","-1.1914062","0.171875","9.25","-1.03125","2.5"
"1572190883228","140","-0.10253906","-1.0595703","0.056640625","7.84375","-14.90625","9.4375"
"1572190883228","141","-0.028320312","-1.0556641","0.041015625","9.25","-15.3125","5.84375"
"1572190883229","142","-0.15234375","-0.94140625","0.10546875","1.4375","-14.46875","3.78125"
"1572190883229","143","-0.10546875","-0.93359375","0.111328125","12.09375","-10.125","4.0625"
"1572190883229","144","-0.15917969","-0.9453125","0.115234375","-4.96875","-5.125","-1.96875"
"1572190883230","145","-0.07714844","-0.984375","0.15234375","9.46875","-11.0","2.125"
"1572190883230","146","-0.140625","-0.92285156","0.15429688","4.53125","-11.0625","-1.40625"
"1572190883231","147","-0.07128906","-1.0009766","0.095703125","14.90625","-9.59375","0.90625"
"1572190883231","148","-0.08203125","-1.0771484","0.123046875","3.375","-2.3125","-1.0625"
"1572190883231","149","-0.06738281","-1.0644531","0.18359375","-0.21875","2.5","-0.4375"
"1572190883624","150","-0.16113281","-1.0693359","0.16992188","-2.1875","-8.5","2.375"
"1572190883624","151","-0.2626953","-1.2128906","0.21777344","-7.5","14.78125","6.28125"
"1572190883625","152","-0.24414062","-1.3398438","0.2734375","-0.15625","12.875","3.65625"
"1572190883625","153","-0.43359375","-1.3291016","0.2890625","0.03125","15.0","-1.1875"
"1572190883625","154","-0.3828125","-1.0556641","0.18847656","4.96875","14.34375","13.34375"
"1572190883626","155","-0.3388672","-0.9042969","0.043945312","0.625","19.96875","17.0"
"1572190883626","156","-0.19921875","-1.0546875","0.07324219","3.5625","36.25","-7.21875"
"1572190883626","157","-0.22265625","-0.8564453","0.12890625","-6.5","17.34375","-4.15625"
"1572190883627","158","-0.12890625","-0.84472656","0.029296875","-7.1875","17.09375","-5.15625"
"1572190883627","159","-0.11230469","-0.80859375","0.07128906","-17.25","9.65625","-6.5"
"1572190884023","160","-0.123046875","-0.74121094","0.02734375","-0.28125","3.65625","-3.4375"
"1572190884023","161","-0.17871094","-0.7705078","0.10449219","-11.625","6.21875","-6.0625"
"1572190884024","162","-0.1875","-0.84375","0.037109375","-11.15625","3.21875","-5.8125"
"1572190884024","163","-0.2109375","-0.89160156","0.0146484375","-10.78125","3.125","-4.03125"
"1572190884024","164","-0.17382812","-0.8984375","-9.765625E-4","-13.71875","-2.875","-0.8125"
"1572190884024","165","-0.18066406","-0.91308594","-0.016601562","-16.09375","-8.125","0.03125"
"1572190884025","166","-0.16894531","-0.9296875","-0.028320312","-10.71875","-13.5","-4.34375"
"1572190884025","167","-0.20507812","-1.1806641","0.09082031","-7.84375","-1.71875","-8.75"
"1572190884025","168","-0.19140625","-0.9003906","0.14746094","-13.59375","-9.15625","-1.96875"
"1572190884027","169","-0.16210938","-0.95996094","-0.041015625","-2.0625","-20.21875","-4.71875"
