"# PR data"
"# Start time: 20191201T171020"
"# Subject: seb"
"# Activity type: Knee extension"
"# Correctness: Incorrect"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1575216620617","0","0.33398438","-0.9277344","-0.028320312","-4.71875","8.96875","-0.5625"
"1575216620618","1","0.328125","-0.9433594","-0.018554688","-5.3125","10.125","-1.3125"
"1575216620618","2","0.33691406","-0.9404297","-0.021484375","-3.0625","9.75","-1.46875"
"1575216620618","3","0.32910156","-0.93652344","-0.016601562","-4.59375","10.125","-2.03125"
"1575216620618","4","0.34277344","-0.9316406","-0.018554688","-4.53125","10.0","-1.53125"
"1575216620619","5","0.33789062","-0.9355469","-0.026367188","-2.03125","6.5","0.40625"
"1575216620619","6","0.35839844","-0.9238281","-0.026367188","-1.90625","4.6875","2.0"
"1575216620619","7","0.29785156","-0.92285156","-0.0146484375","3.71875","5.78125","0.84375"
"1575216620619","8","0.36035156","-0.94921875","-0.018554688","4.0625","5.46875","0.34375"
"1575216620620","9","0.3564453","-0.953125","-0.04296875","-1.125","3.71875","-1.59375"
"1575216621013","10","0.34570312","-0.9375","-0.01953125","-3.4375","3.53125","-1.34375"
"1575216621013","11","0.3388672","-0.9238281","-0.0068359375","-0.9375","1.9375","-0.4375"
"1575216621014","12","0.3310547","-0.9160156","-0.037109375","-3.1875","-1.34375","-1.59375"
"1575216621015","13","0.33398438","-0.953125","0.005859375","-0.9375","0.71875","1.375"
"1575216621015","14","0.31054688","-0.9091797","0.018554688","-3.5625","-0.25","-1.0"
"1575216621016","15","0.32714844","-0.96875","-0.022460938","2.96875","1.03125","1.875"
"1575216621021","16","0.34277344","-0.94140625","-0.026367188","-1.59375","-2.28125","1.4375"
"1575216621022","17","0.32226562","-0.93359375","-0.01953125","-3.4375","-0.0625","0.0"
"1575216621022","18","0.33398438","-0.92285156","-0.01953125","-1.59375","0.96875","-1.0625"
"1575216621022","19","0.33984375","-0.93359375","-0.0234375","-1.46875","-0.0625","-0.6875"
"1575216621410","20","0.34179688","-0.9394531","-0.022460938","-1.59375","0.15625","-1.1875"
"1575216621411","21","0.32910156","-0.94433594","-0.028320312","-1.3125","0.59375","-0.375"
"1575216621411","22","0.32714844","-0.9453125","-0.024414062","-2.40625","1.6875","0.53125"
"1575216621411","23","0.3251953","-0.9394531","-0.033203125","-2.34375","1.75","-0.375"
"1575216621412","24","0.32617188","-0.93847656","-0.033203125","-2.09375","2.0","-1.125"
"1575216621413","25","0.33984375","-0.9404297","-0.034179688","-0.875","1.5625","-2.15625"
"1575216621413","26","0.33398438","-0.9472656","-0.03125","1.6875","1.5","-3.5625"
"1575216621413","27","0.37597656","-0.9453125","-0.045898438","3.46875","3.40625","-6.25"
"1575216621414","28","0.38183594","-0.9550781","0.017578125","0.65625","1.15625","-6.25"
"1575216621414","29","0.34179688","-0.9121094","-0.001953125","6.15625","0.0","-0.625"
"1575216621807","30","0.31933594","-0.9121094","0.026367188","-0.625","-3.75","-0.25"
"1575216621808","31","0.35058594","-0.9140625","-0.032226562","3.03125","-5.875","-0.3125"
"1575216621808","32","0.3486328","-0.9375","-0.037109375","3.34375","-9.15625","-0.5"
"1575216621808","33","0.3330078","-0.9189453","-0.017578125","-1.84375","-12.34375","-0.25"
"1575216621809","34","0.3203125","-0.9316406","-0.029296875","-1.34375","-11.25","1.09375"
"1575216621809","35","0.3310547","-0.9560547","-0.0390625","2.1875","-12.15625","2.5"
"1575216621809","36","0.3154297","-0.9501953","-0.046875","-1.65625","-11.71875","2.1875"
"1575216621811","37","0.3310547","-0.9375","-0.044921875","-0.625","-8.75","1.03125"
"1575216621811","38","0.3466797","-0.9453125","-0.040039062","0.28125","-4.84375","-3.0"
"1575216621811","39","0.3173828","-0.92578125","-0.030273438","2.90625","-3.6875","-4.15625"
"1575216622207","40","0.31152344","-0.9326172","-0.018554688","1.625","-2.40625","-3.96875"
"1575216622207","41","0.30566406","-0.93066406","-0.013671875","0.09375","-0.1875","-1.125"
"1575216622207","42","0.29003906","-0.94628906","-0.0068359375","-1.0625","0.28125","1.75"
"1575216622208","43","0.3095703","-0.9453125","-0.028320312","-3.0","2.0625","1.75"
"1575216622208","44","0.3251953","-0.9609375","-0.009765625","-6.375","4.6875","2.71875"
